c,bE,aE,bP,aP,bS,aS,t
0,11,12,39.9,199999.99,1,1,1539946810989
0,11,11,39.9,43.08,1,3,1539946886273
0,8,11,41,44,1,5,1539954368401
0,8,11,41,44,1,8,1539954368512
0,8,11,43.08,44,2,8,1539955000531
0,12,11,41.39,44,9,8,1539955683453
0,18,11,41.36,44,1,8,1539955683454
0,8,11,41,44,1,8,1539955683454
0,8,11,41,44,1,8,1539955800666
0,8,12,41,42.5,1,5,1539955800694
0,12,12,41.81,42.5,1,5,1539955801113
0,8,12,41,42.5,1,5,1539955801118
0,12,17,40.18,42.16,1,1,1539955806287
0,12,12,40.18,42.5,1,5,1539955806287
0,12,17,40.98,42.16,1,1,1539955806288
0,11,17,40.18,42.16,1,1,1539955806289
0,12,17,40.98,42.16,1,1,1539955806290
0,11,17,40.18,42.16,1,1,1539955806292
0,11,17,40.18,42.16,1,1,1539955806292
0,12,17,41.79,42.16,1,1,1539955806292
0,11,12,40.18,41.95,1,1,1539955806292
0,12,17,40.98,41.95,1,1,1539955806293
0,12,17,40.18,41.95,1,1,1539955806294
0,12,17,41.79,41.95,1,1,1539955806294
0,12,17,40.18,41.9,1,1,1539955806295
0,12,17,40.18,41.95,1,1,1539955806295
0,12,17,40.98,41.9,1,1,1539955806296
0,12,17,40.18,41.9,1,1,1539955806297
0,12,12,41.79,41.95,1,1,1539955806297
0,12,17,41.79,41.9,1,1,1539955806297
0,12,17,41.79,41.95,1,1,1539955806297
0,12,17,41.8,41.95,1,1,1539955806297
0,12,17,40.18,41.92,1,1,1539955806297
0,12,17,41.79,41.92,1,1,1539955806297
0,12,17,40.98,41.92,1,2,1539955806298
0,12,17,40.98,41.92,1,1,1539955806298
0,19,17,41.01,41.92,1,2,1539955806298
0,19,17,41.81,41.92,1,2,1539955806298
0,12,17,41.79,41.92,1,2,1539955806299
0,19,17,41.01,41.92,1,2,1539955806300
0,19,17,41.01,41.92,1,1,1539955806300
0,12,17,41.82,41.92,1,1,1539955806301
0,19,19,41.01,41.92,1,1,1539955806302
0,19,17,41.01,41.92,1,1,1539955806302
0,12,19,41.82,41.92,1,1,1539955806304
0,12,19,41.02,41.92,1,1,1539955806304
