c,bE,aE,bP,aP,bS,aS,t
0,12,12,172.77,182.79,1,1,1538040591585
0,12,12,172.66,182.79,1,1,1538044287072
0,12,12,170.33,182.79,5,1,1538045052382
0,12,12,170.33,182,5,1,1538045474515
0,12,12,170.34,182,1,1,1538045547201
0,12,12,170.33,182,5,1,1538045548022
0,11,12,170.34,182,1,1,1538045551689
0,11,12,170.34,182.79,1,1,1538045636960
0,11,12,170.34,182,1,1,1538045636962
0,11,11,170.34,172.3,1,1,1538045654616
0,11,12,170.34,182,1,1,1538045654617
0,11,12,170.5,182,1,1,1538045728068
0,11,12,170.5,172,1,5,1538045825868
0,11,12,170.5,182,1,1,1538045825988
0,12,12,172,182,1,1,1538045840528
0,11,12,170.5,182,1,1,1538045841452
0,11,12,170.5,182.79,1,1,1538045949173
0,8,8,171,182,1,1,1538046000002
0,8,12,171,182.79,1,1,1538046000002
0,8,11,171,179.95,1,1,1538046004532
0,11,11,171.7,179.95,1,1,1538046010114
0,11,11,171.7,173,1,5,1538046080239
0,11,11,171.01,173,1,5,1538046111096
0,11,11,171.01,173,1,4,1538046143961
0,11,11,171.1,173,1,4,1538046148861
0,19,11,171.1,173,1,3,1538046155582
0,19,11,171.1,175.26,1,1,1538046158530
0,19,11,171.1,179.95,1,1,1538046161409
0,11,11,171.7,179.95,1,1,1538046161411
0,19,11,171.1,179.95,1,1,1538046163335
0,19,8,171.1,179.94,1,1,1538046233158
0,12,8,172,179.94,1,1,1538046234098
0,12,11,172,179.95,1,1,1538046235343
0,12,9,172,179.94,1,3,1538046373668
0,11,9,171.11,179.94,1,3,1538046412787
0,11,9,171.12,179.94,1,3,1538046505921
0,12,9,172.1,179.94,1,3,1538046551410
0,12,12,172.1,173.8,1,1,1538046557137
0,11,12,171.12,173.8,1,1,1538046574906
0,11,12,171.11,173.8,1,1,1538046915991
0,11,12,171.2,173.8,5,1,1538046966766
0,11,12,171.2,173.79,5,1,1538046984363
0,11,12,171.2,173.8,5,1,1538046984889
0,11,12,172.1,173.8,1,1,1538047008156
0,11,12,171.2,173.8,5,1,1538047031424
0,12,12,173,173.8,5,1,1538047135411
0,11,12,171.25,173.8,3,1,1538047228820
0,11,9,171.25,179.94,3,3,1538047228821
0,12,9,173.8,179.94,4,3,1538047228821
0,12,9,173.8,179.94,3,3,1538047287234
0,12,8,173.8,179.93,3,1,1538047300827
0,12,9,173.8,179.94,3,3,1538047303734
0,12,8,173.8,179.93,3,1,1538047306014
0,8,11,173.9,179.93,1,1,1538047351814
0,8,8,173.9,179.93,1,1,1538047352155
0,8,8,173.9,179.93,1,2,1538047360978
0,11,8,174,179.93,2,2,1538047373396
0,11,11,174,179.93,2,3,1538047467324
0,8,11,174.17,179.93,1,3,1538047584067
0,12,11,175,179.93,3,3,1538047647458
0,12,12,175,175.97,3,1,1538047684440
0,12,11,175,179.93,3,3,1538047685573
0,12,9,175,179.92,3,2,1538047812911
0,12,11,175,179,3,1,1538047830786
0,12,9,175,179.92,3,2,1538047842970
0,12,11,175,179,3,1,1538047852065
0,12,9,175,179.92,3,2,1538048001700
0,11,9,175.15,179.92,1,2,1538048015895
0,11,11,175.15,179.93,1,3,1538048050583
0,11,9,175.15,179.92,1,2,1538048050777
0,11,11,175.15,179.93,1,3,1538048057605
0,11,8,175.15,179.92,1,1,1538048060852
0,12,8,176,179.92,1,1,1538048062640
0,11,8,175.15,179.92,1,1,1538048063463
0,11,9,175.15,179.91,1,2,1538048063751
0,11,8,175.15,179.9,1,1,1538048066573
0,11,9,175.15,179.91,1,2,1538048067126
0,11,11,175.15,179.93,1,3,1538048072072
0,11,9,175.15,179.91,1,1,1538048072264
0,11,9,175.15,179.91,1,2,1538048072264
0,11,8,175.15,179.9,1,1,1538048074179
0,11,9,175.15,179.91,1,2,1538048075311
0,11,8,175.15,179.9,1,1,1538048075560
0,11,9,175.15,179.91,1,2,1538048079118
0,11,8,175.15,179.9,1,1,1538048087323
0,11,9,175.15,179.91,1,2,1538048087918
0,12,9,175,179.91,3,2,1538048106045
0,8,9,174.17,179.91,1,2,1538048106046
0,8,9,174.17,179.91,1,1,1538048116671
0,8,11,174.17,179.93,1,3,1538048116891
0,8,9,174.17,179.91,1,1,1538048117083
0,8,11,174.17,179.93,1,3,1538048117108
0,8,11,174.17,175,1,3,1538048124289
0,11,11,174,175,2,3,1538048132795
0,11,11,174,175,1,3,1538048132796
0,8,11,173.93,175,1,3,1538048135809
0,8,11,173.9,175,1,3,1538048135810
0,11,11,172.99,175,1,3,1538048138288
0,11,12,172.99,174,1,1,1538048143703
0,11,12,172.99,174,1,2,1538048145647
0,11,12,172.99,174,1,1,1538048147358
0,11,11,172.99,175,1,3,1538048147359
0,11,11,172.99,179.91,1,1,1538048154344
0,11,11,172.99,179.93,1,2,1538048206815
0,8,11,173,179.93,1,2,1538048217765
0,8,11,173,179.93,1,3,1538048236014
0,8,11,173,179,1,3,1538048374105
0,8,8,173,177,1,1,1538048399530
0,11,8,172.99,177,1,1,1538048411638
0,11,7,172.99,173,1,1,1538048411645
0,11,7,171.25,173,3,1,1538048415961
0,11,8,171.25,177,3,1,1538048449625
0,11,8,171.2,177,5,1,1538048449634
0,11,12,171.2,171.25,5,2,1538048449642
0,11,7,171.2,171.25,5,2,1538048450951
0,11,7,171.2,171.25,1,2,1538048452488
0,8,7,171,171.25,1,2,1538048454959
0,11,7,170.65,171.25,1,2,1538048454960
0,12,7,170.33,171.25,5,2,1538048459708
0,12,7,170.33,171.25,3,2,1538048459709
0,11,7,168.26,171.25,6,2,1538048461240
0,11,19,168.26,171.25,6,2,1538048461833
0,11,8,168.26,177,6,1,1538048461834
0,9,8,168.42,177,2,1,1538048467517
0,8,8,171.3,177,1,1,1538048474038
0,8,12,171.3,173,1,1,1538048477332
0,8,8,171.3,177,1,1,1538048479955
0,8,8,171.3,176.99,1,1,1538048480720
0,8,8,171.3,177,1,1,1538048481242
0,8,8,171.3,173,1,1,1538048485292
0,7,8,170.35,173,1,1,1538048513705
0,9,8,168.53,173,1,1,1538048513707
0,9,8,168.64,173,3,1,1538048518037
0,7,8,170.35,173,1,1,1538048524886
0,11,8,171,173,5,1,1538048580157
0,9,8,171.06,173,1,1,1538048597429
0,11,8,171.1,173,1,1,1538048620602
0,9,8,171.16,173,1,1,1538048626293
0,9,8,171.16,176,1,2,1538048679307
0,11,8,171.1,176,1,2,1538048679327
0,11,7,171.1,171.16,1,1,1538048679328
0,11,7,171,171.16,5,1,1538048683519
0,11,7,171,171.16,4,1,1538048683894
0,11,7,171,171.16,3,1,1538048684117
0,11,7,171,171.16,2,1,1538048684126
0,11,7,171,171.16,1,1,1538048684254
0,11,7,170.5,171.16,2,1,1538048684435
0,11,7,170.5,171.16,1,1,1538048684706
0,8,7,170.51,171.16,1,1,1538048693749
0,11,7,170.5,171.16,1,1,1538048699951
0,11,12,170.5,172.1,1,1,1538048705360
0,11,7,170.5,171.16,1,1,1538048705366
0,11,12,170.5,172.1,1,1,1538048708489
0,11,12,170.55,172.1,1,1,1538048772814
0,11,12,170.5,172.1,1,1,1538048780261
0,11,12,170.88,172.1,1,1,1538048843187
0,11,12,170.88,172.1,1,1,1538048919401
0,11,12,170.88,174.1,1,1,1538048919401
0,8,12,171,172.1,1,1,1538049000833
0,9,12,171.01,172.1,1,1,1538049283763
0,12,12,171.02,172.1,1,1,1538049572978
0,8,12,171.03,172.1,1,1,1538049573329
0,8,12,171.03,172.1,2,1,1538049573485
0,8,12,171.03,172.1,1,1,1538049574279
0,8,12,171.04,172.1,1,1,1538049574287
0,8,12,171.04,172.1,2,1,1538049574288
0,8,12,171.04,172.1,3,1,1538049574525
0,8,12,171.04,172.1,1,1,1538049574696
0,8,12,171.04,172.1,2,1,1538049574696
0,9,12,171.01,172.1,1,1,1538049574696
0,8,12,171,172.1,1,1,1538049589307
0,9,12,171.16,172.1,1,1,1538049733281
0,11,12,171.2,172.1,1,1,1538049952800
0,11,12,171.2,172.1,2,1,1538049953251
0,12,11,171.38,173,1,12,1538050033488
0,11,11,171.2,173,2,12,1538050033488
0,12,12,171.38,172.1,1,1,1538050033488
0,19,11,171.79,173,1,12,1538050127730
0,19,12,171.79,172.1,1,1,1538050127730
0,2,11,171.38,173,1,12,1538050127730
0,17,11,171.56,173,1,12,1538050131305
0,19,11,171.79,173,1,12,1538050131305
0,19,12,171.96,172.1,1,1,1538050131305
0,19,11,171.96,173,1,12,1538050131305
0,17,11,171.87,173,1,12,1538050133141
0,12,12,171.87,172.1,1,1,1538050133141
0,11,11,171.2,173,2,12,1538050133141
0,11,12,171.2,172.1,2,1,1538050133142
0,11,12,171.2,172.1,1,1,1538050168161
0,8,12,171,172.1,1,1,1538050283886
0,8,11,171,171.2,1,1,1538050283887
0,11,19,170.5,171.2,1,1,1538050286978
0,11,11,170.88,171.2,1,1,1538050286978
0,11,12,170.5,171.16,1,1,1538050286979
0,11,12,170.5,171,1,1,1538050288834
0,11,12,170.5,172.1,1,1,1538050307641
0,11,8,170.5,172.09,1,1,1538050308935
0,11,12,170.5,172.1,1,1,1538050310544
0,11,11,170.5,171.9,1,1,1538050338204
0,11,8,170.5,171.89,1,1,1538050344736
0,11,11,170.5,171,1,1,1538050352097
0,11,8,170.5,171,1,1,1538050355136
0,11,19,170.5,171,1,1,1538050355136
0,11,15,170.5,171,1,1,1538050355136
0,11,12,170.5,171,1,1,1538050355136
0,11,8,170.5,171.89,1,1,1538050355137
0,11,12,170.5,171.54,1,1,1538050355140
0,11,11,170.5,171.53,1,1,1538050378131
0,11,19,170.5,171.9,1,1,1538050378639
0,11,12,170.5,171.9,1,2,1538050378642
0,11,12,170.5,171.89,1,1,1538050379729
