c,bE,aE,bP,aP,bS,aS,t
0,12,8,0.01,18.12,1,3,1539774000311
0,11,8,17.41,18.12,10,3,1539774007757
0,11,8,17.41,18,10,50,1539774160547
0,11,12,17.41,17.97,10,1,1539776158506
0,11,8,17.41,17.9,10,1,1539778015181
0,11,8,17.41,17.9,10,51,1539779117333
0,11,12,17.41,17.85,10,1,1539779382730
0,11,8,17.41,17.9,10,51,1539779400826
0,11,8,17.41,17.9,10,52,1539781022094
0,11,8,17.41,17.9,10,51,1539781022238
0,11,8,17.41,17.9,9,51,1539782287977
0,11,18,17.41,17.8,8,1,1539782822862
0,11,8,17.41,17.9,8,51,1539782822862
0,11,8,17.41,17.9,8,51,1539782882325
0,11,7,17.41,17.8,8,1,1539782882325
0,11,8,17.41,17.9,8,1,1539782884214
0,11,18,17.41,17.79,8,1,1539782970148
0,11,17,17.41,17.87,8,1,1539782970148
0,11,2,17.41,17.77,5,1,1539782970149
0,11,19,17.41,17.57,5,1,1539782970149
0,11,18,17.41,17.71,5,1,1539782970149
0,11,18,17.41,17.79,5,1,1539782970149
0,11,19,17.41,17.57,2,1,1539782970149
0,11,19,17.41,17.57,4,1,1539782970149
0,19,19,17.32,17.57,2,1,1539782970149
0,11,19,17.4,17.57,1,1,1539782970149
0,8,19,17.2,17.57,2,1,1539782970150
0,8,19,17.2,17.49,2,1,1539782970150
0,8,7,17.2,17.71,2,1,1539782970151
0,8,8,17.2,17.49,2,1,1539782970151
0,8,18,17.2,17.71,2,1,1539782970151
0,8,7,17.2,17.71,2,1,1539782970179
0,8,17,17.2,17.87,2,1,1539782970179
0,8,7,17.2,17.79,2,1,1539782970179
0,8,12,17.2,17.87,2,1,1539782970327
0,8,8,17.2,17.9,2,1,1539782970527
0,11,8,17.3,17.9,20,1,1539782995584
0,11,8,17.3,17.9,20,1,1539783000395
0,11,12,17.3,17.41,20,1,1539783000395
0,11,12,17.3,17.41,19,1,1539783001239
0,11,12,17.31,17.41,3,1,1539783001426
0,11,12,17.31,17.41,3,2,1539783001442
0,11,12,17.31,17.41,3,3,1539783001498
0,11,12,17.31,17.41,4,3,1539783002049
0,11,12,17.31,17.41,4,2,1539783003996
0,11,12,17.31,17.41,4,1,1539783003996
0,11,12,17.31,17.41,4,2,1539783004026
0,11,19,17.31,17.47,4,1,1539783006795
0,11,12,17.31,17.41,4,1,1539783006795
0,12,19,17.41,17.47,1,1,1539783006795
0,12,12,17.41,17.49,1,2,1539783006796
0,11,12,17.31,17.49,1,2,1539783006799
0,11,12,17.42,17.49,1,2,1539783006807
0,11,12,17.42,17.49,1,3,1539783007026
0,11,19,17.42,17.55,1,1,1539783010338
0,11,12,17.42,17.49,1,1,1539783010338
