c,bE,aE,bP,aP,bS,aS,t
0,11,11,144.14,249.21,2,1,1538553600028
0,11,11,143,249.21,1,1,1538553638887
0,0,0,,,,,1538554140774
0,12,12,130.9,,3,,1538554350439
0,12,12,130.9,180.05,3,2,1538554378805
0,12,12,130.9,176.41,3,1,1538556995120
0,12,12,135.01,176.41,1,1,1538557020586
0,12,11,135.01,155.48,1,1,1538564379419
0,12,12,135.01,176.41,1,1,1538564380422
0,12,11,135.01,155.48,1,1,1538564382998
0,8,11,150,155.48,4,1,1538564400030
0,8,8,150,157.57,4,2,1538564602207
0,8,8,150,157.5,4,1,1538566654359
0,8,8,150,157.57,4,2,1538568004135
0,8,11,150,169.9,4,1,1538568219272
0,8,11,150,169,4,1,1538568749890
0,8,8,150,157.5,4,20,1538569344855
0,12,8,135.01,157.5,1,20,1538569412811
0,11,8,153,157.5,4,20,1538569412945
0,11,11,153,169,4,1,1538569473808
0,11,11,153,157.5,4,5,1538569473931
0,11,11,153,169,4,1,1538569511229
0,11,11,153,157.3,4,5,1538569511332
0,11,11,153,157.3,4,6,1538569704476
0,11,11,153,156,4,1,1538569877489
0,11,11,153,157.3,4,6,1538569969701
0,11,11,156.5,157.3,6,6,1538569970697
0,11,11,156.5,157.3,3,6,1538570040665
0,11,11,156.5,157.3,2,6,1538570047710
0,11,11,156.5,157.3,1,6,1538570048881
0,11,11,153,157.3,4,6,1538570057282
0,11,11,153,156.5,4,1,1538570136767
0,11,11,153,156.5,4,2,1538571302453
0,11,11,153,156.5,4,1,1538571349242
0,11,11,153,156.15,4,1,1538571354047
0,11,11,153,156.5,4,1,1538571358424
0,11,11,153,156.5,4,4,1538571497772
0,11,11,153,156.5,4,1,1538571507052
0,11,7,153,156,4,2,1538571507058
0,11,12,153,155.5,4,1,1538571513828
0,11,11,153,156.5,4,1,1538571837044
0,11,11,153,157.3,4,6,1538571987651
0,11,11,153,157.3,3,6,1538572112333
0,11,11,153,157.3,2,6,1538572114638
0,11,11,153,157.3,1,6,1538572116791
0,11,11,147,157.3,1,6,1538572140145
0,11,11,140,153,1,2,1538572140372
0,11,11,140,157.3,1,6,1538572149957
0,11,11,147,157.3,1,6,1538572166551
0,11,11,147.01,157.3,1,6,1538572204965
0,11,12,147.01,155,1,1,1538572207087
0,11,12,147,155,1,1,1538572211161
0,11,12,147.5,155,1,1,1538572213391
0,11,11,147.5,153,1,2,1538572228722
0,11,8,147.5,152.99,1,2,1538572251965
0,11,11,147.5,148,1,2,1538572263270
0,11,11,145.9,148,1,2,1538572265446
0,11,11,140,148,1,2,1538572266423
0,11,11,140,147,1,2,1538572269988
0,11,11,140,148,1,2,1538572270672
0,11,8,140,147.99,1,2,1538572276197
0,11,11,140,148,1,2,1538572284475
0,11,12,140,145.95,1,1,1538572290057
0,11,11,140,148,1,2,1538572290569
0,11,8,140,147.99,1,1,1538572292869
0,8,8,140.01,147.99,1,1,1538572295540
0,11,8,138,147.99,1,1,1538572310928
0,11,8,140,147.99,1,1,1538572316088
0,11,11,140,148,1,2,1538572316648
0,8,11,140.05,148,1,2,1538572317098
0,8,12,140.05,146,1,1,1538572324465
0,8,11,140.05,148,1,2,1538572325899
0,8,12,140.05,148,1,2,1538572328263
0,8,12,140.05,146,1,1,1538572329785
0,8,12,140.06,146,1,1,1538572337573
0,8,12,140.05,146,1,1,1538572337896
0,8,12,140.06,146,1,1,1538572341260
0,8,12,140.05,146,1,1,1538572344455
0,11,12,142,146,1,1,1538572346973
0,11,11,142,148,1,2,1538572351059
0,11,12,142,147,1,1,1538572361426
0,11,12,142.5,147,1,1,1538572365835
0,11,12,143,147,1,1,1538572389410
0,11,12,144,147,1,1,1538572392741
0,11,12,143,147,1,1,1538572392993
0,11,8,143,146,1,1,1538572392995
0,11,11,143,145.99,1,1,1538572420595
0,11,8,143,146,1,1,1538572421490
0,11,12,143,145.99,1,1,1538572422193
0,11,8,143,146,1,1,1538572423064
0,11,8,143.5,146,1,1,1538572423977
0,11,11,143.5,145.99,1,1,1538572424930
0,11,8,143.5,146,1,1,1538572425745
0,11,8,144,146,1,1,1538572447040
0,11,12,144,147,1,1,1538572463903
0,11,12,144,148,1,2,1538572472835
0,11,12,144.01,148,3,2,1538572475810
0,11,12,147,148,1,2,1538572475990
0,11,12,146,148,1,2,1538572478765
0,11,12,146,147.99,1,1,1538572481408
0,11,12,146,147.99,1,2,1538572481663
0,11,12,146,148,1,2,1538572482207
0,11,12,146,147.99,1,1,1538572482207
0,11,12,146,147.45,1,1,1538572483704
0,11,12,146,148,1,2,1538572484823
0,12,12,146.01,148,2,2,1538572522703
0,11,12,146,148,1,2,1538572522879
0,11,12,146,149.5,1,2,1538572535886
0,11,12,148,149.5,1,2,1538572539730
0,11,12,146,149.5,1,2,1538572541220
0,11,12,146,149.5,1,1,1538572564673
0,12,12,146.01,149.5,2,1,1538572568545
0,11,12,146,149.5,1,1,1538572568886
0,8,12,146.01,149.5,1,1,1538572594633
0,11,12,146,149.5,1,1,1538572595277
0,8,12,146.01,149.5,1,1,1538572622961
0,11,12,146,149.5,1,1,1538572625568
0,11,12,146,148,1,1,1538572630311
0,11,12,146,149.5,1,1,1538572630797
0,11,12,146,149.5,1,2,1538572659047
0,12,12,146.01,149.5,1,2,1538572671606
