c,bE,aE,bP,aP,bS,aS,t
0,11,11,684.25,782.7,1,1,1537267966902
0,11,11,684.25,746,1,2,1537268242496
0,11,11,684.25,727,1,30,1537268280065
0,11,11,684.25,727,1,29,1537268312718
0,11,11,684.25,727,7,29,1537268327321
0,8,11,700,727,1,29,1537268400171
0,11,11,684.25,727,7,29,1537268790836
0,11,11,700,727,1,29,1537268816509
0,11,11,684.25,727,7,29,1537268846576
0,11,11,684.25,727,1,29,1537268874838
0,11,11,688.64,727,1,29,1537268876923
0,8,11,700,727,3,29,1537268990703
0,8,8,700,709.5,3,1,1537269080733
0,8,8,700,726,3,1,1537269110830
0,8,11,700,727,3,29,1537269214460
0,8,8,700,726,3,1,1537269214593
0,8,8,700,726,3,2,1537269226616
0,8,11,700,723,3,2,1537269566186
0,8,11,700,723,3,3,1537269597544
0,11,11,701,723,1,3,1537270021488
0,11,11,701,722.8,1,1,1537270022093
0,11,11,701,723,1,3,1537270023568
0,11,11,701,713,1,1,1537270333605
0,11,11,701,714,1,1,1537270340123
0,11,11,701,715,1,1,1537270342762
0,11,12,701,714.95,1,1,1537270354648
0,11,11,701,716,1,1,1537270359564
0,11,11,701,722,1,1,1537270520751
0,11,11,701,716,1,1,1537270522969
0,11,11,701,716,1,2,1537270524804
0,11,11,701,708.27,1,1,1537270575468
0,11,11,705,708.27,1,1,1537270603153
0,11,11,705,708,1,1,1537270693749
0,11,11,705,708.27,1,1,1537270717203
0,11,11,706,708.27,1,1,1537270765417
0,11,11,705,708.27,1,1,1537270821672
0,11,11,688.64,708.27,1,1,1537270821673
0,11,11,684.25,708.27,1,1,1537270853109
0,11,8,684.25,708,1,1,1537270860235
0,11,8,688.64,708,1,1,1537270874849
0,11,8,696,708,1,1,1537270927039
0,11,8,702,708,5,1,1537271026948
0,11,8,700,708,1,1,1537271063822
0,11,11,700,705,1,1,1537271086425
0,11,11,696,705,1,1,1537271089680
0,11,11,700,705,1,1,1537271272872
0,11,11,696,705,1,1,1537271318206
0,11,11,700,705,5,1,1537271376346
0,8,11,702,705,1,1,1537271493888
0,8,8,702,720,1,2,1537271608965
0,11,8,700,720,5,2,1537271622623
0,11,11,700,719,5,1,1537271625753
0,11,12,700,706,5,3,1537271632893
0,11,11,700,705,5,1,1537271641739
0,11,12,700,705,5,3,1537271698882
0,11,11,700,705,5,1,1537271845857
0,11,12,700,705,5,3,1537271912323
0,11,11,700,705,5,4,1537271925859
0,11,11,700,705,5,5,1537271974088
0,11,11,700,705,5,4,1537272000353
0,12,11,701,705,3,4,1537272080703
0,11,11,702,705,1,4,1537272282307
0,11,11,703,705,1,4,1537272768931
0,11,11,702,705,1,4,1537272769539
0,11,11,702,704.99,1,1,1537272807037
0,11,11,702,705,1,4,1537272810104
0,11,12,702,705,1,3,1537273149223
0,11,12,702,702.5,1,1,1537273159702
0,11,12,700,702.5,1,1,1537273160199
0,11,12,699.57,702.5,2,1,1537273167388
0,11,11,699.57,702.45,2,1,1537273173919
