c,bE,aE,bP,aP,bS,aS,t
0,11,11,24.83,74.49,1,1,1538484895724
0,11,11,24.83,74.49,2,2,1538484905688
0,11,11,24.83,74.49,1,2,1538484905688
0,11,12,24.83,54.68,2,1,1538485823596
0,12,12,34.31,54.68,1,1,1538485824318
0,12,12,35.19,54.68,1,1,1538485826189
0,12,12,35.82,54.68,1,1,1538485826247
0,12,12,36.7,54.68,1,1,1538485826432
0,12,12,37.58,54.68,1,1,1538485826632
0,12,12,38.46,54.68,1,1,1538485826832
0,12,12,39.39,54.68,1,1,1538485828189
0,12,12,40.22,54.68,1,1,1538485828261
0,12,12,41.16,54.68,1,1,1538485830190
0,19,12,48.99,54.68,2,1,1538486448879
0,19,19,48.99,50.2,2,2,1538486450319
0,8,8,48.99,50.2,2,2,1538486835759
0,8,12,48.99,50.09,2,2,1538486836239
0,19,12,48.99,50.09,2,2,1538486836719
0,11,12,48.99,50.09,2,2,1538486836719
0,12,12,48.99,50.09,2,2,1538486837199
0,8,8,48.99,50.09,2,2,1538486843919
0,11,8,49.08,50.09,2,2,1538486844399
0,11,11,49.08,50.09,2,2,1538486845359
0,12,19,49.2,50.09,2,2,1538486888559
0,19,12,48.76,50.09,2,2,1538486888559
0,12,8,49.2,50.09,2,2,1538486889039
0,8,12,49.21,50.09,2,2,1538486889519
0,8,11,49.21,50.09,2,2,1538486889519
0,8,11,49.21,50.09,2,3,1538486981115
0,11,11,49.21,50.09,3,3,1538486995003
0,8,11,49.21,50.09,2,3,1538486998479
0,11,12,49.21,50.09,1,2,1538486998959
0,11,11,49.21,50.09,1,3,1538486998959
0,11,8,49.21,50,1,2,1538486999439
0,11,19,49.21,50,1,2,1538486999919
0,19,19,49.09,50,2,2,1538487000131
0,10,19,49.1,50,1,2,1538487000656
0,10,10,49.1,49.99,1,1,1538487000656
0,17,10,49.1,49.99,1,1,1538487000667
0,17,19,49.1,50,1,2,1538487000667
0,18,8,49.12,50,1,2,1538487001098
0,19,8,49.11,50,1,2,1538487001098
0,18,19,49.12,49.99,1,1,1538487001098
0,17,19,49.12,49.99,1,1,1538487002150
0,17,15,49.12,49.98,1,3,1538487002529
0,19,15,49.11,49.98,1,3,1538487012021
0,15,15,49.12,49.98,3,3,1538487012022
0,10,15,49.13,49.98,1,3,1538487015087
0,15,15,49.15,49.98,3,3,1538487015089
0,19,15,49.11,49.98,1,3,1538487021229
0,15,15,49.12,49.98,7,3,1538487021230
0,10,15,49.16,49.98,1,3,1538487021261
0,15,15,49.17,49.98,3,3,1538487022514
0,10,15,49.18,49.98,1,3,1538487030174
0,15,15,49.19,49.98,7,3,1538487030176
0,15,9,49.19,50.17,7,1,1538487040017
0,15,12,49.19,49.98,7,1,1538487040034
0,15,18,49.19,49.98,7,1,1538487040193
0,15,15,49.19,49.96,7,7,1538487042517
0,10,15,49.2,49.96,1,7,1538487045752
0,15,15,49.21,49.96,7,7,1538487045754
0,19,15,49.11,49.96,1,7,1538487053155
0,15,15,49.13,49.96,7,7,1538487053156
0,10,15,49.22,49.96,1,7,1538487053273
0,15,15,49.24,49.96,7,7,1538487062519
0,19,15,49.25,49.96,1,7,1538487066857
0,15,15,49.27,49.96,7,7,1538487066859
0,10,15,49.28,49.96,1,7,1538487073664
0,10,9,49.28,50.17,1,1,1538487073666
0,15,9,49.3,50.17,7,1,1538487073666
0,15,12,49.3,49.96,7,1,1538487073666
0,15,15,49.3,49.95,7,7,1538487073667
0,10,15,49.31,49.95,1,7,1538487084671
0,15,15,49.33,49.95,7,7,1538487084673
0,9,15,49.13,49.95,1,7,1538487096007
0,15,15,49.14,49.95,7,7,1538487096008
0,18,15,49.25,49.95,1,7,1538487096019
0,10,15,49.34,49.95,1,7,1538487096030
0,15,15,49.36,49.95,7,7,1538487102518
0,9,15,49.13,49.95,1,7,1538487105881
0,15,15,49.14,49.95,7,7,1538487105882
0,15,12,49.14,50.15,7,1,1538487105883
0,15,12,49.14,49.95,7,1,1538487105884
0,15,15,49.14,49.94,7,7,1538487105884
0,18,15,49.25,49.94,1,7,1538487105895
0,19,15,49.37,49.94,1,7,1538487106099
0,18,15,49.37,49.94,1,7,1538487106902
0,19,15,49.37,49.94,1,7,1538487106902
0,15,15,49.39,49.94,7,7,1538487112520
0,10,15,49.4,49.94,1,7,1538487116539
0,15,15,49.42,49.94,7,7,1538487116541
0,19,15,49.43,49.94,1,7,1538487124503
0,15,15,49.44,49.94,7,7,1538487124504
0,19,15,49.45,49.94,1,7,1538487132376
0,19,12,49.45,50.15,1,1,1538487140018
0,19,15,49.45,50.14,1,7,1538487140018
0,19,12,49.45,49.94,1,1,1538487140029
0,19,18,49.45,50.09,1,1,1538487140029
0,19,12,49.45,49.94,1,2,1538487140060
0,19,18,49.45,49.94,1,1,1538487140060
0,19,15,49.45,49.93,1,7,1538487142519
0,19,12,49.45,50.12,1,1,1538487180021
0,19,15,49.45,50.11,1,7,1538487180021
0,19,12,49.45,50.15,1,1,1538487180023
0,19,12,49.45,49.93,1,1,1538487180032
0,19,12,49.45,49.93,1,2,1538487180063
0,19,18,49.45,49.93,1,1,1538487180063
0,19,15,49.45,49.92,1,7,1538487182516
0,19,12,49.45,50.15,1,1,1538487220017
0,19,15,49.45,50.13,1,7,1538487220018
0,19,19,49.45,50.21,1,1,1538487220024
0,19,12,49.45,49.92,1,1,1538487220025
0,19,12,49.45,49.92,1,2,1538487220056
0,19,18,49.45,49.92,1,1,1538487220057
0,19,15,49.45,49.9,1,7,1538487222515
0,19,12,49.45,50.09,1,1,1538487260018
0,19,15,49.45,50.08,1,7,1538487260019
0,19,12,49.45,50.11,1,1,1538487260020
0,19,12,49.45,49.9,1,1,1538487260027
0,19,18,49.45,49.96,1,1,1538487260027
0,19,12,49.45,49.9,1,2,1538487260059
0,19,18,49.45,49.9,1,1,1538487260059
0,19,12,49.45,49.9,1,1,1538487260062
0,19,15,49.45,49.88,1,7,1538487262515
0,19,12,49.45,49.9,1,1,1538487272516
0,19,17,49.45,49.89,1,3,1538487293049
0,19,12,49.45,49.89,1,1,1538487293079
0,19,12,49.45,49.89,1,2,1538487293082
0,19,18,49.45,49.89,1,1,1538487293083
0,12,18,49.26,49.89,1,1,1538487319244
0,12,17,49.26,49.88,1,3,1538487319245
0,12,17,49.24,49.88,1,3,1538487319245
0,11,17,49.26,49.88,1,3,1538487319246
