c,bE,aE,bP,aP,bS,aS,t
0,11,11,10.1,10.18,1,60,1538092800016
0,11,11,10.16,13,2,60,1538121600040
0,11,11,10.16,11.65,2,7,1538121600041
0,11,11,10.16,11.45,2,5,1538121600042
0,11,11,10.16,11.15,2,20,1538121600042
0,11,11,10.16,11.28,2,2,1538121600042
0,11,11,10.16,10.34,2,1,1538121600042
0,11,11,10.16,10.34,1,1,1538129854850
0,11,8,10.16,10.3,1,1,1538132400165
0,11,8,10.17,10.3,10,1,1538132410977
0,11,11,10.17,10.34,10,1,1538132420078
0,11,11,10.17,10.45,10,2,1538132420079
0,11,11,10.3,10.45,2,2,1538132436422
0,11,8,10.3,10.55,2,50,1538132438128
0,11,8,10.3,10.55,2,42,1538132438139
0,11,8,10.3,10.55,2,39,1538132443557
0,11,8,10.31,10.55,10,39,1538132444739
0,12,8,10.31,10.55,1,39,1538132459713
0,11,8,10.4,10.55,10,39,1538132459901
0,11,12,10.4,10.54,10,1,1538132483257
0,11,11,10.4,10.53,10,22,1538132527429
0,11,12,10.4,10.52,10,1,1538132534334
0,12,12,10.31,10.52,1,1,1538132537389
0,11,12,10.4,10.52,6,1,1538132537389
0,11,12,10.3,10.52,2,1,1538132537744
0,11,12,10.3,10.5,2,5,1538132545380
0,11,11,10.3,10.45,2,20,1538132551613
0,11,11,10.16,10.45,1,20,1538132565467
0,11,12,10.16,10.44,1,1,1538132584733
0,12,12,10.3,10.44,2,1,1538132651579
0,11,12,10.44,10.44,5,1,1538132657785
0,11,12,10.44,10.5,5,5,1538132657786
0,12,12,10.3,10.5,2,5,1538132660390
0,12,11,10.3,10.4,2,2,1538132685765
0,11,11,10.16,10.4,1,2,1538132687496
0,12,11,10.3,10.4,4,2,1538132687498
0,12,12,10.3,10.5,4,5,1538132692707
0,12,11,10.3,10.5,4,50,1538132698162
0,11,11,10.45,10.5,4,50,1538132704044
0,11,11,10.45,10.5,4,47,1538132712946
0,11,11,10.45,10.5,1,47,1538132714178
0,11,11,10.48,10.5,1,47,1538132746621
0,11,11,10.48,10.5,1,45,1538132776940
