c,bE,aE,bP,aP,bS,aS,t
0,12,8,0.01,14.85,1,6,1539860400359
0,12,8,14.11,14.85,15,6,1539865903036
0,12,8,14.11,14.85,15,7,1539866805374
0,12,12,14.11,14.51,15,1,1539869184851
0,12,8,14.11,14.85,15,7,1539869332593
0,12,11,14.11,14.6,15,1,1539869381663
0,10,11,14.2,14.6,2,1,1539869409162
0,10,10,14.2,14.38,2,1,1539869409163
0,10,10,14.2,14.38,2,2,1539869409525
0,10,12,14.2,14.38,2,3,1539869417822
0,2,12,14.2,14.38,2,3,1539869419163
0,2,12,14.2,14.38,2,4,1539869455938
0,11,12,14.21,14.38,5,4,1539869458086
0,11,12,14.21,14.38,6,4,1539869458086
0,12,12,14.21,14.38,7,4,1539869458089
0,12,12,14.21,14.38,8,4,1539869458342
0,19,12,14.24,14.38,1,4,1539869459408
0,11,12,14.25,14.38,5,4,1539869459444
0,11,12,14.25,14.38,6,4,1539869459444
0,10,12,14.25,14.38,7,4,1539869459696
0,11,12,14.29,14.38,1,4,1539869459926
0,19,12,14.31,14.38,1,4,1539869462917
0,11,19,14.29,14.37,1,1,1539869462917
0,11,12,14.29,14.38,1,4,1539869462917
0,11,10,14.29,14.37,1,1,1539869462921
0,11,12,14.29,14.37,1,1,1539869463169
0,11,12,14.29,14.37,1,3,1539869463169
0,12,12,14.29,14.37,2,3,1539869463170
0,11,12,14.34,14.37,1,3,1539869463320
0,11,10,14.34,14.36,1,1,1539869463320
0,11,12,14.34,14.37,1,3,1539869463320
0,11,18,14.34,14.36,1,1,1539869463320
0,11,12,14.34,14.37,1,3,1539869463320
0,11,10,14.34,14.36,1,1,1539869463320
0,11,12,14.34,14.37,1,3,1539869463320
0,11,10,14.34,14.37,1,1,1539869463320
0,11,10,14.34,14.36,1,1,1539869463321
0,11,12,14.34,14.37,1,1,1539869463321
0,11,18,14.34,14.36,1,1,1539869463321
0,11,12,14.34,14.37,1,1,1539869463321
0,11,12,14.34,14.37,1,3,1539869463372
0,19,12,14.34,14.37,2,3,1539869465731
0,12,12,14.34,14.37,2,3,1539869475352
