c,bE,aE,bP,aP,bS,aS,t
0,8,11,36.4,45.5,1,2,1539860419550
0,8,11,36.4,41.85,1,1,1539865795248
0,11,11,34.15,41.85,1,1,1539868707147
0,12,11,34.15,41.85,2,1,1539869370709
0,12,12,34.15,41.85,2,3,1539869372676
0,10,10,37.44,37.84,2,1,1539869400106
0,10,10,37.44,38.16,2,2,1539869400107
0,10,10,37.17,38.16,4,2,1539869400107
0,10,10,37.17,38.43,4,4,1539869400108
0,10,10,36.97,38.63,10,10,1539869400108
0,10,10,36.97,38.43,10,4,1539869400108
0,10,11,36.97,38.6,10,1,1539869400113
0,10,10,36.97,38.63,10,10,1539869400115
0,10,10,36.97,38.63,10,11,1539869401208
0,10,10,37.07,38.63,5,11,1539869401969
0,10,12,37.07,38,5,1,1539869403520
0,10,19,37.07,37.99,5,1,1539869410647
0,10,19,37.15,37.99,3,1,1539869412400
0,10,19,37.15,37.99,4,1,1539869412401
0,10,18,37.15,37.99,4,1,1539869412401
0,10,19,37.15,37.99,4,1,1539869412453
0,10,18,37.15,37.99,4,1,1539869413000
0,3,18,37.5,37.99,1,1,1539869415031
0,3,19,37.5,37.99,1,1,1539869415035
0,10,19,37.15,37.99,4,1,1539869415035
0,10,18,37.15,37.99,4,1,1539869415036
0,10,12,37.15,37.98,4,1,1539869415036
0,10,12,37.15,37.98,4,1,1539869415036
0,10,12,37.15,37.98,4,2,1539869415036
0,10,3,37.15,37.83,4,1,1539869415066
0,10,12,37.15,37.98,4,1,1539869415066
0,10,12,37.15,37.98,4,2,1539869415069
0,10,2,37.15,37.98,4,1,1539869415536
0,10,10,37.15,37.98,4,2,1539869415898
0,10,10,37.15,37.97,4,1,1539869419869
0,10,10,37.15,37.97,4,2,1539869423297
0,3,10,37.15,37.97,1,2,1539869460660
0,11,10,37.15,37.97,1,2,1539869551745
0,11,3,37.15,37.97,1,2,1539869551748
0,11,10,37.15,37.97,1,2,1539869566099
0,11,12,37.15,37.97,1,2,1539869566099
0,10,10,37.15,37.97,1,2,1539869568579
0,10,12,37.15,37.97,1,3,1539869597106
0,3,12,37.15,37.97,1,3,1539869597157
0,3,12,37.15,37.97,1,5,1539869656551
0,3,12,37.15,37.97,1,4,1539869656551
0,11,3,37.15,37.55,1,1,1539869663356
0,3,3,37.15,37.55,1,1,1539869663358
0,3,12,37.15,37.55,1,2,1539869663358
0,8,12,37.15,37.55,1,2,1539869663359
0,8,12,37.15,37.55,1,3,1539869663359
0,8,3,37.15,37.55,1,2,1539869664067
