c,bE,aE,bP,aP,bS,aS,t
0,11,11,40.3,56,1,1,1539849600006
0,11,11,40.3,50.5,1,10,1539849600006
0,11,11,45,50.5,1,10,1539849600006
0,11,11,45,49.99,1,20,1539849600006
0,11,11,45,50.5,1,10,1539853634075
0,11,11,45,50.49,1,20,1539853643706
0,11,11,45,49,1,14,1539859220722
0,8,11,45,49,3,14,1539860400157
0,11,11,45,49,5,14,1539860407873
0,11,11,46,49,1,14,1539861163481
0,8,11,46.05,49,1,14,1539861227065
0,11,11,47,49,1,14,1539861333073
0,8,11,46.95,49,1,14,1539861583336
0,11,11,47.6,49,1,14,1539861583437
0,11,8,47.6,48.8,1,2,1539862063825
0,11,11,47.6,49,1,14,1539862095718
0,8,11,47.6,48.5,1,2,1539862095762
0,8,11,47.6,48.5,1,1,1539862216879
0,11,11,47.6,48.5,1,1,1539862375998
0,8,11,47.6,49,1,14,1539862655158
0,8,19,47.6,48.85,1,1,1539863136369
0,11,19,47.6,48.85,1,1,1539863136369
0,8,19,47.6,48.85,1,1,1539863136369
0,11,19,47.6,48.85,1,1,1539863177995
0,8,11,47.6,48.49,1,20,1539863351577
0,11,11,47.6,48.49,1,20,1539863421519
0,8,11,47.6,48.49,1,21,1539863421528
0,8,11,47.6,48.18,1,1,1539863678327
0,8,11,47.6,47.88,1,1,1539863680824
0,11,11,47.6,47.88,1,1,1539863681603
0,11,11,47.6,48.18,1,1,1539863682592
0,11,11,47.6,48.49,1,21,1539863682752
0,11,11,47.22,48.49,1,21,1539863685219
0,11,12,47.22,48.31,1,1,1539863685220
0,11,11,47.22,48.18,1,2,1539863686583
0,8,11,46.95,48.18,1,2,1539863687772
0,8,11,46.05,48.18,1,2,1539863747387
0,8,8,46.05,47,1,1,1539863747388
0,8,11,46.05,48.18,1,2,1539863750186
0,8,11,46.95,48.18,1,2,1539863753218
0,8,11,46.05,48.18,1,2,1539863753321
0,11,11,47,48.18,1,2,1539863758743
0,8,11,46.05,48.18,1,2,1539863776403
0,11,11,46.5,48.18,1,2,1539863825838
0,8,11,46.5,48.18,2,2,1539863956966
0,8,11,46.5,48.49,2,21,1539864015915
0,8,11,48,48.49,1,21,1539864018556
0,8,11,46.5,48.49,2,21,1539864021217
0,8,11,47.75,48.49,1,21,1539864021425
0,8,11,46.5,48.49,2,21,1539864022788
0,8,12,46.5,47.75,2,1,1539864022789
0,8,11,46.5,48.49,2,21,1539864023660
0,8,11,46.52,48.49,1,21,1539864075789
0,8,12,46.52,48.34,1,1,1539864124629
0,8,17,46.52,48.34,1,1,1539864124678
0,8,11,46.52,48.49,1,21,1539864125120
0,11,11,47.75,48.49,2,21,1539864161014
0,12,11,47.77,48.49,2,21,1539864193424
0,12,11,47.77,48.39,2,2,1539864350820
0,11,11,48,48.39,10,2,1539864648165
0,11,11,48,48.39,9,2,1539864717346
0,11,12,48,48.2,9,1,1539864722932
0,11,12,48,48.2,8,1,1539864923133
0,11,12,48,48.05,8,1,1539865009277
0,11,12,48,48.2,8,1,1539865022046
0,11,12,48,48.2,7,1,1539865022051
0,11,8,48,48.2,7,1,1539865076627
0,11,8,48,48.2,6,1,1539865085567
0,8,12,48.05,48.2,5,1,1539865087996
0,8,11,48.05,48.39,5,2,1539865093117
0,11,11,48.06,48.39,1,2,1539865202226
0,11,12,48.06,48.3,1,1,1539865256260
0,11,11,48.06,48.39,1,2,1539865509690
0,11,12,48.06,48.2,1,1,1539865509713
0,11,11,48.06,48.1,1,1,1539865659691
0,11,12,48.06,48.2,1,1,1539865689817
0,8,12,48.05,48.2,5,1,1539865984170
0,11,12,48.01,48.2,2,1,1539866527005
0,11,12,48.01,48.19,2,1,1539867025687
0,11,12,48.01,48.19,1,1,1539867027611
0,8,12,48.01,48.19,1,1,1539867027611
0,11,17,48.01,48.14,1,1,1539867027612
