c,bE,aE,bP,aP,bS,aS,t
0,11,11,348.79,547.49,1,2,1539676800031
0,11,11,420.18,547.49,1,2,1539676800032
0,11,11,420.18,435.91,1,1,1539676800032
0,11,11,348.79,435.91,1,1,1539680849615
0,11,11,348.79,547.49,1,2,1539680849628
0,11,11,400,547.49,1,2,1539682377196
0,11,11,400,547.49,1,3,1539684197109
0,11,11,400,486.1,1,1,1539684410033
0,11,11,401,486.1,1,1,1539684647203
0,11,11,401,437.5,1,10,1539684684377
0,11,11,400,437.5,1,10,1539684948714
0,11,11,400,486.1,1,1,1539685215192
0,11,11,400,437.5,1,1,1539685222692
0,11,11,427,437.5,1,1,1539685735252
0,11,11,427,435,1,5,1539685849024
0,11,11,428,435,1,5,1539685864455
0,11,11,400.05,435,1,5,1539685977194
0,11,11,400.05,428,1,12,1539685977196
0,11,11,380,428,1,12,1539685977266
0,11,11,348.79,428,1,12,1539685986678
0,11,11,400,428,1,12,1539686014824
0,11,11,348.79,428,1,12,1539686023738
0,11,11,348.79,428,1,13,1539686053551
0,11,11,361,428,1,13,1539686075856
0,11,11,400,428,1,13,1539686086041
0,11,11,408,428,1,13,1539686105757
0,11,11,400,428,1,13,1539686110483
0,11,11,408,428,1,13,1539686116075
0,11,11,400,428,1,13,1539686135620
0,11,11,415,428,1,13,1539686142561
0,11,11,420,428,1,13,1539686184957
0,11,11,415,428,1,13,1539686191094
0,11,11,420,428,1,13,1539686201218
0,11,11,424,428,1,13,1539686273077
0,12,11,425,428,1,13,1539686299177
0,12,11,425,428,1,12,1539686384548
0,12,11,425,428,1,13,1539686427532
0,11,11,424,428,1,13,1539686645184
0,12,11,426,428,1,13,1539686645186
0,11,11,424,428,1,13,1539686682014
0,11,11,424,428,1,12,1539686884571
0,11,11,424,428,1,13,1539686884576
0,11,11,424,426.94,1,1,1539686884587
0,11,12,422,426.94,1,1,1539686894449
0,11,12,420,426.94,1,1,1539686897267
0,11,12,420,426,1,2,1539686899250
0,11,11,420,426.94,1,1,1539686941788
0,11,12,420,426.94,1,1,1539687093550
0,11,12,420,426.94,1,2,1539687104343
0,11,12,420,426,1,13,1539687181609
0,11,12,420,426,1,12,1539687182970
0,11,11,420,425.99,1,1,1539687206961
0,11,12,420,426,1,12,1539687220494
0,11,12,420,425,1,1,1539687355131
0,11,12,420,426,1,12,1539687359347
0,11,12,415,426,1,12,1539687367048
0,11,12,420,426,1,12,1539687406384
0,11,12,415,426,1,12,1539687544720
0,11,12,380,426,1,12,1539687571789
0,11,11,380,424.5,1,1,1539687595254
0,8,11,400,424.5,1,1,1539687600013
0,8,11,416,424.5,1,1,1539687600013
0,11,11,420,424.5,1,1,1539687602025
0,11,11,421,424.5,1,1,1539687680795
0,11,11,421,422.5,1,1,1539687732820
0,11,11,421,422.5,1,2,1539687833704
0,8,11,420,422.5,1,2,1539687843221
0,11,11,420,422.5,1,2,1539687852000
0,11,19,420,421.5,1,1,1539687930048
0,11,19,420,421.5,3,1,1539687939188
0,11,19,410,421.5,2,1,1539687944463
0,11,19,410,421.5,3,1,1539687945805
0,11,8,410,421.49,3,1,1539687984330
0,11,19,410,421.5,3,1,1539687984765
0,11,11,410,421.49,3,1,1539687992288
0,11,19,410,421.5,3,1,1539687993574
0,11,11,410,422.5,3,2,1539687999030
0,11,12,410,421.5,3,1,1539687999030
0,11,11,410,421.55,3,1,1539687999038
0,11,8,410,421.55,3,1,1539688002299
0,11,19,410,421.55,3,1,1539688002299
0,11,12,410,421.55,3,1,1539688002299
0,11,11,410,422.5,3,2,1539688002299
0,11,19,410,421.5,3,1,1539688002306
0,11,8,410,421.49,3,1,1539688004051
0,11,19,410,421.5,3,1,1539688005414
0,11,11,410,421,3,1,1539688008789
0,11,11,410.12,421,1,1,1539688269475
0,11,11,418,421,1,1,1539688419579
0,11,19,418,421.5,1,1,1539688489686
0,11,8,418,421.49,1,1,1539688490671
0,11,19,418,421.5,1,1,1539688491666
0,11,11,418,422.5,1,2,1539688579504
0,11,12,418,421.5,1,1,1539688579504
0,11,11,418,421.25,1,1,1539688579513
0,11,12,418,421.25,1,1,1539688580547
0,11,11,418,422.5,1,2,1539688580548
0,11,11,418,421,1,1,1539688580556
0,11,8,418,421,1,1,1539688581600
0,11,19,418,421,1,1,1539688581600
0,11,12,418,421,1,1,1539688581600
0,11,11,418,422.5,1,2,1539688581601
0,11,11,418,420.75,1,1,1539688581609
0,11,11,418,422.5,1,2,1539688582506
0,11,12,418,420.75,1,1,1539688582506
0,11,11,418,420.5,1,1,1539688582513
0,11,8,418,420.5,1,1,1539688584214
0,11,19,418,420.5,1,1,1539688584214
0,11,12,418,420.5,1,1,1539688584214
0,11,11,418,422.5,1,2,1539688584215
0,11,11,418,420.25,1,1,1539688584243
0,11,12,418,420.25,1,1,1539688585306
0,11,8,418,420.25,1,1,1539688585306
0,11,11,418,422.5,1,2,1539688585306
0,11,11,418,420,1,1,1539688585314
0,11,19,415,420,1,1,1539688585899
0,11,19,410.12,420,1,1,1539688587389
0,11,11,410.12,422.5,1,2,1539688588035
0,11,12,410.12,420,1,1,1539688588035
0,11,11,410.12,419.75,1,1,1539688588044
0,11,11,410.12,422.5,1,2,1539688589704
0,11,12,410.12,419.75,1,1,1539688589704
0,11,19,410.12,419.5,1,1,1539688589725
