c,bE,aE,bP,aP,bS,aS,t
0,12,11,44.75,49.7,5,1,1539777758837
0,12,12,44.75,53.23,5,4,1539779133429
0,11,12,46,53.23,2,4,1539779777384
0,11,12,45,53.23,3,4,1539779794948
0,12,12,44.75,53.23,5,4,1539779809824
0,8,12,47,53.23,2,4,1539779818674
0,8,12,47,53.23,3,4,1539781555324
0,8,12,47,53.23,2,4,1539781556299
0,8,8,47,52.5,2,3,1539782789146
0,12,8,45.14,52.5,5,3,1539782880001
0,12,8,44.79,52.5,5,3,1539782880002
0,12,8,44.75,52.5,5,3,1539782880002
0,11,8,46.88,52.5,2,3,1539782880003
0,11,8,46.88,52.5,1,3,1539782880003
0,11,8,46.88,52.5,3,3,1539782880005
0,11,8,46.88,52.5,1,3,1539782951600
0,11,8,46.88,52.5,2,3,1539782951600
0,12,8,45.73,52.5,5,3,1539782951601
0,12,8,44.75,52.5,10,3,1539782951601
0,12,8,44.75,52.5,5,3,1539782951602
0,12,8,44.75,52.5,6,3,1539782970111
0,10,8,46.94,52.5,5,3,1539783000207
0,10,8,48.41,52.5,4,3,1539783000210
0,10,10,48.41,50.55,4,4,1539783000210
0,10,10,48.41,50.47,4,1,1539783000210
0,10,10,48.41,50.47,3,1,1539783000211
0,10,10,48.41,50.47,4,1,1539783000212
0,10,10,48.62,50.47,4,1,1539783015390
0,12,10,48.47,50.47,1,1,1539783126459
0,10,10,48.41,50.47,4,1,1539783126475
0,10,10,48.41,50.47,4,2,1539783141493
0,10,10,48.42,50.47,1,2,1539783227294
0,10,10,48.41,50.47,4,2,1539783273914
0,11,10,48.42,50.47,1,2,1539783273915
0,11,10,48.43,50.47,1,2,1539783273936
0,10,10,48.5,50.47,2,2,1539783472584
0,19,10,48.51,50.47,1,2,1539783472586
0,10,10,48.55,50.47,2,2,1539783483372
0,12,10,48.56,50.47,1,2,1539783483374
0,18,10,48.56,50.47,1,2,1539783483388
0,10,10,48.55,50.47,2,2,1539783483388
0,10,10,48.55,50.46,2,1,1539783502231
0,12,10,48.75,50.46,8,1,1539783578069
0,12,10,48.75,50.46,8,2,1539783627331
0,10,10,48.81,50.46,2,2,1539783629804
0,10,10,48.84,50.46,2,2,1539783643196
0,10,10,49.66,50.46,1,2,1539783868767
0,10,10,48.84,50.46,2,2,1539783868767
0,10,10,48.84,50.45,2,1,1539783868768
0,10,10,48.85,50.45,1,2,1539783868770
0,10,10,48.85,50.45,1,1,1539783868770
0,10,10,48.84,50.45,2,2,1539783868772
0,10,10,48.85,50.45,1,2,1539783868774
0,10,10,48.84,50.45,2,2,1539783868776
0,10,10,48.84,50.44,2,1,1539783878877
0,10,10,48.84,50.45,2,2,1539783878878
0,10,10,48.84,50.44,2,1,1539783888979
0,12,10,49,50.44,1,1,1539783920778
0,12,10,49,50.44,1,2,1539783934534
0,12,10,49,50.43,1,1,1539783934535
0,12,10,49,50.43,1,2,1539783937533
0,12,10,49,50.43,1,1,1539783937534
0,12,10,49,50.42,1,1,1539783937535
0,12,10,49,50.42,1,2,1539783940533
0,12,10,49,50.42,1,1,1539783940534
0,12,10,49,50.41,1,1,1539783940535
0,12,10,49,50.41,1,2,1539783943534
0,12,10,49,50.41,1,1,1539783943534
0,12,10,49,50.4,1,1,1539783943535
0,10,10,49.01,50.4,1,1,1539783945503
0,12,10,49,50.4,1,1,1539783946534
0,12,10,49,50.4,1,1,1539783946534
0,12,10,49,50.4,1,2,1539783946534
0,12,10,49,50.39,1,1,1539783946536
0,12,10,49,50.39,1,1,1539783950534
0,12,10,49,50.44,1,1,1539783950534
0,12,10,49,50.38,1,1,1539783950536
0,12,10,49,50.38,1,1,1539783953534
0,12,10,49,50.38,1,2,1539783953534
0,12,10,49,50.37,1,1,1539783953535
0,12,10,49,50.37,1,1,1539783956534
0,12,10,49,50.37,1,2,1539783956534
0,12,10,49,50.36,1,1,1539783956535
0,12,10,49,50.36,1,2,1539783959534
0,12,10,49,50.36,1,1,1539783959534
0,12,10,49,50.35,1,1,1539783959536
0,12,10,49,50.35,1,2,1539783962534
0,12,10,49,50.35,1,1,1539783962534
0,12,10,49,50.34,1,1,1539783962535
0,12,10,49,50.34,1,2,1539783965533
0,12,10,49,50.34,1,1,1539783965534
0,12,10,49,50.33,1,1,1539783965535
0,12,10,49,50.33,1,2,1539783968534
0,12,10,49,50.33,1,1,1539783968534
0,12,10,49,50.32,1,1,1539783968536
0,18,10,49,50.32,1,1,1539783968537
0,18,10,49,50.32,1,1,1539783971534
0,18,10,49,50.32,1,2,1539783971534
0,18,10,49,50.31,1,1,1539783971535
0,18,10,49,50.31,1,1,1539783974538
0,18,10,49,50.31,1,2,1539783974538
0,18,10,49,50.3,1,1,1539783974539
0,18,10,49,50.3,1,1,1539783978534
0,18,10,49,50.3,1,2,1539783978534
0,18,10,49,50.29,1,1,1539783978535
0,18,10,49,50.29,1,1,1539783981534
0,18,10,49,50.29,1,2,1539783981534
0,18,10,49,50.28,1,1,1539783981535
0,18,10,49,50.28,1,2,1539783984534
0,18,10,49,50.28,1,1,1539783984534
0,18,10,49,50.27,1,1,1539783984535
0,12,10,49,50.27,1,1,1539783984541
0,12,10,49,50.27,1,2,1539783987534
0,12,10,49,50.27,1,1,1539783987535
0,12,10,49,50.26,1,1,1539783987537
0,12,10,49,50.44,1,1,1539783988123
0,12,10,49,50.55,1,3,1539784040844
0,18,10,49,50.55,1,3,1539784040846
0,11,10,49.24,50.55,1,3,1539784162853
0,19,10,49.05,50.55,1,3,1539784166196
0,18,10,49,50.55,1,3,1539784166197
0,18,10,49.05,50.55,1,3,1539784166197
0,11,10,49.32,50.55,1,3,1539784170055
0,19,10,49.14,50.55,1,3,1539784349750
0,18,10,49.14,50.55,2,3,1539784433602
0,19,10,49.14,50.55,1,3,1539784493597
0,18,10,49.14,50.55,2,3,1539784522154
0,18,10,49.14,50.55,2,4,1539784525519
0,19,10,49.14,50.55,1,4,1539784553597
0,18,10,49.14,50.55,2,4,1539784558634
0,19,10,49.14,50.55,1,4,1539784563047
0,18,10,49.14,50.55,2,4,1539784613602
0,18,10,49.14,50.54,2,1,1539784617619
0,19,10,49.14,50.54,1,1,1539784617621
0,19,12,49.14,50.54,1,1,1539784617657
0,10,12,49.32,50.54,1,1,1539784627133
0,7,10,49.32,50.54,1,2,1539784630646
0,7,10,49.32,50.53,1,1,1539784630648
0,10,10,49.32,50.53,1,1,1539784630651
0,10,10,49.32,50.53,1,2,1539784645667
0,10,10,49.32,50.52,1,1,1539784645669
