c,bE,aE,bP,aP,bS,aS,t
0,11,8,12.95,21.95,1,5,1539860400115
0,11,8,12.91,21.95,1,5,1539860400118
0,8,8,12.95,21.95,1,5,1539860400121
0,8,11,12.95,17.83,1,3,1539860405697
0,8,11,12.95,17,1,15,1539860405697
0,8,11,12.95,14.91,1,4,1539860408331
0,8,12,12.95,14.9,1,3,1539869275581
0,11,12,12.91,14.9,1,3,1539869280003
0,11,12,12.36,14.9,1,3,1539869280004
0,19,12,12.19,14.9,1,3,1539869280004
0,12,12,12.34,14.9,19,3,1539869280004
0,7,12,12.19,14.9,1,3,1539869280004
0,18,12,12.19,14.9,1,3,1539869280004
0,12,12,11.94,14.9,1,3,1539869280004
0,11,12,12.19,14.9,1,3,1539869280004
0,11,12,12.32,14.9,1,3,1539869280004
0,11,12,12.32,14.9,2,3,1539869280005
0,11,12,12.32,14.9,3,3,1539869280005
0,12,12,13.44,14.4,3,1,1539869400146
0,12,12,13.44,14.4,3,1,1539869400146
0,12,12,12.9,14.4,1,1,1539869400347
0,12,12,13.57,14.4,3,1,1539869400456
0,19,12,13.52,14.4,3,1,1539869401041
0,19,12,13.52,14.4,2,1,1539869401042
0,12,12,14.19,14.4,2,1,1539869401199
0,12,12,14.19,14.2,2,8,1539869405984
0,12,12,14.14,14.2,3,11,1539869405984
0,12,12,14.19,14.2,2,11,1539869405984
0,12,12,14.14,14.19,3,2,1539869405984
0,12,12,14.14,14.19,3,5,1539869405984
0,12,12,14.14,14.19,3,1,1539869405984
0,12,12,14.14,14.19,3,4,1539869405987
0,12,12,14.14,14.19,3,3,1539869406484
0,12,12,14.14,14.18,3,1,1539869406661
0,12,12,14.14,14.18,2,2,1539869406661
0,12,12,14.14,14.18,3,2,1539869406661
0,11,12,14.14,14.15,1,1,1539869406661
0,11,12,14.14,14.18,1,2,1539869406661
0,19,12,14.09,14.15,1,4,1539869406661
0,11,12,14.14,14.15,1,4,1539869406661
0,19,12,14.09,14.14,1,4,1539869406662
0,19,12,14.09,14.14,1,1,1539869406662
0,12,12,13.7,14.14,8,4,1539869406662
0,12,12,13.7,14.14,8,3,1539869406665
0,12,12,13.71,14.14,1,3,1539869412338
0,12,12,13.71,14.14,2,3,1539869412622
0,12,12,14.06,14.14,1,3,1539869435044
0,12,12,14.06,14.14,1,3,1539869436833
0,12,12,14.06,14.11,1,1,1539869436833
0,12,12,14.06,14.11,1,3,1539869436833
0,12,12,14.06,14.11,1,2,1539869436833
0,19,12,14.01,14.11,1,2,1539869436833
0,12,12,14.07,14.11,1,2,1539869436833
0,12,19,14.07,14.19,1,1,1539869436833
0,19,12,14.01,14.1,1,1,1539869436833
0,12,12,14.07,14.1,1,1,1539869436833
0,12,12,14.07,14.1,1,1,1539869436833
0,12,19,14.07,14.19,1,1,1539869436834
0,19,12,14.01,14.1,1,2,1539869436834
0,19,19,14.01,14.19,1,1,1539869436834
0,12,12,14.08,14.1,1,2,1539869436834
0,12,19,14.08,14.19,1,1,1539869436834
0,12,12,14.08,14.1,1,1,1539869436834
0,12,12,14.08,14.09,1,1,1539869436834
0,19,12,14.08,14.09,1,1,1539869436834
0,19,19,14.08,14.09,1,1,1539869436834
0,11,12,14.01,14.08,1,1,1539869436834
0,19,12,14.08,14.08,1,1,1539869436834
0,11,12,14.01,14.2,1,8,1539869436834
0,11,12,14.01,14.19,1,1,1539869436835
0,11,12,14.01,14.2,1,8,1539869436838
0,8,12,14.01,14.2,2,8,1539869437234
0,19,12,14.02,14.2,1,8,1539869438620
0,12,12,14.08,14.2,1,8,1539869451045
0,12,12,14.09,14.2,1,8,1539869457066
0,19,19,14.09,14.25,1,1,1539869460786
0,7,12,14.09,14.26,1,3,1539869460787
0,7,19,14.09,14.28,1,3,1539869460799
0,7,12,14.09,14.29,1,3,1539869460831
0,11,12,14.09,14.29,2,3,1539869463962
0,11,19,14.09,14.32,2,3,1539869489941
0,11,11,14.09,14.34,2,3,1539869489942
0,11,12,14.09,14.4,2,1,1539869489942
0,12,12,14.09,14.4,2,1,1539869519907
0,12,12,14.26,14.4,1,1,1539869524070
0,12,12,14.26,14.4,2,1,1539869526043
0,12,12,14.27,14.4,1,1,1539869531548
0,12,12,14.27,14.4,2,1,1539869551122
0,11,12,14.27,14.4,1,1,1539869553787
