c,bE,aE,bP,aP,bS,aS,t
0,11,11,36.1,36.48,4,1,1539820800051
0,11,11,32.58,39.78,1,3,1539849600028
0,11,11,32.58,38.95,1,5,1539849600030
0,11,11,32.58,39.75,1,10,1539849600030
0,11,11,33.1,38.95,3,5,1539849600031
0,11,11,33.1,37.5,3,100,1539849600031
0,11,11,33.1,37.4,3,1,1539849600077
0,11,11,33.2,37.4,4,1,1539849600100
0,11,11,33.2,37.4,2,1,1539849600100
0,11,11,36.1,37.4,3,1,1539853232829
0,11,11,36.11,37.4,5,1,1539857841881
0,11,11,35,37.4,2,1,1539860223518
0,11,8,35,36.8,2,30,1539860400022
0,8,8,35.26,36.8,5,30,1539860400022
0,8,11,35.26,36.7,5,1,1539860400029
0,8,11,35.26,36.66,5,1,1539860406576
0,11,11,35.5,36.66,2,1,1539860408701
0,11,11,35.75,36.66,1,1,1539860408812
0,11,11,35.5,36.66,2,1,1539860443890
0,11,11,35.8,36.66,2,1,1539860498929
0,11,11,36.07,36.66,1,1,1539860741878
0,11,11,35.8,36.66,2,1,1539860775359
0,11,11,36.09,36.66,1,1,1539860775401
0,8,11,36.2,36.66,1,1,1539860783645
0,11,11,36.43,36.66,1,1,1539860906246
0,11,11,36.54,36.66,1,1,1539860912312
0,8,11,36.2,36.66,1,1,1539860912313
0,8,11,36.2,36.5,1,5,1539861743608
0,11,18,36.15,36.44,2,1,1539861753806
0,11,11,36.15,36.5,2,5,1539861753806
0,11,8,36.15,36.2,2,2,1539861753807
0,11,8,36.09,36.2,1,2,1539861969759
0,11,11,36.09,36.5,1,5,1539862022052
0,11,8,36.09,36.15,1,2,1539862022100
0,11,11,36.09,36.5,1,5,1539862064092
0,11,11,35.5,36.5,2,5,1539862064139
0,11,11,35.5,36.09,2,1,1539862064347
0,11,11,35.5,36.5,2,5,1539862111980
0,11,11,35.5,36,2,1,1539862112023
0,11,11,35.5,36.5,2,5,1539862134051
0,11,11,35.5,35.95,2,1,1539862134095
0,11,11,35.51,35.95,2,1,1539862142847
0,11,11,35.51,36.5,2,5,1539862240298
0,11,11,35.51,35.95,2,1,1539862240340
0,11,11,35.51,36.5,2,5,1539862247795
0,11,11,35.5,36.5,2,5,1539862375702
0,11,11,35.75,36.5,1,5,1539862651576
0,8,11,35.8,36.5,2,5,1539862738335
0,11,11,35.96,36.5,1,5,1539864085373
0,11,11,36.11,36.5,1,5,1539865136883
0,11,11,36.15,36.5,1,5,1539865362921
0,11,11,36.11,36.5,1,5,1539865362934
0,8,11,36.16,36.5,5,5,1539865370873
0,11,11,36.18,36.5,1,5,1539865818311
0,8,11,36.16,36.5,5,5,1539865881590
0,11,11,36.25,36.5,1,5,1539865881634
0,11,11,36.25,36.5,2,5,1539865920795
0,8,11,36.16,36.5,5,5,1539866023884
0,8,11,36.3,36.5,1,5,1539866023928
0,11,11,36.32,36.5,3,5,1539866167876
0,11,11,36.32,36.5,2,5,1539866254569
0,11,11,36.32,36.5,3,5,1539866254573
0,11,11,36.35,36.5,2,5,1539866265098
0,11,11,36.32,36.5,3,5,1539866336536
0,11,11,36.4,36.5,2,5,1539866336578
0,11,11,36.4,36.5,1,5,1539866434538
0,11,11,36.4,36.5,2,5,1539866434542
0,11,11,36.32,36.5,3,5,1539866442789
0,11,11,36.32,36.5,3,3,1539866442829
0,11,11,36.32,36.5,2,3,1539866573877
0,11,11,36.32,36.5,2,2,1539866573881
0,11,11,36.32,36.5,2,1,1539866581320
0,8,11,36.35,36.5,1,1,1539867033803
0,8,8,36.35,36.56,1,4,1539867297526
0,11,8,36.32,36.56,2,4,1539867312533
0,11,8,36.45,36.56,1,4,1539867372779
0,11,8,36.52,36.56,2,4,1539867430168
0,11,8,36.45,36.56,1,4,1539867442123
0,11,12,36.45,36.55,1,2,1539867455195
0,11,12,36.22,36.55,1,2,1539867462731
0,11,11,36.22,36.54,1,7,1539867558508
0,11,12,36.22,36.5,1,10,1539867756423
0,11,11,36.22,36.54,1,7,1539867766363
0,11,11,36.22,36.54,1,6,1539867777308
0,11,11,36.22,36.54,1,4,1539867777309
0,11,18,36.22,36.5,1,1,1539867828661
0,11,11,36.22,36.54,1,4,1539867828691
0,8,19,36.16,36.38,5,1,1539867914762
0,8,11,36.16,36.54,5,4,1539867914762
0,8,7,36.16,36.33,1,1,1539867914764
0,8,19,36.16,36.38,1,1,1539867914764
0,8,15,36.16,36.38,1,1,1539867914792
0,8,12,36.16,36.38,1,1,1539867914792
0,8,11,36.16,36.54,1,4,1539867914864
0,8,11,36.16,36.54,2,4,1539867957354
0,8,11,36.16,36.54,2,1,1539867997253
0,8,11,36.16,36.54,2,2,1539868080653
0,12,11,36.17,36.54,1,2,1539868137506
0,12,11,36.17,36.54,1,1,1539868186438
0,11,11,36.3,36.54,2,1,1539868350181
0,12,11,36.31,36.54,1,1,1539868419534
0,12,11,36.31,36.52,1,5,1539868422492
0,11,11,36.3,36.52,2,5,1539868490679
0,12,11,36.41,36.52,1,5,1539868658487
0,12,11,36.41,36.52,1,4,1539868681853
0,11,18,36.3,36.49,2,1,1539868823382
0,11,11,36.3,36.52,2,4,1539868823382
0,11,11,36.3,36.52,2,4,1539868823412
0,11,7,36.3,36.49,2,1,1539868823412
0,11,11,36.3,36.54,2,1,1539868833964
0,11,8,36.3,36.56,2,5,1539869100881
0,11,8,36.4,36.56,1,5,1539869161262
0,11,8,36.4,36.56,1,15,1539869224375
0,11,8,36.4,36.56,1,14,1539869225041
0,11,8,36.4,36.56,1,6,1539869225041
0,11,8,36.4,36.56,1,10,1539869225041
0,11,8,36.4,36.56,1,6,1539869227951
0,11,18,36.4,36.53,1,1,1539869227951
0,11,7,36.4,36.52,1,1,1539869227951
