c,bE,aE,bP,aP,bS,aS,t
0,11,8,28.85,35,3,10,1539860400063
0,12,8,22.22,35,1,10,1539865801160
0,12,11,27.71,31.5,1,1,1539869280460
0,12,11,27.71,31.5,1,2,1539869280460
0,12,11,27.71,31.5,1,3,1539869280849
0,12,11,27.71,31.5,1,4,1539869286701
0,11,11,29,31.5,1,4,1539869381603
0,11,11,29,31.5,1,3,1539869393603
0,11,11,29,31.5,1,1,1539869393603
0,11,11,29,31.5,1,2,1539869393603
0,11,11,29,32.13,1,1,1539869393604
0,11,12,29,32.54,1,2,1539869393622
0,11,19,29,32.76,1,1,1539869393681
0,11,12,29,32.76,1,1,1539869394436
0,11,12,29,33.04,1,2,1539869394436
0,12,12,29,33.04,2,2,1539869394624
0,11,12,30.02,33.04,2,2,1539869395210
0,12,12,29.5,33.04,1,2,1539869395210
0,11,12,30.02,33.04,3,2,1539869395210
0,19,12,30.02,33.04,4,2,1539869395211
0,19,11,30.02,33.04,4,1,1539869395219
0,7,11,30.02,33.04,2,1,1539869397211
0,11,11,30.02,33.04,2,1,1539869397211
0,19,11,30.02,33.04,1,1,1539869399219
0,11,11,30.02,33.04,1,1,1539869399219
0,7,11,30.02,33.04,1,1,1539869399219
0,11,11,30.02,33.04,3,1,1539869400133
0,10,10,30.25,30.99,1,3,1539869400257
0,10,10,30.25,32.5,1,5,1539869400257
0,10,10,30.16,30.99,4,3,1539869400257
0,10,12,30.16,30.85,4,1,1539869400349
0,11,12,30.02,30.85,1,1,1539869400397
0,10,12,29.75,30.85,1,1,1539869400444
0,15,12,29.76,30.85,10,1,1539869400828
0,15,15,29.76,30.83,10,10,1539869402620
0,15,10,29.76,30.83,10,1,1539869415154
0,15,15,29.76,30.82,10,10,1539869415155
0,15,12,29.76,30.82,10,1,1539869422120
0,15,15,29.76,30.81,10,10,1539869452614
0,15,10,29.76,30.83,10,3,1539869460176
0,15,12,29.76,30.82,10,1,1539869460189
0,19,12,29.81,30.82,1,1,1539869463033
0,18,12,29.81,30.82,1,1,1539869463034
0,18,10,29.81,30.82,1,2,1539869463165
0,18,10,29.81,30.23,1,1,1539869477655
0,19,10,29.81,30.23,1,1,1539869477668
0,8,10,29.81,30.23,1,1,1539869477673
0,19,10,29.81,30.23,1,1,1539869477837
0,18,10,29.81,30.23,1,1,1539869478317
0,8,10,29.81,30.23,1,1,1539869478317
0,8,10,29.81,30.23,1,2,1539869478560
0,19,12,30.22,30.23,1,1,1539869550953
