c,bE,aE,bP,aP,bS,aS,t
0,11,11,68.8,69.13,27,5,1539302400053
0,11,11,50,74,1,1,1539331200035
0,11,11,59.68,74,2,1,1539331200035
0,11,11,65.78,74,1,1,1539331200035
0,11,11,65.78,72,1,1,1539331200035
0,11,11,67,72,10,1,1539331200037
0,12,11,69.41,72,17,1,1539331200802
0,11,11,67,72,10,1,1539331244061
0,11,11,68,72,2,1,1539331512457
0,11,11,68,72,3,1,1539332022471
0,11,11,68.1,72,1,1,1539333404698
0,11,11,68.11,72,1,1,1539334205048
0,11,11,68.12,72,1,1,1539336056605
0,11,11,68.3,72,1,1,1539336170503
0,11,11,68.31,72,1,1,1539336313302
0,11,11,68.11,72,1,1,1539337551664
0,11,11,69,72,1,1,1539337673168
0,11,11,68.11,72,1,1,1539337840995
0,11,11,69.2,72,1,1,1539338002031
0,11,11,69.2,71.5,1,1,1539338323159
0,11,11,68.11,71.5,1,1,1539339710926
0,11,11,68.11,71.5,2,1,1539340125458
0,12,11,68.5,71.5,1,1,1539340261375
0,12,11,68.5,71.43,1,4,1539340548016
0,12,11,68.5,71.43,2,4,1539340967306
0,12,11,69,71.43,1,4,1539341534395
0,12,11,68.5,71.43,2,4,1539341556971
0,12,11,69.2,71.43,1,4,1539341556974
0,12,11,68.5,71.43,2,4,1539341566029
0,12,11,69.3,71.43,1,4,1539341566031
0,12,11,68.5,71.43,2,4,1539341577837
0,12,11,69.2,71.43,1,4,1539341577839
0,12,11,69.2,71.43,3,4,1539341683946
0,12,11,69.2,71.43,2,4,1539341701416
0,12,11,69.35,71.43,1,4,1539341701419
0,12,11,69.2,71.43,2,4,1539341706349
0,12,11,69.32,71.43,1,4,1539341706351
0,12,11,68.5,71.43,1,4,1539341849965
0,12,11,68.5,69.3,1,1,1539341851521
0,12,11,68.5,69.25,1,1,1539341886089
0,12,11,68.5,69.25,1,3,1539341919968
0,12,11,68.5,69.2,1,1,1539341922327
0,12,8,68.5,69.45,1,3,1539342000077
0,12,8,68.51,69.45,1,3,1539342000077
0,8,8,68.8,69.45,15,3,1539342000077
0,7,8,68.65,69.45,1,3,1539342000077
0,8,8,69.35,69.45,7,3,1539342000077
0,8,8,69.35,70,7,4,1539342000078
0,8,8,69.35,70,7,3,1539342000078
0,8,8,69.35,70,7,3,1539342000078
0,8,8,69.5,70,1,3,1539342000078
0,12,8,69.5,70,1,3,1539342000078
0,8,8,69.35,70,7,3,1539342000079
0,11,8,69.5,70,1,3,1539342001806
0,8,8,69.35,70,7,3,1539342002933
0,8,11,69.35,69.5,7,10,1539342007106
0,8,11,69.35,69.5,7,9,1539342008636
0,8,11,69.35,69.5,7,7,1539342008659
0,8,11,69.35,69.5,7,5,1539342008661
0,8,11,69.35,69.5,7,7,1539342055335
0,8,11,69.35,69.5,7,6,1539342067704
0,8,11,69.35,69.5,7,4,1539342089642
0,8,7,69.35,69.47,7,1,1539342096746
0,8,7,69.35,69.47,2,1,1539342096747
0,8,18,69.35,69.44,2,1,1539342096747
0,8,11,69.35,69.44,2,6,1539342117955
0,8,11,69.35,69.44,1,6,1539342122650
0,11,11,69.4,69.44,2,6,1539342183422
0,8,11,69.35,69.44,1,6,1539342195633
0,8,11,69.35,69.44,1,5,1539342220320
0,18,11,69.37,69.44,1,5,1539342220321
0,19,11,69.4,69.44,1,5,1539342243993
0,19,11,69.4,69.5,1,4,1539342466760
0,19,11,69.4,69.5,1,2,1539342476707
0,19,8,69.4,70,1,3,1539342483166
0,7,8,69.42,70,1,3,1539342483166
0,11,8,69.5,70,48,3,1539342483177
0,11,8,69.5,69.9,48,1,1539342491784
0,11,8,69.5,69.9,38,1,1539342535584
0,11,7,69.5,69.82,38,1,1539342535585
0,11,8,69.5,69.9,38,1,1539342535968
0,11,8,69.55,69.9,19,1,1539342536797
0,11,8,69.55,69.9,19,1,1539342537882
0,11,8,69.7,69.9,1,1,1539342537882
0,11,18,69.55,69.86,19,1,1539342537883
0,11,12,69.55,69.86,19,1,1539342549155
0,11,8,69.55,69.9,19,1,1539342549155
0,11,7,69.55,69.86,19,1,1539342549155
0,11,11,69.55,69.65,19,4,1539342602455
0,11,18,69.5,69.63,38,1,1539342638644
0,11,11,69.5,69.65,38,4,1539342638644
0,11,11,69.5,69.55,38,1,1539342638645
0,11,19,69.5,69.55,38,1,1539342669909
0,11,12,69.5,69.55,38,1,1539342669909
0,11,8,69.5,69.55,38,1,1539342669909
0,11,12,69.5,69.55,38,1,1539342710194
0,12,12,69.4,69.55,1,1,1539342710194
0,19,8,69.4,69.9,1,1,1539342710194
0,19,11,69.4,69.5,1,1,1539342710195
0,8,11,69.4,69.5,1,1,1539342710195
0,12,11,69.4,69.5,1,1,1539342710195
0,11,11,69.4,69.5,1,1,1539342710195
0,19,19,69.4,69.5,1,1,1539342710195
0,19,8,69.4,69.45,1,4,1539342792138
0,11,8,69.41,69.45,1,4,1539342890505
0,11,19,69.41,69.5,1,1,1539342929187
0,11,8,69.41,69.45,1,3,1539342929192
0,11,19,69.41,69.5,1,1,1539342951023
0,11,8,69.41,69.45,1,1,1539342951028
0,11,8,69.42,69.45,1,1,1539342975957
0,11,8,69.41,69.45,1,1,1539343000657
0,11,8,69.44,69.45,1,1,1539343000727
0,11,19,69.45,69.5,1,1,1539343007356
0,11,19,69.44,69.5,1,1,1539343007356
0,19,19,69.4,69.5,1,1,1539343049399
0,19,8,69.4,69.45,1,2,1539343049401
0,11,8,69.4,69.45,2,2,1539343111219
0,11,8,69.45,69.45,7,2,1539343261524
0,11,19,69.45,69.5,7,1,1539343261525
0,11,19,69.45,69.5,4,1,1539343321928
0,11,19,69.45,69.5,1,1,1539343364869
0,11,19,69.45,69.5,4,1,1539343475877
0,11,19,69.45,69.5,1,1,1539343507077
0,11,12,69.45,69.5,1,6,1539343545578
0,11,19,69.45,69.5,1,1,1539343575203
0,11,19,69.4,69.5,2,1,1539343575207
0,11,12,69.4,69.45,2,4,1539343575211
0,11,12,69.4,69.45,3,4,1539343860533
0,19,12,69.4,69.45,1,4,1539343872998
0,8,12,69.4,69.45,6,4,1539343880084
0,8,12,69.4,69.45,6,3,1539343914231
0,8,12,69.4,69.44,6,1,1539343990693
0,8,12,69.4,69.45,6,3,1539343990741
0,12,8,69.4,69.44,1,1,1539344059762
0,12,12,69.4,69.45,1,3,1539344059762
0,11,8,69.38,69.44,60,1,1539344059762
0,11,19,69.38,69.4,60,1,1539344059763
0,11,19,69.38,69.4,59,1,1539344064362
0,11,12,69.38,69.4,59,1,1539344067526
0,11,8,69.38,69.4,59,1,1539344067526
0,8,12,69.35,69.45,1,3,1539344067527
0,11,12,69.38,69.45,59,3,1539344067527
0,8,11,69.35,69.38,1,1,1539344067528
0,12,11,69.37,69.38,1,1,1539344131367
0,8,11,69.35,69.38,1,1,1539344138703
0,8,11,69.35,69.38,2,1,1539344191035
0,11,19,69.36,69.38,1,1,1539344235819
0,8,19,69.35,69.38,1,1,1539344316112
0,11,19,69.38,69.38,7,1,1539344363659
0,11,19,69.38,69.38,6,1,1539344363660
0,11,8,69.38,69.38,7,1,1539344363660
0,11,12,69.38,69.45,6,3,1539344363660
0,11,19,69.38,69.38,7,1,1539344363660
0,11,12,69.38,69.45,4,3,1539344363661
0,8,12,69.35,69.45,1,3,1539344371403
0,8,8,69.35,69.45,1,4,1539344463732
0,8,8,69.38,69.45,15,4,1539344516952
0,11,8,69.4,69.45,7,4,1539344521277
0,11,12,69.45,69.45,2,3,1539344545507
0,11,8,69.45,69.45,2,4,1539344545507
