c,bE,aE,bP,aP,bS,aS,t
0,11,11,1,39.75,1,1,1538035200032
0,11,11,32.15,39.75,1,1,1538035200032
0,11,11,32.15,36.2,1,1,1538035200033
0,11,11,35.1,36.2,2,1,1538035517760
0,8,11,35.79,36.2,2,1,1538046000117
0,11,11,36.05,36.2,3,1,1538046006245
0,11,11,36.05,36.2,1,1,1538046824439
0,11,11,34.28,36.2,1,1,1538047684541
0,11,11,34.28,35.92,1,1,1538047727235
0,11,11,33.82,35.92,1,1,1538047807940
0,8,11,34.51,35.92,3,1,1538047819387
0,8,11,34.51,35.92,2,1,1538047822844
0,8,11,34.51,35.5,2,26,1538047833323
0,11,11,33.82,35.5,1,26,1538047833326
0,8,11,33.78,35.5,1,26,1538047834410
0,8,11,33.78,35.07,1,4,1538047879613
0,11,11,33.83,35.07,1,4,1538047882230
0,8,11,33.88,35.07,2,4,1538047893383
0,8,11,33.88,34.2,2,1,1538047915592
0,8,11,33.88,34.2,1,1,1538047935436
0,11,11,33.82,34.2,4,1,1538047937316
0,11,11,33.83,34.2,1,1,1538047937316
0,11,11,33.82,34.2,3,1,1538047937378
0,11,11,33.82,34.75,3,26,1538047937435
0,11,11,33.82,34.75,1,26,1538047938651
0,8,11,33.78,34.75,1,26,1538047939322
0,11,11,33.5,34.75,8,26,1538047942014
0,11,11,33.5,34.75,6,26,1538047944551
0,11,11,33.5,34.62,6,4,1538047953248
0,11,11,33.5,34,6,1,1538047962907
0,11,11,33.6,34,1,1,1538047964252
0,11,11,33.6,34.62,1,4,1538047977724
0,11,11,33.5,34.62,3,4,1538047977848
0,8,11,34,34.62,1,4,1538047985117
0,11,11,33.5,34.62,3,4,1538047985120
0,11,11,33.5,34.5,3,26,1538047994625
0,12,11,33.5,34.5,20,26,1538048009967
0,11,11,33.75,34.5,1,26,1538048049333
0,11,11,34,34.5,2,26,1538048071791
0,11,8,33.75,34,1,4,1538048099021
0,11,11,33.75,34.5,1,26,1538048099021
0,12,8,33.5,34,20,4,1538048099024
0,12,8,33.5,34,20,30,1538048135609
0,11,8,33.75,34,2,30,1538048145726
0,12,8,33.5,34,20,30,1538048147781
0,11,8,33.5,34,13,30,1538048154098
0,8,8,33.03,34,3,30,1538048155063
0,8,8,33.03,34,3,26,1538048155205
0,8,11,33.03,33.75,3,4,1538048155249
0,8,8,33.03,34,3,26,1538048176828
0,11,8,33.75,34,1,26,1538048176830
0,8,8,33.03,34,3,26,1538048176834
0,8,8,33.03,34.5,3,2,1538048178216
0,8,8,33.03,33.5,3,26,1538048178347
0,12,8,33.5,33.5,20,26,1538048256430
0,12,8,33.5,33.5,19,26,1538048256434
0,12,8,33.5,33.5,18,26,1538048256435
0,12,8,33.5,33.5,18,20,1538048257615
0,12,8,33.5,33.5,18,19,1538048258569
0,12,8,33.5,33.5,18,18,1538048258957
0,12,8,33.5,33.5,18,16,1538048259064
0,12,8,33.5,33.5,18,14,1538048259223
0,12,8,33.5,33.5,18,9,1538048259343
0,12,11,33.5,34,18,1,1538048259560
0,12,11,33.55,34,2,1,1538048259669
0,12,8,33.55,34.5,2,2,1538048260062
0,12,8,33.5,34.5,18,2,1538048261044
0,12,11,33.5,34.5,18,5,1538048279205
0,12,11,33.5,34,18,5,1538048340869
0,11,11,33.65,34,1,5,1538048370511
0,11,11,33.65,34,1,4,1538048373412
0,11,11,33.65,33.9,1,3,1538048375758
0,11,11,33.65,34,1,4,1538048445258
0,11,11,33.65,33.7,1,2,1538048445393
0,12,11,33.5,33.7,18,2,1538048445846
0,12,12,33.5,33.62,18,18,1538048445849
0,12,12,33.5,33.62,8,18,1538048449457
0,12,12,33.5,33.62,5,18,1538048449467
0,8,12,33.03,33.62,3,18,1538048449470
0,8,12,33.03,33.62,3,19,1538048449470
0,8,12,33.03,33.5,3,2,1538048451417
0,8,11,33.03,33.7,3,2,1538048460931
0,8,12,33.03,33.5,3,1,1538048468081
0,8,11,33.03,33.3,3,2,1538048496222
0,11,11,33.2,33.3,2,2,1538048498823
0,11,12,33.2,33.5,2,1,1538048499739
0,8,12,33.03,33.5,3,1,1538048499939
0,11,12,33,33.5,1,1,1538048501156
0,11,12,33.15,33.5,1,1,1538048514145
0,11,12,33,33.5,1,1,1538048583302
0,12,12,33.1,33.5,1,1,1538048602263
0,12,11,33.1,33.15,1,30,1538048616028
0,12,11,33.1,33.15,1,29,1538048616686
0,11,11,33,33.15,2,29,1538048617401
0,11,11,32.78,33.15,2,29,1538048618072
0,11,11,32.78,33,2,3,1538048664477
0,11,12,32.78,32.99,2,2,1538048669264
0,11,11,32.78,33,2,3,1538048670892
0,11,11,32.78,32.97,2,2,1538048677164
0,11,11,32.78,32.97,3,2,1538048682699
0,11,11,32.8,32.97,1,2,1538048717634
0,11,11,32.8,32.9,1,3,1538048720182
0,11,11,32.8,32.99,1,29,1538048731686
0,11,11,32.78,32.99,3,29,1538048739734
0,11,11,32.8,32.99,1,29,1538048745778
0,11,11,32.81,32.99,1,29,1538048751615
0,11,11,32.85,32.99,1,29,1538048756418
0,11,11,32.86,32.99,1,29,1538048763891
0,11,11,32.86,32.99,1,19,1538048764004
0,11,12,32.86,33.5,1,1,1538048766186
0,11,11,32.86,32.99,1,10,1538048766186
0,11,12,32.86,33.5,1,1,1538048766624
0,11,11,32.86,34,1,4,1538048766624
0,8,12,32.99,33.5,1,1,1538048766931
0,11,12,32.86,33.5,1,1,1538048768421
0,11,12,32.9,33.5,2,1,1538048778891
0,11,8,32.9,33.5,2,10,1538048804349
0,11,8,33.1,33.5,1,10,1538048827095
0,11,8,33,33.5,2,10,1538048861800
0,11,8,33.25,33.5,1,10,1538048861801
0,11,8,33.25,33.5,1,6,1538048922372
0,11,8,33.25,33.5,1,5,1538048923252
0,11,8,33.25,33.5,1,4,1538048923477
0,11,8,33.25,33.5,1,3,1538048923654
0,11,8,33.25,33.5,1,2,1538048926457
0,11,8,33.25,33.5,1,1,1538048926719
0,11,11,33.25,34,1,4,1538048927336
0,11,12,33.25,33.5,1,1,1538048932224
0,11,12,33.25,33.63,1,1,1538048979238
0,18,12,33.4,33.63,1,1,1538048988204
0,18,11,33.4,33.5,1,1,1538048988553
0,11,11,33.45,33.5,1,1,1538049043089
0,11,11,33.45,33.49,1,1,1538049060568
0,11,12,33.45,33.5,1,1,1538049106839
0,11,11,33.45,33.5,1,1,1538049106841
0,8,11,33.49,33.5,2,1,1538049108412
0,8,11,33.49,33.5,1,1,1538049122631
0,11,11,33.45,33.5,1,1,1538049139865
0,11,11,33.45,33.49,1,1,1538049139872
0,12,11,33.47,33.49,1,1,1538049158580
0,11,11,33.45,33.49,1,1,1538049160852
0,12,11,33.48,33.49,1,1,1538049160854
0,11,11,33.45,33.49,1,1,1538049161675
0,11,11,33.45,33.5,1,1,1538049161676
0,12,11,33.49,33.5,1,1,1538049161677
0,11,11,33.45,33.5,1,1,1538049163463
0,11,12,33.45,33.63,1,1,1538049163464
0,12,12,33.5,33.63,1,1,1538049163466
0,11,12,33.45,33.63,1,1,1538049163467
0,11,12,33.45,33.5,1,1,1538049163471
0,11,12,33.45,33.5,1,1,1538049185308
0,11,12,33.45,33.63,1,1,1538049185308
0,11,11,33.45,33.49,1,1,1538049198963
0,11,12,33.45,33.5,1,1,1538049208928
0,8,12,33.49,33.5,6,1,1538049210158
0,8,12,33.49,33.5,5,1,1538049235560
0,8,12,33.49,33.5,5,1,1538049241419
0,8,12,33.49,33.63,5,1,1538049241419
0,8,12,33.49,33.63,5,1,1538049242770
0,8,11,33.49,34,5,10,1538049243649
0,8,12,33.49,33.5,5,1,1538049243653
0,8,12,33.49,33.5,5,1,1538049243972
0,8,11,33.49,34,5,10,1538049243972
0,8,12,33.49,33.5,5,1,1538049243972
0,8,11,33.49,34,5,10,1538049243972
0,8,11,33.49,34,5,10,1538049247882
0,8,12,33.49,33.5,5,1,1538049247885
0,8,12,33.49,33.5,4,1,1538049257699
0,8,11,33.49,34,4,10,1538049273005
0,11,11,33.5,34,1,10,1538049273007
0,11,11,33.5,34,11,10,1538049279420
0,11,11,33.51,34,1,10,1538049286692
0,11,11,33.6,34,1,10,1538049288060
0,11,12,33.6,33.9,1,1,1538049288114
0,11,12,33.5,33.9,11,1,1538049291009
0,11,12,33.51,33.9,1,1,1538049291009
0,11,12,33.52,33.9,1,1,1538049307412
0,11,12,33.6,33.9,1,1,1538049309955
0,11,12,33.5,33.9,11,1,1538049313320
0,11,12,33.52,33.9,1,1,1538049313320
0,11,12,33.52,33.9,1,1,1538049316178
0,11,12,33.54,33.9,10,1,1538049334918
0,11,12,33.6,33.9,1,1,1538049340163
0,11,12,33.61,33.9,10,1,1538049375750
0,11,11,33.61,33.8,10,1,1538049391678
0,11,11,33.61,34,10,10,1538049398081
0,11,12,33.61,33.9,10,1,1538049406995
