c,bE,aE,bP,aP,bS,aS,t
0,12,8,0.01,42.57,1,4,1539865139333
0,11,8,19.88,42.57,2,4,1539866993450
0,12,8,33.44,42.57,1,4,1539868257805
0,11,8,35.91,42.57,1,4,1539869280567
0,11,8,35.91,42.57,2,4,1539869280739
0,11,8,35.91,42.57,3,4,1539869280740
0,12,8,40.27,42.57,7,4,1539869399294
0,12,8,40.27,42.57,2,4,1539869399766
0,11,12,39.46,40.15,1,28,1539869400157
0,11,8,39.46,42.57,1,4,1539869400157
0,11,12,39.46,40.15,1,28,1539869400157
0,12,12,39,40.15,1,28,1539869400163
0,11,12,39.05,40.15,3,28,1539869400222
0,12,12,39,40.15,1,28,1539869400537
0,11,12,39.05,40.15,3,28,1539869400606
0,12,12,39.29,40.15,5,28,1539869401995
0,12,12,39.47,40.15,3,28,1539869410936
0,12,12,39.47,40.15,4,28,1539869411021
0,12,19,39.47,40.2,4,1,1539869411763
0,12,12,39.47,40.15,4,2,1539869411769
0,12,12,39.47,40.15,1,2,1539869460794
0,12,19,40,40.15,1,2,1539869463629
0,12,12,39.45,40.12,1,1,1539869463630
0,12,19,39.45,40.15,1,2,1539869463630
0,12,12,39.45,40.12,1,2,1539869463630
0,12,12,39.45,40,1,1,1539869463630
0,11,12,39.99,40,1,1,1539869463631
0,12,12,39.45,40,1,1,1539869463631
0,12,12,39.42,40,2,1,1539869463632
0,12,12,39.42,40,2,1,1539869463632
0,12,15,39.42,39.99,2,1,1539869463632
0,12,11,39.42,39.99,2,1,1539869463632
0,12,11,39.42,39.99,3,1,1539869463717
0,12,12,39.42,40,3,1,1539869464396
0,12,11,39.42,40,3,1,1539869464822
0,12,11,39.42,39.99,3,1,1539869465671
0,19,11,39.98,39.99,1,1,1539869470731
0,12,11,39.42,39.99,2,1,1539869470731
0,19,11,39.68,40,1,1,1539869470731
0,19,11,39.68,39.99,1,1,1539869470731
0,19,11,39.7,40,1,1,1539869470731
0,12,11,39.42,40,2,1,1539869470732
0,12,12,39.42,40.04,2,1,1539869470732
0,12,12,39.42,40.04,3,1,1539869470817
0,12,19,39.42,40.15,3,2,1539869482429
0,12,19,39.55,40.15,1,2,1539869482429
0,12,11,39.55,40.15,1,2,1539869482430
0,18,11,39.55,40.15,2,2,1539869482430
0,18,12,39.55,40.15,2,2,1539869482430
0,12,12,39.55,40.15,1,2,1539869482460
0,17,8,39.55,40.15,1,2,1539869482501
0,12,8,39.55,40.15,2,2,1539869482560
0,12,12,39.55,40.05,2,1,1539869514728
0,12,15,39.56,40.05,1,1,1539869528972
0,12,15,39.56,40.05,2,1,1539869529089
0,12,12,39.56,40.05,2,1,1539869530717
0,12,8,39.56,40.15,2,3,1539869598908
0,12,8,39.66,40.15,1,3,1539869598909
0,17,8,39.66,40.15,1,3,1539869598910
0,17,12,39.66,40.15,1,3,1539869599026
0,12,8,39.56,40.15,2,3,1539869599124
0,11,12,39.56,40.15,1,3,1539869599124
0,12,19,39.56,40.14,2,1,1539869599124
0,19,19,39.66,40.14,1,1,1539869599126
