c,bE,aE,bP,aP,bS,aS,t
0,11,11,151,172.88,1,2,1537264662246
0,11,11,142.95,172.88,1,2,1537266643260
0,11,8,142.95,156.38,1,2,1537268400064
0,8,8,148,154.94,1,1,1537268400064
0,8,8,149,154.94,1,1,1537268400065
0,8,11,149,154.94,1,11,1537268402125
0,8,11,149,154.94,1,12,1537269289620
0,8,11,149,154.5,1,1,1537269564183
0,12,11,150.75,154.5,1,1,1537269692277
0,8,11,152,154.5,5,1,1537270157014
0,12,11,150.75,154.5,1,1,1537270271483
0,12,11,150.75,154.94,1,12,1537270530281
0,8,11,149,154.94,1,12,1537270583494
0,12,11,151,154.94,1,12,1537270583494
0,8,11,149,154.94,1,12,1537270590915
0,12,11,150.75,154.94,1,12,1537270590915
0,8,11,149,154.94,1,12,1537270621166
0,8,11,149,154.5,1,1,1537270680918
0,8,11,149,154.94,1,12,1537270924604
0,8,11,149,154.94,1,11,1537271020454
0,12,11,150.75,154.94,1,11,1537271061491
0,12,11,150.75,154.94,1,12,1537271062719
0,12,11,151,154.94,1,12,1537271067389
0,8,11,149,154.94,1,12,1537271067389
0,8,11,149,154.94,1,11,1537271067390
0,12,11,151,154.94,1,11,1537271067390
0,12,11,151,154.94,1,11,1537271067390
0,12,8,151,152,1,2,1537271150116
0,12,8,151.25,152,1,2,1537271290437
0,8,8,149,152,1,2,1537271290437
0,8,8,149,152,1,2,1537271411711
0,12,8,151.5,152,1,2,1537271411711
0,12,8,151.5,152,1,2,1537271559785
0,8,8,149,152,1,2,1537271559785
0,11,8,151.5,152,2,2,1537271600168
0,12,8,151.5,152,1,2,1537271666861
0,8,8,149,152,1,2,1537271861645
0,12,8,151,152,1,2,1537271861646
0,8,8,149,152,1,2,1537271908487
0,8,11,149,154.94,1,11,1537271908488
0,12,11,151,154.94,1,11,1537271919094
0,11,11,151.5,154.94,1,11,1537271943499
0,12,11,146.71,154.94,1,11,1537272009957
0,11,11,145,154.94,2,11,1537272009960
0,12,12,146.71,153.35,1,1,1537272009960
0,11,12,145,153.35,2,1,1537272009960
0,11,12,145,152.01,1,1,1537272009962
0,11,17,145,153.35,1,1,1537272009962
0,11,12,145,150.95,1,1,1537272009963
0,11,17,145,150.95,1,1,1537272010060
0,11,11,145,154.94,1,11,1537272010460
0,11,11,145,149.94,1,2,1537272018562
0,11,12,145,148,1,1,1537272023576
0,11,12,142.95,148,1,1,1537272035964
0,11,12,142.95,147,1,1,1537272045077
0,11,12,142.95,145,1,1,1537272055515
0,11,12,142.95,145,1,2,1537272068300
0,11,12,142.95,144,1,1,1537272068406
0,11,12,138.4,144,1,1,1537272068409
0,11,12,138.4,143,1,1,1537272071949
0,11,12,138.4,142,1,1,1537272073628
0,11,12,138.4,145,1,2,1537272075044
0,11,12,138.4,145,1,1,1537272094916
0,11,12,138.4,142,1,1,1537272094918
0,11,11,138.4,142,1,1,1537272106653
0,11,12,138,142,1,1,1537272123404
0,11,11,138,140,1,1,1537272148652
0,11,11,134,140,1,1,1537272153849
0,11,12,134,140,1,2,1537272161531
0,11,11,134,140,1,1,1537272162264
0,11,12,134,139,1,1,1537272162557
0,11,11,134,140,1,1,1537272164549
0,11,12,134,142,1,1,1537272164550
0,11,11,134,142,1,2,1537272166265
0,11,12,134,141.99,1,2,1537272167220
0,11,11,134,142,1,2,1537272168430
0,11,11,135,142,2,2,1537272190055
0,11,11,135,141,2,2,1537272208314
0,11,11,135,142,2,2,1537272208315
0,11,12,135,141,2,1,1537272227117
0,11,11,135,142,2,2,1537272227118
0,12,11,136.5,142,1,2,1537272227118
0,12,11,136.2,142,1,2,1537272227118
0,12,17,136.5,141.79,1,1,1537272227119
0,17,17,136.5,141.79,1,1,1537272227119
0,12,12,137.4,141.79,1,1,1537272227119
0,12,17,137.4,141.79,1,1,1537272227119
0,17,17,137.4,141.79,1,1,1537272227173
0,17,11,137.4,142,1,2,1537272227173
0,11,11,135,142,2,2,1537272227373
0,11,11,136,142,2,2,1537272234014
0,11,12,136,141,2,1,1537272242067
0,11,11,136,142,2,2,1537272242076
0,17,11,136.2,142,1,2,1537272242076
0,12,17,136.2,141.79,1,1,1537272242077
0,17,17,136.2,141.79,1,1,1537272242077
0,17,11,136.2,142,1,2,1537272242124
0,11,11,136,142,2,2,1537272242471
0,11,11,135,142,2,2,1537272243735
0,12,11,137,142,1,2,1537272245190
0,12,11,137,142,2,2,1537272283351
0,12,11,137,142,1,2,1537272286599
0,12,11,137,141.5,1,5,1537272297197
0,12,11,137,142,1,2,1537272309744
0,12,11,137,142,2,2,1537272313014
0,8,11,138,142,1,2,1537272341872
0,8,11,138,142,1,1,1537272377861
0,8,11,138,141.5,1,1,1537272377901
0,8,11,138,138.01,1,1,1537272420159
0,8,12,138,141.5,1,1,1537272420160
0,11,12,138.5,141.5,1,1,1537272466048
0,11,12,140,141.5,1,1,1537272466643
0,8,12,140.05,141.5,1,1,1537272514197
0,8,12,140.5,141.5,10,1,1537272518070
0,12,11,140.55,141.5,2,1,1537272519990
0,8,11,140.5,141.5,10,1,1537272523076
0,8,7,140.5,141.3,9,1,1537272529431
0,8,11,140.5,141.5,9,1,1537272529431
0,8,8,140.5,141.3,9,5,1537272531655
0,8,8,140.5,141.25,9,2,1537272533660
0,8,8,140.5,141.3,9,5,1537272535756
0,19,8,140.05,141.3,1,5,1537272543020
0,19,12,140.05,141.05,1,1,1537272546526
0,19,18,140.05,141.05,1,1,1537272555637
0,19,17,140.05,141.05,1,1,1537272555637
