c,bE,aE,bP,aP,bS,aS,t
0,11,11,62.44,67,1,6,1539255601489
0,8,11,60,67,3,6,1539255601489
0,11,11,62.44,67,2,6,1539255601490
0,11,11,63,66.5,10,2,1539256343527
0,11,11,65.15,66.5,14,2,1539259487177
0,11,11,63,66.5,10,2,1539260148775
0,11,11,65.1,66.5,14,2,1539260247450
0,11,11,63,66.5,10,2,1539260250065
0,11,11,65.1,66.5,4,2,1539260250065
0,11,11,63,65.1,10,10,1539260250198
0,11,11,63,66.5,10,2,1539260255416
0,11,11,63,67,10,6,1539260260511
0,11,8,63,66.09,10,2,1539260260980
0,11,8,62.44,66.09,2,2,1539260350664
0,8,8,65,66.09,10,2,1539260350708
0,11,8,65.02,66.09,6,2,1539260453399
0,8,8,65.09,66.09,10,2,1539260491680
0,11,8,65.1,66.09,6,2,1539260673165
0,11,8,65.1,66.09,16,2,1539260674138
0,11,8,65.1,66.09,6,2,1539260864450
0,8,8,65.15,66.09,10,2,1539260864491
0,11,8,65.2,66.09,5,2,1539262657086
0,11,11,65.2,67,5,6,1539262885866
0,8,11,65.15,67,10,6,1539263214239
0,8,12,65.15,66,10,2,1539263741364
0,8,11,65.15,67,10,6,1539263753811
0,11,11,65.15,67,6,6,1539263797879
0,11,11,65,67,10,6,1539264497300
0,11,12,65,65.5,10,3,1539264600610
0,11,12,65,65.5,10,3,1539264600610
0,12,12,65.09,65.5,6,3,1539264600976
0,12,18,65.09,65.41,6,1,1539264601946
0,12,7,65.09,65.41,6,1,1539264602556
0,12,12,65.09,65.41,6,1,1539264602556
0,12,12,65.09,65.5,6,4,1539264602933
0,12,12,65.09,65.49,6,1,1539264602988
0,12,11,65.09,65.41,6,1,1539264603489
0,12,11,65.1,65.41,1,1,1539264604234
0,12,12,65.1,65.4,1,1,1539264607674
0,12,12,65.09,65.4,6,1,1539264610141
0,12,17,65.09,65.34,6,1,1539264610141
0,12,12,65.09,65.1,6,1,1539264610141
0,12,17,65.09,65.34,5,1,1539264610141
0,11,12,65,65.29,10,1,1539264610141
0,11,17,65,65.34,10,1,1539264610141
0,11,12,65,65.29,10,2,1539264610151
0,11,17,65,65.29,10,1,1539264610180
0,11,12,65,65.29,10,1,1539264610300
0,11,12,65,65.29,10,2,1539264618297
0,11,18,65,65.29,10,1,1539264618298
0,11,12,65,65.29,1,2,1539264618304
0,11,12,65,65.29,10,2,1539264618304
0,19,12,64.74,65.09,1,1,1539264618304
0,11,12,65,65.09,1,1,1539264618304
0,12,12,64.26,65.09,3,1,1539264618304
0,12,12,64.26,65.09,3,2,1539264618307
0,12,12,64.26,65.08,3,1,1539264618324
0,12,12,64.26,65.08,3,2,1539264619797
0,12,12,64.26,65.08,3,3,1539264620526
0,12,12,64.26,65.07,3,1,1539264637284
0,12,12,64.26,65.07,3,2,1539264637554
0,12,12,64.26,65.07,3,3,1539264650043
0,19,12,64.66,65.07,1,3,1539264668153
0,19,12,64.41,65.07,1,3,1539264675872
0,12,12,64.26,65.07,3,3,1539264675872
0,12,12,64.26,65.06,3,1,1539264675891
0,12,12,64.26,65.06,3,2,1539264676083
0,12,8,64.26,64.66,3,2,1539264676565
0,12,8,64.26,64.66,3,1,1539264676566
0,12,12,64.26,64.97,3,1,1539264676566
0,12,12,64.26,64.97,2,1,1539264676571
0,8,17,64.26,64.97,2,1,1539264676620
0,8,12,64.26,64.5,2,1,1539264676809
0,8,17,64.26,64.41,2,1,1539264676810
0,12,17,64.26,64.41,2,1,1539264676837
0,12,12,64.26,64.5,2,1,1539264676932
0,8,12,64.26,64.5,2,2,1539264677163
0,8,18,64.26,64.5,2,1,1539264678325
0,8,15,64.26,64.5,2,1,1539264678989
0,12,15,64.26,64.5,2,1,1539264682360
0,8,15,64.26,64.5,2,1,1539264689071
0,12,15,64.26,64.5,2,1,1539264691201
0,8,15,64.26,64.5,2,1,1539264700509
0,3,12,64.26,64.45,1,1,1539264700509
0,8,12,64.26,64.45,2,1,1539264700509
0,12,12,64.21,64.45,1,1,1539264700510
0,12,17,64.01,64.45,1,1,1539264700515
0,12,12,64.01,64.34,1,1,1539264700515
0,12,12,64.01,64.26,1,1,1539264700522
0,12,17,64.06,64.34,1,1,1539264700522
0,12,17,64.01,64.34,1,1,1539264700522
0,12,12,64.06,64.34,1,1,1539264700522
0,17,12,64.06,64.26,1,1,1539264700522
0,17,17,64.06,64.34,1,1,1539264700522
0,17,12,64.06,64.26,1,1,1539264700522
0,19,12,63.9,64.26,1,1,1539264700684
0,19,12,63.9,64.26,1,2,1539264702236
0,19,17,63.9,64.2,1,1,1539264702331
0,12,17,64,64.2,1,1,1539264702331
0,19,12,63.9,64.16,1,1,1539264702332
0,19,17,63.9,64.2,1,1,1539264702332
0,12,12,63.77,64.16,1,1,1539264702332
0,12,12,63.77,64.16,1,2,1539264702333
0,12,12,63.76,64.16,2,2,1539264702335
0,12,12,63.76,64.15,2,1,1539264702354
0,11,12,63.89,64.15,1,1,1539264702713
0,12,12,63.76,64.15,2,1,1539264702716
0,12,3,63.76,64.15,2,1,1539264702716
0,12,3,63.89,64.15,1,1,1539264702716
0,12,12,63.76,63.99,2,1,1539264702716
0,12,11,63.76,63.99,2,1,1539264702788
0,12,18,63.76,63.99,1,1,1539264703004
0,12,11,63.76,63.99,1,1,1539264703004
0,11,18,63.76,63.99,1,1,1539264704841
0,12,18,63.69,63.99,1,1,1539264704841
0,12,12,63.69,63.98,1,1,1539264704862
0,12,12,63.76,63.98,1,1,1539264704872
0,12,12,63.81,63.98,1,1,1539264705008
0,12,12,63.76,63.98,1,1,1539264705010
0,12,17,63.69,63.94,1,1,1539264705010
0,12,12,63.76,63.94,1,1,1539264705010
0,11,17,63.81,63.94,1,1,1539264705010
0,12,17,63.69,63.94,1,1,1539264705011
0,12,12,63.69,63.87,1,1,1539264705036
0,12,12,63.69,63.87,1,2,1539264705038
0,12,12,63.76,63.87,1,2,1539264705039
0,12,12,63.69,63.87,1,2,1539264705040
0,12,12,63.69,63.87,1,2,1539264705041
0,12,19,63.69,63.84,1,1,1539264705041
0,12,12,63.58,63.87,1,2,1539264705044
0,11,12,63.69,63.87,1,2,1539264705045
0,11,12,63.69,63.87,1,1,1539264705093
0,12,17,63.58,63.82,1,1,1539264710137
0,12,12,63.58,63.87,1,1,1539264710137
0,12,17,63.58,63.81,1,1,1539264710137
0,12,17,63.58,63.81,2,1,1539264710137
0,12,12,63.58,63.81,2,1,1539264710167
0,12,2,63.58,63.81,2,2,1539264710568
0,12,12,63.58,63.81,2,3,1539264714622
0,12,12,63.62,63.81,1,3,1539264723009
0,12,12,63.58,63.81,1,3,1539264724957
0,12,12,63.58,63.81,2,3,1539264724957
0,12,12,63.58,63.77,1,1,1539264724957
0,11,12,63.62,63.77,1,1,1539264724958
0,11,17,63.62,63.77,1,1,1539264725003
0,11,12,63.62,63.8,1,1,1539264725116
0,11,12,63.62,63.8,1,3,1539264737204
0,11,12,63.62,63.8,1,3,1539264737441
0,11,19,63.62,63.78,1,1,1539264737441
0,12,11,63.58,63.78,1,1,1539264737441
0,11,11,63.62,63.78,1,1,1539264737441
0,17,11,63.62,63.78,1,1,1539264737441
0,11,11,63.7,63.78,1,1,1539264737441
0,17,12,63.62,63.8,1,3,1539264737442
0,17,12,63.62,63.8,1,2,1539264737464
0,17,19,63.62,63.77,1,1,1539264737464
0,12,19,63.58,63.77,1,1,1539264737694
0,12,19,63.5,63.77,26,1,1539264740871
0,12,17,63.5,63.73,26,1,1539264740871
0,12,12,63.5,63.73,26,2,1539264740873
0,12,19,63.5,63.65,26,1,1539264740873
0,12,19,63.5,63.65,25,1,1539264740873
0,12,12,63.5,63.73,25,2,1539264740873
0,12,11,63.5,63.65,25,1,1539264740874
0,12,12,63.5,63.73,25,2,1539264740874
0,12,12,63.5,63.72,25,1,1539264740895
0,12,2,63.5,63.72,25,3,1539264741231
0,12,2,63.5,63.72,23,3,1539264741632
0,12,2,63.5,63.72,16,3,1539264741632
0,12,2,63.5,63.72,17,3,1539264741632
0,12,2,63.5,63.72,1,3,1539264741632
0,12,2,63.5,63.72,9,3,1539264741632
0,12,2,63.49,63.72,1,3,1539264741633
0,12,12,63.49,63.59,1,1,1539264741633
0,12,19,63.3,63.57,1,1,1539264741633
0,12,12,63.3,63.59,1,1,1539264741633
0,12,12,63.3,63.59,1,1,1539264741633
0,12,12,63.3,63.59,1,1,1539264741634
0,12,11,63.3,63.57,1,1,1539264741634
0,12,8,63.26,63.59,1,1,1539264741643
0,11,8,63.35,63.59,1,1,1539264742001
0,12,8,63.37,63.59,1,1,1539264747000
0,12,2,63.37,63.59,1,1,1539264760038
0,12,12,63.37,63.64,1,1,1539264767085
0,12,18,63.37,63.59,1,1,1539264767085
0,8,12,63.59,63.64,1,1,1539264767085
0,8,12,63.58,63.64,1,1,1539264767085
0,8,12,63.35,63.72,1,1,1539264767085
0,8,12,63.35,63.64,1,1,1539264767085
0,12,11,63.64,63.74,1,1,1539264767085
0,12,12,63.64,63.72,1,1,1539264767085
0,12,8,63.64,63.59,1,1,1539264767086
0,12,12,63.64,63.81,1,1,1539264767086
0,12,12,63.64,63.81,1,1,1539264767086
0,12,11,63.64,63.72,1,1,1539264767087
0,11,11,63.46,63.72,1,1,1539264767088
0,12,11,63.71,63.72,1,1,1539264768194
0,11,15,63.46,63.81,1,1,1539264768194
0,12,15,63.71,63.81,1,1,1539264768194
0,11,18,63.46,63.87,1,1,1539264768195
0,17,18,63.46,63.87,1,1,1539264773804
0,17,7,63.46,63.87,1,1,1539264775111
0,17,12,63.46,63.86,1,1,1539264775131
0,11,12,63.46,63.86,1,1,1539264775496
0,17,12,63.46,63.86,1,1,1539264776004
0,17,12,63.46,63.86,1,2,1539264787867
0,11,12,63.46,63.86,1,2,1539264787869
0,19,12,63.39,63.86,1,2,1539264787870
0,11,12,63.45,63.86,1,2,1539264787870
0,11,12,63.46,63.86,1,2,1539264787872
0,11,12,63.45,63.86,1,2,1539264787874
0,11,12,63.46,63.86,1,2,1539264787875
0,11,12,63.53,63.86,1,2,1539264787876
0,11,12,63.53,63.79,1,1,1539264787878
0,11,17,63.53,63.79,1,1,1539264787878
0,12,17,63.53,63.79,1,1,1539264787878
0,12,17,63.52,63.79,1,1,1539264787878
0,12,12,63.52,63.73,1,1,1539264787878
0,12,17,63.52,63.73,2,1,1539264787878
0,12,17,63.53,63.73,1,1,1539264787878
0,12,17,63.57,63.73,1,1,1539264787879
0,12,17,63.57,63.73,2,1,1539264787879
0,12,17,63.57,63.73,1,1,1539264787879
0,12,17,63.52,63.73,2,1,1539264787879
0,12,17,63.52,63.73,1,1,1539264787879
0,12,12,63.26,63.69,1,1,1539264787879
0,12,17,63.26,63.68,1,1,1539264787879
0,12,17,63.26,63.73,1,1,1539264787879
0,12,17,63.26,63.68,1,1,1539264787879
0,12,17,63.57,63.68,1,1,1539264787879
0,12,17,63.57,63.68,1,1,1539264787879
0,12,17,63.57,63.68,2,1,1539264787879
0,12,17,63.57,63.68,1,1,1539264787879
0,12,17,63.26,63.68,1,1,1539264787879
0,12,19,63.58,63.65,1,1,1539264787879
0,12,19,63.26,63.65,1,1,1539264787879
0,12,19,63.26,63.65,1,1,1539264787879
0,12,17,63.58,63.68,1,1,1539264787879
0,12,19,63.58,63.57,1,1,1539264787879
0,12,17,63.26,63.68,1,1,1539264787879
0,12,17,63.58,63.68,1,1,1539264787880
0,19,12,63.6,63.69,1,1,1539264787880
0,12,12,63.58,63.69,1,1,1539264787880
0,12,12,63.58,63.69,1,1,1539264787880
0,12,12,63.58,63.69,1,2,1539264787882
0,11,12,63.51,63.69,1,2,1539264787882
0,11,19,63.51,63.66,1,1,1539264787882
0,11,12,63.51,63.69,1,2,1539264787883
0,12,12,63.26,63.69,1,2,1539264787883
