c,bE,aE,bP,aP,bS,aS,t
0,12,11,45.8,46.6,1,2,1539820800014
0,11,11,44,46.6,1,2,1539820800062
0,11,11,42.5,47.5,7,8,1539849600005
0,11,11,42.5,45,7,3,1539849600005
0,11,11,41.4,45,3,3,1539849731430
0,11,11,,45,,3,1539849733135
0,8,11,42.59,45,4,3,1539860400220
0,8,11,42.59,46.85,4,5,1539860400222
0,8,8,42.59,45,4,3,1539860400224
0,11,8,43,45,5,3,1539861362469
0,8,8,42.59,45,4,3,1539861574861
0,11,8,44,45,5,3,1539861574866
0,8,8,42.59,45,4,3,1539863134560
0,11,8,44.1,45,5,3,1539863134564
0,11,8,42.6,45,1,3,1539863388332
0,11,8,44.5,45,5,3,1539863388336
0,11,11,44.5,47,5,1,1539863443286
0,8,11,45,47,7,1,1539863443288
0,8,12,45,47,7,2,1539867438147
0,11,12,45.01,47,1,2,1539867479699
0,11,11,45.01,46.75,1,1,1539868521360
0,11,12,45.01,47,1,2,1539868544163
0,8,12,45,47,7,2,1539868626047
0,11,12,45.3,47,1,2,1539868626055
0,11,12,45.3,46.5,1,1,1539868643481
0,11,12,45.3,46,1,1,1539868644305
0,11,12,45.3,46.5,1,1,1539868645617
0,11,18,45.3,46.26,1,1,1539868648220
0,8,18,45,46.26,7,1,1539868648220
0,8,18,45,46.06,7,1,1539868648221
0,8,19,45,45.71,7,1,1539868648221
0,8,7,45,46.06,7,1,1539868648433
0,8,7,45,46.26,7,1,1539868648433
0,8,12,45,46.5,7,1,1539868648433
0,8,11,45,45.2,7,2,1539868650470
0,8,11,45,45.2,5,2,1539868651953
0,8,17,45,45.15,4,1,1539868652071
0,8,11,45,45.2,4,2,1539868652071
0,8,11,45,45.2,2,2,1539868652810
0,8,17,45,45.15,2,1,1539868652810
0,8,17,45,45.15,2,1,1539868652951
0,8,12,45,46.5,2,1,1539868653360
0,8,11,45,46,2,2,1539868656234
0,8,11,45,45.9,2,1,1539868658713
0,8,11,45,45.9,1,1,1539868662959
0,12,11,44.03,45.9,1,1,1539868663809
0,12,17,44.03,45.67,1,1,1539868663984
0,12,11,44.03,45.9,1,1,1539868664014
0,12,11,44.03,45.55,1,1,1539868664061
0,12,11,44.03,45,1,1,1539868664739
0,12,11,44.03,45.55,1,1,1539868664746
0,12,11,44.03,45,1,1,1539868670393
0,12,11,44.03,45.55,1,1,1539868673574
0,12,11,44.03,44.8,1,1,1539868675511
0,12,11,44.03,45.55,1,1,1539868676093
0,12,11,44.03,45.9,1,1,1539868677821
0,12,12,44.03,46,1,2,1539868678337
0,12,11,44.03,45.5,1,1,1539868681154
0,19,11,45.2,45.5,1,1,1539868701858
0,12,11,44.03,45.5,1,1,1539868706047
0,12,18,44.03,45.44,1,1,1539868706047
0,12,11,44.03,45.14,1,1,1539868707553
0,12,11,44.03,45.5,1,1,1539868708396
0,12,11,45.06,45.5,1,1,1539868717399
0,11,11,45,45.5,5,1,1539868746015
0,12,18,45.06,45.41,1,1,1539868746015
0,12,11,45.06,45.5,1,1,1539868746015
0,12,11,45.06,45.5,1,1,1539868746106
0,12,7,45.06,45.41,1,1,1539868746106
0,11,11,45.2,45.5,2,1,1539868796032
0,11,11,45.2,45.5,1,1,1539868796378
0,11,11,45.2,46,1,2,1539868811910
0,11,11,45.2,46,2,2,1539868847135
0,11,11,45.5,46,1,2,1539868868050
0,19,12,45.5,46.49,1,1,1539868970180
0,19,11,45.5,46.39,1,1,1539869002278
0,19,11,45.5,46.3,1,1,1539869048099
0,19,11,45.5,46,1,1,1539869049492
0,19,11,45.5,46.39,1,1,1539869091879
0,19,11,45.5,46,1,1,1539869115176
0,11,11,45.5,46,1,1,1539869162271
0,12,11,45.5,46,1,1,1539869162271
0,11,19,45.5,45.71,1,1,1539869162271
0,11,17,45.5,45.87,1,1,1539869162423
0,11,11,45.5,46,1,1,1539869162424
0,19,11,45.5,46,1,1,1539869162457
0,19,12,45.5,45.9,1,1,1539869162458
0,12,12,45.5,45.9,1,1,1539869166509
0,12,19,45.5,45.67,1,1,1539869166509
0,11,19,45.5,45.67,1,1,1539869166509
0,12,18,45.5,45.82,1,1,1539869166949
0,19,19,45.5,45.67,1,1,1539869166949
0,19,18,45.5,45.63,1,1,1539869166949
0,12,18,45.5,45.63,1,1,1539869166949
0,12,12,45.5,45.99,1,1,1539869167349
0,12,18,45.5,45.63,1,1,1539869167349
0,19,11,45.5,46,1,1,1539869167349
0,19,17,45.5,45.99,1,1,1539869167349
0,12,11,45.5,46,6,1,1539869168036
0,12,11,45.5,46,4,1,1539869169558
0,12,11,45.5,46,5,1,1539869169558
0,12,11,45.5,46,5,1,1539869169558
0,12,11,45.5,46,4,1,1539869169787
0,12,11,45.5,46,3,1,1539869181615
0,19,11,45.5,46,1,1,1539869182464
0,12,12,45.5,45.9,6,1,1539869182464
0,19,12,45.5,45.9,1,1,1539869182464
0,12,12,45.5,45.9,4,1,1539869182939
0,12,12,45.5,45.9,5,1,1539869182939
0,12,19,45.5,45.67,5,1,1539869182939
0,12,19,45.5,45.67,4,1,1539869182939
0,12,19,45.5,45.67,4,1,1539869185364
0,12,11,45.5,46,4,1,1539869185364
0,12,8,45.5,45.78,4,1,1539869185364
0,12,11,45.5,46,3,1,1539869188369
0,12,11,45.5,46,2,1,1539869188701
0,19,11,45.5,46,1,1,1539869189087
0,19,18,45.5,45.9,1,1,1539869190504
0,19,11,45.5,46,1,1,1539869190561
0,12,11,45.5,46,1,1,1539869190623
0,19,11,45.5,46,1,1,1539869190772
0,19,18,45.5,45.9,1,1,1539869190773
0,19,18,45.5,45.9,1,1,1539869190773
0,12,18,45.5,45.9,1,1,1539869190773
0,12,11,45.5,46,1,1,1539869190823
0,12,18,45.5,45.9,1,1,1539869190823
0,19,11,45.5,46,1,1,1539869190823
0,19,18,45.5,45.9,1,1,1539869194903
0,19,11,45.5,46,1,1,1539869195011
0,12,11,45.5,46,1,1,1539869195023
0,19,18,45.5,45.9,1,1,1539869197860
0,19,11,45.5,46,1,1,1539869197860
0,19,11,45.5,46,1,1,1539869198013
0,12,11,45.5,46,1,1,1539869198023
0,19,11,45.5,46,1,1,1539869202173
0,19,19,45.5,45.71,1,1,1539869205738
0,12,19,45.5,45.7,1,1,1539869206823
0,12,19,45.5,45.71,1,1,1539869206823
0,19,18,45.5,45.66,1,1,1539869206823
0,12,18,45.5,45.66,1,1,1539869206823
0,19,12,45.5,45.66,1,1,1539869206954
0,19,18,45.5,45.62,1,1,1539869206954
0,19,17,45.5,45.62,1,1,1539869207223
0,19,12,45.5,45.62,1,1,1539869207223
0,19,11,45.5,46,1,1,1539869207223
0,19,17,45.5,45.7,1,1,1539869207223
0,12,11,45.06,46,1,1,1539869208778
0,12,12,45.06,45.89,1,1,1539869209281
0,12,19,45.06,45.99,1,1,1539869209281
0,12,11,45.06,45.5,1,2,1539869209283
0,12,11,45.06,45.5,1,1,1539869209285
0,12,11,45.06,45.5,1,1,1539869209804
0,12,11,44.03,45.5,1,1,1539869209804
0,12,12,44.03,45.43,1,1,1539869209805
0,12,11,44.03,45.5,1,1,1539869209805
0,12,11,44.03,45.5,1,1,1539869209835
0,8,12,43.99,45.26,2,1,1539869210386
0,8,11,43.99,45.5,2,1,1539869210386
0,8,11,43.99,44.03,2,1,1539869210395
0,12,11,44,44.03,1,1,1539869211942
0,12,11,44,44.03,2,1,1539869212293
0,12,11,44,44.9,2,3,1539869213628
0,12,11,44,44.9,2,4,1539869213654
0,12,11,44,44.03,2,1,1539869213755
0,12,11,44,44.9,2,3,1539869214113
0,12,11,44,44.9,2,4,1539869214113
0,11,11,44.01,44.9,1,3,1539869215155
0,11,11,44.01,45.1,1,3,1539869216875
0,11,11,44.01,45.5,1,1,1539869217108
0,11,11,44.03,45.5,1,1,1539869217658
0,11,11,44.03,45.5,2,1,1539869218090
0,12,11,44.1,45.5,1,1,1539869218161
0,11,11,44.03,45.5,2,1,1539869219121
0,11,11,44.03,45.5,3,1,1539869220334
0,11,11,44.1,45.5,1,1,1539869220908
0,11,12,44.1,45,1,1,1539869221709
0,11,12,44.1,44.5,1,1,1539869223305
0,11,12,44.11,44.5,1,1,1539869224088
0,11,12,44.11,44.5,2,1,1539869224267
0,11,12,44.11,44.5,1,1,1539869224769
0,11,12,44.2,44.5,1,1,1539869227868
0,12,12,44.2,44.5,1,1,1539869231662
0,11,11,44.2,45,1,1,1539869232524
0,12,12,44.2,45,1,1,1539869233201
0,11,12,44.21,45,1,1,1539869247395
0,11,11,44.21,44.9,1,1,1539869250444
0,11,11,44.21,44.9,1,2,1539869251310
0,11,11,44.21,44.9,1,3,1539869253856
0,12,11,44.2,44.9,1,3,1539869257848
0,12,8,44.2,44.75,1,1,1539869258416
0,12,8,44.22,44.75,1,1,1539869271494
0,11,8,44.2,44.75,1,1,1539869280003
0,11,12,44.2,44.36,1,1,1539869280003
0,11,12,44.2,44.44,1,1,1539869280003
0,11,17,44.2,44.44,1,1,1539869280033
0,11,12,44.2,44.39,1,1,1539869280035
0,11,12,44.1,44.39,2,1,1539869281991
0,11,8,44.1,44.75,2,1,1539869281992
0,11,8,44.1,44.75,1,1,1539869281998
0,11,8,44.04,44.75,1,1,1539869283607
0,11,11,44.04,44.9,1,3,1539869286950
0,12,11,44.1,44.9,1,3,1539869286953
0,11,11,44.12,44.9,1,3,1539869289669
0,11,11,44.12,44.9,2,3,1539869289947
0,11,11,44.13,44.9,1,3,1539869293242
0,12,11,44.2,44.9,1,3,1539869295707
0,12,11,44.2,44.9,1,2,1539869308872
0,12,11,44.2,44.9,1,1,1539869308872
0,12,12,44.2,45,1,1,1539869308872
0,11,12,44.13,45,1,1,1539869310023
0,12,12,44.35,45,1,1,1539869319694
0,8,12,44.26,45,1,1,1539869319694
0,12,12,44.65,45,1,1,1539869319698
0,12,11,44.65,44.4,1,6,1539869321610
0,12,11,44.65,44.4,1,5,1539869321610
0,12,19,44.65,44.93,1,1,1539869321611
0,12,12,44.65,45,1,1,1539869321611
0,12,8,44.65,44.93,1,1,1539869321611
0,11,8,44.64,44.93,1,1,1539869321611
0,11,12,44.64,44.83,1,1,1539869321611
0,11,17,44.64,44.93,1,1,1539869321611
0,12,12,44.65,44.83,1,1,1539869321611
0,12,17,44.65,44.93,1,1,1539869321611
0,11,17,44.64,44.93,1,1,1539869321611
0,11,17,44.64,44.87,1,1,1539869321611
0,11,12,44.64,44.79,1,1,1539869321611
0,11,12,44.49,44.79,1,1,1539869321612
0,12,17,44.65,44.87,1,1,1539869321612
0,12,12,44.65,44.79,1,1,1539869321612
0,12,17,44.65,44.87,2,1,1539869321612
0,12,17,44.65,44.87,1,1,1539869321613
0,12,12,44.65,45,1,1,1539869321909
0,12,12,44.66,45,1,1,1539869323603
0,12,11,44.66,45.5,1,1,1539869326151
0,12,11,44.66,46,1,1,1539869330806
0,12,11,44.65,46,1,1,1539869332378
0,12,11,45,46,2,1,1539869333598
0,12,11,45.01,46,1,1,1539869333599
0,11,11,45.02,46,1,1,1539869343457
0,11,11,45.03,46,1,1,1539869345003
0,11,11,45.1,46,1,1,1539869348074
0,11,11,45.1,46,2,1,1539869349306
0,11,11,45.11,46,1,1,1539869349307
0,12,11,45,46,2,1,1539869353107
0,12,11,45.01,46,1,1,1539869353108
0,11,11,44.6,46,2,1,1539869370041
0,11,11,45.01,46,1,1,1539869375901
0,19,11,45,46,1,1,1539869375901
0,11,11,45.01,45.99,1,1,1539869381153
0,11,11,45.01,45.98,1,1,1539869383322
0,12,11,44.84,45.98,1,1,1539869384492
0,11,11,44.84,45.98,1,1,1539869384495
0,11,11,44.84,45.97,1,1,1539869385957
0,11,11,44.85,45.97,1,1,1539869385957
0,11,11,44.85,45.97,2,1,1539869385957
0,11,11,44.85,45.96,2,1,1539869388295
