c,bE,aE,bP,aP,bS,aS,t
0,12,11,64.17,66.64,2,7,1538006400001
0,11,11,0.05,70,1,7,1538035200029
0,11,11,59.66,70,1,7,1538035200030
0,11,11,66.61,70,1,7,1538035200033
0,11,11,66.61,67.19,1,1,1538035200034
0,11,11,66.61,70,1,7,1538035200134
0,11,11,66.61,67.18,1,1,1538035200142
0,11,11,66.61,70,1,7,1538035208018
0,11,11,66.61,67.17,1,1,1538035208025
0,11,11,66.61,70,1,7,1538035212143
0,11,11,66.61,67.18,1,1,1538035212150
0,11,11,59.66,67.18,1,1,1538035241542
0,11,11,59.66,70,1,7,1538035241544
0,11,11,66.62,70,1,7,1538035241549
0,11,11,66.62,67.19,1,1,1538035241552
0,11,11,66.62,70,1,7,1538035241556
0,11,11,66.62,67.2,1,1,1538035241653
0,11,11,59.66,67.2,1,1,1538035241693
0,11,11,66.61,67.2,1,1,1538035241700
0,11,11,66.61,70,1,7,1538035242775
0,11,11,66.61,67.19,1,1,1538035242783
0,11,11,66.61,70,1,7,1538035254331
0,11,11,66.61,67.2,1,1,1538035254339
0,11,11,59.66,67.2,1,1,1538035254756
0,11,11,59.66,70,1,7,1538035254756
0,11,11,66.62,67.19,1,1,1538035254764
0,11,11,66.62,70,1,7,1538035254764
0,12,12,66.65,67.19,5,5,1538035264163
0,12,11,66.65,67.19,5,1,1538035264163
0,12,11,66.65,67.18,5,1,1538035264176
0,12,12,66.65,67.18,5,5,1538035264263
0,12,11,66.65,70,5,7,1538035266007
0,12,11,66.65,67.19,5,1,1538035266013
0,12,12,66.65,67.19,5,5,1538035266107
0,12,11,66.65,67.18,5,1,1538035266122
0,12,12,66.65,67.18,5,5,1538035266207
0,12,11,66.65,70,5,7,1538035269737
0,12,11,66.65,67.19,5,1,1538035269743
0,12,12,66.65,67.19,5,5,1538035269837
0,12,11,66.65,67.18,5,1,1538035269851
0,12,12,66.65,67.18,5,5,1538035269937
0,12,11,66.65,67.17,5,1,1538035272169
0,12,12,66.65,67.17,5,5,1538035272171
0,12,11,66.65,70,5,7,1538035273064
0,12,11,66.65,67.18,5,1,1538035273070
0,12,12,66.65,67.18,5,5,1538035273164
0,12,11,66.65,70,5,7,1538035275474
0,12,11,66.65,67.19,5,1,1538035275481
0,12,12,66.65,67.19,5,5,1538035275575
