c,bE,aE,bP,aP,bS,aS,t
0,11,11,98.5,105,1,1,1539936000027
0,11,11,98.6,105,1,1,1539939032291
0,11,11,98.5,105,1,1,1539939167065
0,11,11,98.5,104.99,1,2,1539939514907
0,18,11,99.23,104.99,1,2,1539946800215
0,11,11,101,104.99,1,2,1539946807441
0,11,11,101,104.75,1,1,1539947042596
0,11,11,101,104.99,1,2,1539948454467
0,11,11,101,104.98,1,1,1539948599464
0,11,11,101,102,1,1,1539948734987
0,11,11,98.5,102,1,1,1539950031401
0,11,11,99,102,5,1,1539950213730
0,17,11,99.04,102,1,1,1539950423673
0,11,11,99.5,102,1,1,1539951099044
0,17,11,99.04,102,1,1,1539951330860
0,11,11,99.17,102,2,1,1539952447954
0,11,11,99,102,5,1,1539952996646
0,11,11,99.08,102,2,1,1539953472644
0,11,11,99.5,102,1,1,1539954130524
0,11,11,99.08,102,2,1,1539954173725
0,11,11,100.08,102,1,1,1539954880763
0,11,11,100.15,102,1,1,1539954895370
0,11,11,100.5,102,1,1,1539955055874
0,11,11,100.5,102,3,1,1539955080794
0,11,11,100.5,102,4,1,1539955133346
0,18,11,100.8,102,1,1,1539955152927
0,11,11,101.2,102,1,1,1539955181447
0,18,11,101.36,102,1,1,1539955193170
0,18,11,101.49,102,1,1,1539955193171
0,7,11,101.49,102,1,1,1539955193172
0,7,11,101.36,102,1,1,1539955200448
0,18,11,101.49,102,1,1,1539955200448
0,11,11,100.5,102,3,1,1539955200448
0,7,11,100.8,102,1,1,1539955229238
0,19,11,100.52,102,1,1,1539955229238
0,12,11,100.52,102,1,1,1539955229385
0,11,11,100.5,102,3,1,1539955239238
0,18,11,100.8,102,1,1,1539955265705
0,19,11,100.52,102,1,1,1539955265705
0,17,11,100.89,102,1,1,1539955265705
0,11,11,101,102,1,1,1539955272091
0,11,11,100.6,102,1,1,1539955276159
0,11,11,100.6,102,2,1,1539955349198
0,18,11,100.88,102,1,1,1539955375067
0,19,11,100.61,102,1,1,1539955375067
0,11,11,100.6,102,2,1,1539955385067
0,19,11,101.01,102,1,1,1539955436091
0,12,11,101.01,102,1,1,1539955436491
0,18,11,101.21,102,1,1,1539955443496
0,18,11,101.37,102,1,1,1539955444902
0,18,11,101.5,102,1,1,1539955445193
0,11,11,100.6,102,2,1,1539955446092
0,7,11,101.5,102,1,1,1539955446092
0,11,11,100.6,102,1,1,1539955447769
0,11,11,100.6,101.99,1,1,1539955491308
0,11,11,100.6,102.79,1,1,1539955498017
0,11,11,100.6,104.95,1,1,1539955503736
0,11,11,102,104.95,1,1,1539955512473
0,11,11,102,104.9,1,3,1539955537263
0,11,11,100.6,102,1,1,1539955538049
0,11,11,100.6,101.99,1,1,1539955548621
0,11,11,101,101.99,1,1,1539955668182
0,11,11,101,101.9,1,1,1539955709642
