c,bE,aE,bP,aP,bS,aS,t
0,11,11,34.39,36.66,1,2,1539936000022
0,11,11,34.39,36.66,2,2,1539942752195
0,11,11,34.92,36.66,1,2,1539943557939
0,11,8,34.92,36.6,1,3,1539946800244
0,11,8,35,36.6,1,3,1539946807603
0,11,8,35.02,36.6,1,3,1539947457380
0,11,8,34.39,36.6,1,3,1539948810600
0,11,8,35.02,36.6,1,3,1539948853358
0,11,8,34.39,36.6,1,3,1539948853363
0,11,8,34.39,36.6,2,3,1539949029855
0,11,8,34.39,36.6,32,3,1539949473271
0,11,8,34.39,36.6,2,3,1539949508902
0,11,8,35.1,36.6,1,3,1539950827854
0,8,8,35.2,36.6,2,3,1539951192806
0,11,8,35.1,36.6,1,3,1539952207515
0,11,8,35.25,36.6,2,3,1539952257762
0,11,12,35.25,36.6,2,5,1539952287751
0,11,12,35.1,36.6,1,5,1539952289659
0,11,12,35.35,36.6,2,5,1539952289661
0,11,12,35.1,36.6,1,5,1539952396200
0,11,12,35.4,36.6,2,5,1539952396201
0,11,12,35.4,36.6,2,4,1539953908981
0,12,12,36,36.6,2,4,1539955262439
0,12,12,36.05,36.6,2,4,1539955396524
0,11,12,35.4,36.6,2,4,1539955396524
0,12,11,36.05,36.55,2,1,1539955403036
0,12,11,36.05,36.4,2,1,1539955576165
0,11,19,35.1,36.33,1,1,1539955603380
0,11,11,35.1,36.4,1,1,1539955603380
0,11,12,35.1,36.33,1,1,1539955603381
0,11,19,35.1,36.33,1,1,1539955603381
0,11,12,35.1,36.33,1,1,1539955603410
0,11,11,35.1,36.4,1,1,1539955603410
0,11,11,35.42,36.4,1,1,1539955782192
0,11,18,35.42,36.4,1,2,1539955783988
0,11,11,35.42,36.1,1,1,1539955795208
0,11,18,35.42,36.4,1,2,1539955796020
0,11,11,35.42,36.1,1,1,1539955798546
0,19,11,35.47,36.1,1,1,1539955800798
0,11,11,35.47,36.1,1,1,1539955802798
0,11,11,35.65,36.1,3,1,1539955841717
0,11,11,35.65,36.1,2,1,1539955841717
0,11,11,35.65,36.1,4,1,1539955842405
0,11,19,35.65,36.24,4,1,1539955859480
0,11,17,35.65,36.1,4,2,1539955859481
0,11,11,35.65,36.1,4,1,1539955859481
0,19,11,35.97,36.1,4,1,1539955859482
0,19,11,35.97,36.1,2,1,1539955859482
0,19,11,35.97,36.1,8,1,1539955859483
0,19,11,35.97,36.1,6,1,1539955859483
0,19,11,35.97,36.1,11,1,1539955859484
0,19,11,35.97,36.1,10,1,1539955859484
0,19,11,35.97,36.1,8,1,1539955859497
0,19,11,35.97,36.1,4,1,1539955859497
0,19,11,35.97,36.1,6,1,1539955859497
0,19,11,35.97,36.1,10,1,1539955859497
0,11,11,35.65,36.1,4,1,1539955859497
0,19,11,35.97,36.1,2,1,1539955859497
0,11,19,35.65,35.97,4,2,1539955859498
0,11,12,35.65,35.97,4,2,1539955860000
0,19,12,35.96,35.97,1,2,1539955860002
0,11,19,35.65,36.11,3,1,1539955860002
0,11,12,35.65,35.97,3,2,1539955860002
0,19,8,35.79,36.14,1,2,1539955860002
0,12,11,35.85,36.1,1,1,1539955860002
0,19,11,35.79,36.1,1,1,1539955860002
0,11,11,35.85,36.1,1,1,1539955860032
0,11,12,35.85,36.1,1,2,1539955860053
0,11,12,35.85,36.1,2,2,1539955860443
0,19,12,35.97,36.1,2,2,1539955862308
0,19,12,35.97,36.1,4,2,1539955862309
0,19,12,35.97,36.1,6,2,1539955862309
0,19,12,35.97,36.1,8,2,1539955862309
0,19,12,35.97,36.1,11,2,1539955862310
0,19,12,35.97,36.1,10,2,1539955862310
0,19,12,35.97,36.1,8,2,1539955862326
0,19,12,35.97,36.1,10,2,1539955862326
0,19,12,35.97,36.1,6,2,1539955862326
0,19,12,35.97,36.1,4,2,1539955862326
0,19,12,35.97,36.1,2,2,1539955862326
0,11,12,35.85,36.1,2,2,1539955862326
0,11,12,35.85,36.1,1,2,1539955864919
0,11,12,35.85,36.1,1,3,1539955866254
0,11,12,35.85,36.1,1,5,1539955866255
0,19,12,35.71,36.1,1,5,1539955868941
0,11,18,35.71,35.98,1,1,1539955868941
0,11,12,35.71,36.1,1,5,1539955868941
0,11,7,35.71,36.05,1,1,1539955868941
0,11,12,35.71,36.05,1,2,1539955868944
0,11,12,35.71,36.05,1,4,1539955868948
0,11,11,35.71,35.85,1,1,1539955868966
0,11,12,35.71,36.05,1,4,1539955868967
0,11,12,35.78,36.05,1,4,1539955868968
0,18,12,35.78,36.05,1,4,1539955868968
0,11,12,35.71,36.05,1,4,1539955868968
0,11,12,35.71,36.05,1,3,1539955876835
0,11,12,35.71,36.05,1,2,1539955876837
0,11,18,35.71,36.04,1,5,1539955898096
0,11,12,35.71,35.99,1,2,1539955904508
0,11,12,35.71,35.99,1,4,1539955904511
0,11,12,35.65,35.99,2,4,1539955910809
0,11,19,35.65,35.94,1,1,1539955912387
0,11,12,35.65,35.99,1,4,1539955912387
0,11,12,35.65,35.78,1,1,1539955912387
0,11,12,35.95,35.78,7,1,1539955912387
0,11,12,35.95,35.78,3,1,1539955912387
0,11,12,35.95,35.78,1,1,1539955912387
0,11,12,35.95,35.78,3,1,1539955912387
0,11,12,35.95,35.78,4,1,1539955912387
0,11,12,35.95,35.78,5,1,1539955912387
0,11,12,35.95,35.78,6,1,1539955912388
0,11,12,35.95,35.78,8,1,1539955912388
0,11,17,35.95,35.94,5,1,1539955912388
0,11,17,35.95,35.94,6,1,1539955912388
0,11,17,35.95,35.94,8,1,1539955912388
0,11,17,35.95,35.94,4,1,1539955912388
0,11,12,35.95,35.89,8,1,1539955912388
0,12,12,35.81,35.94,3,1,1539955912388
0,12,17,35.81,35.94,2,1,1539955912388
0,11,17,35.95,35.94,3,1,1539955912388
0,12,17,35.81,35.94,3,1,1539955912388
0,12,12,35.82,35.94,1,1,1539955912389
0,12,12,35.82,35.94,3,1,1539955912389
0,12,12,35.82,35.94,4,1,1539955912389
0,18,12,35.93,35.94,1,1,1539955912389
0,12,12,35.82,35.94,4,1,1539955912390
0,12,12,35.82,35.99,4,4,1539955912390
0,12,12,35.85,35.99,2,4,1539955912390
0,12,12,35.85,35.94,4,1,1539955912390
0,12,12,35.85,35.99,4,4,1539955912390
0,18,12,35.85,35.99,1,4,1539955912390
0,11,12,35.95,35.94,3,1,1539955912390
0,12,12,35.85,35.94,5,1,1539955912390
0,11,12,35.95,35.94,7,1,1539955912390
0,11,12,35.95,35.94,11,1,1539955912390
0,11,12,35.95,35.94,12,1,1539955912390
0,11,12,35.95,35.99,12,4,1539955912391
0,12,12,35.95,35.99,1,4,1539955912391
0,11,12,35.95,35.99,11,4,1539955912391
0,12,12,35.95,35.99,3,4,1539955912391
0,19,19,35.95,35.98,4,1,1539955912391
0,12,19,35.95,35.98,2,1,1539955912391
0,12,12,35.95,35.99,2,4,1539955912391
0,19,12,35.94,35.98,4,1,1539955912392
0,7,12,35.95,35.98,1,1,1539955912392
0,7,12,35.95,35.95,1,3,1539955912392
0,7,19,35.95,35.97,1,1,1539955912392
0,18,12,35.85,35.95,1,4,1539955912392
0,7,12,35.94,35.95,1,3,1539955912392
0,7,12,35.94,35.95,1,4,1539955912392
0,19,12,35.94,35.95,4,3,1539955912392
0,12,12,35.85,35.95,1,4,1539955912392
0,12,7,35.85,35.94,1,1,1539955912393
0,7,7,35.85,35.94,1,1,1539955912393
0,18,7,35.85,35.94,1,1,1539955912393
0,19,7,35.93,35.94,4,1,1539955912393
0,19,7,35.93,35.94,2,1,1539955912393
0,19,12,35.94,35.95,2,3,1539955912393
0,19,12,35.93,35.95,2,3,1539955912393
0,19,12,35.94,35.95,3,1,1539955912395
0,19,12,35.94,35.95,3,3,1539955912395
0,19,12,35.94,35.95,3,2,1539955912395
0,19,12,35.94,35.95,3,1,1539955912395
0,11,12,35.95,35.95,3,1,1539955912396
0,11,12,35.95,35.96,3,2,1539955912396
0,11,12,35.95,35.96,4,2,1539955912397
0,11,12,35.95,35.98,4,1,1539955912400
0,11,11,35.95,35.96,4,1,1539955912400
0,12,11,35.9,35.96,1,1,1539955912408
0,19,11,35.9,35.96,1,1,1539955912426
0,12,11,35.87,35.96,1,1,1539955912426
0,12,11,35.9,35.96,1,1,1539955912426
0,11,11,35.9,35.96,1,1,1539955912427
0,12,11,35.87,35.96,1,1,1539955912430
0,12,12,35.87,35.96,1,2,1539955912446
