c,bE,aE,bP,aP,bS,aS,t
0,11,11,1.05,2.25,1,6,1538640000005
0,11,11,1.7,2.25,1,6,1538640000005
0,11,11,1.7,2.2,1,6,1538640000005
0,11,11,1.71,2.2,10,6,1538643365243
0,11,11,1.75,2.2,10,6,1538643396111
0,11,11,1.8,2.2,10,6,1538643414781
0,11,11,1.85,2.2,10,6,1538643429848
0,8,8,1.92,2.1,5,45,1538650800234
0,8,8,1.92,1.98,5,10,1538650800234
0,8,8,1.92,1.98,5,5,1538655032017
0,11,11,1.95,2.06,1,200,1538655032531
0,11,8,1.95,1.98,1,5,1538655032531
0,12,11,1.95,2.06,1,200,1538655032561
0,8,11,1.95,2.06,1,200,1538655032561
0,8,11,1.92,2.06,5,200,1538655032561
0,8,12,1.92,2.05,5,4,1538658218543
0,8,11,1.92,2.04,5,10,1538658420044
0,8,19,1.92,2.05,5,10,1538658420044
0,8,18,1.92,2.04,5,20,1538658420044
0,8,11,1.92,2.04,5,18,1538658420044
0,8,12,1.92,2.04,5,118,1538658420066
0,8,12,1.92,2.04,5,109,1538658420083
0,8,12,1.92,2.04,5,100,1538658420083
0,8,12,1.92,2.05,5,4,1538658420085
0,8,19,1.92,2.03,5,9,1538658420231
0,8,7,1.92,2.03,5,10,1538658420231
0,8,12,1.92,2.02,5,100,1538658420570
0,8,19,1.92,2.01,5,10,1538658420713
0,8,11,1.92,2.01,5,8,1538658420713
0,8,12,1.92,2,5,100,1538658420867
0,8,11,1.92,1.99,5,10,1538658421014
0,8,12,1.92,1.98,5,100,1538658421167
0,8,12,1.92,1.98,6,100,1538658421248
0,8,11,1.92,1.97,6,10,1538658421312
0,8,11,1.92,1.97,5,10,1538658421376
0,11,1,1.93,1.97,1,10,1538658421377
0,11,11,1.93,1.97,1,10,1538658421396
0,11,12,1.93,1.96,1,100,1538658421461
0,11,12,1.93,1.96,7,100,1538658421875
0,11,12,1.93,1.97,7,24,1538658424088
0,11,12,1.93,1.97,7,124,1538658424243
0,11,12,1.93,1.97,6,124,1538658425254
0,8,12,1.94,1.97,1,124,1538658425255
0,11,12,1.93,1.97,6,124,1538658425381
0,19,12,1.94,1.97,1,124,1538658425538
0,8,12,1.92,1.97,12,124,1538658425894
0,11,12,1.93,1.97,1,124,1538658425894
0,8,12,1.92,1.97,12,124,1538658426245
0,12,12,1.94,1.97,1,124,1538658426246
0,8,12,1.92,1.97,12,124,1538658439272
0,11,12,1.93,1.97,1,124,1538658439272
0,11,12,1.94,1.97,1,124,1538658440018
0,8,12,1.92,1.97,12,124,1538658440365
0,12,12,1.93,1.97,1,124,1538658440366
0,12,12,1.93,1.97,1,124,1538658445701
0,8,12,1.92,1.97,12,124,1538658445701
0,12,12,1.94,1.97,1,124,1538658445702
0,8,12,1.92,1.97,12,124,1538658445702
0,11,12,1.93,1.97,1,124,1538658445829
0,8,12,1.92,1.97,12,124,1538658445829
0,8,12,1.92,1.97,12,124,1538658447387
0,19,12,1.94,1.97,1,124,1538658447388
0,8,12,1.92,1.97,12,124,1538658449325
0,12,12,1.93,1.97,1,124,1538658449325
0,12,12,1.93,1.97,1,100,1538658449329
0,12,12,1.93,1.97,1,100,1538658449329
0,12,12,1.93,1.97,1,112,1538658449329
0,12,12,1.93,1.96,1,12,1538658449329
0,12,12,1.93,1.96,1,112,1538658449477
0,12,12,1.93,1.96,1,100,1538658450498
0,12,12,1.93,1.96,1,103,1538658451792
0,12,12,1.93,1.96,1,100,1538658451918
