c,bE,aE,bP,aP,bS,aS,t
0,11,11,6.5,12.5,5,6,1539936000032
0,11,11,8.7,12.5,1,6,1539936000032
0,11,11,9.15,12.5,3,6,1539936000033
0,11,11,9.15,12,3,5,1539936000033
0,11,11,11.1,12,1,5,1539936000034
0,11,11,11.1,11.8,1,1,1539936000034
0,12,11,11.4,11.8,5,1,1539936248514
0,12,11,11.48,11.8,11,1,1539943382490
0,12,11,11.4,11.8,5,1,1539943451292
0,12,11,11.54,11.8,11,1,1539943451295
0,12,12,11.54,11.79,11,1,1539943643521
0,12,12,11.4,11.79,5,1,1539946111470
0,12,12,11.48,11.79,7,1,1539946246663
0,12,12,11.4,11.79,5,1,1539946279201
0,12,12,11.54,11.79,7,1,1539946279203
0,12,18,11.54,11.74,2,1,1539946800048
0,12,12,11.54,11.79,2,1,1539946800048
0,12,12,11.54,11.79,2,1,1539946803724
0,12,12,11.54,11.79,1,1,1539946809191
0,12,18,11.54,11.74,1,1,1539946809191
0,12,12,11.54,11.79,1,1,1539946822036
0,8,12,11.54,11.79,50,1,1539947056778
0,11,12,11.55,11.79,27,1,1539947066997
0,8,12,11.55,11.79,50,1,1539947067824
0,11,12,11.55,11.79,27,1,1539947089213
0,11,12,11.56,11.79,50,1,1539947089306
0,11,12,11.55,11.79,27,1,1539947111223
0,11,12,11.57,11.79,50,1,1539947111325
0,11,12,11.55,11.79,27,1,1539947120382
0,11,11,11.55,11.8,27,1,1539947183839
0,11,11,11.56,11.8,20,1,1539947216410
0,8,11,11.79,11.8,1,1,1539947435495
0,11,11,11.6,11.8,50,1,1539947464456
0,11,8,11.6,11.79,50,1,1539947464465
0,11,11,11.6,11.8,50,1,1539947465400
0,11,11,11.56,11.8,20,1,1539947472150
0,11,11,11.61,11.8,50,1,1539947472253
0,11,11,11.56,11.8,20,1,1539947480688
0,11,11,11.57,11.8,10,1,1539947724857
0,11,12,11.57,11.8,10,3,1539947969314
0,12,11,11.6,11.94,1,38,1539948136927
0,11,11,11.57,11.94,10,38,1539948136927
0,11,11,11.8,11.94,24,38,1539948136935
0,11,11,11.8,11.94,22,38,1539948144092
0,11,11,11.8,11.94,21,38,1539948144093
0,11,18,11.8,11.91,21,1,1539948144093
0,11,18,11.8,11.91,21,2,1539948144093
0,11,11,11.8,11.91,21,4,1539948204570
0,11,11,11.8,11.92,21,4,1539948213534
0,11,8,11.8,11.9,21,10,1539948320351
0,11,11,11.8,11.92,21,4,1539948348043
0,11,11,11.8,11.92,11,4,1539948374527
0,11,8,11.8,11.9,11,10,1539948377355
0,11,12,11.8,11.85,11,1,1539948421649
0,11,12,11.81,11.85,20,1,1539948426359
0,11,8,11.81,11.9,20,10,1539948501574
0,11,8,11.81,11.9,10,10,1539948505212
0,11,8,11.8,11.9,11,10,1539948505212
0,11,12,11.8,11.89,11,1,1539948526206
0,11,12,11.76,11.89,5,1,1539948561288
0,11,18,11.76,11.87,5,1,1539948561289
0,11,8,11.76,11.9,5,10,1539948586048
0,11,12,11.76,11.89,5,1,1539948586048
0,11,11,11.76,11.8,5,9,1539948599274
0,11,11,11.76,11.78,5,1,1539948721485
0,11,11,11.76,11.8,5,9,1539948768280
0,11,11,11.76,11.8,4,9,1539948768284
0,11,11,11.76,11.8,4,11,1539948831617
0,11,11,11.76,11.8,4,6,1539948867246
0,11,11,11.76,11.79,4,1,1539948908373
0,12,11,11.6,11.79,1,1,1539948988117
0,12,12,11.6,11.76,1,6,1539948988119
0,12,11,11.6,11.79,1,1,1539949074567
0,8,11,11.61,11.79,10,1,1539949149972
0,11,11,11.65,11.79,20,1,1539949390650
0,8,11,11.61,11.79,10,1,1539949398347
0,11,11,11.67,11.79,20,1,1539949398498
0,8,11,11.61,11.79,10,1,1539949403585
0,11,11,11.76,11.79,6,1,1539949485947
0,11,11,11.76,11.79,1,1,1539949511371
0,11,11,11.76,11.8,1,4,1539949524903
0,8,11,11.61,11.8,10,4,1539949630038
0,8,11,11.61,11.76,10,13,1539949630651
0,8,11,11.61,11.76,10,12,1539949637138
0,8,18,11.61,11.73,5,1,1539949764544
0,8,11,11.61,11.76,5,12,1539949764544
0,8,11,11.61,11.76,5,12,1539949784216
0,12,11,11.62,11.76,1,12,1539949784217
0,12,11,11.62,11.76,1,8,1539949784219
0,11,11,11.7,11.76,4,8,1539949843193
0,12,11,11.7,11.76,1,8,1539949895047
0,11,11,11.71,11.76,4,8,1539949895051
0,12,11,11.71,11.76,1,8,1539949959716
0,12,11,11.71,11.76,1,4,1539949959719
0,12,8,11.71,11.73,1,10,1539950122142
0,12,11,11.71,11.75,1,6,1539950180366
0,12,8,11.71,11.73,1,5,1539950180370
0,12,11,11.71,11.75,1,6,1539950183343
0,12,11,11.71,11.76,1,4,1539950206255
0,12,11,11.71,11.76,1,10,1539950228358
0,12,11,11.71,11.76,1,4,1539950288650
0,12,11,11.71,11.74,1,6,1539950288692
0,11,11,11.71,11.74,3,6,1539950364527
0,11,11,11.71,11.74,3,4,1539950405934
0,11,11,11.71,11.74,3,2,1539950406052
0,12,11,11.72,11.74,1,2,1539950406053
0,12,11,11.72,11.74,2,2,1539950406053
0,12,11,11.72,11.76,1,4,1539950406166
0,12,11,11.72,11.76,2,4,1539950406166
0,11,11,11.76,11.8,6,4,1539950418651
0,11,11,11.8,11.89,5,2,1539950426582
0,11,11,11.89,11.9,8,20,1539950433290
0,11,11,11.89,11.9,7,20,1539950435794
0,11,11,11.89,11.9,7,15,1539950436415
0,11,11,11.89,11.9,5,15,1539950438756
0,11,8,11.89,11.9,5,10,1539950442165
0,11,8,11.89,11.9,15,10,1539950442871
0,11,8,11.89,11.9,15,7,1539950446696
0,11,8,11.89,11.9,15,4,1539950448614
0,11,8,11.89,11.9,25,4,1539950451625
0,11,11,11.9,11.94,20,38,1539950459835
0,11,11,11.89,11.94,25,38,1539950459835
0,11,11,11.9,11.94,20,18,1539950461589
0,11,11,11.9,11.94,20,13,1539950461950
0,11,11,11.9,11.94,20,3,1539950462828
0,12,11,11.91,11.94,1,3,1539950462829
0,12,11,11.91,11.95,1,10,1539950471179
0,11,11,11.9,11.95,20,10,1539950471180
0,12,11,11.95,11.95,5,10,1539950471180
0,12,11,11.95,11.95,5,5,1539950473537
0,12,12,11.95,11.98,5,1,1539950473538
0,11,12,11.9,11.98,20,1,1539950473970
0,11,12,11.9,11.98,17,1,1539950478790
0,11,12,12,11.98,10,1,1539950479712
0,11,12,12,11.98,11,1,1539950479712
0,11,12,12,11.98,6,1,1539950479712
