c,bE,aE,bP,aP,bS,aS,t
0,11,11,58,110,19,1,1538035200025
0,11,8,58,105,19,1,1538046000311
0,11,8,78.75,105,1,1,1538046728316
0,11,8,79,105,1,1,1538049961873
0,8,8,96,105,19,1,1538050169865
0,8,8,97,105,19,1,1538050323427
0,8,8,95,105,19,1,1538050344489
0,11,8,79,105,1,1,1538050363484
0,8,8,98.02,105,1,1,1538050663137
0,11,8,79,105,1,1,1538050913347
0,11,11,79,98,1,1,1538050913348
0,11,12,79,97.75,1,2,1538051131094
0,11,11,79,98,1,1,1538051141375
0,11,12,79,97.75,1,2,1538051141376
0,11,12,79,97.75,1,1,1538051375733
0,11,12,79,97.75,1,2,1538051442781
0,11,11,79,98,1,1,1538051442781
0,11,11,79,98,1,1,1538051765171
0,11,12,79,97,1,2,1538051765172
0,11,11,79,96.5,1,61,1538052077720
0,11,11,79,96.5,1,86,1538052113670
0,11,8,79,95,1,9,1538052450530
0,11,11,79,96.5,1,86,1538052766639
0,11,8,79,96,1,2,1538052867023
0,11,8,79,94,1,1,1538052875543
0,11,8,79,92,1,2,1538052884411
0,11,8,79,92,1,1,1538053141540
0,11,8,79.05,92,1,1,1538053242242
0,11,8,81,92,1,1,1538053271080
0,11,8,84,92,5,1,1538053542578
0,11,8,81,92,1,1,1538053608764
0,11,8,84,92,5,1,1538053618201
0,11,8,81,92,1,1,1538053627885
0,12,8,85.05,92,3,1,1538053666780
0,12,11,85.05,96.5,3,86,1538053797127
0,12,8,85.05,92,3,5,1538053797133
0,11,8,84,92,10,5,1538053919863
0,11,8,86,92,5,5,1538054391678
0,11,8,87.3,92,1,5,1538054485037
0,11,8,89,92,1,5,1538054570961
0,11,8,87.3,92,1,5,1538054572236
0,18,8,88.24,92,1,4,1538054574378
0,11,8,87.3,92,1,4,1538054574378
0,11,8,89.5,92,1,4,1538054580467
0,11,8,90,92,1,4,1538054604074
0,11,8,89.5,92,1,4,1538054607207
0,11,8,90.8,92,1,4,1538054664442
0,11,8,91.1,92,1,4,1538054669097
0,11,8,91.5,92,1,4,1538054671685
0,11,8,89.5,92,1,4,1538054735251
0,11,8,91.4,92,1,4,1538054775333
0,11,8,91.6,92,1,4,1538054783155
0,11,8,91.8,92,1,4,1538054785171
0,11,8,91.8,92,1,3,1538054786502
0,11,8,91.8,92,1,2,1538054786939
0,2,8,91.84,92,1,2,1538054786940
0,2,8,91.84,92,1,1,1538054787380
0,11,8,91.8,92,1,1,1538054787381
0,11,8,91.8,92,1,5,1538054789349
0,11,8,91.6,92,1,5,1538054790555
0,11,8,91.4,92,1,5,1538054790742
0,11,8,89.5,92,1,5,1538054790910
0,11,8,87.3,92,1,5,1538054791092
0,11,8,87.5,92,3,5,1538054795004
0,11,8,91,92,1,5,1538054910520
0,12,8,87.5,92,6,5,1538054917747
0,11,8,87.5,92,3,5,1538054917748
0,11,8,91,92,1,5,1538054925780
0,11,8,91.4,92,1,5,1538054932499
0,11,8,91.4,92,1,4,1538054936652
0,11,8,91.4,92,1,2,1538054942857
0,11,8,91.4,92,1,1,1538054950347
0,11,12,91.4,94.19,1,6,1538054961753
0,11,12,91.4,95.57,1,6,1538054961753
0,11,12,91.4,95.68,1,3,1538054961754
0,11,12,91.4,95.68,1,2,1538054961755
0,11,7,91.4,95.68,1,2,1538054961755
0,11,18,91.4,95.68,1,1,1538054961755
0,11,8,91.4,95.68,1,1,1538054961764
0,11,12,91.4,95.68,1,1,1538054961764
0,11,11,91.4,96.5,1,61,1538054961764
0,11,8,91.4,92,1,2,1538054962259
0,11,8,91.4,92,1,1,1538054962331
0,11,8,91.4,92,1,2,1538054968172
0,11,8,91.4,92,1,1,1538054970329
0,11,8,91.8,92,2,1,1538054971699
0,11,12,91.8,95.57,2,6,1538054973598
