c,bE,aE,bP,aP,bS,aS,t
0,12,12,0.01,199999.99,1,1,1539862709059
0,12,12,0.01,,1,,1539862709059
0,12,11,0.01,40.4,1,1,1539865795236
0,11,11,32.95,40.4,1,1,1539865795237
0,11,11,32.95,40.4,2,2,1539869382425
0,11,12,32.95,40.4,2,1,1539869382425
0,11,11,36.26,39.78,1,1,1539869391147
0,11,11,36.26,40.4,1,2,1539869391147
0,11,11,36.26,39.78,2,2,1539869391147
0,11,11,36.26,39.78,2,1,1539869391147
0,11,11,36.26,39.78,1,2,1539869391372
0,11,11,36.26,39.78,1,1,1539869391372
0,10,10,38,38.38,1,1,1539869455786
0,10,10,37.28,38.38,3,1,1539869455786
0,11,11,37.95,38.38,1,1,1539869455969
0,11,15,37.95,38.37,1,1,1539869455970
0,10,10,37.42,38.38,9,1,1539869456225
0,10,15,37.42,38.37,9,1,1539869456225
0,10,11,37.42,38.38,9,1,1539869456283
0,10,10,37.42,38.38,9,1,1539869458955
0,10,11,37.8,38.38,1,1,1539869460414
0,10,15,37.8,38.19,1,1,1539869471340
0,11,15,37.8,38.19,1,1,1539869520112
0,10,15,37.8,38.19,1,1,1539869552678
0,11,15,37.75,38.19,2,1,1539869552678
0,11,15,37.75,38.19,1,1,1539869552773
0,10,15,37.6,38.19,1,1,1539869552774
0,10,15,37.85,38.19,1,1,1539869569857
0,10,15,37.6,38.19,1,1,1539869569858
0,10,15,37.6,38.19,2,1,1539869570009
0,10,11,37.6,38.18,2,1,1539869609703
0,10,11,37.6,38.18,3,1,1539869626823
0,10,11,37.89,38.18,1,1,1539869636826
0,10,11,37.89,38.18,1,1,1539869636828
0,10,11,37.9,38.18,1,1,1539869636828
0,10,10,37.89,37.9,1,1,1539869636829
0,10,10,37.63,37.9,1,1,1539869636829
0,10,11,37.63,38.18,1,1,1539869636830
0,10,11,37.63,38.18,2,1,1539869636830
0,10,11,37.91,38.18,1,1,1539869636830
0,10,11,37.63,38.18,2,1,1539869636830
0,10,10,37.63,38.18,2,1,1539869637008
0,11,11,37.63,38.18,1,1,1539869638937
0,10,10,37.6,38.18,1,1,1539869640009
0,15,10,37.63,38.18,1,1,1539869640011
0,10,10,37.6,38.18,1,1,1539869640012
0,12,10,37.63,38.18,1,1,1539869640016
