c,bE,aE,bP,aP,bS,aS,t
0,8,8,197.49,210.5,1,3,1539951787437
0,8,8,197.49,210.5,1,6,1539952202589
0,8,8,197.5,210.5,1,6,1539953713495
0,8,8,197.5,210.49,1,1,1539953713875
0,8,8,197.49,210.49,1,1,1539953716502
0,8,8,197.49,210.5,1,6,1539953717615
0,8,8,197.5,210.5,1,6,1539953718356
0,8,11,197.5,210.49,1,1,1539953719526
0,8,11,197.49,210.49,1,1,1539953721156
0,8,11,197.49,210.41,1,4,1539954147977
0,8,11,197.5,210.41,1,4,1539954219569
0,8,11,197.5,208,1,1,1539954221669
0,8,11,197.49,208,1,1,1539954223214
0,8,8,197.49,210.5,1,6,1539954989635
0,8,11,197.49,210.49,1,1,1539954992618
0,8,8,197.49,210.5,1,6,1539955253415
0,8,11,197.49,210.49,1,1,1539955567479
0,9,11,197.51,210.49,1,1,1539955637336
0,11,11,198.5,210.49,5,1,1539955762705
0,11,11,198.5,204.51,5,5,1539955762947
0,11,8,198.5,204.29,5,1,1539955770981
0,11,11,198.5,204.51,5,5,1539955770981
0,11,11,198.69,204.51,5,5,1539955771688
0,11,11,198.69,204.7,5,5,1539955771695
0,11,12,198.69,204.48,5,1,1539955772000
0,11,12,204.63,204.48,1,1,1539955775079
0,11,11,204.63,204.7,1,5,1539955775079
0,12,11,204.63,204.7,2,5,1539955775079
0,12,11,204.63,205.01,2,5,1539955775227
0,12,8,204.63,204.79,2,1,1539955775325
0,11,8,204.63,204.79,2,1,1539955776015
0,19,8,204.63,204.79,1,1,1539955776016
0,11,8,199,204.79,5,1,1539955776017
0,11,11,199,205.01,5,5,1539955782916
0,11,12,199,204.79,5,1,1539955783500
0,11,12,200.5,204.79,3,1,1539955790743
0,11,11,200.5,203.51,4,2,1539955790858
0,11,11,200.5,203.51,3,2,1539955790858
0,12,11,200.72,203.51,1,2,1539955790859
0,11,11,200.72,203.51,1,2,1539955793860
0,11,12,200.72,203.8,1,1,1539955795617
0,12,12,203.8,206.81,2,1,1539955795618
0,11,12,200.72,206.81,1,1,1539955795618
0,12,11,203.8,207.58,2,1,1539955795634
0,11,11,200.72,207.58,1,2,1539955795634
0,12,11,203.8,207.58,2,2,1539955795634
0,11,11,200.72,207.58,1,1,1539955795635
0,11,12,200.72,207.74,1,1,1539955799057
0,11,12,203.01,207.74,1,1,1539955800223
0,11,11,203.01,204.92,1,1,1539955800223
0,11,19,203.01,204.23,1,1,1539955800223
0,19,19,203.01,204.23,1,1,1539955800511
0,19,19,203.02,204.23,1,1,1539955800725
0,19,12,203.02,207.74,1,1,1539955800981
0,19,11,203.02,204.97,1,1,1539955801005
0,19,19,203.02,204.47,1,1,1539955801005
0,19,19,203.02,204.45,1,1,1539955801224
0,12,19,199.18,204.45,1,1,1539955801347
0,11,19,200.21,204.45,1,1,1539955801372
0,19,19,202.89,204.45,1,1,1539955801372
0,11,19,200.21,204.45,2,1,1539955801372
0,19,19,202.97,204.45,1,1,1539955801429
0,19,19,202.98,204.45,1,1,1539955801506
0,11,19,202.99,204.45,1,1,1539955802104
0,19,19,202.99,204.45,2,1,1539955802105
0,19,19,203,204.45,1,1,1539955802227
0,19,19,203,204.45,2,1,1539955802227
0,18,19,203.01,204.45,1,1,1539955802278
0,19,19,203.01,204.45,2,1,1539955802278
0,11,19,203.02,204.45,1,1,1539955802620
0,19,19,203.02,204.45,2,1,1539955802620
0,11,19,203.03,204.45,1,1,1539955802670
0,19,19,203.03,204.45,2,1,1539955802670
0,11,19,203.04,204.45,1,1,1539955802731
0,19,19,203.04,204.45,2,1,1539955802732
0,11,19,203.05,204.45,1,1,1539955802789
0,19,19,203.05,204.45,2,1,1539955802790
0,11,19,203.06,204.45,1,1,1539955802840
0,19,19,203.06,204.45,2,1,1539955802840
0,18,19,203.07,204.45,1,1,1539955802890
0,19,19,203.07,204.45,2,1,1539955802891
0,11,19,203.08,204.45,1,1,1539955802976
0,19,19,203.08,204.45,2,1,1539955802976
0,11,19,203.09,204.45,1,1,1539955803088
0,19,19,203.09,204.45,2,1,1539955803088
0,11,19,203.1,204.45,1,1,1539955803150
0,19,19,203.1,204.45,2,1,1539955803151
0,11,19,203.11,204.45,1,1,1539955803311
0,19,19,203.11,204.45,2,1,1539955803312
0,18,19,203.12,204.45,1,1,1539955803375
0,19,19,203.12,204.45,2,1,1539955803375
0,11,19,203.12,204.45,1,1,1539955803375
0,11,19,203.13,204.45,1,1,1539955803619
0,19,19,203.13,204.45,2,1,1539955803620
0,11,19,203.13,204.45,1,1,1539955803638
0,19,19,203.13,204.45,2,1,1539955803669
0,11,19,203.14,204.45,1,1,1539955803669
0,19,19,203.14,204.45,2,1,1539955803670
0,11,19,203.15,204.45,1,1,1539955803680
0,19,19,203.15,204.45,2,1,1539955803712
0,11,19,203.16,204.45,1,1,1539955803748
0,19,19,203.16,204.45,2,1,1539955803748
0,11,19,203.17,204.45,1,1,1539955804194
0,19,19,203.17,204.45,2,1,1539955804194
0,11,19,203.18,204.45,1,1,1539955804448
0,19,19,203.18,204.45,2,1,1539955804448
0,11,19,203.19,204.45,1,1,1539955804500
0,19,19,203.19,204.45,2,1,1539955804500
0,11,19,203.2,204.45,1,1,1539955804694
0,19,19,203.2,204.45,2,1,1539955804729
0,11,19,203.21,204.45,1,1,1539955804944
0,19,19,203.21,204.45,2,1,1539955804945
0,19,19,203.36,204.45,1,1,1539955805034
0,19,19,203.37,204.45,1,1,1539955805034
0,11,12,203.38,204.45,1,1,1539955805194
0,11,19,203.38,204.45,1,1,1539955805194
0,11,12,203.38,204.44,1,1,1539955805194
0,11,19,203.38,204.45,1,1,1539955805194
0,11,19,203.39,204.44,1,1,1539955805370
0,11,12,203.39,204.44,1,1,1539955805370
0,11,12,203.39,204.43,1,1,1539955805370
0,11,19,203.4,204.43,1,1,1539955805450
0,11,12,203.4,204.43,1,1,1539955805450
0,11,12,203.4,204.42,1,1,1539955805450
0,11,12,203.41,204.42,1,1,1539955805519
0,11,12,203.41,204.41,1,1,1539955805520
0,11,19,203.41,204.42,1,1,1539955805520
0,11,12,203.42,204.41,1,1,1539955805580
0,11,19,203.42,204.41,1,1,1539955805580
0,11,12,203.42,204.4,1,1,1539955805580
0,11,12,203.43,204.4,1,1,1539955805639
0,11,12,203.43,204.39,1,1,1539955805639
0,11,19,203.43,204.4,1,1,1539955805639
0,11,12,203.44,204.39,1,1,1539955806019
0,11,12,203.44,204.38,1,1,1539955806019
0,11,19,203.44,204.39,1,1,1539955806019
0,11,12,203.45,204.38,1,1,1539955806122
0,11,12,203.45,204.37,1,1,1539955806123
0,11,19,203.45,204.38,1,1,1539955806123
0,11,12,203.46,204.37,1,1,1539955806372
0,11,12,203.46,204.36,1,1,1539955806372
0,11,19,203.47,204.36,1,1,1539955806589
0,11,12,203.47,204.36,1,1,1539955806589
0,11,12,203.47,204.35,1,1,1539955806589
0,11,12,203.48,204.35,1,1,1539955806649
0,11,19,203.48,204.35,1,1,1539955806650
0,11,12,203.48,204.34,1,1,1539955806650
0,11,19,203.49,204.34,1,1,1539955806700
0,11,12,203.49,204.34,1,1,1539955806700
0,11,12,203.49,204.33,1,1,1539955806700
0,11,19,203.5,204.33,1,1,1539955806977
0,11,12,203.5,204.33,1,1,1539955806977
0,11,12,203.5,204.32,1,1,1539955806977
0,11,19,203.51,204.32,1,1,1539955807227
0,11,12,203.51,204.32,1,1,1539955807227
0,11,12,203.51,204.31,1,1,1539955807227
0,11,12,203.52,204.31,1,1,1539955807379
0,11,19,203.52,204.31,1,1,1539955807380
0,11,12,203.52,204.3,1,1,1539955807380
0,11,12,203.53,204.29,1,1,1539955807450
0,11,12,203.53,204.3,1,1,1539955807450
0,11,12,203.54,204.29,1,1,1539955807579
0,11,19,203.54,204.29,1,1,1539955807580
0,11,12,203.54,204.28,1,1,1539955807580
0,11,12,203.55,204.28,1,1,1539955807720
0,11,12,203.55,204.27,1,1,1539955807720
0,11,19,203.55,204.28,1,1,1539955807720
0,11,19,203.56,204.27,1,1,1539955807893
0,11,12,203.56,204.27,1,1,1539955807893
0,11,12,203.56,204.26,1,1,1539955807893
0,11,19,203.57,204.26,1,1,1539955807970
0,11,12,203.57,204.26,1,1,1539955807970
0,11,12,203.57,204.25,1,1,1539955807970
0,11,12,203.58,204.25,1,1,1539955808022
0,11,12,203.58,204.24,1,1,1539955808023
0,11,12,203.59,204.23,1,1,1539955808085
0,11,12,203.59,204.24,1,1,1539955808085
0,11,12,203.6,204.23,1,1,1539955808135
0,11,12,203.6,204.22,1,1,1539955808136
0,11,12,203.61,204.22,1,1,1539955808189
0,11,12,203.61,204.21,1,1,1539955808189
0,11,12,203.62,204.21,1,1,1539955808249
0,11,12,203.62,204.2,1,1,1539955808250
0,11,12,203.63,204.2,1,1,1539955808395
0,11,12,203.63,204.19,1,1,1539955808395
0,11,12,203.64,204.19,1,1,1539955808645
0,11,12,203.64,204.18,1,1,1539955808645
0,11,12,203.65,204.17,2,1,1539955809070
0,11,12,203.65,204.18,2,1,1539955809070
0,8,12,203.65,204.17,2,1,1539955809311
0,12,12,203.66,204.17,3,1,1539955809311
0,12,12,203.65,204.17,1,1,1539955809311
0,12,12,203.66,204.16,3,1,1539955809311
0,12,12,203.66,204.16,1,1,1539955809311
0,12,19,203.66,204.25,1,1,1539955809376
0,12,19,203.66,204.25,3,1,1539955809376
0,11,19,203.22,204.25,1,1,1539955810271
0,12,19,203.66,204.25,2,1,1539955810271
0,11,19,203.23,204.25,1,1,1539955810489
0,11,19,203.24,204.25,1,1,1539955810819
0,11,19,203.26,204.25,1,1,1539955811102
0,11,19,203.25,204.25,1,1,1539955811102
0,11,19,203.28,204.25,1,1,1539955811102
0,11,19,203.27,204.25,1,1,1539955811102
0,8,19,203.26,204.25,1,1,1539955811102
0,18,19,203.26,204.25,1,1,1539955811102
0,11,19,203.29,204.25,1,1,1539955811102
