c,bE,aE,bP,aP,bS,aS,t
0,11,12,63.05,66.8,3,9,1537346559000
0,11,12,54,66.8,2,9,1537346559005
0,12,12,63.05,66.8,3,9,1537346559008
0,8,12,65.3,66.8,1,9,1537354800035
0,8,12,65.5,66.8,1,9,1537354800036
0,8,12,65.5,66.8,2,9,1537354826789
0,8,12,65.8,66.8,3,9,1537355050992
0,8,12,65.5,66.8,2,9,1537355068992
0,8,12,66,66.8,3,9,1537355069115
0,8,12,65.5,66.8,2,9,1537355081049
0,8,11,65.5,66,2,3,1537355090981
0,8,12,65.5,66.8,2,9,1537355113028
0,11,8,63.55,65,3,1,1537355292743
0,8,12,65.3,66.8,1,9,1537355292743
0,11,8,63.7,65,4,1,1537356149021
0,11,8,63.55,65,3,1,1537356431078
0,11,8,63.55,65,2,1,1537357090372
0,11,12,63.55,65.35,2,1,1537357812227
0,11,12,64,65.35,2,1,1537358015235
0,11,11,64,65.34,2,2,1537358095117
0,8,11,65,65.34,1,2,1537358400002
0,8,12,65,65.3,1,1,1537358403749
0,8,11,65,65.34,1,2,1537358427046
0,8,12,65,65.15,1,1,1537358427047
0,11,12,64,65.15,2,1,1537358520325
0,11,11,64,65.34,2,2,1537358576740
0,8,11,64.17,65.34,1,2,1537358694390
0,11,11,65,65.34,2,2,1537358810684
0,8,11,65,65.34,1,2,1537358968939
0,8,11,65,65.34,1,3,1537359003228
0,11,11,63.55,65.34,2,3,1537359150402
0,11,11,63.55,65.34,3,3,1537359504288
0,11,8,63.55,65.1,3,1,1537359703464
0,11,12,63.55,65.09,3,1,1537360057658
0,11,12,63.55,65.09,1,1,1537360065737
0,11,8,63.55,65,1,10,1537360229371
0,11,8,63.05,65,20,10,1537360229376
0,11,11,63.05,65.34,20,1,1537360262442
0,11,8,63.05,64.95,20,10,1537360262540
0,11,12,63.05,64.94,20,1,1537360290143
0,11,8,63.05,64.9,20,10,1537360417558
0,11,8,63.05,64.9,20,12,1537360477373
0,11,12,63.05,64.89,20,1,1537361089200
0,11,8,63.05,64.8,20,10,1537361420535
0,11,8,63.05,64.8,1,10,1537361423630
0,11,8,63.05,64.9,1,2,1537361460870
0,11,8,63.05,64.7,1,10,1537361460966
0,11,8,63.05,64.9,1,2,1537361486732
0,11,11,63.05,64.6,1,10,1537361486818
0,11,12,63.05,64.55,1,1,1537361546321
0,11,12,63.05,64.35,1,1,1537362360198
0,11,12,63.05,64.54,1,1,1537362360198
0,11,12,63.05,64.08,1,1,1537362360198
0,11,12,63.05,64.25,1,1,1537362360198
0,8,12,60.5,64.08,1,1,1537362360198
0,8,19,60.5,64.08,1,2,1537362360199
0,8,2,60.5,63.65,1,1,1537362360199
0,8,17,60.5,64.07,1,1,1537362360199
0,8,18,60.5,63.04,1,1,1537362360199
0,8,17,60.5,64.07,1,1,1537362360229
0,8,12,60.5,64.07,1,1,1537362362199
0,8,11,60.5,62.07,1,3,1537362369581
0,8,12,60.5,62.75,1,20,1537362371427
0,8,12,60.5,64.55,1,1,1537362374862
0,8,12,60.5,61.31,1,20,1537362389686
0,8,12,60.5,64.55,1,1,1537362393841
0,8,11,60.5,64.6,1,10,1537362396937
0,8,11,60.5,64.5,1,1,1537362400546
0,8,11,60.5,64.48,1,2,1537362401677
0,8,11,60.5,64.2,1,1,1537362403339
0,8,12,60.5,60.99,1,20,1537362404219
0,8,12,60.5,60.99,1,19,1537362405882
0,8,12,60,60.99,2,19,1537362406276
0,8,12,60,60.99,2,18,1537362406770
0,8,12,59.5,60.99,1,18,1537362407261
0,8,17,59.5,64.24,1,1,1537362407263
0,8,12,59.5,60,1,18,1537362407264
0,11,12,59.1,60,1,18,1537362407265
0,11,12,57,60,11,18,1537362412254
0,11,12,57.01,60,3,18,1537362435120
0,11,12,57,60,11,18,1537362440153
0,11,12,57.02,60,1,18,1537362443346
0,11,12,57,60,11,18,1537362446191
0,11,12,57.01,60,12,18,1537362474872
0,11,12,58,60,3,18,1537362510394
0,11,11,58,64.47,3,1,1537362515805
0,11,12,58,61,3,18,1537362515806
0,11,11,58,64.47,3,1,1537362522562
0,11,12,58,62,3,18,1537362522563
0,11,12,60,62,1,18,1537362524270
0,11,12,60,62,2,18,1537362524270
0,11,11,60,64.47,1,1,1537362528027
0,11,12,60,63,1,18,1537362528029
0,11,12,60,63,4,18,1537362547880
0,11,11,60,64.47,4,1,1537362548356
0,11,17,60,64.46,4,1,1537362548361
0,11,17,57.01,64.46,12,1,1537362548361
0,11,12,57.01,60,12,13,1537362548364
0,11,12,57.01,63.6,12,1,1537362558130
0,11,12,57.01,63,12,13,1537362558131
0,11,12,57.5,63,1,13,1537362565934
0,11,12,60,63,5,13,1537362566217
0,11,11,60,62,5,3,1537362618871
0,11,12,60,61,5,1,1537362621452
0,11,12,60,61.99,5,1,1537362621452
0,11,12,57.5,61,1,1,1537362621452
0,11,19,57.5,61,1,1,1537362621453
0,11,11,57.5,62,1,3,1537362621453
0,11,8,57.5,61,1,1,1537362621453
0,11,15,57.5,61,1,1,1537362621455
0,11,12,57.5,60,1,6,1537362621456
0,18,12,58,60,1,5,1537362626500
0,11,12,57.5,60,1,5,1537362626500
0,18,11,58,62,1,3,1537362626928
0,11,11,57.5,62,1,3,1537362626929
0,11,11,60,62,1,3,1537362640808
0,11,12,60,61,1,1,1537362648108
0,11,12,60,61.99,1,1,1537362648108
0,11,11,57.5,60,1,1,1537362648108
0,11,12,57.5,60,1,5,1537362648825
