c,bE,aE,bP,aP,bS,aS,t
0,11,11,34.01,41.6,1,2,1539763200036
0,11,11,34.01,38.5,1,13,1539763200036
0,11,11,34.35,38.5,3,13,1539764450283
0,11,11,34.35,38.5,4,13,1539769249266
0,11,11,34.35,38.49,4,1,1539771754347
0,11,11,34.4,38.49,1,1,1539771785063
0,11,11,34.86,38.49,1,1,1539773859033
0,8,11,35.1,38.49,1,1,1539774000001
0,11,11,35.2,38.49,1,1,1539774004448
0,11,11,37,38.49,2,1,1539774007550
0,11,11,37.01,38.49,1,1,1539775492499
0,11,8,37.01,38.3,1,1,1539777432660
0,11,8,37,38.3,2,1,1539777445977
0,11,11,37,38.01,2,1,1539777514258
0,12,11,37.11,38.01,1,1,1539777605451
0,12,8,37.11,38,1,1,1539777638406
0,12,11,37.11,38.25,1,1,1539777765977
0,8,11,37.15,38.25,2,1,1539778039220
0,8,11,37.15,38.49,2,1,1539778127068
0,11,8,37.15,38.25,2,1,1539778127112
0,11,8,37.15,38.25,5,1,1539778138309
0,12,8,38,38.25,1,1,1539778164144
0,11,8,37.15,38.25,5,1,1539778167890
0,11,11,37.15,38.49,5,1,1539778230406
0,11,8,37.15,38,5,1,1539778230451
0,11,11,37.15,38.49,5,1,1539778855479
0,11,11,37.15,38,5,1,1539778855524
0,12,11,37.37,38,1,1,1539778948759
0,12,11,37.37,37.85,1,1,1539778948760
0,18,11,37.25,37.85,1,1,1539778948789
0,19,11,37.37,37.85,1,1,1539778948789
0,11,11,37.15,37.85,5,1,1539778948789
0,7,11,37.25,37.85,1,1,1539778948789
0,12,11,37.5,37.85,2,1,1539778964434
0,11,11,37.15,37.85,5,1,1539778966663
0,11,15,37.15,37.5,5,1,1539778966665
0,11,11,37.15,37.85,5,1,1539778966845
0,8,11,37.22,37.85,10,1,1539779257791
0,8,11,37.22,38,10,1,1539779257792
0,12,11,37.5,38,2,1,1539779258448
0,8,11,37.22,38,10,1,1539779300842
0,8,15,37.22,37.5,10,1,1539779300844
0,8,11,37.22,38,10,1,1539779301281
0,8,11,37.22,38,9,1,1539779340010
0,8,12,37.22,37.5,9,2,1539779621940
0,8,18,37.22,37.44,7,1,1539779639838
0,8,12,37.22,37.5,7,2,1539779639838
0,8,18,37.22,37.39,7,1,1539779640010
0,8,18,37.22,37.39,6,1,1539779640011
0,8,18,37.22,37.39,3,1,1539779648084
0,8,18,37.22,37.44,3,1,1539779648084
0,8,12,37.22,37.5,2,2,1539779650502
0,8,18,37.22,37.44,2,1,1539779650502
0,8,18,37.22,37.44,2,1,1539779650502
0,8,12,37.22,37.5,2,2,1539779661547
0,8,12,37.22,37.5,1,2,1539779707989
0,8,18,37.22,37.44,1,1,1539779707989
0,11,12,37.15,37.5,3,2,1539779711126
0,11,18,37.15,37.44,3,1,1539779711126
0,11,18,37.15,37.44,3,1,1539779711126
0,11,12,37.15,37.5,3,2,1539779713637
0,11,18,37.15,37.44,3,1,1539779731603
0,11,12,37.15,37.5,3,2,1539779731633
0,11,12,37.15,37.48,3,1,1539779828234
0,11,12,37.15,37.48,4,1,1539779937760
0,11,18,37.15,37.42,4,1,1539780240011
0,11,12,37.15,37.4,4,3,1539780671184
0,11,12,37.4,37.48,1,1,1539780900651
0,11,12,37.4,37.4,1,3,1539780900651
0,11,11,37.4,38,1,1,1539780902321
0,11,11,37.5,38,1,1,1539781149491
0,11,11,37.5,38,4,1,1539781215895
0,11,11,37.5,38.49,4,2,1539781274683
0,12,11,37.56,38.49,1,2,1539781425072
0,19,11,37.56,38.49,1,2,1539781425102
0,11,11,37.5,38.49,4,2,1539781425102
0,11,11,37.5,38.49,3,2,1539781518433
0,11,11,37.55,38.49,1,2,1539781624363
0,12,11,37.5,38.49,3,2,1539781687908
0,12,11,37.5,38.49,3,1,1539781853252
0,12,11,37.5,38.49,1,1,1539782828169
0,12,11,37.55,38.49,2,1,1539782828169
0,12,11,37.5,38.49,1,1,1539782880159
0,11,11,37.4,38.49,1,1,1539782880159
0,11,12,37.4,37.55,1,1,1539782880159
0,11,12,37.4,38.03,1,1,1539782880159
0,11,19,37.4,38.03,1,1,1539782880159
0,11,11,37.4,37.58,1,5,1539782880159
0,11,17,37.4,38.3,1,1,1539782880159
0,11,18,37.4,37.75,1,1,1539782880159
0,11,18,37.4,38.3,1,2,1539782880159
0,11,11,37.4,37.57,1,3,1539782880161
0,11,11,37.4,38.49,1,1,1539782883454
0,11,11,37.4,38.49,1,1,1539782945666
0,11,18,37.4,37.7,1,1,1539782945666
0,11,12,37.4,37.7,1,1,1539782990303
0,11,18,37.4,37.64,1,1,1539782999996
0,12,18,36.89,37.64,2,1,1539783000102
0,11,18,36.94,37.64,3,1,1539783000106
0,11,18,36.94,37.64,3,2,1539783000109
0,11,18,36.94,37.64,3,1,1539783000109
0,12,18,36.64,37.64,2,1,1539783000130
0,12,12,36.64,37.7,2,1,1539783000141
0,19,12,36.6,37.7,2,1,1539783000223
0,11,12,36.5,37.7,3,1,1539783000223
0,11,12,36.94,37.7,3,1,1539783000225
0,11,12,36.94,37.7,3,1,1539783000397
0,12,12,37.45,37.5,1,1,1539783000397
0,11,19,37.45,37.5,1,1,1539783001421
0,12,12,37.4,37.46,4,1,1539783001421
0,11,12,37.45,37.46,1,1,1539783001421
0,12,12,37.4,37.45,4,1,1539783001421
0,12,19,37.4,37.49,4,1,1539783001422
0,12,19,37.4,37.48,4,1,1539783001422
0,12,12,37.4,37.5,4,1,1539783001424
0,11,12,37.4,37.41,1,1,1539783002336
0,11,19,37.4,37.5,1,1,1539783002336
0,11,12,37.4,37.41,1,2,1539783002336
0,12,12,36.98,37.41,15,2,1539783002337
0,12,12,36.98,37.41,15,3,1539783002337
0,12,19,36.98,37.45,15,1,1539783002337
0,12,12,36.98,37.4,15,1,1539783002337
0,12,12,36.98,37.48,15,1,1539783002337
0,12,12,36.98,37.3,15,1,1539783002338
0,12,12,36.98,37.3,15,2,1539783003137
0,12,12,36.98,37.3,15,3,1539783003639
0,12,12,36.98,37.3,16,3,1539783004073
0,12,12,36.98,37.24,16,1,1539783005003
0,12,12,36.98,37.15,16,1,1539783005003
0,12,11,36.98,37.15,16,7,1539783005004
0,12,11,36.98,37.15,16,4,1539783005005
0,12,11,36.98,37.15,15,4,1539783005332
0,12,12,36.9,37.11,10,1,1539783005332
0,12,11,36.98,37.15,1,4,1539783005332
0,12,11,36.9,37.15,10,4,1539783005332
0,12,12,36.9,37.07,10,1,1539783005332
0,12,11,36.9,37.09,10,2,1539783005362
0,12,19,36.9,37.07,10,1,1539783005362
0,12,12,36.9,37.11,10,1,1539783005363
0,12,17,36.9,37.11,10,1,1539783005385
0,12,12,36.9,37.15,10,2,1539783005514
0,12,12,36.9,37.15,10,1,1539783005514
0,12,12,36.9,37.15,10,3,1539783010976
0,12,12,36.9,37.15,10,4,1539783014873
0,12,12,36.9,37.15,10,5,1539783026861
0,12,12,36.9,37.15,10,6,1539783028282
0,12,12,36.9,37.03,9,1,1539783030221
0,12,12,36.9,37.15,9,6,1539783030221
0,10,12,36.9,37.03,1,1,1539783030221
0,12,12,36.9,37.03,8,1,1539783030221
0,10,12,36.9,37,1,1,1539783030221
0,11,12,36.89,37,1,1,1539783030222
0,15,12,36.89,37,1,1,1539783030223
0,12,12,36.75,37,2,1,1539783030224
