c,bE,aE,bP,aP,bS,aS,t
0,11,11,67.5,74.95,1,47,1539763200046
0,11,11,67.5,74,2,1,1539763200047
0,11,11,67.5,74,1,1,1539763200047
0,11,11,67.5,73.85,2,3,1539765897060
0,11,11,67.5,73.75,2,2,1539765922580
0,11,11,67.5,73.85,2,3,1539766134933
0,11,11,67.5,74,2,1,1539766165866
0,11,11,67.5,72.99,2,1,1539766416438
0,11,11,67.5,72.25,2,1,1539766481092
0,11,11,67.5,72.24,2,1,1539766499041
0,11,11,67.5,72.23,2,1,1539766500360
0,11,11,67.5,72.99,2,1,1539766502420
0,11,11,67.5,74,2,1,1539766502563
0,11,11,67.5,72.23,2,1,1539766504827
0,11,11,67.5,72.23,2,2,1539766562964
0,11,11,67.5,72.23,2,1,1539766620909
0,11,11,67.5,72.23,2,2,1539766623202
0,11,11,67.5,72.23,2,3,1539766680846
0,11,11,67.5,72.23,2,2,1539766687625
0,11,11,67.5,72.23,2,1,1539766687663
0,11,11,67.5,72.23,2,2,1539766690165
0,11,11,67.5,72.22,2,1,1539766698660
0,11,11,67.5,72.22,2,2,1539766699593
0,11,11,67.5,72.21,2,1,1539766700029
0,11,11,67.5,72.21,2,2,1539766700330
0,11,11,67.5,72.2,2,1,1539766705426
0,11,11,67.5,72.2,2,2,1539766706349
0,11,11,67.5,72.2,2,1,1539766717821
0,11,11,67.5,72.19,2,1,1539766749350
0,11,11,67.5,74,2,1,1539766752980
0,11,11,67.5,72.24,2,1,1539766755366
0,11,11,67.5,74,2,1,1539766901275
0,11,11,67.5,72.24,2,1,1539766906986
0,11,11,68,72.24,1,1,1539766971794
0,11,11,68.5,72.24,1,1,1539767075165
0,11,11,68.5,72.23,1,1,1539767164045
0,11,11,68.5,72.99,1,1,1539767243428
0,11,11,68.5,74,1,1,1539767243447
0,11,11,71.5,74,1,1,1539767304497
0,11,11,72,74,1,1,1539767320501
0,11,11,67.5,74,2,1,1539767424909
0,11,11,71,74,1,1,1539767440561
0,11,11,71.2,74,1,1,1539768181861
0,11,11,71.2,72.99,1,1,1539768446359
0,11,11,71.2,74,1,1,1539768460648
0,11,11,71.2,72.99,1,1,1539768462586
0,11,11,71.2,74,1,1,1539768566658
0,11,11,71.2,72.99,1,1,1539768568264
0,11,11,71.2,74,1,1,1539768757020
0,11,11,71.2,72.99,1,1,1539768760403
0,11,11,71,72.99,1,1,1539772987210
0,11,11,71,74,1,1,1539773514019
0,8,11,71.4,74,5,1,1539774000076
0,11,11,71.46,74,10,1,1539774007864
0,11,11,72.35,74,5,1,1539774008299
0,11,11,72.4,74,3,1,1539774008410
0,11,11,72.4,72.99,3,1,1539774008412
0,11,11,72.4,74,3,1,1539774044993
0,11,11,72.35,74,5,1,1539774202190
0,11,11,72.9,74,2,1,1539774202300
0,11,11,73,74.45,1,1,1539774304219
0,11,8,73,74.45,1,5,1539774326523
0,11,8,73,74.45,1,4,1539774608473
0,11,8,73,74.45,1,5,1539774671926
0,11,11,73,74.2,1,1,1539774774692
0,11,11,73,74.2,1,2,1539774832940
0,11,11,73,73.99,1,1,1539775325970
0,8,11,73,73.99,2,1,1539776190621
0,8,11,73.06,73.99,2,1,1539776199079
0,8,11,73.12,73.99,2,1,1539776203239
0,8,11,73.55,73.99,2,1,1539776236129
0,8,11,73.61,73.99,2,1,1539776246628
0,8,11,73.61,73.99,1,1,1539776252139
0,8,18,73.61,73.91,1,1,1539776252140
0,8,11,73.67,73.99,1,1,1539776252503
0,8,18,73.67,73.91,1,1,1539776252503
0,8,11,73.72,73.99,1,1,1539776266716
0,8,11,73.77,73.99,1,1,1539776271015
0,8,11,73.83,73.99,1,1,1539776275955
0,8,11,73.88,73.99,1,1,1539776280438
0,8,11,73.93,73.99,1,1,1539776285609
0,8,11,73.1,73.99,1,1,1539776290834
0,11,11,73,73.99,1,1,1539776295048
0,11,11,73,73.99,6,1,1539776315436
0,11,11,73,73.99,1,1,1539776475890
0,11,11,73.01,73.99,10,1,1539776602213
0,11,11,73.01,73.99,10,2,1539777344901
0,11,8,73.01,73.5,10,1,1539777523347
0,11,11,73.01,73.99,10,2,1539777577719
0,11,11,73.01,73.89,10,3,1539777721556
0,11,18,73.01,73.71,6,1,1539777758840
0,11,11,73.01,73.89,6,3,1539777758840
0,11,18,73,73.71,1,1,1539777758840
0,11,18,72.9,73.71,2,1,1539777765536
0,11,11,72.9,73.89,2,3,1539777765536
0,11,11,72.85,73.89,1,3,1539777777163
0,11,11,72.85,73.69,1,3,1539777780110
0,8,11,72.63,73.69,1,3,1539777786230
0,8,11,72.79,73.69,1,3,1539777968591
0,8,8,72.79,72.9,1,1,1539777969085
0,8,8,72.63,72.9,1,1,1539777984081
0,8,11,72.63,73.69,1,3,1539777986420
0,8,8,72.63,72.79,1,1,1539777989392
0,8,11,72.63,73.69,1,3,1539777996111
0,8,11,72.63,73.69,6,3,1539778019148
0,8,11,72.63,73.69,1,3,1539778361064
0,12,11,72.82,73.69,1,3,1539779038615
0,15,11,72.82,73.69,1,3,1539779038643
0,8,11,72.82,73.69,1,3,1539779038643
0,15,11,72.82,73.29,1,1,1539779038643
0,8,11,72.63,73.29,1,1,1539779038644
0,8,8,72.63,72.82,1,1,1539779057968
0,8,11,72.63,73.29,1,1,1539779140916
0,8,8,72.63,72.82,1,1,1539779145696
0,8,11,72.63,73.29,1,1,1539779251006
0,8,8,72.63,72.82,1,1,1539779257866
0,8,11,72.63,73.29,1,1,1539779263148
0,8,8,72.63,72.82,1,1,1539779266538
0,8,11,72.63,73.29,1,1,1539779323861
0,8,8,72.63,72.82,1,1,1539779327974
0,8,11,72.63,73.29,1,1,1539779373529
0,8,8,72.63,72.82,1,1,1539779383232
0,8,8,72.4,72.6,3,19,1539779420917
0,8,8,72.4,72.6,3,20,1539779421814
0,8,8,72.4,72.6,3,19,1539779424122
0,8,8,72.4,72.6,3,20,1539779428745
0,11,8,72.35,72.6,5,20,1539779442824
0,11,12,72.35,72.5,1,1,1539779442824
0,11,12,72.35,72.5,5,1,1539779442824
0,11,7,72.35,72.5,1,1,1539779442854
0,11,19,72.35,72.5,1,1,1539779442854
0,11,15,72.35,72.5,1,1,1539779442854
0,11,8,72.35,72.5,1,1,1539779443826
0,8,8,71.78,72.5,1,1,1539779447398
0,8,11,71.78,72.55,1,1,1539779466520
0,8,8,71.78,72.35,1,1,1539779469557
0,12,8,72,72.35,1,1,1539779621054
0,12,11,72,72.55,1,1,1539779639035
0,18,11,72.07,72.55,1,1,1539779639036
0,12,11,72.11,73.99,1,2,1539779639036
0,18,12,72.07,73.99,1,2,1539779639036
0,18,11,72.17,73.99,1,2,1539779639036
0,17,11,72.14,73.99,1,2,1539779639036
0,19,11,72.34,73.99,1,2,1539779639036
0,12,11,72.35,73.99,3,2,1539779639037
0,12,11,72.35,73.97,3,3,1539779680687
0,12,11,72.35,73.97,3,4,1539779796134
0,12,11,72.38,73.97,3,4,1539779883885
0,8,11,72.35,73.97,1,4,1539779883885
0,12,11,72.38,73.8,3,1,1539780001797
0,12,11,72.38,73.8,3,2,1539780025413
0,12,11,72.55,73.8,3,2,1539780047387
0,8,11,72.38,73.8,1,2,1539780047387
0,11,11,72.56,73.8,1,2,1539780214598
0,8,11,72.56,73.8,1,2,1539780225338
