c,bE,aE,bP,aP,bS,aS,t
0,11,11,66.23,66.37,4,4,1538035200026
0,11,11,66.23,66.36,4,1,1538035200041
0,11,12,66.23,66.36,4,9,1538035200055
0,11,11,66.23,66.36,4,1,1538035200170
0,11,12,66.23,66.36,4,9,1538035200252
0,11,11,66.23,66.36,4,1,1538035200306
0,11,12,66.23,66.36,4,9,1538035200603
0,11,12,66.23,66.36,5,9,1538035201064
0,11,11,66.23,66.36,4,9,1538035201536
0,11,12,66.23,66.36,4,9,1538035201536
0,11,12,66.23,66.36,4,9,1538035204099
0,11,11,66.23,66.36,4,1,1538035204185
0,11,12,66.23,66.36,5,1,1538035204248
0,11,11,66.23,66.36,5,1,1538035204249
0,11,12,66.23,66.36,5,9,1538035204252
0,11,11,66.23,66.36,5,1,1538035205163
0,11,11,66.23,66.36,5,9,1538035207350
0,11,12,66.23,66.36,5,9,1538035207351
0,11,11,66.23,66.35,5,1,1538035208013
0,11,12,66.23,66.35,4,1,1538035208206
0,11,11,66.23,66.35,4,1,1538035208207
0,11,12,66.23,66.35,4,1,1538035212137
0,11,12,66.23,66.36,4,9,1538035212138
0,11,11,66.23,66.36,4,1,1538035212222
0,11,12,66.23,66.36,5,1,1538035212291
0,11,11,66.23,66.36,5,1,1538035212291
0,11,12,66.23,66.36,5,9,1538035217675
0,11,11,66.23,66.36,5,1,1538035217676
0,11,12,66.23,66.36,4,1,1538035241537
0,11,12,66.24,66.36,1,1,1538035241537
0,11,11,66.24,66.37,1,10,1538035241538
0,12,12,66.24,66.37,1,6,1538035241539
0,11,11,66.24,66.37,1,4,1538035241539
0,11,11,66.24,66.38,5,5,1538035241551
0,12,11,66.24,66.38,1,5,1538035241551
0,11,11,66.24,66.38,4,5,1538035241675
0,11,11,66.23,66.38,4,5,1538035241687
0,11,12,66.23,66.38,4,10,1538035242708
0,11,11,66.23,66.38,4,14,1538035242750
0,11,11,66.23,66.38,4,13,1538035242769
0,11,11,66.23,66.37,4,1,1538035242769
0,11,12,66.23,66.37,5,1,1538035249145
0,11,11,66.23,66.37,5,1,1538035249146
0,11,12,66.23,66.37,5,1,1538035254326
0,11,11,66.23,66.38,5,5,1538035254327
0,12,12,66.24,66.37,1,1,1538035254751
0,11,12,66.23,66.37,5,1,1538035254751
0,11,12,66.24,66.37,3,1,1538035254764
0,12,12,66.24,66.37,1,1,1538035260301
0,11,12,66.24,66.37,3,1,1538035261835
0,11,12,66.24,66.36,3,3,1538035264163
0,11,12,66.24,66.36,3,4,1538035264231
0,11,12,66.24,66.36,3,3,1538035266000
0,11,11,66.24,66.38,3,5,1538035266000
0,11,12,66.24,66.37,3,1,1538035266002
0,11,12,66.24,66.36,3,3,1538035266100
0,11,12,66.24,66.36,3,4,1538035266102
0,11,11,66.24,66.38,3,5,1538035269731
0,11,12,66.24,66.36,3,3,1538035269731
0,11,12,66.24,66.37,3,1,1538035269732
0,11,12,66.24,66.36,3,3,1538035269831
0,11,12,66.24,66.36,3,4,1538035269833
0,12,12,66.24,66.36,1,4,1538035271905
0,12,12,66.24,66.35,1,1,1538035272158
0,12,12,66.24,66.37,1,5,1538035273058
0,12,12,66.24,66.36,1,1,1538035273059
0,12,12,66.24,66.36,1,6,1538035273059
0,12,12,66.24,66.36,1,1,1538035275467
0,12,11,66.24,66.38,1,2,1538035275468
0,12,12,66.24,66.37,1,1,1538035275470
0,12,12,66.24,66.36,1,3,1538035275567
0,12,12,66.24,66.35,1,1,1538035275686
0,12,12,66.24,66.37,1,5,1538035276586
0,12,12,66.24,66.36,1,1,1538035276587
0,12,12,66.24,66.36,1,6,1538035276587
0,12,12,66.24,66.36,1,1,1538035276790
0,12,12,66.24,66.36,1,4,1538035276890
0,12,11,66.24,66.38,1,2,1538035278329
0,12,12,66.24,66.36,1,1,1538035278329
0,12,12,66.24,66.37,1,1,1538035278331
0,12,12,66.24,66.36,1,5,1538035278429
0,12,12,66.24,66.35,1,1,1538035278443
0,12,12,66.24,66.37,1,5,1538035279343
0,12,12,66.24,66.36,1,1,1538035279345
0,12,12,66.24,66.36,1,6,1538035279345
0,11,12,66.24,66.38,1,1,1538035283040
0,12,12,66.24,66.36,1,5,1538035283040
0,12,11,66.24,66.39,2,14,1538035283040
0,11,11,66.24,66.39,1,14,1538035283040
0,12,11,66.24,66.39,3,13,1538035283041
0,12,11,66.24,66.39,3,14,1538035283041
0,12,12,66.24,66.38,3,1,1538035283042
0,11,12,66.25,66.38,1,1,1538035283043
0,11,12,66.25,66.37,1,1,1538035283140
0,11,12,66.25,66.37,1,2,1538035283150
0,11,12,66.25,66.36,1,1,1538035283150
0,11,12,66.24,66.36,5,1,1538035283874
0,11,12,66.24,66.36,9,1,1538035283876
0,11,12,66.25,66.36,1,1,1538035284005
0,11,12,66.25,66.37,1,1,1538035284992
0,11,11,66.25,66.39,1,5,1538035284993
0,11,12,66.25,66.38,1,1,1538035284994
0,11,12,66.25,66.37,1,1,1538035285093
0,11,12,66.25,66.37,1,2,1538035285299
0,11,12,66.25,66.36,1,1,1538035289059
0,11,12,66.25,66.37,1,1,1538035289080
0,11,12,66.25,66.36,1,1,1538035289181
0,11,12,66.25,66.37,1,1,1538035292398
0,11,12,66.25,66.37,1,2,1538035292498
0,11,12,66.25,66.36,1,1,1538035292796
0,11,12,66.25,66.37,1,1,1538035292810
0,11,12,66.25,66.37,1,2,1538035292911
0,11,12,66.25,66.36,1,1,1538035294501
0,11,12,66.25,66.37,1,1,1538035294945
0,11,12,66.25,66.37,1,2,1538035295045
0,11,12,66.25,66.36,1,1,1538035302532
0,11,12,66.25,66.37,1,1,1538035302547
0,11,12,66.25,66.37,1,2,1538035302647
0,11,12,66.25,66.36,1,1,1538035302769
0,11,12,66.25,66.37,1,1,1538035302826
0,11,12,66.25,66.37,1,2,1538035302927
0,11,12,66.25,66.36,1,1,1538035303746
0,11,12,66.25,66.37,1,1,1538035304368
0,11,12,66.25,66.37,1,2,1538035304468
0,11,12,66.25,66.36,1,1,1538035304579
0,11,12,66.25,66.36,1,2,1538035311682
0,11,12,66.25,66.36,1,1,1538035311693
0,11,11,66.25,66.38,1,1,1538035311694
0,11,12,66.25,66.37,1,1,1538035311695
0,11,12,66.25,66.36,1,1,1538035311794
0,11,12,66.25,66.36,1,2,1538035322167
0,11,12,66.25,66.36,1,1,1538035322168
0,11,12,66.25,66.36,1,2,1538035324243
0,11,12,66.25,66.36,1,1,1538035324243
0,11,12,66.25,66.36,1,2,1538035324245
0,11,12,66.25,66.36,1,1,1538035327577
0,11,11,66.25,66.38,1,1,1538035327578
0,11,12,66.25,66.37,1,1,1538035327580
0,11,12,66.25,66.37,1,5,1538035327678
0,11,12,66.25,66.36,1,1,1538035328082
0,11,12,66.25,66.36,1,2,1538035328084
0,11,12,66.25,66.36,1,1,1538035330673
0,11,11,66.25,66.38,1,1,1538035330673
0,11,12,66.25,66.37,1,1,1538035330675
0,11,12,66.25,66.36,1,1,1538035330773
0,11,12,66.25,66.36,1,2,1538035330783
0,11,12,66.24,66.36,4,2,1538035334005
0,11,12,66.24,66.36,5,2,1538035334009
0,11,12,66.24,66.35,5,1,1538035334050
0,11,12,66.24,66.36,5,1,1538035334098
0,12,12,66.24,66.36,1,1,1538035334150
0,11,12,66.24,66.36,1,2,1538035334198
0,11,12,66.24,66.36,1,1,1538035334277
0,11,12,66.24,66.36,1,2,1538035334377
0,12,12,66.24,66.36,1,2,1538035334422
0,11,11,66.24,66.38,1,1,1538035336239
0,11,12,66.24,66.36,1,1,1538035336239
0,11,12,66.24,66.37,1,1,1538035336240
0,11,12,66.24,66.36,1,4,1538035336339
0,11,12,66.24,66.36,1,5,1538035336428
0,11,12,66.24,66.36,1,1,1538035336431
0,11,12,66.24,66.36,1,2,1538035336531
0,11,12,66.24,66.36,3,2,1538035343085
0,11,12,66.24,66.36,3,1,1538035343094
0,11,11,66.24,66.38,3,1,1538035343095
0,11,12,66.24,66.37,3,1,1538035343096
0,11,12,66.24,66.37,3,5,1538035343195
0,11,12,66.24,66.36,3,1,1538035343213
0,11,12,66.24,66.36,3,2,1538035343232
0,12,12,66.24,66.36,1,2,1538035343288
0,11,12,66.24,66.36,3,2,1538035343297
0,12,12,66.24,66.36,1,2,1538035343407
0,11,12,66.24,66.36,3,2,1538035343432
0,11,11,66.24,66.38,3,1,1538035348931
0,11,12,66.24,66.36,3,1,1538035348931
0,11,12,66.24,66.37,3,1,1538035348933
0,11,12,66.24,66.36,3,1,1538035349031
0,11,12,66.24,66.36,3,2,1538035349115
0,11,12,66.24,66.36,3,1,1538035352859
