c,bE,aE,bP,aP,bS,aS,t
0,8,11,49.65,50.08,7,2,1539216000004
0,11,11,49.59,50.08,3,2,1539216000011
0,11,11,49.71,52.66,1,1,1539244800031
0,11,11,49,52.66,2,1,1539244830042
0,11,11,44.99,52.66,1,1,1539244898255
0,11,11,44.99,52.66,1,2,1539247675191
0,11,11,46,52.66,5,2,1539247695494
0,11,11,49.6,52.66,1,2,1539249575387
0,11,11,49.72,52.66,1,2,1539250622737
0,11,11,49.72,52.65,1,1,1539250664159
0,11,11,49.71,52.65,10,1,1539251394163
0,11,11,49.71,52.65,9,1,1539251421038
0,11,11,49.71,52.65,1,1,1539252622077
0,11,11,49.71,49.72,1,1,1539252862374
0,11,11,49.7,52.65,8,1,1539252914430
0,11,11,49.7,52.65,1,1,1539252954157
0,11,11,49.71,52.65,1,1,1539254355382
0,11,11,49.7,52.65,1,1,1539254758469
0,11,11,49.7,50.65,1,1,1539255286363
0,11,11,49.7,52.65,1,2,1539255483048
0,11,8,49.7,52.55,1,1,1539255600197
0,11,11,49.7,52,1,2,1539255601411
0,11,11,49.75,50.4,15,1,1539255606662
0,11,11,49.7,50.4,1,1,1539255606662
0,11,11,49.75,50.4,14,1,1539255610315
0,11,11,49.75,50.4,14,2,1539255637546
0,11,11,49.75,50.4,13,2,1539255691779
0,11,11,49.75,50.1,13,1,1539255693360
0,11,11,49.75,50.1,12,1,1539255705227
0,8,11,49.95,50.1,1,1,1539255721426
0,11,11,49.75,50.1,12,1,1539255730987
0,8,11,49.8,50.1,1,1,1539255765593
0,11,11,49.75,50.1,12,1,1539255783317
0,11,11,49.75,50.4,12,2,1539255850102
0,11,11,49.75,50.4,13,2,1539255862363
0,11,11,49.75,50.4,13,2,1539255867200
0,11,11,50.11,50.4,2,2,1539255867200
0,11,8,49.75,50.4,13,15,1539255875049
0,11,11,49.75,50.25,13,1,1539255986691
0,11,11,49.75,50.1,13,1,1539255989673
0,11,11,49.75,50.25,13,1,1539255989700
0,11,11,49.8,50.25,1,1,1539256108158
0,11,11,49.75,50.25,12,1,1539256166301
0,11,12,49.75,49.8,12,1,1539256166303
0,11,11,49.75,50.25,12,1,1539256166313
0,11,12,49.75,49.8,12,1,1539256166315
0,11,11,49.75,50.25,12,1,1539256166321
0,11,12,49.75,49.8,12,1,1539256166322
0,11,11,49.75,50.25,12,1,1539256166325
0,11,12,49.75,49.8,12,1,1539256166326
0,11,11,49.75,50.25,12,1,1539256166329
0,11,12,49.75,49.8,12,1,1539256166330
0,11,11,49.75,50.25,12,1,1539256166333
0,11,12,49.75,50.1,12,1,1539256220520
0,19,12,49.75,50.1,2,1,1539256262039
0,11,12,50,50.1,1,1,1539256300561
0,11,12,50.1,50.1,3,1,1539256324272
0,11,11,50.1,50.25,3,1,1539256324273
0,11,12,50.1,50.1,3,1,1539256324273
0,11,11,50.1,50.25,3,1,1539256324278
0,11,11,50,50.25,1,1,1539256324278
0,11,12,50,50.1,1,1,1539256324280
0,11,11,50,50.25,1,1,1539256382901
0,11,11,50.1,50.25,1,1,1539256382904
0,11,11,50,50.25,1,1,1539256391159
0,11,12,50,50.15,1,1,1539256399024
0,11,12,50,50.15,3,1,1539256438707
0,11,12,50.15,50.15,1,1,1539256512760
0,11,11,50.15,50.25,1,1,1539256512761
0,11,12,50.15,50.15,1,1,1539256512761
0,11,11,50.15,50.25,1,1,1539256512764
0,11,11,50,50.25,1,1,1539256512765
0,11,12,50,50.15,1,1,1539256512766
0,12,12,50,50.15,1,1,1539256604414
0,11,12,50.13,50.15,1,1,1539256618195
