c,bE,aE,bP,aP,bS,aS,t
0,11,11,71.52,87.03,1,1,1539820800012
0,8,11,71.52,87.03,1,1,1539860400178
0,8,8,71.52,87.03,1,1,1539860400184
0,11,8,72.27,87.03,1,1,1539860402978
0,8,8,72.33,87.03,1,1,1539861057544
0,12,8,77.25,87.03,4,1,1539864247305
0,12,8,77.25,87.03,3,1,1539867801624
0,12,8,77.25,87,3,1,1539868747587
0,12,11,77.25,84,3,1,1539869382834
0,12,11,77.38,84,2,1,1539869400637
0,10,10,80.97,82.23,1,10,1539869481833
0,10,10,80.9,82.23,9,10,1539869481836
0,10,10,80.9,82.23,9,14,1539869481837
0,10,10,80.9,82.23,9,15,1539869481844
0,10,10,80.9,82.23,9,16,1539869481896
0,10,19,80.9,82.09,9,1,1539869482346
0,10,10,80.9,82.09,9,6,1539869482352
0,10,19,80.9,82.04,9,1,1539869482479
0,10,10,80.9,82.04,9,6,1539869482487
0,10,10,80.9,82.04,9,3,1539869482552
0,10,10,80.9,82.04,9,2,1539869482758
0,10,10,80.9,82.04,9,1,1539869482967
0,10,19,80.9,82.04,9,1,1539869487859
0,10,19,80.9,82.02,9,1,1539869487864
0,10,19,80.9,82.02,9,2,1539869491837
0,10,10,80.9,82.02,9,2,1539869492839
0,10,19,80.9,82.01,9,1,1539869493303
0,10,10,80.9,82.01,9,2,1539869493312
0,10,19,80.9,82.01,9,1,1539869493511
0,10,10,80.9,81.93,9,2,1539869513072
0,10,10,80.9,81.93,9,3,1539869513079
0,10,10,80.9,81.93,9,4,1539869513175
0,10,10,80.9,81.93,9,5,1539869513182
0,10,11,80.9,81.92,9,1,1539869515001
0,10,10,80.9,81.92,9,2,1539869515009
0,10,11,80.9,81.92,9,1,1539869515207
0,10,10,80.9,81.92,9,2,1539869518324
0,10,10,80.9,81.92,9,3,1539869518887
0,10,10,80.9,81.92,9,4,1539869518889
0,10,10,80.9,81.92,9,5,1539869518895
0,10,10,80.9,81.92,9,4,1539869524104
