c,bE,aE,bP,aP,bS,aS,t
0,11,11,255.8,288.5,4,5,1539676800031
0,11,11,255.8,273,4,1,1539684282301
0,11,11,255.8,288.5,4,5,1539684425456
0,11,12,255.8,288.49,4,1,1539687619796
0,8,12,273,288.49,5,1,1539687650664
0,11,12,255.8,288.49,4,1,1539687852241
0,11,11,255.8,280,4,1,1539688370168
0,11,12,255.8,288.49,4,1,1539688394937
0,11,12,272.97,288.49,2,1,1539688519027
0,11,12,272.97,288.49,1,1,1539688538669
0,11,12,255.8,288.49,4,1,1539688597859
0,11,12,272.99,288.49,1,1,1539688599956
0,11,11,272.99,288,1,1,1539688622058
0,11,11,255.8,288,4,1,1539689011977
0,11,11,273,288,1,1,1539689015014
0,8,11,265,288,1,1,1539689428000
0,11,11,255.8,288,4,1,1539689428000
0,11,7,255.8,280,4,1,1539689466077
0,11,19,255.8,280,4,2,1539689466077
0,11,12,255.8,288.49,4,1,1539689470544
0,11,18,255.8,280,4,1,1539689470544
0,11,7,255.8,279.95,4,1,1539689470549
0,11,8,255.8,279.95,4,1,1539689483242
0,11,19,255.8,279.95,4,1,1539689483242
0,11,18,255.8,279.95,4,1,1539689483242
0,11,11,255.8,287.99,4,1,1539689483243
0,11,12,255.8,275,4,1,1539689483258
0,11,8,255.8,275,4,2,1539689483259
0,11,11,255.8,272,4,1,1539689489191
0,11,12,255.8,270,4,1,1539689493756
0,11,7,255.8,270,4,2,1539689493757
0,11,11,255.8,267,4,1,1539689538116
0,11,11,255.8,266.99,4,1,1539689547376
0,11,11,255.8,267,4,1,1539689551031
0,11,11,255.8,266.98,4,1,1539689553581
0,11,11,255.8,267,4,1,1539689555460
0,11,11,255.8,266.97,4,1,1539689561091
0,11,11,255.8,267,4,1,1539689563241
0,11,11,255.8,266.95,4,1,1539689566037
0,11,11,255.8,267,4,1,1539689570023
0,11,11,255.8,266.9,4,1,1539689573614
0,11,11,255.8,267,4,1,1539689579472
0,11,11,255.8,266.89,4,1,1539689581671
0,11,11,255.8,267,4,2,1539689604010
0,11,11,255.8,266.88,4,1,1539689605331
0,11,11,255.8,264,4,1,1539689607584
0,11,11,256,264,1,1,1539689637238
0,11,11,255.8,264,4,1,1539689662851
0,11,11,257.9,264,1,1,1539689662950
0,19,11,256,264,1,1,1539689704120
0,11,11,258.55,264,1,1,1539689704220
0,19,11,256,264,1,1,1539689778023
0,11,11,259.1,264,1,1,1539689778123
0,11,11,259.1,263,1,2,1539689811605
0,19,11,256,263,1,2,1539689815089
0,19,7,256,262.22,1,1,1539689815089
0,19,11,256,263,1,2,1539689815101
0,19,18,256,262.22,1,1,1539689815101
0,19,18,256,262.51,1,1,1539689826356
0,19,11,256,258.55,1,1,1539689830685
0,19,18,256,258.06,1,1,1539689841965
0,19,11,256,258.55,1,1,1539689846927
0,19,7,256,258.06,1,1,1539689846927
0,11,11,256,258.55,3,1,1539689848263
0,11,12,256,258.5,3,1,1539689859553
0,11,11,256,258.55,3,1,1539689865720
0,11,11,256,258.55,3,2,1539689866692
0,11,11,256.1,258.55,1,2,1539689899425
0,11,12,256.1,257.5,1,1,1539689911262
0,19,12,256,257.5,1,1,1539689918628
0,11,12,255.8,257.5,4,1,1539689918629
0,11,12,255.8,257.05,4,1,1539689918630
0,11,12,255.8,257.05,3,1,1539689919802
0,11,12,255.8,257.05,2,1,1539689919846
0,11,12,255.8,257.05,1,1,1539689919919
0,8,12,255.59,257.05,2,1,1539689920504
0,8,2,255.59,257.2,1,1,1539689920769
0,8,12,255.59,257.05,1,1,1539689920769
0,8,12,255.59,257.5,1,1,1539689920769
0,11,12,255.5,257.5,5,1,1539689921390
0,11,12,255.5,257.5,4,1,1539689922166
0,11,12,255.5,257.5,3,1,1539689922951
0,11,12,255.5,257.5,2,1,1539689923119
0,11,12,255.5,257.5,1,1,1539689923641
0,19,12,255,257.5,1,1,1539689924307
0,19,12,255,256,1,1,1539689925280
0,19,12,255,255.99,1,1,1539689932487
0,19,12,255,256,1,1,1539689933266
0,19,12,255,255.99,1,1,1539689934975
0,19,12,255,256,1,1,1539689935886
0,19,12,255,257.5,1,1,1539689937526
0,19,12,255,257.49,1,1,1539689938768
0,19,12,255,257.5,1,1,1539689939526
0,8,12,255.01,257.5,1,1,1539689941151
0,19,12,255,257.5,1,1,1539689941525
0,19,11,255,257.49,1,1,1539689948569
0,19,12,255,257.5,1,1,1539689950145
0,19,11,255,256,1,1,1539689952888
0,19,12,255,257.5,1,1,1539689955613
0,8,12,255.5,257.5,1,1,1539689967597
0,8,11,255.5,258,1,1,1539689969067
0,8,11,256,258,1,1,1539689993532
0,8,12,256,259,1,1,1539689997353
0,8,8,256,266,1,1,1539690000558
0,18,8,256.6,266,1,1,1539690000558
0,7,8,256.6,266,1,1,1539690002077
0,8,8,256,266,1,1,1539690002077
0,11,8,257.6,266,1,1,1539690011875
0,8,8,257.61,266,2,1,1539690017990
0,11,8,257.6,266,1,1,1539690021965
0,11,8,258,266,1,1,1539690030333
0,11,8,257.6,266,1,1,1539690030338
0,11,11,257.6,260,1,3,1539690031245
0,12,11,257.5,260,2,3,1539690032204
0,12,11,257.5,260,1,3,1539690032208
0,11,11,253.8,260,1,3,1539690032209
0,12,11,257.5,260,2,3,1539690032209
0,12,11,257.5,260,1,3,1539690032210
0,12,11,257.5,260,2,3,1539690032210
0,11,11,253.8,260,1,3,1539690032210
0,12,11,257.5,260,1,3,1539690032211
0,11,11,253.8,260,1,3,1539690032211
0,12,11,257.5,260,2,3,1539690032211
0,12,11,257.5,260,1,3,1539690032216
0,12,12,257.5,259.95,1,1,1539690036031
0,12,12,257.5,258,1,2,1539690036066
0,12,12,257.5,258,2,2,1539690036066
0,11,12,255,258,1,2,1539690036066
0,12,12,257.5,257.85,2,1,1539690036067
0,12,12,257.5,257.9,2,1,1539690037417
0,12,8,257.5,257.85,2,1,1539690037417
0,12,11,257.5,260,2,3,1539690037417
0,12,12,257.5,259.95,2,1,1539690038482
0,12,12,257.5,259.94,2,2,1539690039014
0,12,12,257.5,259.95,2,1,1539690039425
0,11,19,255,259.46,1,1,1539690042134
0,11,12,255,259.95,1,1,1539690042134
0,11,11,255,257.5,1,1,1539690042137
0,11,12,255,257.45,1,1,1539690043408
0,11,12,255,257.44,1,2,1539690044007
0,11,12,255,257.45,1,1,1539690044966
0,11,12,255,257.4,1,1,1539690045170
0,11,12,255,257.39,1,2,1539690047506
0,11,12,255,257.4,1,1,1539690048645
0,11,12,255.5,257.4,2,1,1539690050561
0,11,11,255.5,257.5,2,1,1539690051170
0,8,11,255.51,257.5,2,1,1539690062351
0,11,11,255.5,257.5,2,1,1539690062735
0,11,8,255.5,257.49,2,2,1539690064751
0,11,11,255.5,257.5,2,1,1539690065753
0,11,11,256.12,257.5,1,1,1539690080166
0,11,11,256.12,257.5,1,2,1539690087853
0,11,11,255.5,257.5,2,2,1539690090611
0,11,11,256.12,257.5,1,2,1539690090725
0,12,11,256.12,257.5,1,2,1539690113306
0,11,11,256.12,257.5,1,2,1539690118848
0,12,11,256.81,257.5,1,2,1539690118850
0,12,11,256.81,257.5,1,1,1539690120292
0,12,11,257.02,257.5,1,1,1539690120293
0,12,11,256.81,257.5,1,1,1539690120297
0,11,11,256.12,257.5,1,1,1539690124143
0,19,11,257,257.5,1,1,1539690129744
0,11,11,256.12,257.5,1,1,1539690129748
0,11,11,256.12,257.4,1,2,1539690137627
0,11,11,256,257.4,1,2,1539690140479
0,8,11,256.26,257.4,1,2,1539690140594
0,11,11,256,257.4,1,2,1539690163551
0,11,11,256,257,1,4,1539690199375
0,11,11,256,257,1,5,1539690207115
0,11,11,256,257,1,4,1539690207780
0,11,11,256,257,1,6,1539690209996
0,12,11,256.25,257,1,6,1539690223614
0,11,11,256,257,1,6,1539690226687
0,11,11,256,256.95,1,1,1539690250507
0,11,11,256,256.9,1,2,1539690254309
0,11,11,256,256.9,2,2,1539690288673
0,11,11,256,256.85,2,1,1539690290850
0,11,11,256,256.9,2,2,1539690295763
0,8,11,256.01,256.9,2,2,1539690300792
0,8,11,256.01,257,2,4,1539690303439
0,8,11,256.01,257,2,6,1539690303467
0,8,11,256.01,257.5,2,1,1539690304825
0,12,11,256.31,257.5,1,1,1539690304826
0,8,11,256.01,257.5,2,1,1539690306073
0,2,11,256.21,257.5,1,1,1539690306073
0,11,11,256,257.5,2,1,1539690306325
0,11,11,256.01,257.5,2,1,1539690308268
0,11,11,256,257.5,2,1,1539690308573
0,8,11,256.01,257.5,2,1,1539690309131
0,8,11,256.01,257.5,2,3,1539690310630
0,11,11,256.85,257.5,1,3,1539690323419
0,8,11,256.02,257.5,1,3,1539690390982
0,8,11,256.02,257.5,1,1,1539690395830
0,8,11,256.02,257.6,1,2,1539690397000
0,11,11,257.5,257.6,1,2,1539690397004
0,11,11,257.5,257.6,1,1,1539690398277
0,11,11,257.5,258.9,1,2,1539690398301
0,11,11,257.5,257.7,1,1,1539690398325
0,11,11,257.5,258.9,1,2,1539690399303
0,11,11,258,258.9,2,2,1539690399828
0,11,11,257.5,258.9,1,2,1539690400965
0,8,11,257.5,258.9,2,2,1539690401041
0,8,11,257.51,258.9,2,2,1539690401893
0,11,11,257.5,258.9,1,2,1539690402305
0,8,11,257.5,258.9,2,2,1539690402305
0,8,11,256.02,258.9,1,2,1539690402305
0,8,19,256.02,257,1,3,1539690402318
0,8,19,256.02,257,1,2,1539690402635
0,8,19,256.02,257,1,1,1539690403393
0,8,11,256.02,256.99,1,2,1539690406148
0,8,19,256.02,257,1,1,1539690406385
0,8,19,256.02,257,1,3,1539690407033
0,12,19,256.03,257,2,3,1539690407127
0,12,11,256.03,258.9,2,2,1539690407212
0,11,11,256.05,258.9,1,2,1539690407301
0,11,19,256.05,257,1,3,1539690407324
0,12,19,256.06,257,2,3,1539690407874
0,8,19,256.02,257,1,3,1539690408266
0,12,19,256.04,257,1,3,1539690408266
0,12,19,256.07,257,2,3,1539690408267
0,12,19,256.07,257,2,1,1539690408425
0,8,19,256.02,257,1,1,1539690408646
0,12,19,256.08,257,2,1,1539690408647
0,8,19,256.02,257,1,1,1539690408906
0,12,19,256.03,257,1,1,1539690416386
0,12,19,256.03,257,2,1,1539690416554
0,12,19,256.03,257,3,1,1539690416667
0,12,19,256.03,257,2,1,1539690416806
0,12,19,256.04,257,1,1,1539690416822
0,12,19,256.04,257,2,1,1539690416990
0,12,19,256.05,257,1,1,1539690417247
0,12,19,256.05,257,2,1,1539690417367
0,12,19,256.06,257,1,1,1539690417586
0,12,19,256.06,257,2,1,1539690417746
0,12,19,256.06,257,3,1,1539690417887
0,12,19,256.06,257,2,1,1539690418026
0,12,19,256.07,257,1,1,1539690418027
0,12,19,256.07,257,2,1,1539690418187
0,12,19,256.07,257,3,1,1539690418347
0,12,19,256.07,257,2,1,1539690418486
0,12,19,256.08,257,1,1,1539690418487
0,12,19,256.31,257,1,1,1539690418587
0,12,19,256.31,257,2,1,1539690429579
0,12,19,256.32,257,1,1,1539690431562
0,12,19,256.32,257,2,1,1539690431706
0,12,19,256.32,257,3,1,1539690431826
0,12,19,256.32,257,2,1,1539690432006
0,12,19,256.33,257,1,1,1539690432006
0,12,19,256.33,257,2,1,1539690432167
0,12,19,256.33,257,3,1,1539690432306
0,12,19,256.33,257,2,1,1539690432606
0,12,19,256.34,257,1,1,1539690432607
0,12,19,256.34,257,2,1,1539690432747
0,12,19,256.34,257,3,1,1539690432894
0,12,19,256.34,257,2,1,1539690433046
0,12,19,256.35,257,1,1,1539690433047
0,12,19,256.35,257,2,1,1539690433206
0,12,19,256.36,257,1,1,1539690433375
0,12,19,256.36,257,2,1,1539690433515
0,12,19,256.37,257,1,1,1539690433687
0,12,19,256.37,257,2,1,1539690433855
0,12,19,256.38,257,1,1,1539690434034
0,12,19,256.38,257,2,1,1539690434227
0,12,19,256.38,257,3,1,1539690434327
0,12,19,256.38,257,2,1,1539690434726
0,11,19,256.39,257,1,1,1539690434729
0,12,19,256.39,257,2,1,1539690435015
0,11,19,256.39,257,1,1,1539690435247
0,12,19,256.4,257,1,1,1539690435247
0,12,19,256.4,257,2,1,1539690435427
0,11,19,256.41,257,1,1,1539690435768
0,12,19,256.42,257,1,1,1539690436107
0,12,19,256.42,257,2,1,1539690436267
0,12,19,256.43,257,1,1,1539690436427
0,12,19,256.43,257,2,1,1539690436595
0,12,19,256.44,257,1,1,1539690436770
0,12,19,256.44,257,2,1,1539690436914
0,12,19,256.45,257,1,1,1539690437095
0,12,19,256.45,257,2,1,1539690437266
0,12,19,256.46,257,1,1,1539690437447
0,12,19,256.46,257,2,1,1539690437627
0,12,19,256.47,257,1,1,1539690437767
0,12,19,256.47,257,1,4,1539690437904
0,12,19,256.47,257,2,4,1539690437969
0,12,19,256.48,257,1,4,1539690438146
0,12,19,256.48,257,2,4,1539690438321
0,12,19,256.49,257,1,4,1539690438466
0,12,19,256.49,257,2,4,1539690438626
0,11,19,256.5,257,1,4,1539690438949
0,12,19,256.49,257,2,4,1539690439245
0,12,19,256.49,257,1,4,1539690439246
0,8,19,256.02,257,1,4,1539690439247
0,12,19,256.03,257,1,4,1539690440674
0,12,19,256.04,257,1,4,1539690441334
0,11,19,256.05,257,1,4,1539690441848
0,12,19,256.04,257,1,4,1539690442165
0,12,19,256.03,257,1,4,1539690442166
0,8,19,256.02,257,1,4,1539690442166
0,12,19,256.45,257,1,4,1539690444062
0,8,19,256.02,257,1,4,1539690444526
0,11,19,256,257,1,4,1539690445296
0,11,2,256,256.8,1,1,1539690447923
0,11,12,256,256.7,1,1,1539690447924
0,11,2,256,256.8,1,1,1539690447996
0,11,19,256,257,1,4,1539690447996
0,11,19,256.9,257,3,4,1539690447997
0,12,19,256.9,257,5,4,1539690447997
0,11,19,256.9,257,3,4,1539690447998
0,12,19,256.9,257,3,4,1539690448144
0,12,19,256.9,257,2,4,1539690450053
0,11,19,256,257,1,4,1539690450316
0,11,19,256.9,257,1,4,1539690450320
0,11,19,256.9,257,1,6,1539690450451
0,12,19,256.9,257,1,6,1539690450682
0,11,19,256,257,1,6,1539690450683
0,12,19,256.9,257,1,6,1539690450684
0,12,19,256.9,257,2,6,1539690450685
0,11,19,256,257,1,6,1539690450826
0,12,19,256.9,257,1,6,1539690450826
0,11,12,256,256.9,1,1,1539690450826
0,11,19,256,257,1,6,1539690454211
0,11,19,256,257,1,5,1539690454819
0,11,19,256,256.98,1,2,1539690456152
0,11,19,256,257,1,5,1539690459028
0,11,11,256,256.99,1,2,1539690462216
0,11,8,256,256.95,1,1,1539690463676
0,11,11,256,256.8,1,1,1539690464622
0,12,11,256.2,256.8,1,1,1539690464659
0,12,11,256.2,256.74,1,2,1539690475073
0,12,11,256.33,256.74,1,2,1539690475787
0,11,11,256,256.74,1,2,1539690478603
0,12,11,256.33,256.74,1,2,1539690478604
0,8,11,256.34,256.74,1,2,1539690485817
0,11,11,256,256.74,1,2,1539690485985
0,11,11,256,256.74,2,2,1539690491308
0,11,12,256,256.4,2,1,1539690492543
0,12,12,256.1,256.4,1,1,1539690492886
0,12,11,256.1,256.74,1,2,1539690493726
0,8,11,256.11,256.74,1,2,1539690495536
0,11,11,256,256.74,2,2,1539690495641
0,11,11,256,256.5,2,1,1539690527297
0,8,11,256.01,256.5,1,1,1539690540496
0,11,11,256,256.5,2,1,1539690540805
0,11,11,256,256.44,2,2,1539690540827
0,11,19,256,257,2,5,1539690543337
0,11,19,256.5,257,1,5,1539690543339
0,11,19,256.5,257,1,4,1539690543341
0,11,19,256.5,257,1,6,1539690543342
0,12,19,256.62,257,1,6,1539690543343
0,12,19,256.62,257,1,5,1539690544974
0,12,19,256.62,257,1,4,1539690544976
0,19,19,256.74,257,1,4,1539690544976
0,8,19,256.74,257,1,4,1539690545356
0,8,19,256.75,257,1,4,1539690545356
0,11,19,256.5,257,1,4,1539690545574
0,12,19,256.5,257,1,4,1539690547164
0,8,19,256.51,257,1,4,1539690547635
0,8,19,256.51,257,1,6,1539690547975
0,8,19,256.51,257,1,5,1539690547977
0,12,19,256.5,257,1,5,1539690548005
0,12,19,256.5,257,1,4,1539690548459
0,12,19,256.62,257,1,4,1539690548840
0,12,11,256.62,256.99,1,1,1539690553171
0,12,11,256.71,256.99,1,1,1539690553577
0,12,19,256.71,257,1,4,1539690554240
0,12,11,256.71,256.99,1,1,1539690561056
0,12,11,256.78,256.99,1,1,1539690563286
0,11,11,256.5,256.99,1,1,1539690568431
0,12,19,256.5,257,1,4,1539690569810
0,12,19,256.62,257,1,4,1539690573522
0,12,19,256.7,257,1,4,1539690576347
0,12,11,256.7,257.3,1,2,1539690576614
0,12,19,256.7,257,1,3,1539690576614
0,12,11,256.7,257.3,2,2,1539690576617
0,11,11,257,257.3,1,2,1539690576619
0,11,11,257,257.3,1,1,1539690577852
0,11,11,257,257.5,1,4,1539690578624
0,11,11,257,257.5,1,2,1539690578669
0,12,11,257,257.5,1,1,1539690579129
0,12,11,257.01,257.5,1,1,1539690580675
0,11,11,257,257.5,1,1,1539690582050
0,12,11,256.5,257.5,1,1,1539690584696
0,12,11,256.55,257.5,1,1,1539690586211
0,11,11,256.5,257.5,1,1,1539690587179
0,11,12,256.5,257.49,1,1,1539690588907
0,11,11,256.5,257.5,1,1,1539690589141
0,8,11,256.51,257.5,1,1,1539690590076
0,11,11,256.5,257.5,1,1,1539690590805
0,12,11,256.5,257.5,1,3,1539690593633
0,12,11,256.5,257.98,1,2,1539690595060
0,11,11,257.5,257.98,1,2,1539690595064
0,12,11,257.5,257.98,1,2,1539690613407
0,8,11,257.51,257.98,1,2,1539690619990
0,11,11,256.5,257.98,1,2,1539690620145
0,11,11,256.51,257.98,1,2,1539690621788
0,12,11,256.5,257.98,1,2,1539690625293
0,8,11,256.51,257.98,2,2,1539690626816
0,12,11,256.55,257.98,1,2,1539690629850
0,11,11,256.6,257.98,1,2,1539690633015
0,8,11,256.61,257.98,2,2,1539690635631
0,12,11,256.66,257.98,1,2,1539690639986
0,12,11,256.66,258.5,1,2,1539690645972
0,12,11,257.06,258.5,1,2,1539690645973
0,12,11,257.06,258.5,1,1,1539690645976
0,11,11,258,258.5,1,1,1539690645976
0,11,11,258,258.9,1,10,1539690646015
0,12,11,258.75,258.9,1,10,1539690646019
0,12,11,258.76,258.9,2,10,1539690649087
0,12,11,258.75,258.9,1,10,1539690649166
0,11,11,256.6,258.9,1,10,1539690650422
0,8,11,256.61,258.9,2,10,1539690651750
0,8,12,256.61,258.85,2,1,1539690651978
0,11,12,257,258.85,1,1,1539690654005
0,11,11,257,258.8,1,1,1539690655055
0,11,11,257,258.8,1,11,1539690659186
0,11,11,257,258.75,1,1,1539690661610
0,11,12,257,258.7,1,1,1539690668436
0,8,12,257,258.7,2,1,1539690683377
0,11,12,257.5,258.7,1,1,1539690689781
0,11,11,257.5,258.75,1,1,1539690692994
0,12,11,257.5,258.8,1,10,1539690693832
0,12,11,257.5,258.75,1,1,1539690697943
0,12,11,258,258.75,2,1,1539690698675
0,11,11,257.5,258.75,1,1,1539690698679
0,12,11,257.81,258.75,1,1,1539690707459
0,12,11,257.81,258.5,1,5,1539690714540
0,12,11,257.81,258.49,1,1,1539690716352
0,11,11,257.5,258.49,1,1,1539690721443
0,12,11,257.98,258.49,1,1,1539690721446
0,12,11,257.98,258.8,1,10,1539690734526
0,12,11,257.98,258.75,1,1,1539690741871
0,12,11,257.98,258.75,1,11,1539690750286
0,12,11,257.98,258.75,1,10,1539690751904
0,11,11,258,258.75,1,10,1539690752687
0,12,11,258,258.75,1,10,1539690752690
0,11,11,257.5,258.75,1,10,1539690752691
0,11,11,257.5,258.7,1,1,1539690755679
0,11,11,257.5,258.65,1,10,1539690758335
0,11,12,257.5,258.6,1,1,1539690758746
0,11,11,257.5,258.65,1,10,1539690760185
0,11,12,257.5,259.7,1,2,1539690760695
0,11,11,257.5,258.6,1,10,1539690760715
0,11,12,257.5,258.55,1,1,1539690761010
0,11,11,257.5,258.5,1,1,1539690762147
0,11,12,257.5,258.45,1,1,1539690764842
0,11,11,257.5,258.5,1,10,1539690770681
0,11,11,257.5,258.45,1,1,1539690771864
0,11,11,257.5,258.45,1,11,1539690773757
0,11,11,257.5,258.45,1,10,1539690774824
0,11,11,257.5,258.4,1,1,1539690781111
0,11,11,257.5,258.2,1,5,1539690785503
0,11,12,257.5,258.15,1,1,1539690800681
0,11,12,257.5,258,1,1,1539690802584
0,11,11,257.5,258.35,1,2,1539690813341
0,11,12,257.5,258,1,1,1539690813341
0,11,11,257.5,258.35,1,2,1539690813346
0,11,12,257.5,258,1,1,1539690813346
0,12,12,257.5,258,2,1,1539690813348
0,19,11,257.6,258.35,1,2,1539690813855
0,12,11,257.5,258.35,2,2,1539690813855
0,12,11,257.83,258.35,1,2,1539690813858
0,11,11,257.5,258.35,1,2,1539690814033
0,12,11,257.71,258.35,1,2,1539690815983
0,12,11,257.72,258.35,2,2,1539690820807
0,11,11,257.5,258.35,1,2,1539690824586
0,11,18,257.5,259,1,1,1539690832086
0,11,11,257.5,258.45,1,2,1539690832111
0,11,18,257.5,259,1,1,1539690833712
0,11,11,257.5,258.55,1,2,1539690833738
0,11,18,257.5,259,1,1,1539690834982
0,11,11,257.5,258.65,1,2,1539690835005
0,8,11,258,258.65,1,2,1539690841464
0,11,11,257.5,258.65,1,2,1539690841469
0,11,11,258.35,258.65,8,2,1539690843018
0,11,11,257.5,258.65,1,2,1539690843023
0,11,11,257.5,258.2,1,5,1539690843217
0,11,11,257.5,258.2,1,1,1539690844284
0,11,11,257.5,258,1,1,1539690844921
0,12,11,257.62,258,1,1,1539690846531
0,12,11,257.63,258,1,1,1539690847934
0,12,11,257.63,258,2,1,1539690848223
0,12,11,257.63,258,1,1,1539690848546
0,12,11,257.64,258,1,1,1539690848546
0,12,11,257.64,258,2,1,1539690848727
0,12,11,257.65,258,1,1,1539690848906
0,12,11,257.64,258,1,1,1539690848906
0,12,11,257.65,258,2,1,1539690849081
0,12,11,257.66,258,1,1,1539690849267
0,12,11,257.65,258,1,1,1539690849267
0,12,11,257.66,258,2,1,1539690849447
0,12,11,257.67,258,1,1,1539690849627
0,12,11,257.66,258,1,1,1539690849627
0,12,11,257.67,258,2,1,1539690849827
0,12,11,257.67,258,1,1,1539690850026
0,12,11,257.68,258,1,1,1539690850027
0,12,11,257.68,258,2,1,1539690850206
0,12,11,257.68,258,1,1,1539690850406
0,12,11,257.69,258,1,1,1539690850407
0,12,11,257.76,258,1,1,1539690850467
0,12,11,257.77,258,1,1,1539690850947
0,12,11,257.77,258,2,1,1539690851247
0,12,11,257.77,258,1,1,1539690851486
0,11,11,257.78,258,1,1,1539690851489
0,12,11,257.79,258,1,1,1539690851847
0,12,11,257.79,258,2,1,1539690852007
0,12,11,257.79,258,1,1,1539690852346
0,12,11,257.8,258,1,1,1539690852348
0,12,11,257.8,258,2,1,1539690852535
0,12,11,257.8,258,1,1,1539690852714
0,12,11,257.81,258,1,1,1539690852716
0,12,11,257.81,258,2,1,1539690852725
0,12,11,257.81,258,3,1,1539690852903
0,12,11,257.81,258,2,1,1539690853217
0,12,11,257.82,258,1,1,1539690853217
0,12,11,257.82,258,2,1,1539690853367
0,12,11,257.82,258,1,1,1539690853566
0,12,11,257.83,258,1,1,1539690853566
0,12,11,257.83,258,2,1,1539690853687
0,12,11,257.83,258,1,1,1539690854074
0,12,11,257.84,258,1,1,1539690854075
0,12,11,257.84,258,2,1,1539690854247
0,12,11,257.85,258,1,1,1539690854426
0,12,11,257.84,258,1,1,1539690854426
0,12,11,257.85,258,2,1,1539690854576
0,12,11,257.86,258,1,1,1539690854906
0,12,11,257.85,258,1,1,1539690854906
0,12,11,257.86,258,2,1,1539690855066
0,12,11,257.87,258,1,1,1539690855295
0,12,11,257.87,258,2,1,1539690855427
0,12,11,257.87,258,1,1,1539690855646
0,12,11,257.88,258,1,1,1539690855647
0,12,11,257.88,258,2,1,1539690855832
0,12,11,257.89,258,1,1,1539690856167
0,12,11,257.88,258,1,1,1539690856167
0,11,11,257.5,258,1,1,1539690856214
0,12,11,257.88,258,1,1,1539690856214
0,12,11,257.62,258,1,1,1539690865890
0,12,11,257.71,258,1,1,1539690868817
0,12,11,257.78,258,1,1,1539690885751
0,12,11,257.78,258,1,1,1539690888910
0,11,11,257.5,258,1,1,1539690888910
0,11,11,257.5,258,1,1,1539690894283
0,11,12,257.5,257.75,1,2,1539690894290
0,11,12,257.5,257.75,1,1,1539690894636
0,11,11,257.5,258,1,1,1539690895726
0,11,12,257.5,257.99,1,1,1539690897000
0,12,12,257.62,257.99,1,1,1539690899037
0,12,11,257.62,258,1,1,1539690899640
0,11,11,257.65,258,1,1,1539690930789
0,12,11,257.66,258,1,1,1539690937916
0,11,11,257.65,258,1,1,1539690938506
0,12,11,257.73,258,1,1,1539690942298
0,11,11,257.5,258,1,1,1539690944625
0,12,11,257.5,258,2,1,1539690975093
0,12,12,257.5,257.99,2,1,1539690981307
0,12,11,257.5,258,2,1,1539690983314
0,12,11,257.51,258,1,1,1539690984587
0,12,11,257.63,258,1,1,1539690995469
0,12,11,257.64,258,1,1,1539690999786
0,12,11,257.51,258,1,1,1539690999994
0,11,11,257.5,258,1,1,1539691000694
0,12,11,257.5,258,2,1,1539691014285
0,11,11,257.5,258,1,1,1539691016468
0,11,12,257.5,257.85,1,1,1539691016469
0,8,12,257,257.85,2,1,1539691016470
0,8,11,257,258,2,1,1539691016472
0,12,11,257.58,258,1,1,1539691016472
0,12,11,257.5,258,1,1,1539691016472
0,12,12,257.58,257.85,1,1,1539691016474
0,8,12,257,257.85,2,1,1539691016478
