c,bE,aE,bP,aP,bS,aS,t
0,11,11,105.25,119,1,1,1537436935002
0,11,11,105.25,119,1,2,1537436949049
0,11,11,105.25,119,1,1,1537440660065
0,11,11,105.25,123.99,1,1,1537440856456
0,11,11,105.25,123.99,1,4,1537441203071
0,11,11,111.82,123.99,5,4,1537441207460
0,8,11,120,123.99,20,4,1537441234290
0,8,11,120.01,123.99,1,4,1537441283449
0,8,11,120.01,123.98,1,1,1537441293333
0,8,11,120.01,123.99,1,4,1537441297159
0,8,11,120,123.99,20,4,1537441300832
0,11,11,120.1,123.99,1,4,1537441300918
0,11,11,120.1,123.99,1,3,1537441304619
0,11,11,120.1,123.9,1,1,1537441309735
0,11,11,120.1,123.9,1,2,1537441313057
0,8,11,120,123.9,20,2,1537441316829
0,8,11,120.2,123.9,1,2,1537441316922
0,8,11,120.2,123.9,1,7,1537441335090
0,12,11,120,123.9,1,7,1537441380789
0,12,11,121,123.9,1,7,1537441411065
0,11,11,111.82,123.9,5,7,1537441411065
0,11,11,121.65,123.9,1,7,1537441454623
0,12,11,121,123.9,1,7,1537441454624
0,12,11,121,121,1,1,1537441478672
0,8,11,117,121,1,1,1537441478672
0,11,11,121,123.9,1,7,1537441481377
0,11,11,121,123.9,1,6,1537441489430
0,8,11,117,123.9,1,6,1537441498406
0,11,11,121,123.9,1,6,1537441499802
0,8,11,117,121,1,8,1537441500601
0,8,11,118,121,1,8,1537441503900
0,8,11,118,121,1,9,1537441507782
0,8,11,118,121,1,8,1537441509405
0,8,11,118,120.98,1,1,1537441519713
0,11,11,118,120.98,1,1,1537441533808
0,8,11,119,120.98,1,1,1537441546411
0,8,11,119,120.88,1,1,1537441551842
0,8,11,119,120,1,8,1537441573429
0,8,11,119,119.99,1,1,1537441592534
0,8,11,119,120.87,1,1,1537441599564
0,8,11,119,120.88,1,1,1537441609141
0,12,11,120.5,120.88,1,1,1537441609143
0,12,11,120.5,121,1,2,1537441612210
0,12,11,120.5,123.9,1,6,1537441612211
0,12,11,120.5,123.9,1,5,1537441618209
0,12,11,120.5,123.89,1,1,1537441618681
0,8,11,119,123.89,1,1,1537441623293
0,19,11,121,123.89,1,1,1537441623301
0,8,11,122,123.89,1,1,1537441628836
0,19,11,121,123.89,1,1,1537441637213
0,19,11,121,123.9,1,5,1537441638049
0,19,11,121,123.8,1,1,1537441639349
0,11,11,122,123.8,5,1,1537441653843
0,11,11,122,123.8,4,1,1537441666793
0,19,11,121,122,1,1,1537441672383
0,19,11,121,123.8,1,1,1537441715196
0,8,11,119,123.8,1,1,1537441717219
0,11,11,119,123.8,1,1,1537441717227
0,12,11,120,123.8,1,1,1537441738214
0,12,11,120,123.9,1,5,1537441743239
0,11,11,120,123.9,2,5,1537441754584
0,11,8,120,123.89,2,1,1537441787630
0,8,8,120,123.89,3,1,1537441792196
0,8,11,120,123,3,1,1537441797610
0,11,11,122.75,123,2,1,1537441807006
0,11,11,122.75,123,1,1,1537441812730
0,11,8,122.75,123.89,1,1,1537441818183
0,11,8,120.01,123.89,1,1,1537441827519
0,8,8,120,123.89,3,1,1537441828960
0,8,11,120,123.9,3,5,1537441831008
