c,bE,aE,bP,aP,bS,aS,t
0,8,11,19.55,22.5,5,15,1538478002721
0,8,12,19.55,22.33,5,1,1538485823590
0,8,19,19.55,19.87,5,3,1538486450059
0,8,11,19.55,19.85,5,3,1538486980179
0,8,12,19.55,19.85,5,3,1538486983094
0,8,11,19.55,19.85,5,4,1538486983094
0,8,12,19.55,19.85,5,3,1538487000455
0,8,8,19.55,19.85,5,3,1538487000538
0,8,19,19.55,19.84,5,1,1538487001171
0,8,19,19.6,19.84,2,1,1538487001172
0,8,15,19.6,19.83,2,7,1538487001631
0,19,15,19.6,19.83,2,7,1538487005121
0,19,12,19.6,19.83,2,1,1538487040008
0,19,15,19.6,19.81,2,5,1538487040009
0,19,10,19.6,19.77,2,3,1538487063546
0,19,15,19.6,19.75,2,5,1538487063548
0,8,15,19.6,19.75,2,5,1538487064111
0,19,15,19.61,19.75,1,5,1538487092677
0,19,12,19.61,19.75,1,1,1538487100008
0,19,12,19.61,19.75,1,2,1538487100071
0,18,12,19.61,19.75,1,2,1538487101000
0,19,12,19.61,19.75,1,2,1538487150216
0,19,12,19.61,19.75,1,1,1538487155071
0,19,19,19.61,19.75,1,2,1538487155075
0,19,12,19.61,19.75,1,1,1538487210078
0,8,12,19.65,19.75,8,1,1538487251904
0,19,12,19.61,19.75,1,1,1538487253001
0,12,12,19.6,19.75,2,1,1538487253001
0,12,18,19.61,19.75,1,1,1538487253003
0,12,11,19.61,19.75,1,1,1538487253049
0,12,12,19.61,19.75,1,1,1538487265084
0,12,10,19.61,19.74,1,1,1538487347401
0,19,10,19.61,19.74,1,1,1538487347402
0,19,12,19.61,19.74,1,1,1538487383976
0,12,12,19.61,19.74,1,1,1538487402464
0,8,12,19.61,19.74,2,1,1538487529090
0,12,12,19.61,19.74,1,1,1538487529207
0,12,10,19.61,19.74,1,2,1538487550122
0,8,12,19.61,19.74,1,3,1538487601896
0,19,12,19.61,19.74,1,3,1538487615975
0,12,12,19.61,19.74,1,3,1538487615986
0,8,12,19.61,19.74,2,3,1538487616848
0,10,12,19.62,19.74,1,3,1538487811234
0,10,10,19.62,19.74,1,3,1538487811237
0,10,12,19.62,19.74,1,4,1538487811241
0,18,12,19.62,19.74,1,4,1538487811244
0,8,12,19.62,19.74,2,4,1538487812061
0,17,12,19.63,19.74,1,4,1538487909560
0,17,10,19.63,19.73,1,1,1538487909577
0,17,10,19.63,19.73,1,2,1538487909578
0,18,10,19.63,19.73,1,2,1538487909578
0,8,10,19.63,19.73,2,2,1538487909819
0,8,12,19.63,19.73,2,2,1538487909863
0,8,10,19.63,19.73,2,3,1538487916379
0,8,10,19.63,19.73,2,4,1538487916401
0,8,10,19.63,19.73,3,4,1538487917175
0,8,19,19.63,19.72,3,1,1538487917658
0,8,10,19.63,19.72,3,2,1538487917659
0,8,10,19.63,19.72,3,3,1538487917874
0,10,19,19.64,19.72,1,3,1538488034082
0,10,10,19.64,19.72,1,3,1538488034083
0,10,19,19.64,19.72,2,3,1538488034086
0,10,19,19.65,19.72,1,3,1538488034093
0,10,19,19.65,19.72,2,3,1538488034096
0,10,19,19.65,19.72,3,3,1538488034560
0,10,19,19.65,19.72,2,3,1538488034564
0,10,19,19.66,19.72,1,3,1538488034564
0,10,19,19.66,19.72,2,3,1538488034567
0,10,19,19.66,19.72,3,3,1538488037560
0,10,19,19.66,19.72,2,3,1538488037565
0,10,19,19.67,19.72,1,3,1538488037566
0,10,19,19.67,19.72,2,3,1538488037569
0,10,19,19.67,19.72,1,3,1538488038025
0,8,19,19.66,19.72,1,3,1538488038025
0,8,10,19.66,19.71,1,1,1538488038030
0,8,10,19.66,19.71,1,2,1538488038030
0,10,10,19.66,19.71,1,2,1538488038031
0,8,10,19.66,19.71,2,2,1538488044731
0,8,10,19.66,19.71,3,2,1538488044950
0,8,12,19.66,19.71,3,2,1538488051807
0,8,10,19.66,19.69,3,1,1538488099505
0,8,10,19.66,19.69,3,2,1538488099505
0,8,12,19.66,19.69,3,2,1538488099514
0,8,12,19.66,19.69,3,1,1538488099534
0,8,19,19.66,19.71,3,2,1538488099535
0,8,8,19.66,19.69,3,1,1538488099557
0,8,19,19.66,19.71,3,2,1538488099621
0,8,19,19.66,19.7,3,1,1538488204581
0,8,10,19.66,19.7,3,3,1538488216769
0,8,10,19.66,19.7,3,2,1538488219011
0,8,10,19.66,19.69,3,1,1538488245612
0,8,12,19.63,19.69,2,1,1538488245672
0,8,12,19.66,19.69,3,1,1538488245672
0,8,10,19.63,19.69,1,1,1538488245673
0,12,12,19.63,19.69,1,1,1538488245673
0,8,10,19.63,19.68,1,2,1538488245673
0,8,10,19.63,19.68,1,1,1538488245673
0,8,10,19.63,19.67,1,3,1538488247621
0,8,10,19.63,19.67,1,4,1538488247622
0,8,10,19.63,19.66,1,1,1538488247705
0,8,10,19.63,19.66,1,2,1538488247706
0,8,10,19.63,19.65,1,1,1538488249237
0,8,10,19.63,19.65,1,2,1538488249237
0,8,10,19.63,19.65,1,1,1538488249257
0,8,10,19.63,19.64,1,1,1538488256977
0,8,10,19.63,19.64,1,2,1538488256978
0,19,10,19.6,19.64,2,2,1538488256978
