c,bE,aE,bP,aP,bS,aS,t
0,12,12,101.4,124,2,3,1539953096421
0,12,12,101.4,148.8,2,2,1539953096426
0,12,12,101.4,124,1,4,1539953103085
0,12,12,101.4,124,1,3,1539953107998
0,12,12,101.4,124,1,4,1539955770164
0,12,12,111.41,124,1,4,1539955800267
0,12,12,111.41,124,1,3,1539955800294
0,12,12,111.41,115.5,1,1,1539955800606
0,12,12,111.41,115.5,1,1,1539955800606
0,12,19,111.41,115.5,1,1,1539955800999
0,12,12,111.41,115.5,1,1,1539955803182
0,12,12,111.41,113.8,1,1,1539955806637
0,12,10,111.41,113.8,2,1,1539955866218
0,12,12,111.41,113.8,2,1,1539955868115
0,12,12,111.41,113.8,2,2,1539955868117
0,12,12,111.41,113.8,3,2,1539955887773
0,12,12,111.41,113.8,2,2,1539955917755
0,12,12,111.41,113.8,2,1,1539955981470
0,12,12,111.41,113.2,2,1,1539955993000
0,12,17,111.41,113.68,2,1,1539955993002
0,12,11,111.41,113.19,2,1,1539955993025
0,12,19,111.41,113.64,2,1,1539955994068
0,12,11,111.41,113.85,2,1,1539955994068
0,12,11,111.41,113.85,3,1,1539956038157
0,12,11,111.41,113.85,4,1,1539956052074
0,12,11,111.41,113.85,3,1,1539956053480
0,12,11,111.41,113.85,4,1,1539956053481
0,12,11,111.42,113.85,1,1,1539956085911
0,12,11,111.42,113.85,3,1,1539956090459
0,12,19,111.42,113.85,3,1,1539956096635
0,12,12,111.42,113.85,3,1,1539956097755
0,12,11,111.43,113.85,1,1,1539956108154
0,12,17,111.43,113.78,1,1,1539956108154
0,12,19,111.43,113.85,1,1,1539956111653
0,12,12,111.43,113.85,1,1,1539956111653
0,12,11,111.43,113.85,3,1,1539956112551
0,12,19,111.43,113.85,3,1,1539956117223
0,12,19,111.43,113.85,4,1,1539956120230
0,12,19,111.44,113.85,1,1,1539956132923
0,12,19,111.44,113.85,3,1,1539956136647
0,12,11,111.44,113.85,3,1,1539956141690
0,8,11,112.64,113.85,3,1,1539956146718
0,8,19,112.64,113.85,3,1,1539956146794
0,8,12,112.64,113.85,3,1,1539956147456
0,8,19,112.64,113.85,3,1,1539956167815
0,8,11,112.64,113.85,3,1,1539956195453
0,8,12,112.64,113.85,3,2,1539956197464
0,12,11,113.84,113.85,1,1,1539956198231
0,8,11,112.64,113.85,3,1,1539956198231
0,17,11,112.95,113.85,1,1,1539956198231
0,17,17,112.95,113.96,1,1,1539956198232
0,17,17,113.09,113.96,1,1,1539956198232
0,17,17,113.09,113.96,1,1,1539956198232
0,17,12,113.09,113.84,1,1,1539956198232
0,17,11,113.09,114.64,1,1,1539956198232
0,17,12,113.09,113.84,1,2,1539956198232
0,12,12,113.49,113.84,1,2,1539956198232
0,17,11,113.49,114.64,1,1,1539956198233
0,12,12,113.49,113.84,1,1,1539956198233
0,17,11,113.56,114.64,1,1,1539956198233
0,17,12,113.56,114.9,2,1,1539956198234
0,17,11,113.56,114.64,2,1,1539956198234
0,17,12,113.56,114.9,2,1,1539956198260
0,11,12,114.75,114.9,2,1,1539956198260
0,17,11,113.56,114.75,2,1,1539956198261
0,17,11,112.89,114.75,1,1,1539956198411
0,17,11,113.56,114.75,1,1,1539956198411
0,19,11,112.65,114.75,1,1,1539956198411
0,19,11,112.65,114.53,1,1,1539956198512
0,19,15,112.65,114.53,1,1,1539956198845
0,12,15,112.65,114.53,1,1,1539956199012
0,12,15,112.66,114.53,1,1,1539956200443
0,12,11,112.66,114.53,1,1,1539956200455
0,12,11,112.66,114.53,4,1,1539956202872
0,12,19,112.66,114.52,4,1,1539956203242
0,12,12,112.66,114.52,4,1,1539956203928
0,12,12,112.67,114.52,1,1,1539956222706
0,12,19,112.67,114.52,1,1,1539956222706
0,15,12,112.67,114.51,1,1,1539956222707
0,15,12,112.67,114.51,1,2,1539956222708
0,15,12,112.67,114.51,1,1,1539956223035
0,12,18,112.67,114.51,4,1,1539956226948
0,12,18,112.67,114.51,5,1,1539956248073
0,12,12,112.67,114.5,5,1,1539956249172
0,12,12,112.67,114.49,5,1,1539956249173
0,12,12,112.67,114.49,5,2,1539956249175
0,12,11,112.67,114.48,5,1,1539956304176
0,19,11,112.7,114.48,1,1,1539956304176
0,19,19,112.7,114.47,1,1,1539956304177
0,19,19,112.7,114.46,1,1,1539956304213
0,19,12,112.7,114.46,1,2,1539956304375
0,19,19,112.7,114.45,1,1,1539956304376
0,12,19,112.7,114.45,3,1,1539956311284
0,12,12,112.7,114.44,3,1,1539956339057
0,12,12,112.71,114.44,1,1,1539956339057
0,12,12,112.71,114.44,1,2,1539956339058
0,12,8,112.71,114.43,1,1,1539956339058
0,12,8,112.71,114.43,1,1,1539956339225
0,12,8,114,114.43,1,1,1539956339225
0,12,17,112.86,114.34,1,1,1539956339225
0,12,8,112.86,114.43,1,1,1539956339225
0,12,12,112.86,114,1,1,1539956339226
0,12,12,112.86,114,1,2,1539956339227
0,12,12,112.86,113.99,1,1,1539956339227
0,12,12,112.86,113.99,1,2,1539956339229
0,12,19,112.86,113.98,1,1,1539956339234
0,12,19,112.87,113.98,1,1,1539956339234
0,12,12,112.87,114,1,1,1539956339234
0,12,12,112.87,113.97,1,1,1539956339235
0,12,19,112.87,113.96,1,1,1539956339241
0,12,12,112.7,113.96,3,2,1539956339242
0,12,19,112.7,113.96,3,1,1539956339242
0,12,12,112.7,113.96,3,3,1539956339242
