c,bE,aE,bP,aP,bS,aS,t
0,12,12,0.01,58.88,1,7,1539865142171
0,11,12,24.73,58.88,1,7,1539866986726
0,11,12,24.73,58.88,2,7,1539866996076
0,12,12,45.05,58.88,10,7,1539867672533
0,12,12,45.05,57.28,10,1,1539868257193
0,12,12,45.05,57.28,10,2,1539869371688
0,12,12,49.58,52.95,1,2,1539869400735
0,12,12,49.58,52.95,1,2,1539869400735
0,11,12,49.6,52.95,1,2,1539869403010
0,11,12,51.21,52.95,4,2,1539869403715
0,11,12,51.21,52.95,4,2,1539869510076
0,11,12,51.21,51.22,4,1,1539869510076
0,11,17,51.21,52.55,4,1,1539869510076
0,11,12,51.21,52.64,4,1,1539869510076
0,11,17,51.21,52.41,4,1,1539869510076
0,19,17,51.01,52.41,1,1,1539869510076
0,19,2,51.01,52.35,1,1,1539869510076
0,19,17,51.01,52.28,1,1,1539869510076
0,12,17,50.36,52.28,6,1,1539869510076
0,12,17,50.27,52.28,1,1,1539869510076
0,12,17,50.27,52.28,1,1,1539869510076
0,12,11,50.27,52.23,1,1,1539869510076
0,12,11,50.27,52.24,1,1,1539869510080
0,12,17,50.27,52.28,1,1,1539869510084
0,19,17,50.2,52.28,1,1,1539869510093
0,19,7,50.2,52.35,1,1,1539869510094
0,11,12,50.19,52.35,1,1,1539869510094
0,11,17,50.19,51.97,1,1,1539869510094
0,11,7,50.19,52.35,1,1,1539869510094
0,12,17,51.09,51.97,1,1,1539869510094
0,12,17,51.09,51.91,1,1,1539869510094
0,12,17,50.1,51.91,1,1,1539869510095
0,12,12,50.1,52.35,1,1,1539869510122
0,12,17,50.1,51.97,1,1,1539869510122
0,19,12,50.03,52.35,1,1,1539869510199
0,11,12,49.99,52.35,3,1,1539869510221
0,12,12,50,52.35,1,1,1539869512083
0,12,12,50.72,52.35,1,1,1539869513000
0,12,12,50,52.35,1,1,1539869513003
0,12,12,50.72,52.35,1,1,1539869513137
0,12,19,50.72,52.4,1,1,1539869513155
0,12,19,50.67,52.4,1,1,1539869514381
0,12,12,50.67,52.45,1,1,1539869521050
0,8,12,51,52.45,2,1,1539869521067
0,8,11,51,52.45,2,1,1539869567969
0,12,11,51.1,52.45,2,1,1539869580187
0,12,12,51.1,52,2,1,1539869583324
0,12,11,51.1,52,3,1,1539869592364
0,12,12,51.1,52,3,1,1539869609965
0,12,12,51.1,52,3,2,1539869680216
0,12,12,51.1,52,1,2,1539869700148
0,12,12,51.05,52,1,2,1539869700148
0,12,12,51.1,52,1,2,1539869700148
0,12,12,51.1,51.82,1,1,1539869700148
0,12,12,51.05,51.82,1,1,1539869700148
0,12,12,51.05,51.67,1,1,1539869700148
0,12,17,51.05,51.55,1,1,1539869700148
0,12,17,51.05,51.67,1,1,1539869700148
0,12,17,51.1,51.67,1,1,1539869700148
0,12,17,51.1,51.55,1,1,1539869700148
0,12,17,51.05,51.55,1,1,1539869700149
0,12,17,51.05,51.55,1,1,1539869700149
0,12,17,51.1,51.55,1,1,1539869700149
0,12,17,51.05,51.55,1,1,1539869700149
0,12,17,51.1,51.55,1,1,1539869700149
0,12,17,51.1,51.55,1,1,1539869700149
0,12,17,51.1,51.55,1,1,1539869700151
0,12,17,51.05,51.55,1,1,1539869700151
0,12,17,51.1,51.55,1,1,1539869700151
0,12,17,51.05,51.55,1,1,1539869700151
0,12,17,51.1,51.55,1,1,1539869700155
0,12,17,51.05,51.55,1,1,1539869700155
0,12,12,51.1,52,1,2,1539869700178
0,12,17,51.1,51.67,1,1,1539869700178
0,12,12,51.05,52,1,2,1539869705790
0,12,12,51.05,52,2,2,1539869705799
0,12,12,51.05,51.99,2,1,1539869758251
0,12,12,51.05,51.99,2,2,1539869763018
0,12,12,51.05,51.99,1,2,1539869799384
