c,bE,aE,bP,aP,bS,aS,t
0,11,11,91.9,96,1,1,1539949620414
0,12,11,91.81,96,9,1,1539955786252
0,11,11,93.3,96,2,1,1539955911057
0,11,11,93.3,96,1,1,1539955911057
0,8,11,95.25,96,1,1,1539955920506
0,10,11,95.25,96,2,1,1539955920603
0,10,11,95.25,96,1,1,1539955920796
0,11,11,95.2,96,1,1,1539955920796
0,11,12,95.2,95.26,1,1,1539955920797
0,15,12,95.2,95.26,1,1,1539955920797
0,15,11,95.2,96,1,1,1539955920797
0,15,8,95.2,95.25,1,1,1539955920797
0,12,8,95.25,95.25,1,1,1539955920797
0,12,8,95.26,95.25,2,1,1539955920797
0,12,8,95.26,95.25,1,1,1539955920797
0,12,8,95.26,95.25,1,1,1539955920797
0,11,8,95.2,95.25,1,1,1539955920797
0,12,8,95.24,95.25,1,1,1539955920798
0,11,15,95.2,95.99,1,1,1539955920798
0,11,8,95.2,95.25,1,1,1539955920798
0,12,15,95.24,95.99,1,1,1539955920798
0,11,15,95.2,95.99,1,1,1539955920798
0,11,11,95.2,96,1,1,1539955920798
0,10,11,94.63,96,2,1,1539955920803
0,11,11,95.2,96,1,1,1539955920803
0,10,11,94.63,96,2,1,1539955920804
0,12,11,95.2,96,1,1,1539955920804
0,12,19,95.2,96,1,1,1539955930157
0,12,11,95.2,96,1,1,1539955930158
0,10,11,93.92,96,6,1,1539955930158
0,10,19,93.92,96,6,1,1539955930291
0,10,11,93.92,96,6,1,1539955930291
0,10,11,93.92,96,6,2,1539955931166
0,10,11,93.92,96,5,2,1539955936903
0,19,11,93.55,96,1,2,1539955936903
0,10,19,93.92,96,5,2,1539955947118
0,10,12,93.92,96,5,1,1539955947919
0,10,11,93.92,96.05,5,1,1539955960079
0,10,11,93.92,96.05,4,1,1539955966368
0,10,11,93.81,96.05,1,1,1539955966368
0,8,11,93.92,96.05,1,1,1539955970784
0,10,11,93.92,96.05,3,1,1539955970785
0,10,11,93.92,96.04,3,1,1539955972943
0,10,11,93.92,96.04,4,1,1539955974196
0,10,10,93.92,95.99,4,1,1539955978721
0,10,10,93.92,95.99,4,2,1539955978721
0,10,11,93.92,95.98,4,1,1539955978756
0,10,10,93.92,95.98,4,2,1539955978884
0,10,10,93.92,95.98,4,3,1539955978885
0,10,10,93.92,95.98,1,3,1539955978954
0,10,10,93.92,95.98,3,3,1539955978954
0,10,10,93.92,95.98,3,2,1539955978971
0,10,10,93.92,95.98,4,2,1539955979158
0,10,10,93.92,95.98,4,3,1539956001410
0,10,10,93.92,95.98,4,2,1539956014323
0,10,10,93.92,95.98,3,2,1539956014324
0,10,15,93.92,95.98,3,2,1539956024414
0,10,11,93.92,95.98,3,2,1539956288626
0,10,19,93.92,95.98,3,2,1539956313415
0,10,19,93.92,95.98,4,2,1539956348945
0,10,12,93.92,95.98,4,1,1539956460041
0,10,10,93.92,95.98,4,1,1539956460041
0,10,19,93.92,95.98,4,1,1539956460062
0,10,19,93.92,95.98,4,2,1539956460066
