c,bE,aE,bP,aP,bS,aS,t
0,11,8,3.53,5.1,9,5,1538650802001
0,11,8,4.01,5.1,10,5,1538657325831
0,19,8,4.1,5.1,3,5,1538659235181
0,19,19,4.1,4.34,3,3,1538659236723
0,19,12,4.1,4.33,3,1,1538659539646
0,19,19,4.1,4.34,3,3,1538659549256
0,8,19,4.11,4.34,3,3,1538659566361
0,12,19,4.11,4.34,3,3,1538659568101
0,11,19,4.11,4.34,3,3,1538659568101
0,8,19,4.11,4.34,3,3,1538659568681
0,8,11,4.11,4.33,3,1,1538659782375
0,8,10,4.11,4.25,3,9,1538659800454
0,8,10,4.18,4.25,6,9,1538659800465
0,8,10,4.18,4.25,1,9,1538659800465
0,18,10,4.2,4.25,1,9,1538659801024
0,8,10,4.18,4.25,6,9,1538659801024
0,18,10,4.19,4.25,1,9,1538659801192
0,2,10,4.2,4.25,1,9,1538659805123
0,18,10,4.19,4.25,1,9,1538659805135
0,15,10,4.19,4.25,1,9,1538659819729
0,8,10,4.18,4.24,6,1,1538659837359
0,15,10,4.19,4.24,1,1,1538659837359
0,8,2,4.18,4.24,6,1,1538659862329
0,8,8,4.18,4.24,6,9,1538659876483
0,8,10,4.18,4.24,6,2,1538659927436
0,8,8,4.18,4.22,6,9,1538659927835
0,18,8,4.17,4.22,1,9,1538659928389
0,8,8,4.18,4.22,5,9,1538659928389
0,19,8,4.14,4.22,1,9,1538659928389
0,12,19,4.13,4.21,1,1,1538659928389
0,12,8,4.13,4.18,1,1,1538659928389
0,12,15,4.13,4.17,1,1,1538659928390
0,2,15,4.13,4.17,1,1,1538659928390
0,12,15,4.13,4.17,1,1,1538659928391
0,12,19,4.13,4.17,1,1,1538659928391
0,2,19,4.13,4.17,1,1,1538659928399
0,12,12,4.13,4.17,1,1,1538659928399
0,19,12,4.14,4.17,1,1,1538659928420
0,2,12,4.13,4.17,1,1,1538659928420
0,19,19,4.14,4.21,1,1,1538659928420
0,10,15,4.14,4.21,1,1,1538659928425
0,10,19,4.14,4.21,1,1,1538659929430
0,8,19,4.14,4.21,1,1,1538659980779
0,10,19,4.14,4.21,1,1,1538660026508
0,19,19,4.12,4.21,1,1,1538660026678
0,2,19,4.12,4.2,1,1,1538660148641
0,19,19,4.12,4.2,1,1,1538660148641
0,19,8,4.12,4.2,1,2,1538660346156
