c,bE,aE,bP,aP,bS,aS,t
0,11,11,7.46,9.06,5,4,1539849600045
0,11,11,9.03,9.06,4,4,1539849600046
0,12,11,9.04,9.06,10,4,1539849600440
0,12,12,9.04,9.06,10,34,1539849600440
0,12,12,9.04,9.06,20,34,1539849600497
0,12,12,9.03,9.06,24,34,1539849600632
0,12,12,9.04,9.06,10,34,1539849600632
0,12,12,9.03,9.05,34,10,1539849600632
0,12,12,9.03,9.06,34,34,1539849600632
0,12,12,9.03,9.05,34,20,1539849600633
0,12,12,9.03,9.05,34,10,1539849600733
0,12,12,9.03,9.05,34,20,1539849601405
0,12,12,9.04,9.05,10,20,1539849607004
0,12,12,9.03,9.05,24,20,1539849607014
0,12,12,9.03,9.05,34,20,1539849607014
0,12,12,9.03,9.05,34,10,1539849607405
0,12,12,9.04,9.05,30,10,1539849607432
0,12,12,9.03,9.05,34,10,1539849607446
0,11,12,9.03,9.05,4,10,1539849607446
0,12,12,9.04,9.05,10,10,1539849607488
0,12,12,9.03,9.05,24,10,1539849607510
0,12,12,9.03,9.05,34,10,1539849607510
0,12,12,9.03,9.05,34,20,1539849607535
0,12,12,9.04,9.05,10,20,1539849607543
0,12,12,9.03,9.05,24,20,1539849607560
0,12,12,9.03,9.05,34,20,1539849607560
0,12,12,9.04,9.05,20,20,1539849607593
0,12,12,9.04,9.05,10,20,1539849609406
0,12,12,9.04,9.05,10,30,1539849609596
0,12,12,9.03,9.05,34,30,1539849610776
0,12,12,9.03,9.05,24,30,1539849610776
0,12,12,9.04,9.05,10,30,1539849610777
0,12,12,9.03,9.05,24,30,1539849610777
0,12,12,9.03,9.05,24,30,1539849610792
0,12,12,9.03,9.05,34,30,1539849610792
0,12,12,9.03,9.05,30,30,1539849610792
0,12,12,9.03,9.05,35,30,1539849614042
0,12,12,9.03,9.05,25,30,1539849619295
0,12,12,9.03,9.05,35,30,1539849619296
0,12,12,9.03,9.05,35,30,1539849619315
0,12,12,9.03,9.05,25,30,1539849619315
0,12,12,9.04,9.05,10,30,1539849619316
0,12,12,9.03,9.05,25,30,1539849619316
0,12,12,9.03,9.05,35,30,1539849619337
0,12,12,9.03,9.05,25,30,1539849619337
0,12,12,9.03,9.05,34,30,1539849619377
0,12,12,9.03,9.05,30,30,1539849619377
0,12,12,9.04,9.05,10,30,1539849621062
0,12,12,9.04,9.05,20,30,1539849621062
0,12,12,9.04,9.05,10,30,1539849621063
0,12,12,9.04,9.05,20,30,1539849621119
0,12,12,9.04,9.05,10,30,1539849621163
0,12,12,9.04,9.05,20,30,1539849621167
0,12,12,9.04,9.05,30,30,1539849621168
0,12,12,9.04,9.05,30,20,1539849621168
0,12,12,9.04,9.05,20,20,1539849621268
0,12,12,9.04,9.05,10,20,1539849621271
0,12,12,9.03,9.05,34,20,1539849621271
0,12,12,9.03,9.05,14,20,1539849621271
0,12,12,9.04,9.05,20,20,1539849621299
0,12,12,9.03,9.05,14,20,1539849621299
0,12,12,9.04,9.05,30,20,1539849621319
0,12,12,9.04,9.05,30,10,1539849623193
0,11,12,9.03,9.05,4,10,1539849623444
0,12,12,9.04,9.05,10,10,1539849623444
0,12,12,9.03,9.05,30,10,1539849623444
0,12,12,9.04,9.05,4,10,1539849623445
0,12,12,9.04,9.05,30,10,1539849623445
0,12,12,9.04,9.05,30,20,1539849623454
0,12,12,9.04,9.05,10,20,1539849623454
0,12,12,9.04,9.05,10,30,1539849623478
0,12,12,9.04,9.05,10,20,1539849623494
0,12,12,9.04,9.05,20,20,1539849623526
0,12,12,9.04,9.05,10,20,1539849623546
0,12,12,9.04,9.05,30,10,1539849623546
0,12,12,9.04,9.05,10,10,1539849623546
0,12,12,9.04,9.05,20,10,1539849623549
0,12,12,9.04,9.05,10,10,1539849623550
0,12,12,9.03,9.05,24,10,1539849624061
0,12,12,9.04,9.05,4,10,1539849624061
0,12,12,9.03,9.05,34,10,1539849624061
0,12,12,9.03,9.05,34,20,1539849624980
0,12,12,9.03,9.05,34,10,1539849625018
0,12,12,9.04,9.05,10,10,1539849625046
0,12,12,9.03,9.05,24,10,1539849625046
0,12,12,9.04,9.05,20,10,1539849625059
0,12,12,9.04,9.05,10,10,1539849625060
0,12,12,9.04,9.05,10,30,1539849625080
0,12,12,9.04,9.05,10,20,1539849626112
0,12,12,9.04,9.05,10,30,1539849626367
0,12,12,9.04,9.05,10,20,1539849626930
0,12,12,9.04,9.05,10,10,1539849626946
0,12,12,9.04,9.05,10,20,1539849627465
0,12,12,9.03,9.05,34,20,1539849627488
0,12,12,9.03,9.05,24,20,1539849627488
0,12,12,9.03,9.05,34,30,1539849627508
0,12,12,9.03,9.05,34,20,1539849627664
0,12,12,9.03,9.05,24,10,1539849628299
0,12,12,9.03,9.05,24,20,1539849628299
0,12,12,9.03,9.06,24,34,1539849628299
0,12,12,9.03,9.06,34,34,1539849628299
0,12,12,9.03,9.06,24,14,1539849628299
0,12,12,9.03,9.05,34,20,1539849628399
0,12,12,9.04,9.05,20,20,1539849631397
0,12,12,9.04,9.05,30,20,1539849631398
0,12,12,9.04,9.05,30,10,1539849631429
0,12,12,9.04,9.06,30,24,1539849631440
0,12,12,9.04,9.06,30,34,1539849631440
0,12,12,9.04,9.05,30,10,1539849631441
0,12,12,9.04,9.06,30,34,1539849635979
0,12,12,9.04,9.06,30,24,1539849635979
0,12,12,9.04,9.06,30,30,1539849636506
0,12,12,9.04,9.06,10,30,1539849636507
0,12,12,9.04,9.06,30,30,1539849636507
0,11,12,9.03,9.06,4,30,1539849636507
0,12,12,9.04,9.06,35,30,1539849636508
0,12,12,9.04,9.06,15,30,1539849644331
0,12,12,9.04,9.06,10,30,1539849644352
0,12,12,9.03,9.06,20,30,1539849644352
0,12,12,9.03,9.06,24,30,1539849644352
0,12,12,9.03,9.06,34,30,1539849644352
0,12,12,9.03,9.06,34,35,1539849644373
0,12,12,9.03,9.06,24,35,1539849644373
0,12,12,9.03,9.05,24,30,1539849644374
0,12,12,9.03,9.05,18,30,1539849644375
0,12,12,9.03,9.05,22,30,1539849644375
0,12,12,9.03,9.05,14,30,1539849644375
0,12,12,9.03,9.05,24,30,1539849645185
0,12,12,9.03,9.05,14,30,1539849646386
0,12,12,9.03,9.05,14,30,1539849648394
0,12,11,9.03,9.06,14,4,1539849648394
0,12,12,9.03,9.05,10,30,1539849652691
0,12,12,9.02,9.05,24,30,1539849652693
0,12,12,9.02,9.05,34,30,1539849652693
0,12,12,9.02,9.05,24,30,1539849652713
0,12,12,9.03,9.05,10,30,1539849652713
0,12,12,9.02,9.05,24,30,1539849652714
0,12,12,9.02,9.05,34,30,1539849652714
0,12,12,9.02,9.05,24,30,1539849652765
0,12,12,9.02,9.05,34,30,1539849652765
0,12,12,9.03,9.05,10,30,1539849653828
0,12,12,9.02,9.05,24,30,1539849653829
0,12,12,9.02,9.05,34,30,1539849653829
0,12,12,9.02,9.05,24,30,1539849653830
0,12,12,9.02,9.05,34,30,1539849653830
0,12,12,9.03,9.05,10,30,1539849653847
0,12,12,9.03,9.05,20,30,1539849653847
0,12,12,9.03,9.05,30,30,1539849653848
0,12,12,9.03,9.05,20,30,1539849653868
0,12,12,9.03,9.05,30,30,1539849653869
0,12,12,9.03,9.05,20,30,1539849653889
0,12,12,9.03,9.05,10,30,1539849653891
0,12,12,9.03,9.05,20,30,1539849653892
0,12,12,9.03,9.05,10,30,1539849653911
0,12,12,9.03,9.05,148,49,1539849654163
0,12,12,9.03,9.05,148,30,1539849654163
0,12,12,9.03,9.05,158,49,1539849654391
0,12,12,9.03,9.05,154,49,1539849655946
0,12,12,9.03,9.05,144,49,1539849655947
0,12,12,9.03,9.05,134,59,1539849655948
0,12,12,9.03,9.05,144,59,1539849655948
0,12,12,9.03,9.05,124,59,1539849655949
0,12,12,9.03,9.05,144,59,1539849655957
0,12,12,9.03,9.05,144,69,1539849656064
0,12,12,9.03,9.05,154,69,1539849657971
0,12,12,9.03,9.05,154,57,1539849660262
