c,bE,aE,bP,aP,bS,aS,t
0,8,11,40.4,60.13,2,6,1539946800144
0,8,8,45.01,52.3,1,1,1539946800144
0,8,12,45.01,52,1,12,1539947944740
0,8,11,45.01,49,1,10,1539948011798
0,8,12,45.01,52,1,12,1539948265063
0,8,11,45.01,51.69,1,25,1539949346400
0,8,10,45.01,49.75,1,8,1539950625124
0,8,10,46,49.75,2,8,1539950734136
0,8,11,46,49.5,2,9,1539951360807
0,8,10,46,49.75,2,8,1539951408934
0,8,11,46,49.6,2,9,1539952092051
0,8,8,46,49.5,2,3,1539953493137
0,8,11,46,48.2,2,1,1539953867532
0,8,8,46,49.5,2,3,1539953903199
0,8,11,46,49.5,3,3,1539954474880
0,10,11,47,49.5,10,3,1539954768323
0,10,8,47,49.5,10,3,1539954768324
0,10,11,47,49.5,10,3,1539955050214
0,12,11,47.88,49.5,2,3,1539955740418
0,12,11,48.55,49.5,7,3,1539955782415
0,12,11,48.55,49.5,2,3,1539955785146
0,12,11,48.55,49.5,3,3,1539955785146
0,12,12,47.88,49.28,2,1,1539955785146
0,12,11,47.88,49.5,2,3,1539955785146
0,12,11,47.88,49.5,2,3,1539955785176
0,12,11,48.55,49.5,7,3,1539955791263
0,12,11,48.55,49.5,12,3,1539955799785
0,12,11,48.63,49.5,1,3,1539955799967
0,12,11,48.63,49.5,1,3,1539955800387
0,12,12,48.63,48.9,1,20,1539955800387
0,12,12,48.63,48.9,1,17,1539955800458
0,12,12,48.63,48.9,2,17,1539955800654
0,12,12,48.63,48.9,2,16,1539955800758
0,12,12,48.63,48.9,2,14,1539955800760
0,12,12,48.63,48.9,2,13,1539955800763
0,12,12,48.63,48.9,2,10,1539955800768
0,12,12,48.63,49.25,2,26,1539955800772
0,12,12,48.63,48.9,2,9,1539955800785
0,12,12,48.63,48.9,3,9,1539955801002
0,12,12,48.63,48.9,8,9,1539955801045
0,12,12,48.63,48.9,7,9,1539955801495
0,12,12,48.63,48.9,7,10,1539955801974
0,12,15,48.69,48.9,1,1,1539955802211
0,12,15,48.63,48.9,7,1,1539955802211
0,12,12,48.76,48.95,1,1,1539955802211
0,12,15,48.76,48.9,1,1,1539955802211
0,2,12,48.76,48.95,2,1,1539955802213
0,12,11,48.76,48.95,6,1,1539955802214
0,12,11,48.76,48.95,6,2,1539955802227
0,12,11,48.76,48.95,5,2,1539955802241
0,18,11,48.91,48.95,1,2,1539955802251
0,19,11,48.91,48.95,1,2,1539955802251
0,8,11,48.91,48.95,1,2,1539955802251
0,12,11,48.76,48.95,5,2,1539955802251
0,11,11,48.91,48.95,1,2,1539955802291
0,11,11,48.91,48.95,1,1,1539955802716
0,12,12,48.93,49,1,2,1539955803026
0,12,11,48.93,48.95,1,1,1539955803026
0,19,11,48.93,49.24,1,1,1539955803027
0,12,12,48.93,49,1,1,1539955803027
0,12,11,48.96,49.24,1,1,1539955803027
0,12,11,48.95,49.24,1,1,1539955803027
0,12,12,48.96,49.25,1,26,1539955803027
0,12,12,48.91,49.25,6,26,1539955803057
0,12,12,48.91,49.25,7,26,1539955803168
0,12,12,48.91,49.25,7,27,1539955808367
0,12,12,48.91,49.25,7,21,1539955810549
0,12,12,48.91,49.25,7,26,1539955810549
0,12,12,48.91,49.25,7,17,1539955811304
0,12,12,49.08,49.25,2,17,1539955812898
0,12,12,49.08,49.25,3,17,1539955812961
0,12,12,49.08,49.25,8,17,1539955813152
0,12,12,49.08,49.25,8,16,1539955813801
0,12,12,49.08,49.25,7,15,1539955813801
0,12,12,49.08,49.25,7,16,1539955813801
0,11,12,49.14,49.25,2,15,1539955813802
0,12,12,49.24,49.25,1,15,1539955813802
0,11,12,49.14,49.25,2,10,1539955813802
0,11,12,49.14,49.25,2,15,1539955813802
0,11,12,49.24,49.25,1,11,1539955813802
0,11,12,49.14,49.25,2,11,1539955813802
0,11,12,49.14,49.25,2,10,1539955813802
0,11,12,49.14,49.25,2,11,1539955813802
0,11,12,49.18,49.25,2,10,1539955813803
0,12,12,49.18,49.25,6,10,1539955813813
0,12,12,49.18,49.25,7,10,1539955813866
0,12,12,49.18,49.25,6,10,1539955814360
0,12,12,49.24,49.25,1,10,1539955814361
0,8,12,49.24,49.25,1,10,1539955814361
0,8,12,49.24,49.25,1,1,1539955814361
0,8,12,49.24,49.25,1,1,1539955814361
0,8,17,49.24,49.37,1,1,1539955814361
0,8,17,49.24,49.37,1,1,1539955814361
0,12,17,49.24,49.37,2,1,1539955814361
0,12,17,49.24,49.37,2,1,1539955814361
0,12,17,49.24,49.37,3,1,1539955814361
0,12,8,49.24,49.24,1,1,1539955814361
0,12,17,49.24,49.37,1,1,1539955814361
0,12,8,49.24,49.24,2,1,1539955814361
0,12,8,49.2,49.24,2,1,1539955814361
0,12,17,49.2,49.37,2,1,1539955814361
0,12,11,49.24,49.25,1,1,1539955814361
0,12,17,49.24,49.37,1,1,1539955814361
0,12,17,49.24,49.37,6,1,1539955814365
0,12,19,49.24,49.37,6,2,1539955815574
0,12,12,49.24,49.36,6,1,1539955815975
0,12,12,49.24,49.36,6,2,1539955816182
0,12,12,49.24,49.36,6,3,1539955817079
0,12,12,49.29,49.36,1,3,1539955817508
0,12,12,49.29,49.36,2,3,1539955817508
0,12,12,49.29,49.36,7,3,1539955817528
0,12,12,49.3,49.36,7,3,1539955818818
0,12,12,49.3,49.36,6,3,1539955818818
0,12,12,49.3,49.36,9,3,1539955819217
0,12,12,49.3,49.36,11,3,1539955819442
0,12,12,49.3,49.36,11,2,1539955819443
0,12,12,49.3,49.37,11,2,1539955819443
0,12,12,49.3,49.36,11,1,1539955819443
0,12,12,49.32,49.37,2,2,1539955819443
0,12,12,49.32,49.37,1,2,1539955819443
0,12,12,49.32,49.37,3,2,1539955819443
0,12,12,49.32,49.37,4,2,1539955819444
0,12,12,49.32,49.37,3,2,1539955819449
0,12,12,49.32,49.37,8,2,1539955819454
0,12,12,49.33,49.37,5,2,1539955819472
0,12,12,49.33,49.37,6,2,1539955819472
0,12,11,49.33,49.37,6,1,1539955819524
0,12,12,49.34,49.37,2,2,1539955819524
0,12,11,49.34,49.37,1,1,1539955819524
0,12,12,49.34,49.37,1,2,1539955819524
0,12,12,49.34,49.37,2,1,1539955819557
0,12,8,49.34,49.37,2,1,1539955819557
0,12,8,49.35,49.37,2,1,1539955819557
0,12,8,49.35,49.37,1,1,1539955819557
0,12,12,49.35,49.37,2,1,1539955819557
0,12,12,49.35,49.37,7,1,1539955819558
0,12,12,49.35,49.37,6,1,1539955819559
0,12,15,49.35,49.41,6,2,1539955819822
0,12,7,49.35,49.43,6,1,1539955819850
0,12,19,49.35,49.49,6,1,1539955819882
0,12,18,49.35,49.43,6,1,1539955819882
0,12,2,49.35,49.49,6,2,1539955819937
0,11,2,49.41,49.49,3,2,1539955819957
0,11,18,49.41,49.49,3,3,1539955819977
0,12,18,49.41,49.49,2,3,1539955820130
0,12,18,49.41,49.49,4,3,1539955820278
0,12,12,49.41,49.49,4,4,1539955821038
0,12,12,49.41,49.49,9,4,1539955821661
0,12,18,49.43,49.49,1,3,1539955822265
0,12,18,49.41,49.49,9,3,1539955822265
0,12,18,49.43,49.49,3,3,1539955822265
0,12,18,49.43,49.49,2,3,1539955822265
0,12,18,49.45,49.49,2,3,1539955822265
0,12,18,49.45,49.49,1,3,1539955822265
0,12,18,49.45,49.49,1,3,1539955822267
0,12,2,49.45,49.49,1,2,1539955822308
0,12,2,49.45,49.49,6,2,1539955822309
0,12,2,49.46,49.49,1,2,1539955822604
0,12,2,49.46,49.49,2,2,1539955822604
0,12,12,49.46,49.49,2,1,1539955822647
0,12,12,49.46,49.49,3,1,1539955822666
0,12,11,49.46,49.5,3,3,1539955822858
0,12,12,49.46,49.49,3,1,1539955822859
0,12,12,49.46,49.49,8,1,1539955823479
0,12,11,49.47,49.5,1,3,1539955823683
0,12,11,49.46,49.5,8,3,1539955823683
0,12,11,49.47,49.5,2,2,1539955823683
0,12,11,49.47,49.5,2,3,1539955823683
0,12,18,49.47,49.53,2,2,1539955823683
0,12,18,49.47,49.53,1,2,1539955823685
0,12,18,49.47,49.53,2,2,1539955823742
0,8,18,49.47,49.53,3,2,1539955823742
0,12,18,49.47,49.53,7,2,1539955823833
0,12,18,49.47,49.53,9,2,1539955824440
0,12,12,49.47,49.53,9,3,1539955826501
0,12,12,49.47,49.53,11,3,1539955826968
0,12,12,49.47,49.53,11,2,1539955830072
0,12,12,49.47,49.53,11,3,1539955830082
0,12,18,49.47,49.53,11,1,1539955830141
0,12,18,49.48,49.53,2,1,1539955830462
0,12,18,49.48,49.53,3,1,1539955830462
0,12,18,49.48,49.53,4,1,1539955830542
0,12,8,49.48,49.53,4,1,1539955830994
0,12,11,49.48,49.6,4,9,1539955830994
0,12,11,49.5,49.6,1,9,1539955830994
0,12,11,49.48,49.6,3,9,1539955830994
0,12,11,49.5,49.6,2,9,1539955831072
0,12,11,49.5,49.6,4,9,1539955831151
0,12,11,49.5,49.6,11,9,1539955831646
0,12,11,49.5,49.6,11,6,1539955834803
0,12,11,49.5,49.6,16,6,1539955834804
0,12,12,49.5,49.6,16,3,1539955836206
