c,bE,aE,bP,aP,bS,aS,t
0,11,8,54,60,1,1,1539864500913
0,11,8,53.47,60,1,1,1539864534167
0,11,8,52.75,60,1,1,1539864569547
10,0,8,,60,,1,1539864672904
0,19,8,50.9,60,1,1,1539864674405
10,0,8,,60,,1,1539864779177
0,12,8,0.01,60,1,1,1539865141949
0,11,8,27.82,60,1,1,1539866987259
0,11,8,27.82,60,2,1,1539866996091
0,11,10,27.82,55.22,2,1,1539867840809
0,12,10,42.31,55.22,1,1,1539868257808
0,12,10,43.34,55.22,1,1,1539868258776
0,12,10,44.38,55.22,1,1,1539868260978
0,12,10,45.43,55.22,1,1,1539868263581
0,11,10,55.22,55.22,2,1,1539868859548
0,11,10,55.22,55.23,2,1,1539868859549
0,18,10,53.02,55.23,1,1,1539868864344
0,18,10,53.02,55.22,1,1,1539868864344
0,12,10,50.58,55.22,7,1,1539868864369
0,12,10,49.34,55.22,1,1,1539868864369
0,11,10,52.25,55.22,1,1,1539869280949
0,11,10,52.25,55.22,2,1,1539869280980
0,11,10,52.25,55.22,3,1,1539869295586
0,12,10,54,55.22,8,1,1539869400406
0,12,10,54,55.22,8,1,1539869400406
0,19,10,54.04,55.22,9,1,1539869401102
0,19,12,54.04,55.22,9,2,1539869401270
0,12,12,55,55.22,1,2,1539869401993
0,12,12,55,55.22,1,3,1539869415087
0,12,12,55,55.22,1,2,1539869465087
0,12,12,55,55.22,3,2,1539869477610
0,12,12,55,55.22,3,3,1539869507890
0,12,12,55,55.22,3,2,1539869520883
0,12,12,55.01,55.22,1,2,1539869534283
0,12,12,55.01,55.22,2,2,1539869534591
0,12,12,55.01,55.22,2,3,1539869568916
0,12,12,55.01,55.22,2,2,1539869573768
0,12,10,55.01,55.22,2,1,1539869574420
0,17,10,55.06,55.22,1,1,1539869574914
0,12,10,55.11,55.22,1,1,1539869574914
0,12,10,55.21,55.22,1,1,1539869574914
0,8,10,55.21,55.22,1,1,1539869574914
0,17,10,55.06,55.22,1,1,1539869574914
0,17,10,55.1,55.22,1,1,1539869574914
0,17,10,55.06,55.22,1,1,1539869574914
0,8,10,55.07,55.22,1,1,1539869574969
0,12,10,55.07,55.22,2,1,1539869575574
0,19,10,55.08,55.22,1,1,1539869577399
0,12,10,55.08,55.22,2,1,1539869579988
0,12,10,55.08,55.22,1,1,1539869579988
0,19,10,55.09,55.22,1,1,1539869580200
0,12,10,55.08,55.22,1,1,1539869580200
0,19,10,55.1,55.22,1,1,1539869580215
0,19,10,55.11,55.22,1,1,1539869580232
0,12,10,55.11,55.22,1,1,1539869581003
0,11,10,55.12,55.22,1,1,1539869581004
0,11,10,55.13,55.22,1,1,1539869581725
0,11,10,55.14,55.22,1,1,1539869581736
0,11,10,55.15,55.22,1,1,1539869581747
0,11,10,55.16,55.22,1,1,1539869581864
0,12,10,55.19,55.22,1,1,1539869582398
