c,bE,aE,bP,aP,bS,aS,t
0,11,12,45,199999.99,2,1,1539950272855
0,11,12,45,199999.99,2,2,1539952201129
0,11,12,45,199999.99,2,3,1539952201151
0,11,11,45,70.98,2,1,1539953024238
0,11,11,45,70.98,2,2,1539953031371
0,11,12,45,57.02,2,1,1539954635904
0,11,12,45,55.88,2,1,1539954636924
0,11,12,45,54.77,2,1,1539954637430
0,11,12,45,54.77,2,2,1539955770838
0,11,12,45,49.99,2,1,1539955800092
0,11,12,45,49.99,2,1,1539955800092
0,11,11,45,49.64,2,1,1539955800643
0,11,11,45,49.64,3,1,1539955800766
0,11,11,45,47.27,3,1,1539955801584
0,12,11,45,47.27,2,1,1539955801585
0,12,11,45,47.27,2,2,1539955801585
0,11,11,45,47.27,2,2,1539955801633
0,11,11,45,47.27,2,1,1539955801640
0,11,12,45,45.01,2,2,1539955801732
0,11,12,45,45.01,2,2,1539955801733
0,11,12,45,45.01,2,3,1539955801733
0,11,12,45,45.01,2,1,1539955801733
0,11,11,45,47.27,2,1,1539955801733
0,19,11,44.95,47.27,1,2,1539955801733
0,11,11,45,47.27,2,2,1539955801733
0,19,2,44.95,46.85,1,1,1539955801734
0,19,17,44.95,46.85,1,1,1539955801739
0,19,11,44.95,45.91,1,1,1539955801755
0,19,17,44.95,46.85,1,1,1539955801756
0,19,11,44.95,47.27,1,2,1539955801763
0,19,11,44.95,46.83,1,1,1539955801764
0,19,11,44.95,47.27,1,2,1539955801765
0,19,12,44.95,45.01,1,1,1539955802033
0,12,12,44.44,45.01,47,1,1539955802033
0,12,12,44.44,45.01,46,1,1539955802323
0,12,12,44.44,45.01,42,1,1539955802323
0,12,12,44.44,45.01,45,1,1539955802323
0,12,12,44.44,45.01,37,1,1539955802324
0,12,12,44.44,45.01,40,1,1539955802324
0,12,11,44.44,44.85,37,6,1539955802335
0,12,11,44.44,44.85,37,2,1539955802620
0,12,11,44.44,44.85,37,2,1539955805386
0,12,11,44.84,44.85,1,2,1539955805386
0,12,19,44.44,45.02,37,1,1539955805387
0,12,11,44.44,45.91,37,1,1539955805387
0,12,11,44.44,44.85,37,1,1539955805387
0,12,12,44.44,46.75,37,1,1539955805398
0,12,11,44.44,46.75,37,1,1539955805894
0,12,19,44.44,46.75,37,1,1539955805894
0,12,11,44.44,46.93,37,3,1539955805895
0,12,11,44.44,46.93,38,3,1539955810532
0,12,11,44.44,46.93,39,3,1539955818601
0,12,11,44.44,46.93,39,2,1539955832796
0,12,11,44.45,46.93,1,2,1539955862237
0,12,11,44.45,46.93,2,2,1539955864002
0,12,12,44.45,46.92,2,9,1539955869622
0,12,12,44.45,46.92,2,10,1539955869793
0,12,12,44.45,46.92,7,10,1539955913018
0,12,12,44.45,46.92,7,9,1539955946643
0,12,12,45,46.92,1,9,1539955956035
0,12,12,45,46.92,2,9,1539955956775
0,11,12,45,46.92,1,9,1539955963516
0,18,12,45,46.92,1,9,1539955963525
0,12,12,45,46.92,5,9,1539955969374
0,12,18,45,46.91,5,1,1539956094549
0,12,18,45,46.91,5,2,1539956094550
0,12,18,45.3,46.91,2,2,1539956095098
0,18,18,45.3,46.91,1,2,1539956095098
0,12,18,45.3,46.91,2,3,1539956095098
0,12,18,45.3,46.91,3,3,1539956096298
0,12,18,45.3,46.91,4,3,1539956101888
0,12,12,45.3,46.9,4,9,1539956103803
0,12,12,45.3,46.9,8,9,1539956117715
0,11,12,45.48,46.9,1,9,1539956253352
0,12,12,45.48,46.9,5,9,1539956266891
0,12,12,45.49,46.9,1,9,1539956323114
0,12,12,45.49,46.89,1,1,1539956323199
0,12,18,45.49,46.89,1,2,1539956323200
0,12,18,45.49,46.89,2,2,1539956324210
0,12,18,45.49,46.89,2,3,1539956324210
0,12,18,45.49,46.89,2,2,1539956342102
0,12,18,45.5,46.89,1,2,1539956342176
0,12,18,45.5,46.89,2,2,1539956343875
0,12,18,45.51,46.89,1,2,1539956356137
0,12,18,45.51,46.89,2,2,1539956356200
0,12,18,45.51,46.89,3,2,1539956356975
0,12,18,45.52,46.89,1,2,1539956367550
0,12,18,45.52,46.89,2,2,1539956368075
0,12,18,45.52,46.89,3,2,1539956370697
0,12,18,45.52,46.89,3,1,1539956373414
0,12,8,45.52,46.89,3,1,1539956373420
0,18,18,45.53,46.89,1,2,1539956373442
0,12,18,45.52,46.89,3,2,1539956373442
0,18,18,45.53,46.89,2,2,1539956375015
