c,bE,aE,bP,aP,bS,aS,t
0,8,8,24.8,32.5,10,30,1539946800148
0,8,8,27.42,32.5,10,30,1539946800170
0,8,12,27.42,32.24,10,1,1539954637030
0,8,12,27.42,31.06,10,1,1539955680198
0,8,12,27.42,31.06,9,1,1539955680198
0,12,12,26.14,31.06,10,1,1539955680198
0,8,12,27.42,31.06,4,1,1539955680198
0,12,17,26.14,30.15,10,1,1539955680198
0,8,19,24.8,28.95,10,1,1539955680198
0,12,19,26.14,28.95,10,1,1539955680198
0,12,19,24.92,28.95,5,1,1539955680199
0,8,19,24.8,28.95,10,1,1539955680199
0,8,11,24.8,26.3,10,10,1539955680200
0,11,11,24.83,26.3,1,10,1539955680200
0,11,11,24.83,27.62,1,2,1539955680741
0,11,11,24.83,27.62,1,1,1539955680804
0,11,12,24.83,28.07,1,10,1539955681152
0,8,12,24.8,28.07,10,10,1539955697925
0,8,11,24.8,27.6,10,2,1539955725213
0,8,11,24.8,27.6,10,1,1539955725213
0,8,11,24.8,27.6,10,3,1539955725214
0,8,12,24.8,26.22,10,1,1539955740108
0,8,12,24.8,26.16,10,1,1539955770052
0,8,12,24.8,26.22,10,1,1539955795114
0,8,12,24.8,26.1,10,1,1539955795114
0,8,12,24.8,26.64,10,3,1539955795114
0,8,12,24.8,26.1,10,2,1539955795114
0,8,12,24.8,26.1,10,3,1539955795114
0,8,12,24.8,26.1,10,4,1539955795114
0,8,12,24.8,26.1,10,3,1539955795114
0,8,12,24.8,26.1,10,4,1539955795114
0,8,12,24.8,26.1,10,5,1539955799101
0,12,12,26,26.1,3,5,1539955800365
0,12,12,26,26.1,3,4,1539955800365
0,12,12,26,26.1,3,4,1539955800365
0,12,12,26,26.1,3,3,1539955800365
0,12,12,26,26.1,3,2,1539955800366
0,12,12,26,26.59,3,3,1539955800366
0,12,12,26,26.1,3,1,1539955800366
0,12,19,26,26.62,3,3,1539955800381
0,12,11,26,27.2,3,1,1539955800381
0,12,12,26,27.2,3,1,1539955800593
0,12,19,26.36,27.2,2,1,1539955800785
0,12,19,26,27.2,3,1,1539955801043
0,12,19,26.99,27.2,2,1,1539955801070
0,12,12,26.99,27.2,2,1,1539955801170
0,12,12,26.99,27.2,1,2,1539955801581
0,12,12,26.99,27.2,1,1,1539955801581
0,12,11,26.99,27.2,1,1,1539955801581
0,19,11,26.89,27.2,1,1,1539955801582
0,19,12,26.89,27,1,1,1539955801582
0,19,17,26.89,27.15,1,1,1539955801582
0,12,12,26.3,27,3,1,1539955801582
0,19,12,26.04,27,1,1,1539955801594
0,19,12,26.27,27,3,1,1539955801594
0,19,12,26.04,26.62,1,1,1539955801701
0,19,17,26.04,27.15,1,1,1539955801701
0,12,12,26.31,26.62,2,1,1539955802139
0,12,19,26.31,27.2,2,1,1539955802139
0,12,19,26.26,27.2,1,1,1539955802258
0,12,12,26.26,27,1,1,1539955802258
0,12,12,26.35,27,2,1,1539955802259
0,12,12,26.35,27,2,2,1539955803328
0,12,12,26.35,26.65,2,2,1539955807173
0,12,12,26.35,26.65,2,4,1539955807174
0,12,12,26.35,26.65,2,2,1539955807231
0,12,12,26.35,26.65,2,3,1539955807231
0,12,19,26.35,26.65,2,1,1539955807231
0,12,12,26.35,26.65,2,1,1539955811230
0,12,12,26.3,26.65,1,1,1539955816304
0,12,18,26.39,26.65,2,1,1539955816304
0,12,18,26.3,26.65,1,1,1539955817398
0,12,18,26.25,26.65,3,1,1539955832024
0,19,18,26.21,26.65,3,1,1539955832044
0,12,18,26.19,26.65,3,1,1539955832065
0,19,18,26.14,26.65,3,1,1539955840210
0,12,18,26.04,26.65,1,1,1539955840210
0,11,18,26.11,26.65,3,1,1539955840210
0,12,3,26.04,26.65,1,1,1539955840211
0,19,12,26.04,26.62,1,1,1539955929840
0,12,12,26.04,26.62,1,1,1539955929858
0,19,12,26.04,26.62,1,2,1539955930054
0,12,12,26.04,26.62,1,2,1539955930055
0,12,8,26.04,26.48,1,1,1539956034105
0,11,8,26.03,26.48,1,1,1539956034106
0,11,12,26.03,26.27,1,1,1539956034106
0,11,19,26.03,26.19,1,2,1539956034106
0,11,19,26.03,26.19,1,1,1539956034106
0,11,11,26.03,26.14,1,2,1539956034107
0,8,11,26,26.14,2,2,1539956034112
0,8,19,26,26.19,2,1,1539956034112
0,8,19,26,26.14,2,2,1539956034112
0,8,19,26,26.14,2,1,1539956034112
0,8,19,26,26.09,2,1,1539956034112
0,12,19,25.99,26.09,1,1,1539956034112
0,12,19,25.99,26.14,1,2,1539956034113
0,12,19,25.99,26.14,1,1,1539956034113
0,12,19,25.99,26.14,1,2,1539956034116
0,12,12,25.99,26.14,1,1,1539956034116
0,12,12,25.99,26.14,1,1,1539956034117
0,12,19,26.09,26.14,1,1,1539956034118
0,12,19,25.99,26.18,1,1,1539956034118
0,12,19,25.99,26.14,1,1,1539956034118
0,12,19,25.99,26.18,1,2,1539956034118
0,12,19,25.99,26.13,1,1,1539956034118
0,12,12,25.99,26.12,1,1,1539956034118
0,12,19,25.99,26.11,1,1,1539956034125
0,12,19,26.04,26.11,1,1,1539956034171
