c,bE,aE,bP,aP,bS,aS,t
0,11,12,71.98,96,1,3,1539345287839
0,8,12,87,96,3,3,1539346031118
0,8,11,87,94,3,3,1539347516177
0,11,11,88,94,5,3,1539348832291
0,11,12,92.1,94,10,3,1539349117700
0,11,11,92.1,94,10,3,1539349703041
0,11,11,92.1,94,9,3,1539349708648
0,11,18,92.1,93.62,9,1,1539349708648
0,11,12,92.1,93.62,9,2,1539349726391
0,11,7,92.1,93.62,9,1,1539349726391
0,11,11,92.1,94,9,3,1539350195593
0,11,12,92.1,93.99,9,2,1539350202532
0,11,12,92.1,93.99,8,2,1539350444397
0,11,18,92.1,93.61,8,1,1539350444398
0,11,12,92.1,93.99,8,2,1539350555125
0,11,11,92.1,94,8,3,1539350671224
0,11,11,92.1,94,8,3,1539350940001
0,8,11,90,94,5,3,1539350940001
0,11,11,92.1,94,9,3,1539350983673
0,11,11,92.1,94,9,4,1539350983673
0,11,11,92.1,94,9,3,1539350985043
0,11,11,92.1,94,9,4,1539351000089
0,11,11,92.1,93.83,9,1,1539351059755
0,11,3,92.1,93.83,9,1,1539351062443
0,11,18,92.1,93.33,9,1,1539351062443
0,19,3,93.32,93.81,1,1,1539351071016
0,11,3,92.1,93.81,9,1,1539351071016
0,19,19,93.32,93.83,1,1,1539351071016
0,19,19,93.33,93.83,1,1,1539351071017
0,7,11,92.35,93.81,1,1,1539351071017
0,18,11,92.35,93.81,1,1,1539351071017
0,7,11,92.35,93.81,1,1,1539351071017
0,19,11,93.33,93.81,1,1,1539351071017
0,11,11,92.54,93.81,1,1,1539351071017
0,11,18,92.54,93.58,1,1,1539351071018
0,11,3,92.54,93.83,1,1,1539351071048
0,11,11,92.54,93.83,1,1,1539351073525
0,12,11,92.54,93.83,2,1,1539351073527
0,11,11,92.54,93.83,1,1,1539351073533
0,12,11,92.54,93.83,2,1,1539351073557
0,11,11,92.54,93.83,1,1,1539351073606
0,12,11,92.54,93.83,2,1,1539351073633
0,11,11,92.54,93.83,1,1,1539351074643
0,12,11,92.54,93.83,2,1,1539351074675
0,11,11,92.54,93.83,1,1,1539351075127
0,12,11,92.54,93.83,2,1,1539351075276
0,12,18,92.54,93.83,2,1,1539351075699
0,11,18,92.54,93.83,1,1,1539351075822
0,12,18,92.54,93.83,2,1,1539351075858
0,11,18,92.54,93.83,1,1,1539351076829
0,12,18,92.54,93.83,2,1,1539351076868
0,12,11,92.54,94,2,4,1539351077584
0,12,11,92.54,94,2,3,1539351077584
0,12,11,92.54,94,2,3,1539351077601
0,12,18,92.54,93.79,2,1,1539351077601
0,8,18,92.54,93.79,1,1,1539351079936
0,12,18,92.54,93.79,2,1,1539351079969
0,8,18,92.54,93.79,1,1,1539351080169
0,12,18,92.54,93.79,2,1,1539351080214
0,12,11,92.54,93.79,2,1,1539351081153
0,12,18,92.54,93.74,2,1,1539351081268
0,8,18,92.54,93.74,1,1,1539351083698
0,12,18,92.54,93.74,2,1,1539351084485
0,8,18,92.54,93.74,1,1,1539351086650
0,12,18,92.54,93.74,2,1,1539351086681
0,8,18,92.54,93.74,1,1,1539351087336
0,12,18,92.54,93.74,2,1,1539351087369
0,8,18,92.54,93.74,1,1,1539351088116
0,12,18,92.54,93.74,2,1,1539351088155
0,8,18,92.54,93.74,1,1,1539351088210
0,12,18,92.54,93.74,2,1,1539351088359
0,8,18,92.54,93.74,1,1,1539351088982
0,12,18,92.54,93.74,2,1,1539351089014
0,8,18,92.54,93.74,1,1,1539351089811
0,12,18,92.54,93.74,2,1,1539351089836
0,12,11,92.54,93.74,2,1,1539351090391
0,8,11,92.54,93.74,1,1,1539351090812
0,12,11,92.54,93.74,2,1,1539351090850
0,8,11,92.54,93.74,1,1,1539351094583
0,12,11,92.54,93.74,2,1,1539351094618
0,8,11,92.54,93.74,1,1,1539351095498
0,12,11,92.54,93.74,2,1,1539351095546
0,8,11,92.54,93.74,1,1,1539351096312
0,12,11,92.54,93.74,2,1,1539351096546
0,8,11,92.54,93.74,1,1,1539351097987
0,12,11,92.54,93.74,2,1,1539351098046
0,12,18,92.54,93.74,2,1,1539351100880
0,8,18,92.54,93.74,1,1,1539351108342
0,12,18,92.54,93.74,2,1,1539351108383
0,12,11,92.54,93.74,2,1,1539351110907
0,12,11,92.54,93.74,3,1,1539351110907
0,12,18,92.54,93.58,3,1,1539351113425
0,12,11,92.54,94,3,3,1539351114263
0,12,11,92.54,94,3,4,1539351114263
0,12,18,92.54,93.54,3,1,1539351114276
0,12,11,92.54,94,3,3,1539351115977
0,12,18,92.54,93.54,3,1,1539351115977
0,12,18,92.54,93.54,2,1,1539351118676
0,12,18,92.54,93.54,3,1,1539351118715
0,12,18,92.54,93.54,2,1,1539351118796
0,12,18,92.54,93.49,2,1,1539351122810
0,8,18,92.54,93.49,1,1,1539351124751
0,12,18,92.54,93.49,2,1,1539351124842
0,12,18,92.54,93.39,2,1,1539351125367
0,12,18,92.54,93.39,3,1,1539351130006
0,12,18,92.54,93.39,2,1,1539351136678
0,12,18,92.54,93.39,3,1,1539351136700
0,12,19,92.54,93.83,3,1,1539351138146
0,12,19,92.54,93.8,3,1,1539351138162
0,12,19,92.54,93.83,3,1,1539351139001
0,12,18,92.54,93.39,3,1,1539351139016
0,12,19,92.54,93.8,3,1,1539351139016
0,12,12,92.54,93.81,3,1,1539351141577
0,12,19,92.54,93.96,3,1,1539351141580
0,12,19,92.54,93.8,3,1,1539351141599
0,12,19,92.54,93.8,2,1,1539351142176
0,12,18,92.54,93.39,2,1,1539351142176
0,12,18,92.54,93.39,3,1,1539351142215
0,12,18,92.54,93.38,3,1,1539351155246
0,12,12,92.54,93.81,3,1,1539351181659
0,12,19,92.54,93.85,3,1,1539351181671
0,12,19,92.54,93.8,3,1,1539351181686
0,12,18,92.54,93.35,3,1,1539351181686
0,12,19,92.54,93.85,3,1,1539351182508
0,12,19,92.54,93.8,3,1,1539351182533
0,12,19,92.54,93.67,3,1,1539351182634
0,12,19,92.54,93.58,3,1,1539351182635
0,12,19,92.54,93.67,3,1,1539351183358
0,12,19,92.67,93.67,1,1,1539351183359
0,12,18,92.67,93.58,1,1,1539351183359
0,12,18,92.67,93.67,1,1,1539351183359
0,12,18,92.67,93.67,2,1,1539351183362
0,11,18,92.86,93.67,1,1,1539351183389
0,12,18,92.67,93.67,2,1,1539351183389
0,17,18,92.67,93.67,1,1,1539351183390
0,12,18,92.67,93.67,2,1,1539351183391
0,17,18,92.67,93.67,1,1,1539351183413
0,17,19,92.67,93.67,1,1,1539351183427
0,8,19,92.67,93.67,1,1,1539351183578
0,8,18,92.67,93.67,1,1,1539351183585
0,12,18,92.67,93.67,3,1,1539351191332
0,12,18,93.5,93.67,5,1,1539351193406
0,12,19,93.5,93.8,5,1,1539351193406
0,12,19,93.5,93.8,6,1,1539351193409
0,12,19,93.5,93.88,6,1,1539351193453
0,12,11,93.5,94,6,3,1539351193615
0,19,11,93.13,94,1,3,1539351194597
0,12,11,93.5,94,1,3,1539351194597
0,12,12,92.67,93.5,1,1,1539351194597
0,19,12,93.13,93.5,1,1,1539351194597
0,11,12,93.13,93.5,1,1,1539351194597
0,12,12,92.67,93.5,1,1,1539351194597
0,11,18,92.67,93.5,1,1,1539351194598
0,11,18,92.67,93.59,1,1,1539351194598
0,11,18,92.67,93.67,1,1,1539351194598
0,12,18,92.67,93.67,1,1,1539351194598
0,12,18,92.67,93.88,1,1,1539351194599
0,12,18,92.67,93.67,1,1,1539351194601
0,12,11,92.67,94,1,3,1539351194604
0,11,11,92.67,94,1,3,1539351194619
0,8,11,92.67,94,1,4,1539351243663
0,8,11,92.67,94,1,3,1539351243675
0,8,11,92.67,94,1,4,1539351247540
0,8,11,92.67,94,1,3,1539351247553
0,8,19,92.67,93.86,1,1,1539351254613
0,8,11,92.67,94,1,3,1539351255293
0,8,18,92.67,93.86,1,1,1539351255293
0,8,19,92.67,93.81,1,1,1539351288073
0,8,17,92.67,93.81,1,1,1539351288073
0,11,17,92.67,93.81,1,1,1539351288073
0,12,17,92.67,93.81,1,1,1539351288073
0,11,17,92.67,93.81,1,1,1539351288127
0,11,19,92.67,93.86,1,1,1539351288302
0,11,18,92.67,93.86,1,1,1539351296962
0,11,18,92.67,93.81,1,1,1539351296962
0,8,18,92.67,93.81,1,1,1539351296962
0,8,19,92.67,93.63,1,1,1539351297537
0,8,18,92.67,93.63,1,1,1539351300840
0,8,18,92.67,93.81,1,1,1539351300840
0,11,18,92.68,93.63,2,1,1539351319755
0,19,18,92.68,93.63,1,1,1539351319755
0,11,11,92.68,93.54,2,10,1539351321485
0,11,18,92.68,93.52,2,1,1539351362868
0,11,11,92.68,93.54,2,10,1539351365772
0,11,11,92.69,93.54,1,10,1539351379362
0,12,11,92.69,93.54,2,10,1539351400874
0,12,11,92.81,93.54,8,10,1539351453697
0,11,11,92.81,93.54,1,10,1539351453708
0,11,11,92.81,93.54,2,10,1539351453709
0,12,11,92.81,93.24,2,1,1539351466267
0,19,19,93,93.24,3,1,1539351466447
0,19,11,93,93.24,3,1,1539351466447
0,19,19,93,93.49,3,2,1539351470035
0,19,12,93,93.48,3,1,1539351470036
0,19,19,93,93.49,3,2,1539351471550
0,19,11,93,93.48,3,1,1539351485033
0,19,19,93,93.49,3,2,1539351505001
0,19,10,93,93.47,3,2,1539351516944
0,19,10,93,93.48,3,1,1539351516944
0,12,19,93,93.47,3,1,1539351516947
0,2,10,93.1,93.48,1,1,1539351516957
0,17,10,93.12,93.48,1,1,1539351516957
0,12,10,93,93.48,3,1,1539351516957
0,17,19,93.12,93.47,1,1,1539351516961
0,11,19,93.12,93.47,1,1,1539351516989
0,11,12,93.12,93.38,1,1,1539351517014
0,11,19,93.12,93.38,1,1,1539351517014
0,11,19,93.12,93.38,2,1,1539351517019
0,11,12,93.12,93.38,2,2,1539351517068
0,11,19,93.12,93.38,2,1,1539351517171
0,8,12,93.19,93.38,1,1,1539351517234
0,11,12,93.12,93.38,2,1,1539351517234
0,19,12,93.19,93.43,1,1,1539351517234
0,8,12,93.19,93.43,1,1,1539351517234
0,8,12,93.19,93.43,1,1,1539351517235
0,8,11,93.19,93.43,1,2,1539351517254
0,12,11,93.19,93.43,1,2,1539351517264
0,18,11,93.19,93.43,1,2,1539351517289
0,18,10,93.19,93.38,1,1,1539351517335
0,12,10,93.19,93.38,1,1,1539351517369
0,17,10,93.18,93.38,1,1,1539351517370
0,17,17,93.18,93.34,1,1,1539351517370
