c,bE,aE,bP,aP,bS,aS,t
0,11,11,1.5,2.9,2,1,1537344000049
0,11,11,1.5,2.7,2,1,1537344000053
0,11,11,1.5,2.7,7,1,1537354042282
0,8,8,2.01,2.24,20,3,1537354800284
0,8,8,2.01,2.51,20,10,1537354800284
0,8,11,2.01,2.16,20,19,1537354808893
0,8,11,2.01,2.16,18,19,1537356094924
0,8,8,2.01,2.12,18,2,1537358417911
0,8,8,2.01,2.12,28,2,1537358932215
0,8,8,2.01,2.12,18,2,1537359997821
0,11,8,2.02,2.12,10,2,1537359997927
0,11,8,2.02,2.12,9,2,1537360184094
0,11,8,2.02,2.12,10,2,1537360763142
0,11,11,2.02,2.07,10,210,1537361640315
0,11,11,2.02,2.07,10,210,1537363800612
0,12,12,2.03,2.06,1,3,1537363800612
0,12,12,2.03,2.06,1,5,1537363805172
0,12,12,2.03,2.06,1,4,1537363805172
0,12,12,2.03,2.06,1,2,1537363810948
0,12,8,2.03,2.06,1,3,1537363814575
0,8,8,2.03,2.06,2,3,1537363818931
0,8,8,2.03,2.06,3,3,1537363823896
0,8,8,2.03,2.06,2,3,1537363834931
0,8,12,2.03,2.06,2,12,1537363874341
0,8,12,2.03,2.06,2,8,1537363874341
0,8,12,2.03,2.06,2,7,1537363874341
0,8,12,2.03,2.06,1,12,1537363874342
0,8,12,2.03,2.06,1,8,1537363882390
0,8,12,2.03,2.05,1,3,1537363906955
0,8,12,2.03,2.05,1,4,1537363906957
0,8,12,2.03,2.05,1,5,1537363906957
0,8,12,2.03,2.05,1,4,1537363906966
0,8,12,2.03,2.05,1,6,1537363914882
0,8,12,2.03,2.05,1,10,1537363914882
0,8,12,2.03,2.05,1,5,1537363914882
0,12,12,2.03,2.05,1,10,1537363918580
0,12,12,2.03,2.05,1,9,1537363918580
0,12,12,2.03,2.05,1,5,1537363918580
0,12,12,2.03,2.05,2,5,1537363954486
0,12,12,2.03,2.05,3,5,1537363954486
0,12,12,2.03,2.05,2,5,1537363970451
0,8,12,2.04,2.05,8,5,1537363984088
0,19,12,2.04,2.05,7,5,1537363984088
0,19,12,2.04,2.05,7,5,1537363984090
0,8,12,2.04,2.05,7,5,1537363984093
0,10,12,2.04,2.05,7,5,1537363984094
0,12,12,2.03,2.05,2,5,1537363984094
0,12,12,2.03,2.05,3,5,1537364033605
0,12,12,2.03,2.05,7,5,1537364033605
0,12,12,2.03,2.05,7,6,1537364055570
0,12,12,2.03,2.05,7,7,1537364055570
0,12,12,2.03,2.05,7,6,1537364055571
0,12,12,2.03,2.05,6,6,1537364077807
0,12,12,2.03,2.05,2,6,1537364107567
0,12,12,2.03,2.05,3,6,1537364129466
0,12,12,2.03,2.05,4,6,1537364129467
0,12,12,2.03,2.05,3,6,1537364130196
0,12,12,2.03,2.05,4,6,1537364130222
0,12,12,2.03,2.05,5,6,1537364131826
0,12,12,2.03,2.05,4,6,1537364132493
0,12,12,2.04,2.05,1,6,1537364134781
0,12,12,2.03,2.05,3,6,1537364136034
0,12,12,2.03,2.04,3,5,1537364136034
0,12,12,2.03,2.04,3,6,1537364136037
0,12,17,2.03,2.04,3,5,1537364136040
0,12,8,2.03,2.04,3,5,1537364136040
0,12,19,2.03,2.04,3,5,1537364136040
0,12,12,2.03,2.04,3,1,1537364136040
0,12,10,2.03,2.04,3,5,1537364136040
0,12,15,2.03,2.04,6,1,1537364136041
0,12,15,2.03,2.04,3,1,1537364136041
0,12,15,2.03,2.04,8,1,1537364136041
0,12,15,2.03,2.04,7,1,1537364136041
0,12,15,2.03,2.04,8,1,1537364136041
0,12,15,2.03,2.04,12,1,1537364136041
0,19,12,2.03,2.05,10,3,1537364136041
0,19,15,2.03,2.04,10,1,1537364136041
0,12,12,2.04,2.05,4,3,1537364136041
0,12,12,2.04,2.05,3,3,1537364136041
0,8,12,2.04,2.05,3,3,1537364136046
0,19,12,2.04,2.05,3,3,1537364136046
0,12,12,2.04,2.05,3,3,1537364136046
0,10,12,2.04,2.05,3,3,1537364136046
0,12,12,2.04,2.05,2,3,1537364136051
0,12,12,2.04,2.05,3,3,1537364136784
0,8,12,2.04,2.05,2,3,1537364142464
0,12,12,2.04,2.05,2,3,1537364142464
