c,bE,aE,bP,aP,bS,aS,t
0,11,11,16.55,17.99,5,3,1539766432005
0,11,8,16.55,17,5,1,1539774000202
0,11,8,16.75,17,1,1,1539774003825
0,12,8,16.75,17,500,1,1539774490063
0,12,11,16.75,16.85,500,3,1539778007694
0,12,11,16.75,16.85,500,2,1539778323941
0,12,8,16.75,17,500,1,1539778326889
0,11,8,16.81,17,10,1,1539779550586
0,11,11,16.81,17.1,10,2,1539782882327
0,18,11,16.85,17.1,1,2,1539782882328
0,7,11,16.85,17.1,1,2,1539782882338
0,11,11,16.81,17.1,10,2,1539782882338
0,12,11,16.95,17.1,1,2,1539782882342
0,12,8,16.95,17.3,1,2,1539782882342
0,19,8,16.95,17.3,2,2,1539782882342
0,8,8,16.95,17.3,1,2,1539782882372
0,7,8,16.95,17.3,1,2,1539782882372
0,11,8,16.95,17.3,1,2,1539782882372
0,11,8,16.81,17.3,10,2,1539782882372
0,11,8,16.81,17.3,10,2,1539783000604
0,11,19,16.81,17.29,10,1,1539783004160
0,11,11,16.81,17.29,10,1,1539783010111
0,11,12,16.81,17.28,10,1,1539783071322
0,12,12,17.04,17.28,1,1,1539783071323
0,11,12,16.81,17.28,10,1,1539783071325
0,12,12,17.04,17.28,1,1,1539783071326
0,11,12,16.81,17.28,10,1,1539783071327
0,12,12,17.27,17.28,1,1,1539783071327
0,11,12,16.81,17.28,10,1,1539783071327
0,11,12,16.81,17.27,10,1,1539783071327
0,19,12,16.82,17.27,1,1,1539783071328
0,12,12,16.9,17.28,1,2,1539783071328
0,12,12,16.83,17.28,1,2,1539783071328
0,19,12,16.82,17.28,1,2,1539783071328
0,12,19,16.9,17.28,1,1,1539783071328
0,12,12,16.9,17.28,1,1,1539783071329
0,18,12,16.91,17.28,1,1,1539783071329
0,7,12,16.91,17.28,1,1,1539783071356
0,12,12,16.92,17.28,1,1,1539783071389
0,12,12,16.92,17.28,2,1,1539783071440
0,12,12,16.92,17.28,1,1,1539783071562
0,12,12,16.92,17.28,2,1,1539783071991
0,12,12,16.92,17.28,3,1,1539783079436
0,12,12,16.92,17.28,4,1,1539783088747
0,12,12,16.92,17.28,5,1,1539783122152
0,12,12,16.92,17.28,5,1,1539783122152
0,12,12,16.92,17.28,6,1,1539783122152
0,12,15,16.92,17.28,5,2,1539783129937
0,12,15,16.92,17.28,6,2,1539783137331
0,12,15,17.15,17.28,1,2,1539783144818
0,12,15,17.15,17.28,1,2,1539783144819
0,12,15,17.16,17.28,1,2,1539783144819
0,12,12,17.15,17.25,1,1,1539783144819
0,12,12,17.15,17.27,1,1,1539783144819
0,12,12,17.15,17.22,1,1,1539783144819
0,12,12,16.93,17.22,4,1,1539783144820
0,12,12,16.93,17.16,4,1,1539783144820
0,12,12,16.93,17.2,4,1,1539783144820
0,12,19,16.94,17.19,1,1,1539783144820
0,12,19,16.93,17.19,4,1,1539783144820
0,12,19,16.98,17.19,1,1,1539783144820
0,12,19,16.99,17.19,1,1,1539783144822
0,12,19,16.99,17.18,1,1,1539783144843
0,12,19,16.99,17.18,2,1,1539783144851
0,12,19,17.03,17.18,1,1,1539783145160
0,12,19,17,17.18,1,1,1539783145160
0,12,19,17.08,17.18,1,1,1539783145160
0,12,19,17.17,17.18,1,1,1539783145160
0,17,19,17.03,17.18,1,1,1539783145160
0,17,12,17.03,17.18,1,1,1539783145160
0,17,12,17.03,17.18,1,1,1539783145161
0,19,12,17.08,17.18,1,1,1539783145161
0,19,15,17.17,17.2,1,1,1539783145161
0,19,12,17.17,17.18,1,1,1539783145161
0,12,19,17.1,17.24,1,1,1539783145161
0,19,19,17.17,17.24,1,1,1539783145161
0,19,19,17.1,17.24,1,1,1539783145161
0,17,19,17.06,17.24,1,1,1539783145161
0,19,19,17.1,17.24,1,1,1539783145161
0,12,19,17.18,17.24,1,1,1539783145161
0,19,12,17.1,17.23,1,1,1539783145161
0,19,12,17.1,17.25,1,1,1539783145161
0,19,12,17.09,17.22,1,1,1539783145161
0,19,12,17.1,17.22,1,1,1539783145161
0,12,19,17.19,17.22,1,1,1539783145162
0,12,12,17.19,17.23,1,1,1539783145163
0,19,12,17.09,17.21,1,1,1539783145166
0,19,19,17.09,17.23,1,1,1539783145166
0,19,19,17.09,17.2,1,1,1539783145166
0,12,19,17.1,17.2,1,1,1539783145167
0,12,19,17.1,17.2,2,1,1539783145171
0,12,19,17.11,17.2,1,1,1539783145186
0,12,12,17.11,17.23,1,1,1539783145186
0,19,12,17.13,17.23,1,1,1539783145186
0,19,19,17.13,17.24,1,1,1539783145197
0,12,19,17.14,17.24,1,1,1539783145198
0,12,19,17.14,17.24,2,1,1539783145203
0,12,19,17.14,17.24,3,1,1539783145580
0,12,19,17.14,17.24,4,1,1539783146153
0,12,19,17.14,17.24,5,1,1539783146371
0,12,19,17.14,17.24,6,1,1539783147463
0,12,19,17.14,17.24,7,1,1539783148100
0,12,19,17.15,17.24,3,1,1539783148105
0,12,19,17.14,17.24,10,1,1539783148105
0,12,19,17.16,17.24,1,1,1539783148107
0,12,19,17.16,17.24,2,1,1539783149895
0,12,19,17.17,17.24,1,1,1539783149940
0,12,19,17.17,17.24,2,1,1539783149940
0,12,19,17.17,17.24,1,1,1539783149940
0,12,19,17.18,17.24,1,1,1539783149941
0,12,19,17.19,17.24,1,1,1539783149948
0,19,12,17.19,17.27,3,1,1539783149948
0,12,12,17.19,17.27,1,1,1539783149948
0,19,12,17.19,17.27,2,1,1539783149948
0,12,12,17.2,17.27,1,1,1539783149949
0,12,12,17.2,17.27,2,1,1539783151152
0,12,15,17.2,17.28,2,2,1539783151195
0,12,15,17.22,17.28,1,2,1539783151195
0,12,15,17.21,17.28,1,2,1539783151195
0,12,15,17.23,17.28,1,2,1539783151195
0,12,15,17.22,17.28,2,2,1539783151195
0,12,12,17.23,17.27,1,1,1539783151195
0,12,12,17.22,17.27,2,1,1539783151195
0,12,15,17.24,17.28,1,2,1539783151195
0,12,15,17.23,17.28,1,2,1539783151195
0,12,12,17.23,17.26,1,1,1539783151195
0,12,15,17.23,17.28,1,2,1539783151195
0,19,12,17.23,17.26,1,1,1539783151195
0,19,12,17.23,17.26,1,2,1539783151195
0,12,12,17.23,17.26,1,1,1539783151195
0,12,15,17.24,17.28,1,2,1539783151195
0,12,12,17.24,17.26,1,1,1539783151195
0,12,19,17.24,17.27,1,1,1539783151195
0,12,19,17.24,17.27,1,1,1539783151195
0,12,19,17.24,17.26,1,1,1539783151195
0,19,15,17.25,17.28,1,2,1539783151195
0,12,15,17.24,17.28,1,2,1539783151195
