c,bE,aE,bP,aP,bS,aS,t
0,8,12,27.35,45.48,15,1,1539954635905
0,12,12,28.54,45.48,1,1,1539954637093
0,12,12,29.28,45.48,1,1,1539954638931
0,12,12,30.02,45.48,1,1,1539954639144
0,12,12,30.76,45.48,1,1,1539954639348
0,12,12,31.5,45.48,1,1,1539954639542
0,12,12,32.26,45.48,1,1,1539954640929
0,8,12,27.35,45.48,15,1,1539954640929
0,12,12,33.02,45.48,1,1,1539954641142
0,12,12,33.8,45.48,1,1,1539954642930
0,11,12,37.05,45.48,1,1,1539955681113
0,11,12,37.05,45.48,2,1,1539955681353
0,11,12,37.05,45.48,3,1,1539955681354
0,11,12,37.05,45.48,3,3,1539955770881
0,12,12,38.44,42.61,5,3,1539955800605
0,12,12,38.44,42.61,5,3,1539955800606
0,12,11,38.44,40,5,10,1539955800637
0,12,12,38.44,39,5,1,1539955803528
0,12,19,38.44,39.08,5,1,1539955803532
0,12,11,38.44,40,5,10,1539955803534
0,12,11,38.44,39.78,5,1,1539955803540
0,12,11,38.44,40,5,10,1539955803541
0,12,11,38.44,40,5,11,1539955809374
0,12,11,38.53,40,2,11,1539955809910
0,12,11,38.56,40,3,11,1539955810837
0,12,11,38.82,40,1,11,1539955810837
0,17,11,38.62,40,1,11,1539955810840
0,12,11,38.56,40,3,11,1539955811021
0,12,11,38.56,40,3,10,1539955811388
0,12,12,38.56,39.72,3,2,1539955814575
0,12,12,38.56,39.72,3,3,1539955814933
0,12,12,38.56,39.72,3,2,1539955815062
0,12,12,38.56,39.72,3,3,1539955815448
0,12,12,39,39.72,1,3,1539955825047
0,12,12,39,39.71,1,1,1539955825466
0,12,12,39,39.71,1,2,1539955825596
0,12,12,39,39.71,1,3,1539955829535
0,12,12,39,39.71,2,3,1539955833079
0,12,12,39.01,39.71,1,3,1539955862372
0,12,12,39,39.71,1,3,1539955890889
0,12,12,39,39.01,1,1,1539955890889
0,12,17,39,39.57,1,1,1539955890889
0,12,12,38.97,39.28,1,1,1539955890889
0,12,17,38.97,39.57,1,1,1539955890889
0,12,17,38.97,39.28,1,1,1539955890889
0,12,12,39,39.28,1,1,1539955890889
0,12,17,38.97,39.22,1,1,1539955890889
0,12,17,39,39.22,1,1,1539955890889
0,12,12,39,39.71,1,2,1539955891097
0,12,17,39,39.28,1,1,1539955891097
0,11,12,39,39.71,1,3,1539955891723
0,12,12,38.97,39.71,1,3,1539955921045
0,15,12,38.96,39.71,2,3,1539955923084
0,15,11,38.96,39.44,2,7,1539955938317
0,15,11,38.96,39.44,2,8,1539955938989
0,15,12,38.96,39.43,2,1,1539955939131
0,15,12,38.96,39.43,2,2,1539955939423
0,15,12,38.96,39.43,1,2,1539955940096
0,15,12,38.96,39.43,1,3,1539955940298
0,15,12,38.96,39.43,1,4,1539955941073
0,15,12,38.96,39.34,1,1,1539955946960
0,12,17,39,39.34,1,1,1539955946961
0,12,17,39.01,39.34,2,1,1539955946961
0,12,17,39.01,39.34,1,1,1539955946961
0,15,17,38.96,39.34,1,1,1539955946964
0,12,17,39.01,39.34,1,1,1539955946964
0,15,12,38.96,39.27,1,1,1539955946964
0,15,17,38.96,39.27,1,1,1539955947023
0,12,17,38.95,39.27,1,1,1539955947079
0,12,17,38.98,39.27,1,1,1539955947083
0,12,12,38.98,39.43,1,2,1539955947146
0,12,12,38.98,39.43,1,1,1539955947298
0,12,12,38.98,39.43,1,2,1539955947863
0,12,12,38.99,39.43,1,2,1539955948090
0,12,12,38.99,39.43,1,3,1539955948298
0,12,12,38.99,39.43,1,4,1539955952147
0,12,15,38.99,39.42,1,1,1539955952332
0,12,12,38.99,39.42,1,2,1539955953074
0,12,19,38.99,39.41,1,1,1539955956807
0,12,12,38.99,39.41,1,2,1539955958771
0,12,12,38.99,39.41,1,3,1539955976075
0,12,12,38.99,39.41,1,4,1539955977743
0,12,12,38.99,39.41,2,4,1539955983056
0,12,12,38.99,39.41,2,3,1539955985073
0,12,11,38.99,39.41,2,2,1539955985841
0,12,12,38.99,39.41,2,2,1539955985842
0,12,12,38.99,39.41,2,3,1539955986084
0,12,12,38.99,39.41,2,2,1539956005886
0,12,12,38.99,39.41,2,3,1539956036075
0,12,12,38.99,39.41,2,4,1539956036586
0,12,12,38.99,39.41,2,3,1539956040094
0,12,12,38.99,39.41,2,4,1539956040399
0,12,12,38.99,39.41,2,3,1539956046073
0,12,12,38.99,39.41,2,4,1539956048298
0,12,12,38.99,39.41,2,3,1539956049298
0,12,12,38.99,39.41,2,4,1539956049299
0,12,12,38.99,39.41,2,3,1539956053786
