c,bE,aE,bP,aP,bS,aS,t
0,11,8,90.5,104,1,1,1539860400107
0,8,8,90.28,104,1,1,1539860400109
0,8,8,90.5,104,1,1,1539860400111
0,8,8,91.01,104,1,1,1539861197527
0,8,8,91.55,104,1,1,1539861223078
0,8,11,91.55,95,1,5,1539866232736
0,8,8,91.55,104,1,1,1539866241131
0,12,8,92,104,8,1,1539866548692
0,11,8,95,104,5,1,1539866631380
0,11,12,95,96.98,5,1,1539866765910
0,11,18,95,96.58,4,1,1539866767809
0,11,12,95,96.98,4,1,1539866767809
0,12,18,92,96.58,8,1,1539866806069
0,12,12,92,96.98,8,1,1539866806070
0,12,12,92,96,8,1,1539866827649
0,11,12,95.5,96,1,1,1539867034316
0,12,12,92,96,8,1,1539867042901
0,12,12,92,96,8,2,1539867072419
0,18,12,92.6,96,1,2,1539868124868
0,17,12,92.6,96,1,2,1539868124898
0,12,12,92,96,8,2,1539868125119
0,12,12,92,96,8,1,1539868802318
0,10,12,94.31,96,4,1,1539869400364
0,10,11,94.31,96,4,1,1539869400365
0,10,11,93.6,96,13,1,1539869400366
0,10,12,93.6,96,13,1,1539869400370
0,10,10,93.6,96,13,2,1539869400474
0,10,10,93.6,96,13,3,1539869400481
0,10,10,93.6,96,13,4,1539869400669
0,10,10,93.6,96,13,5,1539869400804
0,12,10,94.31,96,1,5,1539869401356
0,12,10,94.31,96,1,4,1539869401716
0,12,19,94.31,95.94,1,9,1539869402667
0,12,10,94.31,95.94,1,1,1539869404316
0,12,19,94.31,95.93,1,9,1539869407358
0,12,10,94.31,95.94,1,1,1539869407487
0,12,19,94.31,95.84,1,9,1539869407581
0,12,10,94.31,95.94,1,1,1539869408122
0,12,19,94.31,95.93,1,9,1539869408227
0,12,10,94.31,95.94,1,1,1539869408606
0,12,19,94.31,95.93,1,9,1539869410167
0,12,10,94.31,95.94,1,1,1539869410259
0,10,10,94.31,95.94,1,1,1539869434235
0,10,19,94.31,95.13,1,1,1539869440991
0,12,19,94.31,95.13,1,1,1539869440991
0,12,10,94.31,95.13,1,1,1539869440991
0,12,10,94.31,96,1,3,1539869440992
0,12,19,94.31,95.94,1,9,1539869441020
0,12,10,94.31,96,1,3,1539869441020
0,12,10,94.31,96,1,5,1539869441092
0,12,10,94.31,96,1,4,1539869441092
0,10,10,94.31,96,1,5,1539869444904
0,12,10,94.31,96,1,4,1539869447387
0,12,10,94.31,96,1,5,1539869447892
0,12,10,94.31,96,1,4,1539869448598
0,12,10,94.31,96,1,5,1539869449001
0,12,10,94.31,96,1,4,1539869452979
0,12,10,94.31,96,1,5,1539869453070
0,12,10,94.31,96,1,4,1539869454826
0,12,10,94.12,96,1,4,1539869457100
0,17,10,94.16,94.45,1,1,1539869457100
0,17,12,94.16,94.31,1,1,1539869457100
0,12,12,94.12,94.31,1,1,1539869457100
0,17,18,94.16,95.66,1,1,1539869457100
0,17,10,94.16,94.31,1,1,1539869457102
0,12,10,94.16,94.31,1,1,1539869457122
0,10,10,93.72,94.31,3,1,1539869457122
0,17,10,94.16,94.31,1,1,1539869457122
0,10,10,93.72,94.31,1,1,1539869457125
0,10,11,93.72,93.62,1,2,1539869457126
0,10,10,93.47,94.31,1,1,1539869457127
0,10,10,93.72,94.31,1,1,1539869457127
0,10,10,93.47,94.31,1,1,1539869457127
