c,bE,aE,bP,aP,bS,aS,t
0,12,11,214.6,216,3,5,1539648000012
0,11,11,209.41,217,1,2,1539676800043
0,11,11,209.41,220,1,4,1539676800043
0,11,11,210.09,217,3,2,1539676800044
0,11,11,212.06,217,1,2,1539676800048
0,11,11,210.09,217,3,2,1539680926638
0,11,11,210.44,217,1,2,1539686391753
0,11,11,210.09,217,3,2,1539686399041
0,11,11,210.44,217,1,2,1539686402214
0,11,11,210.09,217,3,2,1539686422181
0,8,11,210.21,217,1,2,1539687600228
0,11,11,211,217,5,2,1539687608736
0,11,11,215.5,217,1,2,1539687608737
0,11,11,215.5,217,1,1,1539687673657
0,11,11,215.5,217,2,1,1539687709170
0,11,11,215.5,217.9,2,1,1539687716859
0,11,11,215.5,217.9,1,1,1539687717270
0,11,12,216,217.9,2,1,1539687838256
0,12,12,216.01,217.9,2,1,1539688004999
0,19,8,216.39,217.99,1,2,1539688006523
0,19,12,216.39,217.9,1,1,1539688006523
0,18,8,216.39,217.99,2,2,1539688006523
0,18,11,216.39,218.72,2,10,1539688006529
0,18,11,216.71,218.72,1,10,1539688006529
0,18,11,217.31,218.72,1,10,1539688006529
0,7,11,217.31,218.72,1,10,1539688006683
0,8,11,217.31,218.72,1,10,1539688006683
0,18,11,216.39,218.72,1,10,1539688006683
0,7,11,216.5,218.72,1,10,1539688020347
0,12,11,216.5,218.72,2,10,1539688034187
0,12,11,216.5,218.72,2,9,1539688046241
0,12,8,216.5,217.9,2,5,1539688120804
0,12,11,216.5,218.72,2,9,1539688145936
0,11,11,217,218.72,1,9,1539688194034
0,12,11,216.5,218.72,2,9,1539688257603
0,12,11,216.5,218.72,2,10,1539688330127
0,11,11,216.75,218.72,2,10,1539688341259
0,11,7,216.75,218.37,1,1,1539688411796
0,11,11,216.75,218.72,1,10,1539688411796
0,12,7,216.5,218.37,2,1,1539688411978
0,12,18,216.5,218.37,2,1,1539688411979
0,12,2,216.5,218.32,2,1,1539688411979
0,12,11,216.5,218.72,2,10,1539688411979
0,12,11,216.5,218.72,2,11,1539688412276
0,12,11,216.5,218.72,2,10,1539688413113
0,19,11,216.39,218.72,1,10,1539688746048
0,12,11,216.75,218.72,2,10,1539688746049
0,19,11,216.9,218.72,1,10,1539688803783
0,19,11,216.9,218.72,1,9,1539688817123
0,19,11,216.9,218.72,1,10,1539688817224
0,19,11,216.9,218.72,1,9,1539688848260
0,11,11,217.5,218.72,2,9,1539689228435
0,19,11,216.9,218.72,1,9,1539689300457
0,11,11,218,218.72,5,9,1539689345921
0,11,11,218,218.72,4,9,1539689345922
0,11,11,218,218.72,3,9,1539689349461
0,11,11,218,218.72,2,9,1539689349549
0,11,11,218,218.72,1,9,1539689351653
0,11,7,218,218.57,1,1,1539689351654
0,19,7,216.9,218.57,1,1,1539689360708
0,19,18,216.9,218.57,1,1,1539689360709
0,19,7,216.9,218.45,1,1,1539689360709
0,19,11,216.9,218.72,1,9,1539689365825
0,19,11,216.9,218.72,1,12,1539689485662
0,11,11,217,218.72,4,12,1539689492216
0,11,11,217,218.72,5,12,1539689514529
0,11,11,217,218.72,10,12,1539689526393
0,11,11,217,218.72,10,4,1539689714423
0,11,19,217,218.5,10,1,1539689785126
0,11,11,217,218.72,10,4,1539689812034
0,11,12,217,218.5,10,1,1539689812138
0,11,8,217,218.5,10,15,1539689812310
0,11,8,217.1,218.5,1,15,1539689838273
0,11,12,217.1,218,1,1,1539689843156
0,8,12,217.5,218,1,1,1539689858471
0,11,12,217.1,218,1,1,1539689866503
0,11,11,217.1,218.4,1,1,1539689869370
0,11,11,217.5,218.4,2,1,1539689869454
0,11,11,218,218.4,4,1,1539689870612
0,11,11,218,218.4,3,1,1539689870613
0,11,11,217.5,218.4,2,1,1539689870637
0,11,11,218,218.4,2,1,1539689870637
0,11,8,217.5,218.5,2,15,1539689871688
0,11,8,218.02,218.5,1,15,1539689897427
0,11,8,217.5,218.5,2,15,1539689897452
0,11,8,218,218.5,3,15,1539689908428
0,11,8,217.5,218.5,2,15,1539689908452
0,11,8,217.55,218.5,2,15,1539689915683
0,11,8,218,218.5,1,15,1539689925038
0,11,8,217.55,218.5,2,15,1539689925063
0,11,8,218,218.5,1,15,1539689928171
0,11,8,217.55,218.5,2,15,1539689928195
0,11,18,217.55,218.4,2,1,1539689932859
0,11,18,218,218.4,1,1,1539689941185
0,11,7,218,218.4,1,1,1539689941186
0,11,8,218,218.5,1,15,1539689941186
0,11,8,217.55,218.5,2,15,1539689944529
0,11,18,217.55,218.4,2,1,1539689944530
0,11,8,217.55,218,2,9,1539689944531
0,11,8,217.55,218,1,9,1539689946428
0,11,8,217.5,218,2,9,1539689949722
0,11,8,217.5,218,1,9,1539689950431
0,11,7,217.5,217.9,1,1,1539689950432
0,11,7,217.4,217.9,1,1,1539689951314
0,11,18,217.4,217.9,1,1,1539689951314
0,11,8,217.4,218,1,9,1539689951314
0,11,2,217.4,217.9,1,1,1539689951314
0,11,8,217.1,218,2,9,1539689952116
0,11,8,217.1,218,1,9,1539689952205
0,11,8,217,218,6,9,1539689953017
0,11,8,217,218,5,9,1539689953175
0,11,8,217,218,4,9,1539689953776
0,11,8,217,218,3,9,1539689953995
0,11,8,217,218,2,9,1539689954094
0,11,8,217,218,1,9,1539689954240
0,11,8,216.5,218,2,9,1539689955170
0,11,11,216.5,217.9,2,1,1539689956760
0,11,11,216.51,217.9,3,1,1539689959134
0,11,11,216.51,217.85,3,1,1539689959902
0,11,11,216.51,217.5,3,1,1539689965336
0,11,11,216.51,217.46,3,2,1539689976608
0,11,11,216.51,217.46,2,2,1539689979366
0,11,18,216.51,217.27,2,1,1539689979366
0,11,7,216.51,217.27,2,1,1539689979485
0,11,11,216.51,217.46,2,2,1539689979485
0,11,2,216.51,217.27,2,1,1539689979486
0,11,11,216.51,217,2,1,1539689982630
0,11,2,216.51,216.9,2,1,1539689983551
0,11,2,216.51,216.9,1,1,1539689984023
0,11,11,216.51,217,1,1,1539689984023
0,11,11,216.5,217,3,1,1539689984807
0,11,11,216.5,217,2,1,1539689984967
0,11,11,216.5,217,1,1,1539689985588
0,12,11,216.01,217,5,1,1539689985959
0,12,11,216.01,217.46,5,2,1539689990051
0,12,11,216.01,217.44,5,1,1539689990605
0,12,11,216.01,217.46,5,2,1539689994373
0,19,11,216.11,217.46,1,2,1539689995795
0,12,11,216.01,217.46,5,2,1539689995893
0,12,11,216.01,217,5,1,1539690000824
0,12,11,216.01,217.46,5,2,1539690002745
0,12,11,216.01,217.46,6,2,1539690006420
0,12,11,216.01,217.9,6,1,1539690011354
0,8,11,216.4,217.9,1,1,1539690011409
0,12,11,216.45,217.9,10,1,1539690015042
0,11,11,216.5,217.9,1,1,1539690015378
0,11,11,216.6,217.9,1,1,1539690030684
0,11,11,217,217.9,1,1,1539690033173
0,12,11,216.6,217.9,1,1,1539690037479
0,11,11,217,217.9,1,1,1539690046860
0,11,11,217,217.9,2,1,1539690053231
0,11,11,217,217.9,2,4,1539690054944
0,11,11,217,217.9,43,4,1539690060891
0,11,11,217.01,217.9,1,4,1539690062359
0,11,11,217.1,217.9,2,4,1539690065498
0,11,11,217.1,217.9,2,3,1539690065641
0,8,11,217.2,217.9,1,3,1539690067760
0,11,7,217.1,217.76,2,1,1539690071236
0,11,11,217.1,217.9,2,3,1539690071236
0,11,11,217.1,217.9,2,3,1539690073685
0,11,18,217.1,217.76,2,1,1539690073685
0,11,11,217.26,217.9,1,3,1539690078406
0,12,11,217.58,217.9,1,3,1539690099939
0,12,8,217.58,218,1,9,1539690101165
0,12,8,217.58,218,1,8,1539690101748
0,12,8,217.58,218,1,7,1539690101838
0,12,8,217.58,218,1,6,1539690102539
0,12,8,217.58,218,1,1,1539690105831
0,8,8,217.82,218.5,3,15,1539690106444
0,12,8,217.58,218.5,1,15,1539690106444
0,11,8,218,218.5,1,15,1539690106731
0,11,8,218,218.5,1,7,1539690106849
0,7,8,218.1,218.5,1,7,1539690106849
0,11,8,218,218.5,1,7,1539690109647
0,12,8,217.58,218.5,1,7,1539690110692
0,12,8,217.58,218.5,1,5,1539690110933
0,12,12,217.58,218.44,1,1,1539690114863
0,12,8,217.58,218.5,1,5,1539690115453
0,11,8,217.3,218.5,1,5,1539690116096
0,11,8,217.6,218.5,1,5,1539690118945
0,8,8,217.61,218.5,1,5,1539690120724
0,11,8,217.6,218.5,1,5,1539690125140
0,11,8,217.6,218.5,2,5,1539690151963
0,11,8,218.41,218.5,1,5,1539690165410
0,11,8,217.6,218.5,2,5,1539690168317
0,11,8,217.6,218.5,1,5,1539690168319
0,11,8,217.6,218.5,1,6,1539690168319
0,11,8,217.6,218.5,1,5,1539690172191
0,11,8,217.6,218.5,2,5,1539690173410
0,11,8,217.7,218.5,1,5,1539690175619
0,11,8,217.6,218.5,2,5,1539690178637
0,11,8,217.6,218.5,1,5,1539690180642
0,11,8,217.61,218.5,3,5,1539690181500
0,11,8,217.7,218.5,1,5,1539690182866
0,11,8,218.25,218.5,1,5,1539690192361
0,11,19,218.25,218.5,1,3,1539690200755
0,8,19,218.39,218.5,1,3,1539690201416
0,19,8,218.39,218.5,1,15,1539690201447
0,11,8,218.25,218.5,1,15,1539690201447
0,11,8,218.25,218.5,1,14,1539690201528
0,11,8,218.25,218.5,1,13,1539690201554
0,11,8,218.25,218.5,1,8,1539690201894
0,11,8,218.25,218.5,1,7,1539690201926
0,12,8,218.25,218.5,1,7,1539690202099
0,19,8,218.25,218.5,1,7,1539690202099
0,11,8,217.7,218.5,1,7,1539690202100
0,11,8,217.7,218.5,1,5,1539690202109
0,11,12,217.7,218.5,1,1,1539690203761
0,11,12,218,218.5,5,1,1539690208362
0,11,12,218.25,218.5,1,1,1539690215419
0,19,12,218.25,218.5,1,1,1539690222950
0,12,12,218.25,218.5,1,1,1539690222950
0,8,12,218.25,218.5,1,1,1539690225017
0,19,12,218.25,218.5,1,1,1539690225059
0,19,18,218.25,218.4,1,1,1539690225063
0,11,18,218,218.4,3,1,1539690225063
0,11,11,218,218.25,3,1,1539690225234
0,11,11,218,218.25,2,1,1539690226074
0,11,11,218,218.25,1,1,1539690226371
0,11,11,217.7,218.25,1,1,1539690226607
0,11,11,217.61,218.25,3,1,1539690226666
0,11,12,217.61,218.5,3,1,1539690239646
0,11,12,218,218.5,1,1,1539690240142
0,19,12,218,218.5,1,1,1539690240146
0,11,12,217.61,218.5,3,1,1539690240146
0,11,11,217.61,218.5,3,2,1539690243715
0,11,11,217.75,218.5,1,2,1539690269122
0,11,8,217.61,218.35,3,1,1539690274724
0,11,8,217.75,218.35,1,1,1539690274724
0,11,7,217.61,218.35,3,1,1539690274861
0,11,11,217.61,218.5,3,2,1539690274861
0,11,12,217.61,218,3,4,1539690279060
0,11,12,217.61,218,2,4,1539690280759
0,11,2,217.61,217.92,2,1,1539690281395
0,8,12,217.5,218,1,4,1539690281463
0,8,2,217.5,217.92,1,1,1539690281463
0,11,12,217.3,218,2,4,1539690282584
0,11,12,217.3,218,1,4,1539690283163
0,11,7,217.3,217.86,1,1,1539690283164
0,11,12,217.3,218,1,4,1539690285099
0,11,12,217.3,218,2,4,1539690291930
0,11,12,217.3,218,1,4,1539690291931
0,11,12,217.5,218,1,4,1539690293743
0,11,12,217.3,218,1,4,1539690293748
0,11,12,217.3,217.94,1,1,1539690299502
0,11,12,217.9,217.94,1,1,1539690313159
0,11,12,217.3,217.94,1,1,1539690313160
0,11,12,217.5,217.94,1,1,1539690324495
0,11,12,217.3,217.94,1,1,1539690324499
0,11,12,217.6,217.94,1,1,1539690363431
0,11,12,217.3,217.94,1,1,1539690363435
0,11,12,217.93,217.94,1,1,1539690375450
0,11,12,217.3,217.94,2,1,1539690375451
0,11,12,217.3,217.94,1,1,1539690375451
0,11,11,217.3,217.94,1,1,1539690411639
0,11,12,217.31,217.94,1,1,1539690421998
0,11,12,217.3,217.94,1,1,1539690443008
0,12,12,217.11,217.94,4,1,1539690456484
0,12,19,217.11,217.3,4,1,1539690456485
0,12,12,217.11,217.94,4,1,1539690466996
0,12,12,217.11,217.3,4,14,1539690478655
0,8,12,217.14,217.3,2,14,1539690481687
0,12,12,217.11,217.3,4,14,1539690494313
0,12,12,217.11,217.3,4,5,1539690510577
0,12,12,217.11,217.3,4,3,1539690511430
0,12,12,217.11,217.3,4,2,1539690512088
0,12,12,217.11,217.3,4,1,1539690512478
0,12,12,217.11,217.94,4,1,1539690512693
0,12,12,217.3,217.94,1,1,1539690512907
0,12,12,217.35,217.94,1,1,1539690513412
0,12,12,217.3,217.94,1,1,1539690514476
0,12,12,217.11,217.94,4,1,1539690514634
0,12,12,217.12,217.94,1,1,1539690515644
0,12,12,217.11,217.94,4,1,1539690518371
0,11,12,217.3,217.94,4,1,1539690520915
0,11,11,217.3,217.6,4,5,1539690535004
0,11,11,217.3,217.54,4,2,1539690545692
0,11,11,217.3,217.54,4,1,1539690548541
0,11,11,217.3,217.54,2,1,1539690549260
0,11,11,217.3,217.54,1,1,1539690551118
0,12,11,217.11,217.54,4,1,1539690551479
0,12,11,217.45,217.54,1,1,1539690551890
0,12,11,217.11,217.54,4,1,1539690552762
0,12,11,217.11,217.53,4,1,1539690564246
0,12,11,217.11,217.54,4,1,1539690571381
0,12,11,217.11,217.53,4,1,1539690571798
0,12,11,217.11,217.54,4,1,1539690574476
0,11,11,217.12,217.54,1,1,1539690574886
0,12,11,217.11,217.54,4,1,1539690578964
0,11,11,217.12,217.54,1,1,1539690579646
0,12,11,217.11,217.54,4,1,1539690581636
0,11,11,217.5,217.54,2,1,1539690587267
0,12,11,217.11,217.54,4,1,1539690587272
0,12,11,217.15,217.54,1,1,1539690593519
0,11,8,217.2,217.54,4,1,1539690614758
0,11,8,217.2,217.54,3,1,1539690623151
0,11,11,217.2,217.54,3,1,1539690640815
0,11,8,217.2,217.54,3,1,1539690703193
0,12,8,217.37,217.54,1,1,1539690709979
0,12,11,217.37,217.6,1,5,1539690714103
0,12,11,217.37,217.6,1,4,1539690732074
0,11,11,217.39,217.6,3,4,1539690739061
0,11,11,217.39,217.93,3,2,1539690762061
0,11,11,217.39,217.93,3,2,1539690762066
0,7,11,217.6,217.93,1,2,1539690762066
0,11,11,217.4,217.93,1,2,1539690778201
0,11,11,217.45,217.93,1,2,1539690798978
0,11,11,217.45,217.84,1,1,1539690799198
0,11,11,217.39,217.84,3,1,1539690844652
0,11,11,217.39,217.84,2,1,1539690846305
0,11,11,217.39,217.84,1,1,1539690848088
0,11,11,217.39,217.93,1,2,1539690852934
0,11,11,217.39,217.84,1,1,1539690852935
0,11,11,217.39,217.93,1,2,1539690852936
0,11,11,217.39,217.84,1,2,1539690852938
0,11,11,217.39,217.84,2,2,1539690865048
0,11,11,217.5,217.84,1,2,1539690879736
0,11,11,217.39,217.84,2,2,1539690879757
0,11,11,217.39,217.5,2,1,1539690901206
0,11,11,217.4,217.5,41,1,1539690913257
0,11,11,217.4,217.93,41,2,1539690916297
0,12,11,217.41,217.93,4,2,1539690927316
0,11,11,217.5,217.93,2,2,1539690941747
0,11,11,217.51,217.93,5,2,1539690975931
0,11,11,217.6,217.93,1,2,1539690993106
0,11,12,217.6,218,1,4,1539691025702
0,11,12,217.51,218,5,4,1539691034147
0,11,12,217.65,218,1,4,1539691034238
0,11,12,217.65,217.99,1,1,1539691041725
0,8,12,217.7,217.99,1,1,1539691084284
0,11,8,217.75,217.99,1,1,1539691091710
0,11,12,217.75,217.99,1,1,1539691091710
0,19,8,217.75,217.99,1,1,1539691102877
0,12,12,217.75,217.99,1,1,1539691102878
0,19,12,217.75,217.99,1,1,1539691102878
0,11,8,217.75,217.99,1,1,1539691108197
0,11,12,217.75,218,1,4,1539691110224
0,11,12,217.75,218,1,2,1539691110225
0,11,12,217.75,218,1,1,1539691110225
0,11,11,217.75,218.48,1,10,1539691112530
0,8,11,217.9,218.48,5,10,1539691114693
0,11,11,218,218.48,2,10,1539691121035
0,11,11,218,218.48,3,10,1539691126380
0,11,11,218,218.48,2,10,1539691127073
0,11,11,218,218.48,3,10,1539691127167
0,11,11,218,218.48,2,10,1539691134565
0,11,11,218.25,218.48,1,10,1539691134575
0,11,8,218.25,218.47,1,1,1539691142922
0,11,12,218.25,218.4,1,1,1539691147531
0,11,12,218.28,218.4,5,1,1539691154223
0,11,12,218.39,218.4,1,1,1539691154960
0,11,12,218.28,218.4,5,1,1539691154961
0,11,12,218.35,218.4,1,1,1539691164441
0,19,12,218.35,218.4,1,1,1539691165381
0,8,12,218.35,218.4,1,1,1539691165381
0,11,12,218.28,218.4,5,1,1539691165381
0,12,12,218.35,218.4,1,1,1539691165381
0,11,12,218.28,218.4,3,1,1539691166393
0,8,12,217.7,218.4,1,1,1539691166671
0,11,12,218.25,218.4,1,1,1539691179902
0,12,12,218.25,218.4,1,1,1539691182336
0,8,12,218.25,218.4,1,1,1539691182336
0,19,12,218.25,218.4,1,1,1539691185733
0,8,12,217.7,218.4,1,1,1539691189053
0,8,11,217.7,218.4,1,2,1539691197644
0,8,11,217.7,218.4,1,3,1539691200366
0,8,11,217.7,218,1,1,1539691200398
0,8,11,217.7,218.4,1,3,1539691207735
0,8,11,217.74,218.4,1,3,1539691214554
0,8,11,217.74,218.3,1,1,1539691216309
0,8,11,217.7,218.3,1,1,1539691233353
0,11,11,217.81,218.3,1,1,1539691233475
0,11,12,217.81,218,1,3,1539691233955
0,11,11,217.81,218,1,2,1539691242339
0,8,11,217.7,218,1,2,1539691249789
0,8,11,217.7,218.3,1,1,1539691252662
0,8,11,217.7,217.81,1,4,1539691256181
0,8,11,217.7,218.3,1,1,1539691258868
0,8,11,217.7,218,1,20,1539691264768
0,8,11,217.7,218,1,21,1539691265974
0,2,11,217.76,218.3,1,1,1539691270974
0,8,11,217.7,218.3,1,1,1539691270974
0,17,11,217.78,218.3,1,1,1539691270974
0,8,11,217.7,218.3,1,1,1539691271004
0,8,11,217.7,218.2,1,2,1539691338443
0,8,11,217.7,218,1,1,1539691354984
0,8,19,217.7,218,1,1,1539691359963
0,11,19,217.93,218,3,1,1539691362926
0,8,19,217.7,218,1,1,1539691364442
0,8,8,217.7,218,1,1,1539691364443
0,8,12,217.7,218,1,1,1539691364443
0,12,12,217.51,218,4,1,1539691370283
0,12,8,217.51,217.95,4,1,1539691374406
0,12,12,217.51,217.92,4,1,1539691388386
0,12,11,217.51,217.7,4,2,1539691397594
0,12,12,217.51,217.92,4,1,1539691415008
0,12,11,217.51,217.62,4,2,1539691415115
0,12,11,217.51,217.62,4,1,1539691415143
0,12,11,217.51,217.62,4,2,1539691418765
0,12,11,217.51,217.62,4,1,1539691418765
0,12,12,217.51,218,4,1,1539691422474
0,11,12,217.55,218,1,1,1539691426708
0,11,12,217.66,218,1,1,1539691438952
0,11,8,217.66,218,1,6,1539691459275
0,11,8,217.65,218,5,6,1539691460263
0,11,8,217.7,218,1,6,1539691460374
0,11,8,217.65,218,5,6,1539691486757
0,11,8,217.75,218,1,6,1539691486866
0,11,12,217.75,218,1,1,1539691488657
0,11,8,217.75,218,1,5,1539691488658
0,11,8,217.65,218,5,5,1539691520838
0,11,12,217.65,218,5,1,1539691546456
0,11,8,217.65,218,5,2,1539691546458
0,11,8,217.66,218,1,2,1539691550348
0,11,8,217.65,218,5,2,1539691550348
0,11,8,217.66,218,1,2,1539691550348
0,11,8,217.7,218,1,2,1539691560749
0,11,11,217.7,218,1,2,1539691605292
0,11,11,217.65,218,5,2,1539691616919
0,11,8,217.65,218,5,2,1539691616919
0,11,12,217.65,217.7,5,1,1539691616923
0,11,12,217.65,217.7,4,1,1539691618919
0,11,11,217.65,218,4,2,1539691618951
0,11,8,217.8,218,1,2,1539691625593
0,11,11,217.65,218,4,2,1539691629336
0,11,8,217.65,218,4,2,1539691629336
0,11,11,217.65,217.94,4,1,1539691633866
0,11,11,217.65,217.84,4,1,1539691637187
0,12,11,217.66,217.84,4,1,1539691643161
0,12,11,217.66,217.84,3,1,1539691658524
0,11,11,217.7,217.84,1,1,1539691715873
0,11,11,217.72,217.84,2,1,1539691745163
0,11,11,217.72,217.94,2,1,1539691746017
0,12,11,217.84,217.94,10,1,1539691746021
0,12,11,217.84,217.94,9,1,1539691767783
0,12,11,217.84,218,9,2,1539691768018
0,12,12,217.84,217.94,9,1,1539691768018
0,8,11,217.99,218,2,2,1539691768023
0,19,11,217.99,218,1,2,1539691768033
0,12,11,217.84,218,9,2,1539691768033
0,12,8,217.84,218,9,2,1539691768049
0,11,8,217.88,218,1,2,1539691768049
0,11,11,217.88,218,1,1,1539691768049
0,17,12,217.88,218,1,1,1539691768156
0,12,12,217.84,218,9,1,1539691768237
0,11,12,217.88,218,1,1,1539691771034
0,11,19,217.88,218,1,1,1539691771034
0,11,8,217.88,218,1,1,1539691771034
0,11,8,217.88,218,1,1,1539691771034
0,11,12,217.88,218,1,1,1539691771034
0,17,12,217.88,218,1,1,1539691771156
0,12,12,217.84,218,9,1,1539691771237
0,11,8,217.88,218,1,1,1539691779735
0,11,12,217.88,218,1,1,1539691779735
0,11,19,217.88,218,1,1,1539691779735
0,19,19,217.93,218,1,1,1539691779736
0,19,11,217.93,218.4,1,4,1539691779736
0,17,11,217.88,218.4,1,4,1539691779766
0,12,11,217.84,218.4,9,4,1539691779981
0,12,11,217.84,218.4,9,3,1539691782381
0,11,11,218,218.4,1,3,1539691782402
0,8,11,218,218.4,10,3,1539691790207
0,8,11,218,218.2,10,2,1539691794082
0,8,11,218,218.2,10,1,1539691796452
0,8,11,218,218.4,10,3,1539691797100
0,8,11,218,218.39,10,1,1539691816880
0,8,11,218,218.4,10,3,1539691818501
0,8,12,218,218.39,10,1,1539691819709
0,11,12,218,218.39,1,1,1539691820430
0,11,11,218,218.4,1,3,1539691821875
0,11,8,218,218.39,1,1,1539691823847
0,11,11,218,218.4,1,3,1539691848308
