c,bE,aE,bP,aP,bS,aS,t
0,11,11,319,366.78,2,1,1539648000010
0,11,11,200,351.95,1,3,1539684170623
0,11,11,279,351.95,2,3,1539684337478
0,8,8,300,349.5,1,2,1539687600125
0,8,11,300,349,1,1,1539687610348
0,8,11,319,349,1,1,1539688750501
0,8,11,300,349,1,1,1539688769155
0,8,11,319.05,349,1,1,1539688769264
0,8,11,300,349,1,1,1539688986815
0,11,11,320,349,1,1,1539688989671
0,8,11,300,349,1,1,1539689151345
0,8,11,320,349,2,1,1539689151437
0,8,11,300,349,1,1,1539689161717
0,8,11,320,349,1,1,1539689161810
0,8,11,300,349,1,1,1539690832922
0,11,11,315,349,1,1,1539690886605
0,8,11,300,349,1,1,1539690894448
0,8,11,300,318.9,1,1,1539691130439
0,8,11,300,349,1,1,1539691155213
0,8,11,300,318.8,1,1,1539691155333
0,8,11,300,349,1,1,1539691180484
0,8,8,300,318.7,1,1,1539691180599
0,8,11,300,349,1,1,1539691193063
0,8,8,300,318.6,1,1,1539691193141
0,8,11,300,349,1,1,1539691201623
0,8,8,300,318.5,1,1,1539691201721
0,8,11,300,349,1,1,1539691220063
0,8,8,300,318,1,1,1539691220160
0,8,11,300,349,1,1,1539691254030
0,8,8,300,318.5,1,1,1539691293357
0,8,11,300,349,1,1,1539691300344
0,8,8,300,318,1,1,1539691300425
0,8,12,300,315,1,1,1539691327824
0,8,11,300,310,1,1,1539691382778
0,8,19,300,310,1,1,1539691390778
0,8,12,300,310,1,1,1539691390779
0,8,11,300,306,1,1,1539691414799
0,8,11,300,306,1,2,1539691426055
0,8,11,300,306,1,1,1539691428615
0,8,11,300,305.5,1,1,1539691428714
0,8,11,300,306,1,1,1539691469067
0,11,11,279.02,306,3,1,1539691505414
0,11,11,279.02,306,3,2,1539691506550
0,11,8,279.02,306,3,1,1539691507401
0,11,19,279.02,306,3,1,1539691507401
0,11,12,279.02,306,3,1,1539691507401
0,11,15,279.02,306,3,1,1539691507402
0,11,11,279.02,306,3,1,1539691507403
0,11,11,279.02,305.75,3,1,1539691507413
0,11,19,279.02,305.75,3,1,1539691508417
0,11,8,279.02,305.75,3,1,1539691508417
0,11,15,279.02,305.75,3,1,1539691508417
0,11,12,279.02,305.75,3,1,1539691508417
0,11,11,279.02,306,3,1,1539691508419
0,11,11,279.02,305.5,3,1,1539691508429
0,11,12,279.02,305.5,3,1,1539691509305
0,11,8,279.02,305.5,3,1,1539691509305
0,11,15,279.02,305.5,3,1,1539691509305
0,11,11,279.02,306,3,1,1539691509306
0,11,11,279.02,305.25,3,1,1539691509315
0,11,15,279.02,305.25,3,1,1539691510518
0,11,12,279.02,305.25,3,1,1539691510518
0,11,11,279.02,306,3,1,1539691510519
0,11,11,279.02,305,3,1,1539691510529
0,11,15,279.02,305,3,1,1539691534557
0,11,12,279.02,305,3,1,1539691534557
0,11,11,279.02,306,3,1,1539691534559
0,11,11,279.02,304.75,3,1,1539691534568
0,11,12,279.02,304.75,3,1,1539691535544
0,11,19,279.02,304.75,3,1,1539691535544
0,11,15,279.02,304.75,3,1,1539691535544
0,11,11,279.02,306,3,1,1539691535546
0,11,11,279.02,304.5,3,1,1539691535553
0,11,12,279.02,304.5,3,1,1539691536600
0,11,19,279.02,304.5,3,1,1539691536600
0,11,15,279.02,304.5,3,1,1539691536600
0,11,11,279.02,306,3,1,1539691536602
0,11,11,279.02,304.25,3,1,1539691536610
0,11,11,279.02,303.85,3,1,1539691536977
0,11,8,279.02,304,3,1,1539691539626
0,7,8,280,304,1,1,1539691634762
0,7,11,280,300,1,1,1539691651406
0,7,11,280,300,1,2,1539691703175
0,7,12,280,300,1,1,1539691710689
0,7,11,280,300,1,1,1539691710690
0,7,2,280,299.84,1,1,1539691777804
0,7,11,280,300,1,1,1539691784507
0,7,2,280,298.75,1,1,1539691793199
0,7,11,280,300,1,1,1539691823231
0,7,2,280,299.69,1,1,1539691827247
0,7,11,280,298,1,1,1539691839368
0,7,19,280,302,1,1,1539691901511
0,7,11,280,298,1,1,1539691901556
0,7,11,285,298,1,1,1539691980711
0,11,11,285.88,298,1,1,1539692140088
0,11,19,285.88,302,1,1,1539692273314
0,11,8,285.88,301.99,1,2,1539692285781
0,11,19,285.88,302,1,1,1539692290525
0,11,11,285.88,301.99,1,2,1539692291276
0,8,11,285.89,301.99,2,2,1539692330740
0,11,11,285.88,301.99,1,2,1539692341333
0,11,11,293,301.99,1,2,1539692407702
0,11,11,293,301.99,2,2,1539692442196
0,11,19,293,302,2,1,1539692452405
0,11,19,294,302,1,1,1539692456233
0,11,19,295,302,1,1,1539692476058
0,11,19,299.06,302,1,1,1539692480961
0,11,11,299.06,301,1,1,1539692530503
0,11,11,298.1,301,1,1,1539692535695
0,11,11,296,301,1,1,1539692542319
0,11,11,294,301,1,1,1539692551803
0,11,11,294,296,1,1,1539692551806
0,11,11,293,296,2,1,1539692555122
0,11,11,294,296,1,1,1539692610148
0,11,11,294,296,1,2,1539692614247
0,11,11,293,296,2,2,1539692618986
0,11,11,293,295.95,2,1,1539692644450
0,11,11,293,296,2,2,1539692647530
0,11,12,293,296,2,1,1539692647531
0,11,8,293,296,2,2,1539692647533
0,11,11,293,295,2,1,1539692659589
0,11,11,293,294.95,2,1,1539692669131
0,11,11,293,295,2,1,1539692673293
0,11,11,293,294.95,2,1,1539692674352
0,11,8,293,296,2,2,1539692680826
0,11,12,293,296,2,1,1539692688138
0,11,8,293,296,2,1,1539692688139
0,11,8,293,295.95,2,1,1539692690265
0,11,8,293,296,2,1,1539692690594
0,7,8,285,296,1,1,1539692771701
0,11,8,286,296,1,1,1539692780543
0,11,8,290.1,296,1,1,1539692804559
0,11,8,290.1,296,1,2,1539692934942
0,11,8,293,296,1,2,1539693128605
0,11,8,290.1,296,1,2,1539693221040
0,11,8,290.27,296,1,2,1539693227928
0,11,8,290.27,296,1,1,1539693235000
0,11,8,293,296,1,1,1539693596427
0,11,8,293.1,296,1,1,1539693599171
0,8,8,293.2,296,1,1,1539693762825
0,8,11,293.2,294.35,1,1,1539693907426
0,8,12,293.2,294,1,1,1539693943787
0,11,12,290.1,294,1,1,1539693944347
0,11,11,290.1,294.35,1,1,1539693944842
0,11,11,290.1,293,1,1,1539693956009
0,11,11,290.1,294.35,1,1,1539693959345
0,11,11,290.1,293,1,1,1539693982671
0,11,11,290.1,294.35,1,1,1539693985173
0,11,11,290.1,293,1,1,1539694066888
0,11,11,290.1,294.35,1,1,1539694121701
0,11,11,290.1,293,1,4,1539694122191
0,11,11,290.1,292,1,1,1539694170888
0,11,11,290.1,293,1,4,1539694178954
0,11,8,290.1,292.99,1,1,1539694180558
0,11,11,290.1,293,1,4,1539694181305
0,11,11,290.1,294.35,1,1,1539694207701
0,12,11,290.5,294.35,1,1,1539694479350
0,8,11,290.51,294.35,1,1,1539694494458
0,12,11,290.5,294.35,1,1,1539694495825
0,8,11,290.51,294.35,1,1,1539694496837
0,12,11,290.5,294.35,1,1,1539694497404
0,12,11,291,294.35,1,1,1539694500111
0,12,11,290.5,294.35,1,1,1539694505786
0,12,11,290.5,293,1,1,1539694551463
0,12,11,290.5,294.35,1,1,1539694553625
0,8,11,290.51,294.35,1,1,1539694554993
0,12,11,290.5,294.35,1,1,1539694557065
0,8,11,290.51,294.35,1,1,1539694557737
0,12,11,290.5,294.35,1,1,1539694558206
0,12,11,290.5,294.3,1,1,1539694660507
0,12,12,290.5,292,1,10,1539694714283
0,12,11,290.5,294.3,1,1,1539694731432
0,12,12,290.5,291.46,1,10,1539694731433
0,12,8,290.5,291,1,1,1539694732459
0,12,12,290.5,291.46,1,10,1539694732464
0,12,12,290.5,291,1,1,1539694736806
0,12,12,290.5,291.46,1,10,1539694737946
0,12,11,290.5,294.3,1,1,1539694738866
0,12,12,290.5,291.31,1,10,1539694738867
0,12,12,290.5,291,1,1,1539694741284
0,11,12,290.1,291,1,1,1539694747173
0,8,12,286.5,291,13,1,1539694748151
0,8,12,286.5,291.31,13,10,1539694750375
0,8,12,286.5,290.5,13,1,1539694752807
0,8,12,286.51,290.5,1,1,1539694764117
0,8,12,286.5,290.5,13,1,1539694769005
0,12,12,287,290.5,1,1,1539694799135
0,12,12,287,291.31,1,10,1539694808635
0,12,12,287,290,1,1,1539694810167
0,12,12,287,291.31,1,10,1539694812266
0,12,12,287,290.75,1,1,1539694817267
0,8,12,287.01,290.75,1,1,1539694818937
0,12,12,287,290.75,1,1,1539694820205
0,8,12,287.01,290.75,1,1,1539694822517
0,12,12,287,290.75,1,1,1539694832168
0,12,11,287,290.7,1,1,1539694843976
0,12,11,287,288,1,1,1539694896851
0,12,12,287,288,1,1,1539694900784
0,12,11,287,290.7,1,1,1539694900785
0,8,11,287.01,290.7,1,1,1539694923819
0,8,8,287.01,290.69,1,1,1539694924457
0,12,8,287,290.69,1,1,1539694925805
0,12,12,287,290.68,1,1,1539695050513
0,11,12,288,290.68,2,1,1539695099369
0,11,8,288,290,2,1,1539695156345
0,11,8,288,290,4,1,1539695193115
0,11,8,288,290,2,1,1539695209727
0,11,8,288,290,3,1,1539695235394
0,12,8,288.1,290,1,1,1539695254500
