c,bE,aE,bP,aP,bS,aS,t
0,11,11,35.85,42.55,6,1,1539765769634
0,11,11,35.85,41.69,6,3,1539766622417
0,11,11,37,41.69,7,3,1539774003583
0,11,11,37.8,41.69,1,3,1539774007001
0,11,11,37.8,40,1,1,1539774312406
0,11,11,37.8,39.75,1,2,1539777122549
0,11,11,39,39.75,3,2,1539777254484
0,11,11,37.8,39.75,1,2,1539777272179
0,11,11,37.8,40,1,1,1539777272309
0,11,11,37.8,40,2,1,1539777272970
0,11,11,37.8,40,1,1,1539777617404
0,11,11,37.8,40,1,2,1539777617411
0,11,11,37.8,40,1,1,1539777624274
0,11,11,37.8,39.7,1,2,1539778783965
0,11,11,37.8,40,1,2,1539782880191
0,18,11,38.18,40,1,2,1539782880191
0,11,11,37.8,40,1,2,1539782910465
0,7,11,38.18,40,1,2,1539782910465
0,11,11,37.8,40,1,1,1539782954372
0,12,12,39.06,40,1,5,1539783000544
0,12,12,39.06,40,1,5,1539783000544
0,12,12,39.06,39.5,1,10,1539783000991
0,12,12,38.7,39.5,1,10,1539783001347
0,12,12,38.7,39.5,1,11,1539783001615
0,12,12,38.7,39.5,2,11,1539783003891
0,12,12,38.7,39.5,3,11,1539783008915
0,12,12,38.7,39.5,4,11,1539783008919
0,19,12,38.71,39.5,1,11,1539783010444
0,12,12,38.71,39.5,2,11,1539783010546
0,12,11,38.71,39.49,2,1,1539783011350
0,12,12,38.71,39.49,2,2,1539783011997
0,12,12,38.71,39.49,3,2,1539783033828
0,12,12,38.71,39.49,3,3,1539783044064
0,12,12,38.71,39.49,4,3,1539783044217
0,12,12,38.71,39.49,5,3,1539783046090
0,12,12,38.71,39.49,6,3,1539783056318
0,12,12,38.71,39.49,5,3,1539783102818
0,12,12,38.71,39.49,5,1,1539783102972
0,12,12,38.71,39.49,5,2,1539783102972
0,12,12,38.71,39.5,5,10,1539783102972
0,12,12,39.49,39.5,1,10,1539783102972
0,12,19,39.1,39.54,1,2,1539783102972
0,12,12,39.1,39.5,1,10,1539783102972
0,12,19,39,39.54,1,2,1539783102972
0,17,19,38.87,39.54,1,2,1539783102972
0,12,19,39.18,39.54,1,2,1539783102972
0,12,12,39.18,39.79,1,2,1539783102973
0,12,12,39.26,39.79,1,2,1539783102973
0,17,12,39.26,39.49,1,1,1539783102973
0,12,12,39.31,39.79,1,2,1539783102973
0,17,12,39.26,39.79,1,2,1539783102973
0,12,12,39.37,39.79,1,2,1539783102973
0,12,11,39.37,39.9,1,2,1539783102989
0,12,19,39.37,39.84,1,2,1539783102989
0,12,12,39.37,40,1,5,1539783102989
0,11,12,39.37,40,1,5,1539783103003
0,12,12,39.37,40,2,5,1539783103091
0,12,12,39.37,40,3,5,1539783103217
0,12,12,39.37,40,4,5,1539783103237
0,12,12,39.37,40,5,5,1539783103609
0,19,12,39.38,40,1,5,1539783103742
0,12,12,39.38,40,2,5,1539783103829
0,12,12,39.38,40,2,3,1539783105549
0,12,11,39.38,40,2,1,1539783105549
0,12,11,39.51,40,1,1,1539783105549
0,12,11,39.69,40,1,1,1539783105549
0,2,11,39.76,40,1,1,1539783105550
0,2,12,39.76,40.32,1,2,1539783105550
0,2,19,39.76,40.15,1,1,1539783105550
0,12,12,39.76,40.32,1,2,1539783105551
0,11,11,39.76,40.33,1,2,1539783105574
0,12,11,39.76,40.49,1,2,1539783105574
0,12,11,39.76,40.49,2,2,1539783105646
0,12,19,39.76,40.69,2,1,1539783106060
0,12,19,39.76,40.69,3,1,1539783106091
0,12,19,39.76,40.69,4,1,1539783106218
0,12,11,39.76,40.48,4,2,1539783108984
0,19,11,39.77,40.48,1,2,1539783111897
0,19,19,39.77,40.69,1,1,1539783111898
0,8,19,39.77,40.68,1,2,1539783111898
0,12,19,39.77,40.68,2,2,1539783111911
0,12,19,39.77,40.68,3,2,1539783112108
0,12,19,39.77,40.68,4,2,1539783141260
0,8,19,39.9,40.68,1,2,1539783160347
0,8,19,39.9,40.69,1,1,1539783160348
0,11,19,39.77,40.69,2,1,1539783160348
0,12,19,39.77,40.69,3,1,1539783160348
