c,bE,aE,bP,aP,bS,aS,t
0,11,12,100,134.88,1,4,1539082180787
0,11,11,100,134.88,1,4,1539082180794
0,11,11,100,148.88,1,4,1539082213634
0,11,11,120,148.88,5,4,1539082254437
0,11,11,124,148.88,10,4,1539082406391
0,11,11,125,148.88,10,4,1539082465701
0,11,11,125.18,148.88,1,4,1539082503400
0,11,11,126,148.88,1,4,1539082518589
0,11,11,126.05,148.88,1,4,1539082553566
0,11,11,127,148.88,5,4,1539082554658
0,11,11,127.5,148.88,1,4,1539082586146
0,11,11,127.5,148.88,2,4,1539082598511
0,11,11,129,148.88,5,4,1539082728447
0,11,11,129,144.44,5,4,1539082747246
0,11,11,129,144.4,5,1,1539082753900
0,11,11,129,130,5,25,1539082803199
0,11,11,127.5,130,2,25,1539082811526
0,11,11,127.5,130,1,25,1539082811533
0,11,11,127.5,128,1,33,1539082811536
0,8,11,125,128,11,33,1539082820437
0,8,11,125,128,11,28,1539082824449
0,11,11,127,128,1,28,1539082882279
0,8,11,125,128,11,28,1539082973423
0,8,11,125,128,11,23,1539082985880
0,8,11,125,128,11,18,1539082989614
0,8,11,125,128,11,16,1539082990640
0,8,11,125,128,11,14,1539083052976
0,8,11,125,128,11,11,1539083067490
0,8,11,125,128,11,6,1539083083574
0,8,11,125,128,11,5,1539083086900
0,8,8,125,129,11,1,1539083091449
0,8,8,125,129,11,2,1539083095283
0,8,8,125,129,11,1,1539083099842
0,8,11,125,130,11,25,1539083112891
0,8,11,125,130,13,25,1539083139077
0,8,8,125,129.99,13,2,1539083321642
0,8,8,125,129.99,2,2,1539083422464
0,11,8,127,129.99,10,2,1539083422599
0,11,11,127,129.99,10,6,1539083630008
0,11,8,127,129.9,10,2,1539083661039
0,11,8,127,129.9,10,7,1539083712389
0,11,11,127,129.9,10,9,1539083716225
0,11,11,127,129.9,10,8,1539083769561
0,8,11,125,129.9,2,8,1539083786365
0,11,11,128,129.9,10,8,1539083786478
0,8,11,125,129.9,2,8,1539083816668
0,11,11,128,129.9,2,8,1539083816668
0,8,11,125,129.8,2,2,1539083842936
0,8,11,125.42,129.8,1,2,1539083865674
0,8,11,125.42,129.8,1,7,1539083880821
0,8,11,125.42,129.8,1,8,1539084001531
0,8,11,125,129.8,2,8,1539084101291
0,8,8,125,129.79,2,2,1539084687019
0,8,11,125,129.79,2,5,1539084809347
0,8,12,125,129.78,2,2,1539084904833
0,8,8,125,129.78,2,5,1539085077086
0,8,12,125,129.77,2,2,1539085210303
0,8,11,125,128.9,2,1,1539085222533
0,8,12,125,129.77,2,2,1539085254456
0,8,11,125,129.77,2,5,1539085269054
0,8,8,125,128.8,2,2,1539085567143
0,8,12,125,128.79,2,2,1539085707084
0,11,12,125.5,128.79,3,2,1539086683598
0,11,12,126,128.79,3,2,1539086739403
