c,bE,aE,bP,aP,bS,aS,t
0,11,11,152.1,158.05,1,5,1539907200010
0,11,11,152.4,158.14,1,1,1539936000034
0,11,11,152.4,160.17,1,1,1539936000034
0,11,11,152.5,158.14,1,1,1539936359774
0,11,11,155.32,158.14,1,1,1539942271992
0,12,11,152.5,158.14,1,1,1539942816038
0,11,11,152.4,158.14,1,1,1539944445947
0,11,11,,158.14,,1,1539944598552
0,11,11,,160.17,,1,1539944598565
0,11,11,,169.82,,1,1539945300531
0,11,11,160.17,169.82,1,1,1539945300535
0,11,11,141,169.82,1,1,1539945343659
0,11,11,,169.82,,1,1539945460592
0,12,12,,165,,1,1539945460777
0,12,12,,160,,1,1539945489144
0,11,12,141,160,1,1,1539945530906
0,12,12,141,160,1,1,1539946127999
0,12,11,141,160,1,2,1539946263502
0,12,11,145,160,1,2,1539946283672
0,8,11,150.59,160,1,2,1539946800283
0,11,11,151.07,160,1,2,1539946802380
0,11,11,155.25,160,3,2,1539946809439
0,11,11,157.8,160,1,2,1539946809439
0,11,11,157.8,160,1,3,1539946809441
0,11,11,157.8,160,1,6,1539946824666
0,11,11,155.25,160,3,6,1539946859624
0,11,11,157.85,160,1,6,1539946859729
0,11,11,157.85,160,1,7,1539946873267
0,11,11,157.85,160,1,4,1539946886041
0,11,11,157.85,160,1,3,1539946930166
0,11,12,157.85,160,1,1,1539946932070
0,11,8,157.85,159.99,1,1,1539946976615
0,8,8,158,159.99,1,1,1539947069417
0,8,12,158,160,1,1,1539947075727
0,11,12,158.1,160,1,1,1539947173965
0,8,12,158,160,1,1,1539947236219
0,8,11,158,160,1,1,1539947297454
0,8,12,158,160,1,1,1539947392678
0,8,11,158,159,1,1,1539947392784
0,12,11,158.38,159,1,1,1539947515332
0,8,11,158,159,1,1,1539947540879
0,12,11,158.58,159,1,1,1539947540880
0,8,11,158,159,1,1,1539947560587
0,12,11,158.71,159,1,1,1539947560588
0,8,11,158,159,1,1,1539947570632
0,8,11,158,159,1,1,1539947570633
0,12,11,158.93,159,1,1,1539947570633
0,8,12,158,160,1,1,1539947623906
0,8,12,158,159.99,1,1,1539947624207
0,8,12,158,160,1,1,1539947639182
0,8,11,158,159.99,1,1,1539947645974
0,8,11,158.01,159.99,1,1,1539947728948
0,8,11,158,159.99,1,1,1539947729623
0,11,11,158.05,159.99,1,1,1539947750614
0,11,8,158.5,159.99,10,1,1539948125259
0,11,11,158.5,159.99,10,1,1539948143898
0,11,11,158.05,159.99,1,1,1539948150858
0,11,11,158.05,158.16,1,1,1539948667819
0,11,8,158.05,159.99,1,1,1539948668061
0,11,8,157.5,159.99,1,1,1539948722506
0,11,8,158.1,159.99,1,1,1539948722605
0,11,11,158.1,159.99,1,1,1539948783007
0,11,8,158.3,159.99,1,1,1539949072199
0,11,11,158.3,159.99,1,1,1539949153290
0,11,8,158.5,159.99,13,1,1539949172887
0,11,11,158.5,159.99,13,1,1539949180771
0,11,8,158.5,159.99,14,1,1539949180809
0,11,8,158.5,159.99,13,1,1539949191585
0,12,8,159,159.99,1,1,1539949191608
