c,bE,aE,bP,aP,bS,aS,t
0,11,8,15,17.2,1,5,1539774007435
0,11,11,15.09,16.8,1,4,1539779876330
0,11,11,15,16.8,1,4,1539779882797
0,11,8,15,17.2,1,5,1539781915682
0,11,8,15,16.44,1,5,1539781915797
0,8,8,15,16.44,1,5,1539782880545
0,8,8,15,16.44,1,5,1539782983998
0,2,8,15,16.44,2,5,1539782983998
0,18,8,15,16.44,2,5,1539782983998
0,8,8,15,16.44,1,5,1539782984210
0,7,8,15,16.44,2,5,1539782984210
0,17,8,15,16.44,2,5,1539782985089
0,7,8,15,16.44,2,5,1539782989089
0,18,8,15,16.44,2,5,1539782989089
0,8,8,15,16.44,1,5,1539782989089
0,17,8,15,16.44,2,5,1539782990097
0,18,8,15,16.44,2,5,1539782994097
0,7,8,15,16.44,2,5,1539782994098
0,8,8,15,16.44,1,5,1539782994098
0,17,8,15,16.44,2,5,1539782995251
0,18,8,15,16.44,2,5,1539782999251
0,7,8,15,16.44,2,5,1539782999251
0,8,8,15,16.44,1,5,1539782999251
0,8,12,15,15.65,1,30,1539783000328
0,8,12,15,15.65,1,30,1539783000328
0,8,12,15,15.63,1,1,1539783000607
0,8,12,15,15.63,1,2,1539783001513
0,8,12,15,15.63,1,3,1539783001800
0,12,12,15.45,15.63,1,3,1539783003033
0,12,12,15.18,15.63,1,3,1539783003743
0,8,12,15,15.63,1,3,1539783004033
0,11,12,15.14,15.63,1,3,1539783004067
0,11,12,15.14,15.63,2,3,1539783004067
0,19,12,15.14,15.63,1,3,1539783004082
0,19,12,15.14,15.63,1,4,1539783007866
0,19,12,15.15,15.63,1,4,1539783010474
0,19,12,15.15,15.63,2,4,1539783010474
0,12,12,15.15,15.63,3,4,1539783011113
0,18,12,15.15,15.63,2,4,1539783015095
0,18,19,15.15,15.63,2,6,1539783023252
0,18,19,15.15,15.63,2,5,1539783023252
0,18,19,15.15,15.63,2,5,1539783027568
0,18,12,15.15,15.45,2,1,1539783040283
0,18,19,15.15,15.54,2,1,1539783040285
0,18,19,15.15,15.56,2,1,1539783040285
0,11,19,15.15,15.56,2,1,1539783040302
0,11,12,15.15,15.56,2,2,1539783040562
0,19,12,15.15,15.56,2,2,1539783040563
0,19,12,15.15,15.56,2,5,1539783040568
0,19,12,15.16,15.56,1,5,1539783041000
0,19,12,15.16,15.56,2,5,1539783041000
0,19,12,15.16,15.56,2,8,1539783041148
0,19,12,15.17,15.56,1,8,1539783042301
0,19,12,15.17,15.56,2,8,1539783042301
0,12,12,15.17,15.56,3,8,1539783043367
0,12,12,15.17,15.56,4,8,1539783045113
0,12,12,15.17,15.56,4,7,1539783045399
0,12,12,15.17,15.56,4,8,1539783046638
0,12,12,15.17,15.56,5,8,1539783056131
0,12,12,15.17,15.56,4,8,1539783056131
0,19,12,15.2,15.56,1,8,1539783056604
0,18,12,15.2,15.56,2,8,1539783057369
0,19,12,15.2,15.56,1,8,1539783057369
0,19,12,15.21,15.56,1,8,1539783058002
0,18,12,15.21,15.56,2,8,1539783058002
0,12,12,15.21,15.56,3,8,1539783058112
0,18,12,15.21,15.56,2,8,1539783059370
0,19,12,15.24,15.56,1,8,1539783059774
0,19,12,15.24,15.56,1,8,1539783061372
0,18,12,15.24,15.56,2,8,1539783061372
0,19,12,15.29,15.56,1,8,1539783062768
0,18,12,15.24,15.56,1,8,1539783062768
0,18,12,15.29,15.56,2,8,1539783063373
0,18,19,15.29,15.36,2,1,1539783063453
0,18,19,15.29,15.36,1,1,1539783063453
0,18,19,15.29,15.48,1,1,1539783063454
0,18,12,15.29,15.56,1,8,1539783063455
0,8,12,15.29,15.56,2,8,1539783064301
0,19,12,15.3,15.56,2,8,1539783064777
0,19,12,15.3,15.56,1,8,1539783064777
0,18,12,15.3,15.56,2,8,1539783065374
0,11,12,15.3,15.56,2,8,1539783065374
0,19,12,15.3,15.56,1,8,1539783065374
0,12,12,15.3,15.56,2,8,1539783065374
0,12,19,15.3,15.32,2,1,1539783084779
0,12,12,15.3,15.56,2,8,1539783084779
0,12,19,15.3,15.46,2,1,1539783084779
0,19,12,15.32,15.56,2,8,1539783084780
0,19,12,15.32,15.56,1,8,1539783084780
0,8,12,15.32,15.56,2,8,1539783085376
0,19,12,15.33,15.56,1,8,1539783088678
0,19,12,15.33,15.56,2,8,1539783088678
0,18,12,15.33,15.56,2,8,1539783088768
0,18,12,15.33,15.56,2,5,1539783097276
0,8,12,15.33,15.56,2,5,1539783097277
0,8,12,15.33,15.56,3,5,1539783097438
0,8,12,15.33,15.5,3,1,1539783097902
0,8,11,15.33,15.49,3,1,1539783097903
0,8,10,15.33,15.49,3,1,1539783101193
0,8,12,15.33,15.49,3,2,1539783101826
0,8,12,15.33,15.49,3,2,1539783104378
0,8,12,15.33,15.49,3,3,1539783104378
0,8,12,15.33,15.49,3,3,1539783111867
0,8,11,15.33,15.48,3,1,1539783134373
