c,bE,aE,bP,aP,bS,aS,t
0,8,12,5.55,63.05,1,1,1539774000376
0,8,11,5.55,58,1,1,1539774004741
0,11,11,22.21,58,1,1,1539781159972
0,11,11,22.21,58,2,1,1539781169985
0,11,11,22.21,46.4,2,1,1539781320010
0,11,11,22.21,44.51,2,1,1539781387944
0,11,11,22.21,46.4,2,1,1539781388657
0,11,11,22.21,44.5,2,1,1539781413475
0,11,11,22.21,46.4,2,1,1539781672578
0,11,11,22.21,44.4,2,1,1539781699038
0,11,11,22.21,46.4,2,1,1539781703818
0,11,11,22.21,44.5,2,1,1539781733481
0,12,11,30,44.5,1,1,1539781876741
0,12,11,30.74,44.5,1,1,1539781878559
0,12,11,31.49,44.5,1,1,1539781880558
0,12,11,32.24,44.5,1,1,1539781882558
0,12,11,33,44.5,1,1,1539781885487
0,12,11,33.01,44.5,1,1,1539782254619
0,12,11,33.01,44.5,2,1,1539782971755
0,12,11,42.72,44.5,1,1,1539783000667
0,12,11,42.72,44.5,1,1,1539783000667
0,11,11,41.87,44.5,1,1,1539783001347
0,11,11,41.03,44.5,1,1,1539783001359
0,12,11,41,44.5,95,1,1539783001368
0,12,11,41,42.75,95,1,1539783004564
0,12,19,41,42.72,95,1,1539783004586
0,12,11,41,42.75,95,2,1539783004589
0,12,11,41,42.75,95,3,1539783009134
0,12,11,41,42.75,95,2,1539783009529
0,12,11,41,41.88,95,1,1539783009530
0,12,12,41,41.87,95,1,1539783010677
0,12,11,41,41.44,95,1,1539783014532
0,12,11,41.43,41.44,1,1,1539783015115
0,12,11,41,41.44,95,1,1539783015115
0,12,11,41.22,41.44,1,1,1539783015115
0,12,8,41,41.49,95,1,1539783015116
0,12,8,41,41.49,95,1,1539783015116
0,11,8,41.22,41.49,1,1,1539783015116
0,12,12,41,41.87,95,1,1539783015120
0,12,12,41,41.87,95,2,1539783016081
0,12,12,41.2,41.87,1,2,1539783018905
0,11,12,41.2,41.87,1,2,1539783018935
0,12,12,41,41.87,95,2,1539783018935
0,12,11,41,41.87,95,1,1539783048138
0,12,12,41,41.87,95,1,1539783048138
0,18,11,41.43,41.87,2,1,1539783048138
0,12,11,41.43,41.87,1,1,1539783048138
0,18,15,41.43,41.87,2,1,1539783048138
0,18,12,41.43,41.9,2,1,1539783048139
0,18,11,41.43,41.92,2,1,1539783048139
0,18,12,41.43,42.22,2,1,1539783048140
0,12,12,42,42.22,1,1,1539783048141
0,18,12,41.74,42.22,2,1,1539783048142
0,12,12,42,42.22,1,1,1539783048142
0,18,12,41.74,42.22,2,1,1539783048143
0,12,12,42,42.11,1,1,1539783048143
0,18,12,41.74,42.11,2,1,1539783048143
0,12,12,42,42.22,1,1,1539783048143
0,12,19,42,42.28,1,1,1539783048144
0,12,11,42,42.33,1,1,1539783048144
0,12,11,42,42.71,1,1,1539783048145
0,12,12,42,42.91,1,1,1539783048145
0,12,12,42,42.91,1,2,1539783048146
0,18,12,41.74,42.91,2,2,1539783048150
0,12,12,42,42.46,1,1,1539783048150
0,18,12,41.74,42.46,2,1,1539783048150
0,12,12,42,42.91,1,2,1539783048150
0,12,12,42,42.91,1,1,1539783048151
0,8,12,41.87,42.46,1,1,1539783048160
0,8,8,41.87,42.91,1,1,1539783048160
0,12,8,42,42.91,1,1,1539783048160
0,12,12,42,42.46,1,1,1539783048160
0,12,12,42,42.91,1,1,1539783048161
0,12,8,42,42.91,1,1,1539783048274
0,12,8,42,42.91,1,2,1539783052033
0,12,8,42.13,42.91,1,2,1539783052039
0,11,12,42,42.72,1,1,1539783052046
0,11,8,42,42.91,1,2,1539783052046
0,11,8,42,42.72,1,2,1539783052049
0,11,8,42,42.72,1,3,1539783052049
0,11,8,42,42.72,1,3,1539783052056
0,11,12,42,42.01,1,1,1539783052056
0,12,8,42,42.72,1,2,1539783052057
0,12,8,42,42.72,1,1,1539783052057
0,12,11,42,42.91,1,1,1539783052057
0,12,8,42,42.72,1,3,1539783052057
0,12,8,42,42.72,1,1,1539783052058
0,12,8,42,42.72,1,2,1539783052059
0,19,12,41.85,42.36,1,1,1539783052077
0,19,8,41.85,42.72,1,2,1539783052077
0,12,12,42,42.36,1,1,1539783052077
0,12,8,42,42.72,1,2,1539783052077
0,12,12,42,42.72,1,1,1539783052078
0,12,11,42,42.91,1,1,1539783052078
0,12,8,42,42.72,1,1,1539783052078
0,12,11,42,42.72,1,1,1539783052084
0,19,11,41.85,42.72,1,1,1539783052086
0,12,12,42,42.65,1,1,1539783052086
0,19,12,41.85,42.65,1,1,1539783052086
0,12,11,42,42.72,1,1,1539783052086
0,12,8,42,42.72,1,2,1539783052087
0,12,8,42,42.72,3,2,1539783052276
0,12,8,42,42.72,2,2,1539783052670
0,19,12,41.85,42.65,1,1,1539783052670
0,19,8,41.85,42.72,1,2,1539783052670
0,12,8,42,42.72,1,2,1539783052670
0,12,12,42,42.65,1,1,1539783052670
0,12,19,42,43.19,1,2,1539783052671
0,12,11,42,42.72,1,1,1539783052671
0,12,12,42,43.19,1,1,1539783052680
0,12,12,42,43.19,1,2,1539783053670
0,11,12,42,43.19,2,2,1539783053676
0,11,12,42,43.19,2,1,1539783056670
0,11,17,42,43.19,2,1,1539783059747
0,12,17,42,43.19,2,1,1539783065874
0,12,11,42,43.18,2,1,1539783069499
0,8,11,42,43.18,8,1,1539783085332
0,8,8,42,43.18,8,2,1539783085334
0,8,8,42.01,43.18,5,2,1539783144217
0,12,8,42.25,43.18,1,2,1539783182216
0,12,12,42.25,43.17,1,2,1539783182228
0,12,12,42.25,43.17,1,1,1539783182228
0,12,12,42.25,43.16,1,1,1539783182816
0,12,12,42.25,43.16,1,2,1539783182816
0,12,12,42.25,43.16,1,1,1539783183874
0,12,19,42.25,43.15,1,1,1539783212235
0,12,12,42.25,43.15,1,2,1539783212235
0,12,12,42.25,43.14,1,1,1539783212236
0,19,12,42.2,42.7,1,1,1539783215628
0,19,8,42.2,43.14,1,1,1539783215628
0,19,12,42.2,42.7,1,2,1539783215630
0,19,12,42.2,42.69,1,1,1539783215649
0,8,12,42.01,42.69,5,1,1539783215675
0,8,8,42.01,42.62,5,1,1539783215676
0,8,8,42.01,42.63,5,1,1539783215676
0,8,8,42.01,42.62,5,2,1539783215677
0,8,8,42.01,42.62,4,2,1539783215684
0,8,8,42.01,42.62,3,2,1539783215684
0,8,8,42.01,42.62,3,1,1539783216204
0,19,8,42.01,42.62,2,1,1539783216221
