c,bE,aE,bP,aP,bS,aS,t
0,12,11,54.22,86.5,1,5,1539952200123
0,12,11,66,86.5,7,5,1539955597974
0,12,11,65.2,86.5,1,5,1539955597975
0,12,11,65.2,86.5,2,5,1539955771741
0,12,12,75.35,77.93,40,3,1539955800861
0,12,12,75.35,77.93,40,3,1539955800861
0,12,11,75.35,79.49,40,1,1539955801287
0,12,12,75.35,80,40,1,1539955801295
0,12,12,75.35,78.85,40,1,1539955805165
0,12,12,75.3,78.85,1,1,1539955809188
0,8,12,75.35,78.85,40,1,1539955809230
0,8,12,75.35,78.85,40,2,1539955810822
0,19,19,75.36,78.84,9,9,1539955821645
0,8,19,75.35,78.84,40,9,1539955821645
0,19,12,75.36,78.85,9,2,1539955821655
0,8,12,75.35,78.85,40,2,1539955821655
0,12,12,75.48,78.85,1,2,1539955831766
0,12,12,75.48,78.85,2,2,1539955839685
0,12,12,75.48,78.85,2,3,1539955841951
0,12,12,75.48,78,2,1,1539955915510
0,12,17,75.48,77.97,2,1,1539955919725
0,12,12,75.48,78,2,2,1539955922070
0,12,12,75.48,78,1,2,1539955931629
0,11,12,75.48,78,1,2,1539955946954
0,11,17,75.48,77.49,1,1,1539955946954
0,11,12,75.48,75.49,1,1,1539955946954
0,11,18,75.48,77.49,1,2,1539955946955
0,8,17,75.35,77.37,40,1,1539955946955
0,11,17,75.48,77.37,1,1,1539955946955
0,8,18,75.35,77.08,40,1,1539955946955
0,8,18,75.35,76.75,40,1,1539955946955
0,8,11,75.35,76.33,40,2,1539955946956
0,8,11,75.35,76.03,40,2,1539955946957
0,8,2,75.35,75.91,40,1,1539955946961
0,8,17,75.35,75.88,40,1,1539955946961
0,8,17,75.35,75.88,26,1,1539955946962
0,8,17,75.35,75.88,28,1,1539955946962
0,8,17,75.35,75.88,25,1,1539955946962
0,12,17,75.49,75.88,1,1,1539955946963
0,12,7,75.49,77.08,1,1,1539955946985
0,12,18,75.49,76.75,1,1,1539955946985
0,12,11,75.49,77.43,1,1,1539955946985
0,12,8,75.49,77.49,1,1,1539955946993
0,19,12,75.49,77.49,1,2,1539955947000
0,12,12,75.49,77.49,1,2,1539955947003
0,12,17,75.49,77.09,1,1,1539955947006
0,12,12,75.49,77.49,1,2,1539955947017
0,12,8,75.49,77.49,1,1,1539955947023
0,12,19,75.49,77.39,1,9,1539955947050
0,12,12,75.49,77.44,1,1,1539955947162
0,12,12,75.49,77.49,1,1,1539955948004
0,8,12,75.35,77.49,25,1,1539955948436
0,19,12,75.36,77.49,2,1,1539955950019
0,19,12,75.36,77.54,2,2,1539955964726
0,19,12,75.36,77,2,1,1539955977526
0,19,11,75.36,77.05,2,1,1539955982616
0,19,12,75.36,76.5,2,1,1539955982622
0,11,12,75.37,76.5,1,1,1539955984655
0,12,12,75.37,76.5,1,1,1539955985113
0,12,12,75.37,76.5,3,1,1539956040686
0,19,12,75.38,76.5,1,1,1539956046918
0,11,12,75.39,76.5,1,1,1539956055049
0,19,12,75.4,76.5,1,1,1539956055050
0,19,12,75.4,76.55,1,2,1539956065836
0,12,12,75.4,76.55,1,2,1539956065837
0,8,12,75.4,76,1,1,1539956065842
0,8,12,75.4,76,1,1,1539956065842
0,8,12,75.4,76.55,1,2,1539956065842
0,12,12,75.4,76,1,1,1539956065842
0,12,18,75.4,76,2,1,1539956065863
0,12,18,75.4,76,1,1,1539956067846
0,12,18,75.4,76,2,1,1539956067853
0,12,12,75.4,75.99,2,1,1539956067934
0,19,12,75.41,75.99,1,1,1539956067936
0,19,12,75.41,75.5,1,1,1539956069105
0,19,12,75.41,75.5,1,1,1539956069105
0,19,12,75.41,75.99,1,1,1539956069105
0,19,12,75.41,75.5,1,1,1539956069105
0,19,12,75.41,75.99,1,1,1539956069105
0,19,12,75.41,75.99,1,1,1539956069106
0,19,12,75.41,75.5,1,1,1539956069106
0,19,12,75.41,75.5,1,1,1539956069106
0,19,12,75.41,75.5,1,1,1539956069106
0,19,12,75.41,75.99,1,1,1539956069106
0,19,12,75.41,75.99,1,1,1539956069106
0,12,12,75.4,75.5,4,1,1539956069106
0,12,12,75.4,75.99,4,1,1539956069107
0,12,12,75.4,75.5,4,1,1539956069107
0,12,12,75.4,75.99,4,1,1539956069107
0,12,12,75.4,75.5,3,1,1539956069107
0,12,12,75.4,75.99,3,1,1539956069107
0,12,12,75.4,75.5,3,1,1539956069107
0,12,12,75.4,75.99,3,1,1539956069107
0,12,12,75.4,75.5,3,1,1539956069108
0,12,12,75.4,75.99,3,1,1539956069108
0,12,12,75.4,75.5,3,1,1539956069108
0,12,12,75.4,75.99,3,1,1539956069108
0,12,12,75.4,75.99,3,1,1539956069108
0,12,12,75.4,75.5,3,1,1539956069108
0,12,12,75.4,75.5,3,1,1539956069109
0,12,12,75.4,75.99,3,1,1539956069109
0,12,12,75.4,75.5,3,1,1539956069110
0,12,12,75.4,75.99,3,1,1539956069110
0,12,12,75.4,75.5,2,1,1539956069110
0,12,12,75.4,75.5,1,1,1539956069111
0,11,12,75.39,75.5,1,1,1539956069111
0,8,12,75.35,75.5,25,1,1539956069112
0,12,12,75.4,75.5,2,1,1539956069123
0,12,12,75.4,75.5,2,2,1539956069608
0,12,12,75.4,75.5,2,1,1539956069713
0,12,12,75.4,75.5,2,2,1539956069713
0,11,12,75.41,75.5,1,2,1539956074052
0,12,12,75.4,75.5,2,2,1539956074204
0,8,12,75.35,75.5,25,2,1539956077000
0,8,12,75.35,75.5,23,1,1539956077000
0,8,12,75.35,75.5,25,1,1539956077000
0,8,12,75.35,75.5,16,1,1539956077000
0,8,12,75.35,75.5,22,1,1539956077000
0,8,12,75.35,75.5,18,1,1539956077000
0,8,12,75.35,75.5,15,1,1539956077000
0,8,12,75.35,75.5,14,1,1539956077001
0,8,12,75.35,75.5,13,1,1539956077002
0,8,12,75.3,75.5,1,1,1539956077002
0,12,12,75.05,75.5,2,1,1539956077033
0,15,12,75.05,75.5,1,1,1539956077036
0,15,2,75.05,75.41,1,1,1539956077036
0,15,2,75.05,75.41,1,1,1539956077036
0,15,11,75.05,75.15,1,1,1539956077036
0,12,2,75.12,75.41,1,1,1539956077036
0,12,2,75.08,75.41,1,1,1539956077036
0,15,17,75.05,75.46,1,1,1539956077036
0,12,2,75.1,75.41,1,1,1539956077037
0,12,17,75.1,75.43,1,1,1539956077037
0,12,12,75.1,75.42,1,1,1539956077037
0,12,17,75.08,75.42,1,1,1539956077037
0,12,17,75.08,75.36,1,1,1539956077037
0,12,17,75.08,75.42,1,2,1539956077037
0,12,2,75.08,75.35,1,1,1539956077037
0,12,17,75.08,75.26,1,1,1539956077038
0,12,17,75.05,75.26,1,1,1539956077039
0,12,17,75.08,75.26,1,2,1539956077039
0,12,17,75.05,75.26,1,2,1539956077039
0,12,17,75.05,75.22,1,1,1539956077039
0,12,17,75.08,75.22,1,1,1539956077039
0,12,12,75.05,75.21,1,1,1539956077040
0,19,17,75.06,75.2,1,1,1539956077040
0,12,17,75.05,75.2,1,1,1539956077040
0,12,17,75.05,75.2,1,1,1539956077040
0,12,17,74.65,75.2,1,1,1539956077043
