c,bE,aE,bP,aP,bS,aS,t
0,11,12,2.31,6.57,1,1,1538572306748
0,12,12,4.23,6.57,2,2,1538573376839
0,12,12,4.23,6.57,2,1,1538573376839
0,12,12,4.23,5.74,2,5,1538573400379
0,10,10,5.18,5.45,2,2,1538573400460
0,10,10,5.21,5.45,8,2,1538573400464
0,10,10,5.21,5.45,9,2,1538573400996
0,10,10,5.21,5.45,8,2,1538573401009
0,10,10,5.21,5.45,9,2,1538573401133
0,19,10,5.22,5.45,1,2,1538573404406
0,15,10,5.24,5.45,5,2,1538573404407
0,15,15,5.24,5.44,5,5,1538573404407
0,8,15,5.24,5.44,1,5,1538573404408
0,19,15,5.22,5.44,1,5,1538573404409
0,15,15,5.23,5.44,5,5,1538573412771
0,15,8,5.23,5.35,5,4,1538573421274
0,11,8,5.23,5.35,1,4,1538573422699
0,15,8,5.24,5.35,5,4,1538573422700
0,11,8,5.24,5.35,1,4,1538573422701
0,11,8,5.24,5.35,2,4,1538573422727
0,8,8,5.24,5.35,3,4,1538573424793
0,17,8,5.24,5.35,1,4,1538573429403
0,12,8,5.24,5.35,2,4,1538573429403
0,19,8,5.22,5.35,1,4,1538573429403
0,18,8,5.24,5.35,1,4,1538573429403
0,15,8,5.23,5.35,5,4,1538573429404
0,8,8,5.23,5.35,1,4,1538573431167
0,15,8,5.24,5.35,5,4,1538573431168
0,8,8,5.24,5.35,1,4,1538573447976
0,15,8,5.25,5.35,5,4,1538573447977
0,8,8,5.23,5.35,2,4,1538573447977
0,8,8,5.25,5.35,1,4,1538573447978
0,8,8,5.23,5.35,2,4,1538573447979
0,8,8,5.23,5.35,3,4,1538573448356
0,18,8,5.23,5.35,1,4,1538573464406
0,8,8,5.23,5.35,2,4,1538573464406
0,8,8,5.23,5.35,1,4,1538573464407
0,8,8,5.23,5.35,2,4,1538573473247
0,8,8,5.23,5.35,3,4,1538573473631
0,8,8,5.23,5.35,2,4,1538573481562
0,18,8,5.23,5.35,1,4,1538573481562
0,8,8,5.23,5.35,2,4,1538573484408
0,8,8,5.23,5.35,3,4,1538573484732
0,8,8,5.23,5.35,4,4,1538573485806
0,8,8,5.23,5.35,3,4,1538573489407
0,8,8,5.23,5.35,2,4,1538573489407
0,18,8,5.23,5.35,1,4,1538573489407
0,8,8,5.23,5.35,3,4,1538573492555
