c,bE,aE,bP,aP,bS,aS,t
0,12,12,80.3,199999.99,2,1,1539946800381
0,12,12,80.31,199999.99,1,1,1539946800381
0,12,12,80.31,199999.99,1,2,1539952200831
0,12,12,80.31,199999.99,1,3,1539952202553
0,12,12,80.31,199999.99,1,4,1539952888444
0,12,11,80.31,121.81,1,1,1539953023889
0,12,11,80.31,121.81,1,2,1539953031208
0,12,12,80.31,111.29,1,1,1539954635906
0,12,12,80.31,109.07,1,1,1539954636940
0,12,12,80.31,106.89,1,1,1539954639031
0,12,12,80.31,106.89,1,2,1539955770960
0,12,12,80.31,82,1,1,1539955800804
0,12,12,80.31,82,1,1,1539955800804
0,12,11,80.31,81.99,1,1,1539955802098
0,12,11,80.31,81.99,2,1,1539955808178
0,12,10,80.31,81.99,2,1,1539955811399
0,12,12,80.31,81.67,2,1,1539955857439
0,12,18,80.31,81.67,2,2,1539955857441
0,12,18,80.31,81.42,2,2,1539955857534
0,12,12,80.31,81.42,2,1,1539955857534
0,12,18,80.31,81.42,2,1,1539955857624
0,12,11,80.31,81.42,2,1,1539955857624
0,12,18,80.31,81.67,2,2,1539955857624
0,12,10,80.31,81.66,2,1,1539955857637
0,12,18,80.31,81.66,2,2,1539955857637
0,12,12,80.31,81.46,2,1,1539955857791
0,12,12,80.31,81.44,2,1,1539955857791
0,12,12,80.31,81.45,2,1,1539955857791
0,12,18,80.31,81.44,2,2,1539955857792
0,12,18,80.44,81.44,1,2,1539955857879
0,12,18,80.44,81.44,2,2,1539955857879
0,12,18,80.44,81.44,1,2,1539955857880
0,12,12,80.44,81.31,1,1,1539955857968
0,12,18,80.44,81.31,1,2,1539955857968
0,12,12,80.44,81.29,1,1,1539955858061
0,12,12,80.44,81.26,1,1,1539955858062
0,12,12,80.44,81.23,1,1,1539955858062
0,12,18,80.44,81.26,1,2,1539955858062
0,12,12,80.44,81.23,2,1,1539955858065
0,12,11,80.44,81.23,2,1,1539955858065
0,12,18,80.44,81.24,2,1,1539955858066
0,12,11,80.44,81.23,2,1,1539955858066
0,12,18,80.44,81.18,2,1,1539955858161
0,12,18,80.44,81.15,2,1,1539955858161
0,12,18,80.44,81.16,2,1,1539955858161
0,12,10,80.44,81.66,1,1,1539955858162
0,12,18,80.44,81.15,1,1,1539955858162
0,12,18,80.44,81.48,1,1,1539955858162
0,12,18,80.44,81.48,1,2,1539955858162
0,12,18,80.44,81.48,2,2,1539955858243
0,12,18,80.44,81.48,1,2,1539955858244
0,12,12,80.44,81.28,1,1,1539955858333
0,12,12,80.44,81.32,1,1,1539955858333
0,12,11,80.44,81.28,1,1,1539955858334
0,12,10,80.44,81.66,1,1,1539955858335
0,12,18,80.44,81.48,1,1,1539955858335
0,12,18,80.44,81.48,1,2,1539955858369
0,12,18,80.44,81.28,1,1,1539955858423
0,12,18,80.44,81.48,1,1,1539955858512
0,12,18,80.44,81.48,1,2,1539955858513
0,12,18,80.44,81.48,2,2,1539955858717
0,12,12,80.44,81.37,2,1,1539955865082
0,12,12,80.44,81.37,1,1,1539955865691
