c,bE,aE,bP,aP,bS,aS,t
0,8,8,38,56.89,1,4,1537873200203
0,8,8,38.66,56.89,1,4,1537873200206
0,11,8,52.8,56.89,5,4,1537873236676
0,11,8,52.8,56.89,5,2,1537873438562
0,11,8,52.8,56.89,5,1,1537873560374
0,11,19,52.8,55.95,5,1,1537873805314
0,11,12,52.8,55.5,5,1,1537874366175
0,11,19,52.8,55.25,5,1,1537874383764
0,11,12,52.8,54,5,1,1537874792759
0,11,12,52.8,54,4,1,1537874800407
0,11,19,52.8,55.25,4,1,1537874805584
0,11,12,52.8,55,4,1,1537874858559
0,11,19,52.8,54.95,4,1,1537874937586
0,11,11,52.8,54.7,4,3,1537874963853
0,11,12,52.8,54,4,1,1537874974307
0,11,12,52.8,54,3,1,1537874977798
0,11,12,52.8,54,1,1,1537875442198
0,11,19,52.8,54.95,1,1,1537876293491
0,11,12,52.8,54.8,1,1,1537876296130
0,11,11,52.8,54.6,1,7,1537876788101
0,11,12,52.8,54,1,1,1537876803888
0,11,12,52.8,54,2,1,1537879724650
0,8,12,53.1,54,4,1,1537879782009
0,11,12,52.8,54,2,1,1537879870322
0,8,12,53.5,54,4,1,1537879870340
0,8,12,53.5,54.8,4,1,1537879906197
0,8,19,53.5,54.95,4,1,1537879906365
0,11,19,53.1,54.95,1,1,1537879910467
0,8,19,54,54.95,4,1,1537879915482
0,11,19,53.1,54.95,1,1,1537880100931
0,8,19,53.5,54.95,4,1,1537880105947
0,8,11,53.5,54.95,4,1,1537880904545
0,8,11,53.5,56.8,4,1,1537880904546
0,8,11,53.5,56,4,1,1537881272578
0,8,8,53.5,56.8,4,1,1537881279241
0,12,8,54.44,56.8,1,1,1537882079415
0,11,8,55.4,56.8,1,1,1537882079416
0,11,11,55.4,56.8,1,1,1537882086549
0,11,18,55.4,56.52,1,1,1537882095013
0,11,12,55.4,56.4,1,10,1537882095045
0,11,17,55.4,56.15,1,1,1537882095052
0,11,19,55.4,55.82,1,1,1537882095052
0,11,12,55.4,55.73,1,1,1537882095053
0,11,17,55.4,55.71,1,1,1537882095053
0,11,19,55.4,55.58,1,1,1537882095053
0,11,12,55.4,55.54,1,1,1537882095054
0,11,17,55.4,55.53,1,1,1537882095054
0,11,12,55.4,55.51,1,1,1537882095054
0,11,17,55.4,55.5,1,1,1537882095054
0,11,12,55.4,55.48,1,1,1537882095054
0,11,12,55.4,55.46,1,1,1537882095055
0,11,12,55.4,55.44,1,1,1537882095055
0,11,12,55.4,55.48,1,1,1537882100214
0,11,12,55.4,55.46,1,1,1537882100214
0,11,18,55.4,55.54,1,1,1537882100215
0,11,17,55.4,55.5,1,1,1537882100215
0,11,11,55.4,56.8,1,1,1537882100215
0,11,7,55.4,55.54,1,1,1537882100215
0,11,18,55.4,56.52,1,1,1537882117855
