c,bE,aE,bP,aP,bS,aS,t
0,12,12,9.8,9.93,24,28,1539648000001
0,11,12,9.8,9.93,12,24,1539648000057
0,11,11,9.8,9.95,12,12,1539648000059
0,11,11,9.01,10.05,2,2,1539676800026
0,11,11,9.74,10.05,24,2,1539676800027
0,11,11,9.7,10.05,12,2,1539676826087
0,11,11,9.71,10.05,60,2,1539676936860
0,11,11,9.71,9.9,60,4,1539677083977
0,11,11,9.72,9.9,60,4,1539677094160
0,11,11,9.73,9.9,60,4,1539677168948
0,11,11,9.74,9.9,60,4,1539677179645
0,11,11,9.8,9.9,30,4,1539677206344
0,11,11,9.8,9.9,36,4,1539677243035
0,11,11,9.8,9.87,36,4,1539679384248
0,11,11,9.8,9.87,46,4,1539679987057
0,11,11,9.8,9.81,46,4,1539680115724
0,11,11,9.8,9.81,10,4,1539680118163
0,11,11,9.8,10.05,5,2,1539680118165
0,11,11,9.8,9.95,5,12,1539681845707
0,11,11,9.51,9.95,60,12,1539682995878
0,11,12,9.51,9.8,60,4,1539682995881
0,11,11,9.51,9.95,60,12,1539683003737
0,11,11,9.55,9.95,10,12,1539683236837
0,11,11,9.6,9.95,60,12,1539683457018
0,11,11,9.65,9.95,60,12,1539683530058
0,11,11,9.7,9.95,60,12,1539683714256
0,11,11,9.55,9.95,10,12,1539683898796
0,11,11,9.55,9.9,10,12,1539684096182
0,11,11,9.55,9.8,10,12,1539684691975
0,11,11,9.55,9.8,10,1,1539686033716
0,11,11,9.8,9.9,9,12,1539686052473
0,11,11,9.55,9.9,10,12,1539686053132
0,11,11,9.6,9.9,12,12,1539686612485
0,11,11,9.6,9.88,12,8,1539686676614
0,11,11,9.61,9.88,60,8,1539687037942
0,11,11,9.61,9.87,60,3,1539687163505
0,11,11,9.87,9.88,1,8,1539687303229
0,11,11,9.88,9.95,1,12,1539687307452
0,11,11,9.95,10.05,1,2,1539687313144
0,11,11,9.61,10.05,60,2,1539687314899
0,11,11,9.61,10,60,12,1539687383345
0,11,11,9.61,9.96,60,1,1539687604010
0,11,11,9.63,9.96,12,1,1539687645350
0,11,11,9.66,9.96,12,1,1539687696838
0,11,11,9.9,9.96,6,1,1539687812381
0,11,11,9.9,10,6,12,1539687820514
0,8,11,9.96,10,4,12,1539687824337
0,8,11,9.96,10,4,6,1539687826110
0,8,11,9.98,10,4,6,1539687828231
0,11,11,9.66,10,6,6,1539687831395
0,11,11,9.66,10,6,2,1539687831397
0,11,12,9.66,10,6,10,1539687938764
0,11,12,10,10,1,10,1539687945430
0,11,11,10,10.05,1,2,1539687945432
0,11,12,10,10,1,10,1539687945432
0,11,11,10,10.05,1,2,1539687945451
0,11,11,9.66,10.05,6,2,1539687949697
0,11,11,9.7,10.05,12,2,1539688004586
0,11,11,9.71,10.05,6,2,1539688353327
0,11,11,9.72,10.05,6,2,1539689188456
0,11,11,9.74,10.05,6,2,1539689415172
0,11,11,9.74,10.04,6,1,1539689618753
0,11,11,9.74,10.05,6,2,1539689620671
0,11,11,9.74,10,6,1,1539689620743
0,11,11,10,10.05,1,2,1539689823704
0,11,11,9.74,10.05,6,2,1539689828781
0,11,12,9.74,10,6,10,1539690037859
0,12,12,9.75,10,6,10,1539690098549
0,11,12,10,10,1,10,1539690402873
0,12,11,9.75,10.05,6,2,1539690402874
0,11,11,10,10.05,1,2,1539690402874
0,11,11,10,10.05,1,2,1539690402874
